t_norm,s_norm,lat_norm,s_cm,lat_cm,y_cm,speed_cm_s,vy_cm_s
0.000000,0.000000,-0.000000,0.00,-0.00,0.00,0.0,0.0
0.034483,0.065670,0.000000,55.00,0.00,4.91,7267.0,649.1
0.068966,0.131339,-0.000000,110.00,-0.00,9.82,6529.7,583.2
0.103448,0.197009,0.000000,165.00,0.00,14.74,6529.7,583.2
0.137931,0.262679,0.000000,220.00,0.00,19.65,6826.5,609.7
0.172414,0.328349,0.000000,274.99,0.00,24.56,6257.7,558.9
0.206897,0.394018,0.000000,329.99,0.00,29.47,6724.7,600.6
0.241379,0.459688,-0.000000,384.99,-0.00,34.39,6529.7,583.2
0.275862,0.525358,0.000000,439.99,0.00,39.30,6826.5,609.7
0.310345,0.591027,0.000000,494.99,0.00,44.21,6436.5,574.9
0.344828,0.656697,0.000000,549.99,0.00,49.12,6724.7,600.6
0.379310,0.674616,0.000001,565.00,0.00,50.40,1834.9,156.2
0.413793,0.692550,0.000002,580.02,0.00,51.55,1733.2,132.9
0.448276,0.710500,0.000002,595.05,0.00,52.58,1811.5,123.7
0.482759,0.728466,0.000001,610.10,0.00,53.48,1868.4,112.0
0.517241,0.746452,0.000001,625.16,0.00,54.26,1816.0,93.6
0.551724,0.764454,-0.000000,640.24,-0.00,54.91,1791.9,77.4
0.586207,0.782471,0.000002,655.33,0.00,55.44,1820.6,63.5
0.620690,0.800504,0.000003,670.43,0.00,55.84,1771.0,47.1
0.655172,0.818553,0.000005,685.55,0.00,56.12,1799.2,32.9
0.689655,0.836618,0.000005,700.68,0.00,56.27,1828.4,18.3
0.724138,0.854746,0.000007,715.86,0.01,56.30,1836.1,3.3
0.758621,0.872847,0.000007,731.02,0.01,56.20,1808.1,-11.7
0.793103,0.890963,0.000007,746.19,0.01,55.98,1837.8,-26.9
0.827586,0.909095,0.000010,761.37,0.01,55.63,1841.0,-41.9
0.862069,0.927242,0.000012,776.57,0.01,55.15,1844.4,-57.0
0.896552,0.945406,0.000014,791.79,0.01,54.56,1847.9,-72.1
0.931034,0.963586,0.000016,807.01,0.01,53.83,1907.6,-89.8
0.965517,0.981785,0.000017,822.25,0.01,52.98,1802.5,-99.3
1.000000,1.000000,0.000018,837.51,0.02,52.01,1806.3,-113.9
