t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.004202,0.000795,-0.000462,0.000000,0.46,-0.27,0.00
0.008403,0.002911,-0.001655,-0.000000,1.70,-0.97,-0.00
0.012605,0.005026,-0.002847,-0.000000,2.94,-1.66,-0.00
0.016807,0.008058,-0.004478,-0.000000,4.71,-2.62,-0.00
0.021008,0.011090,-0.006109,-0.000000,6.48,-3.57,-0.00
0.025210,0.014635,-0.007884,-0.000000,8.55,-4.61,-0.00
0.029412,0.018180,-0.009660,-0.000000,10.62,-5.64,-0.00
0.033613,0.021830,-0.011298,-0.000000,12.76,-6.60,-0.00
0.037815,0.025481,-0.012936,-0.000000,14.89,-7.56,-0.00
0.042017,0.028830,-0.014137,-0.000000,16.85,-8.26,-0.00
0.046218,0.032178,-0.015338,-0.000000,18.80,-8.96,-0.00
0.050420,0.034825,-0.015815,-0.000000,20.35,-9.24,-0.00
0.054622,0.037472,-0.016293,-0.000000,21.90,-9.52,-0.00
0.058824,0.039399,-0.016179,-0.000000,23.02,-9.45,-0.00
0.063025,0.041327,-0.016064,-0.000000,24.15,-9.39,-0.00
0.067227,0.042896,-0.015708,-0.000000,25.07,-9.18,-0.00
0.071429,0.044465,-0.015353,-0.000000,25.98,-8.97,-0.00
0.075630,0.045760,-0.014742,-0.000000,26.74,-8.61,-0.00
0.079832,0.047055,-0.014132,-0.000000,27.50,-8.26,-0.00
0.084034,0.048350,-0.013521,-0.000000,28.25,-7.90,-0.00
0.088235,0.049645,-0.012911,-0.000000,29.01,-7.54,-0.00
0.092437,0.050943,-0.012143,-0.000000,29.77,-7.10,-0.00
0.096639,0.052240,-0.011376,-0.000000,30.53,-6.65,-0.00
0.100840,0.053723,-0.010554,-0.000000,31.39,-6.17,-0.00
0.105042,0.055205,-0.009732,-0.000000,32.26,-5.69,-0.00
0.109244,0.056687,-0.008910,-0.000000,33.12,-5.21,-0.00
0.113445,0.058170,-0.008087,-0.000000,33.99,-4.73,-0.00
0.117647,0.059543,-0.007119,-0.000000,34.79,-4.16,-0.00
0.121849,0.060916,-0.006150,-0.000000,35.59,-3.59,-0.00
0.126050,0.062289,-0.005182,-0.000000,36.40,-3.03,-0.00
0.130252,0.063662,-0.004213,-0.000000,37.20,-2.46,-0.00
0.134454,0.065291,-0.003113,-0.000000,38.15,-1.82,-0.00
0.138655,0.066921,-0.002013,-0.000000,39.10,-1.18,-0.00
0.142857,0.068963,-0.000822,-0.000000,40.30,-0.48,-0.00
0.147059,0.071006,0.000369,-0.000000,41.49,0.22,-0.00
0.151261,0.073652,0.001650,-0.000000,43.04,0.96,-0.00
0.155462,0.076297,0.002930,-0.000000,44.58,1.71,-0.00
0.159664,0.080262,0.004477,-0.000000,46.90,2.62,-0.00
0.163866,0.084232,0.006022,-0.000000,49.22,3.52,-0.00
0.168067,0.089865,0.007928,-0.000000,52.51,4.63,-0.00
0.172269,0.095498,0.009834,-0.000000,55.80,5.75,-0.00
0.176471,0.102408,0.011975,-0.000000,59.84,7.00,-0.00
0.180672,0.109318,0.014115,0.000003,63.88,8.25,0.00
0.184874,0.118962,0.017244,0.005632,69.51,10.08,3.27
0.189076,0.128617,0.020375,0.011277,75.15,11.91,6.54
0.193277,0.139559,0.022752,0.021515,81.55,13.29,12.48
0.197479,0.150495,0.025126,0.031754,87.94,14.68,18.42
0.201681,0.159965,0.025306,0.042501,93.47,14.79,24.65
0.205882,0.169434,0.025487,0.053248,99.00,14.89,30.89
0.210084,0.178896,0.025621,0.064328,104.53,14.97,37.32
0.214286,0.188357,0.025755,0.075406,110.06,15.05,43.74
0.218487,0.197409,0.025846,0.085559,115.35,15.10,49.63
0.222689,0.206433,0.025935,0.095672,120.62,15.15,55.50
0.226891,0.214604,0.026012,0.103291,125.40,15.20,59.92
0.231092,0.222770,0.026091,0.110900,130.17,15.25,64.33
0.235294,0.229666,0.026184,0.116145,134.20,15.30,67.38
0.239496,0.236558,0.026277,0.121384,138.23,15.35,70.41
0.243697,0.241935,0.026386,0.125282,141.37,15.42,72.68
0.247899,0.247301,0.026493,0.129172,144.50,15.48,74.93
0.252101,0.250664,0.026621,0.131310,146.47,15.56,76.17
0.256303,0.254021,0.026746,0.133441,148.43,15.63,77.41
0.260504,0.256346,0.026879,0.134094,149.79,15.71,77.79
0.264706,0.258672,0.027013,0.134747,151.15,15.78,78.17
0.268908,0.260212,0.027143,0.135538,152.05,15.86,78.63
0.273109,0.261753,0.027273,0.136327,152.95,15.94,79.08
0.277311,0.262765,0.027401,0.136459,153.54,16.01,79.16
0.281513,0.263776,0.027528,0.136590,154.13,16.09,79.24
0.285714,0.264507,0.027646,0.136703,154.56,16.15,79.30
0.289916,0.265239,0.027763,0.136819,154.99,16.22,79.37
0.294118,0.266021,0.027871,0.137478,155.44,16.29,79.75
0.298319,0.266803,0.027973,0.138147,155.90,16.35,80.14
0.302521,0.267103,0.028070,0.140613,156.07,16.40,81.57
0.306723,0.267409,0.028165,0.143102,156.25,16.46,83.01
0.310924,0.267937,0.028239,0.150231,156.56,16.50,87.15
0.315126,0.268471,0.028316,0.157357,156.87,16.55,91.28
0.319328,0.269808,0.028365,0.163619,157.66,16.57,94.91
0.323529,0.271150,0.028411,0.169884,158.44,16.60,98.55
0.327731,0.273468,0.028428,0.176859,159.79,16.61,102.60
0.331933,0.280051,0.028400,0.205206,163.64,16.59,119.04
0.336134,0.284401,0.027754,0.226328,166.18,16.22,131.29
0.340336,0.288751,0.027108,0.247165,168.72,15.84,143.38
0.344538,0.293147,0.026171,0.267718,171.29,15.29,155.30
0.348739,0.297542,0.025235,0.287986,173.86,14.75,167.06
0.352941,0.302003,0.024039,0.307970,176.47,14.05,178.65
0.357143,0.306463,0.022844,0.327669,179.07,13.35,190.08
0.361345,0.310924,0.021648,0.347084,181.68,12.65,201.34
0.365546,0.315385,0.020453,0.366215,184.29,11.95,212.44
0.369748,0.319933,0.019221,0.385061,186.94,11.23,223.37
0.373950,0.324481,0.017989,0.403623,189.60,10.51,234.14
0.378151,0.329029,0.016757,0.421900,192.26,9.79,244.74
0.382353,0.333579,0.015530,0.439893,194.92,9.07,255.18
0.386555,0.338187,0.014503,0.457601,197.61,8.47,265.45
0.390756,0.342795,0.013477,0.475025,200.30,7.87,275.56
0.394958,0.347441,0.012706,0.492164,203.02,7.42,285.50
0.399160,0.352086,0.011936,0.509019,205.73,6.97,295.28
0.403361,0.356798,0.011391,0.525590,208.49,6.66,304.89
0.407563,0.361509,0.010845,0.541876,211.24,6.34,314.34
0.411765,0.366221,0.010300,0.557878,213.99,6.02,323.62
0.415966,0.371221,0.009719,0.574539,216.91,5.68,333.29
0.420168,0.375933,0.009174,0.589954,219.67,5.36,342.23
0.424370,0.380652,0.008638,0.605085,222.42,5.05,351.01
0.428571,0.385445,0.008237,0.619932,225.22,4.81,359.62
0.432773,0.390237,0.007837,0.634494,228.02,4.58,368.07
