t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.004184,0.003521,0.002326,0.000000,2.24,1.48,0.00
0.008368,0.007985,0.004045,0.000000,5.07,2.57,0.00
0.012552,0.012449,0.005764,0.000000,7.91,3.66,0.00
0.016736,0.017303,0.006994,0.000000,10.99,4.44,0.00
0.020921,0.022156,0.008224,0.000000,14.08,5.23,0.00
0.025105,0.025745,0.008967,0.000000,16.36,5.70,0.00
0.029289,0.029333,0.009709,0.000000,18.64,6.17,0.00
0.033473,0.033170,0.010531,0.000000,21.08,6.69,0.00
0.037657,0.037007,0.011352,0.000000,23.51,7.21,0.00
0.041841,0.040844,0.012173,0.000000,25.95,7.73,0.00
0.046025,0.044681,0.012995,0.000000,28.39,8.26,0.00
0.050209,0.048785,0.013941,0.000000,31.00,8.86,0.00
0.054393,0.052889,0.014888,0.000000,33.61,9.46,0.00
0.058577,0.057268,0.015780,0.000000,36.39,10.03,0.00
0.062762,0.061647,0.016672,0.000000,39.17,10.59,0.00
0.066946,0.066383,0.017465,0.000000,42.18,11.10,0.00
0.071130,0.071120,0.018257,0.000000,45.19,11.60,0.00
0.075314,0.076092,0.018839,0.000000,48.35,11.97,0.00
0.079498,0.081065,0.019422,0.000000,51.51,12.34,0.00
0.083682,0.086272,0.019718,0.000000,54.82,12.53,0.00
0.087866,0.091469,0.020014,0.000000,58.12,12.72,0.00
0.092050,0.096667,0.020311,0.000000,61.42,12.91,0.00
0.096234,0.101864,0.020608,0.000000,64.72,13.09,0.00
0.100418,0.107712,0.020739,0.000000,68.44,13.18,0.00
0.104603,0.113560,0.020870,0.000000,72.15,13.26,0.00
0.108787,0.119020,0.020877,0.000000,75.62,13.27,0.00
0.112971,0.124480,0.020885,0.000000,79.09,13.27,0.00
0.117155,0.129642,0.020900,0.000000,82.37,13.28,0.00
0.121339,0.134804,0.020915,0.000000,85.65,13.29,0.00
0.125523,0.139705,0.021027,0.000000,88.77,13.36,0.00
0.129707,0.144606,0.021139,0.000000,91.88,13.43,0.00
0.133891,0.149026,0.021477,0.000000,94.69,13.65,0.00
0.138075,0.153441,0.021817,0.000000,97.49,13.86,0.00
0.142259,0.156105,0.022263,0.000000,99.19,14.15,0.00
0.146444,0.158770,0.022709,0.000000,100.88,14.43,0.00
0.150628,0.161133,0.023187,0.000000,102.38,14.73,0.00
0.154812,0.163497,0.023666,0.000000,103.88,15.04,0.00
0.158996,0.166311,0.024272,0.000000,105.67,15.42,0.00
0.163180,0.169130,0.024878,0.000000,107.46,15.81,0.00
0.167364,0.174446,0.026157,0.000000,110.84,16.62,0.00
0.171548,0.179767,0.027436,0.000000,114.22,17.43,0.00
0.175732,0.186275,0.028824,0.000000,118.36,18.31,0.00
0.179916,0.192787,0.030215,0.000011,122.49,19.20,0.01
0.184100,0.201880,0.032283,0.005640,128.27,20.51,3.27
0.188285,0.210976,0.034346,0.011279,134.05,21.82,6.54
0.192469,0.221192,0.035616,0.021517,140.54,22.63,12.48
0.196653,0.231407,0.036882,0.031756,147.03,23.43,18.42
0.200837,0.240094,0.036257,0.042502,152.55,23.04,24.66
0.205021,0.248781,0.035632,0.053250,158.07,22.64,30.89
0.209205,0.257455,0.034969,0.064329,163.58,22.22,37.32
0.213389,0.266128,0.034307,0.075407,169.09,21.80,43.74
0.217573,0.274407,0.033642,0.085532,174.35,21.38,49.62
0.221757,0.282680,0.032977,0.095651,179.61,20.95,55.49
0.225941,0.290173,0.032370,0.103270,184.37,20.57,59.91
0.230126,0.297660,0.031762,0.110885,189.13,20.18,64.32
0.234310,0.303982,0.031276,0.116130,193.15,19.87,67.37
0.238494,0.310304,0.030790,0.121373,197.16,19.56,70.41
0.242678,0.315240,0.030445,0.125271,200.30,19.34,72.67
0.246862,0.320172,0.030101,0.129165,203.43,19.13,74.93
0.251046,0.323263,0.029939,0.131303,205.40,19.02,76.17
0.255230,0.326354,0.029777,0.133438,207.36,18.92,77.41
0.259414,0.328499,0.029706,0.134091,208.72,18.87,77.79
0.263598,0.330638,0.029636,0.134744,210.08,18.83,78.17
0.267782,0.332060,0.029627,0.135535,210.99,18.82,78.62
0.271967,0.333483,0.029622,0.136325,211.89,18.82,79.08
0.276151,0.334422,0.029657,0.136457,212.49,18.84,79.16
0.280335,0.335360,0.029692,0.136589,213.08,18.87,79.24
0.284519,0.336040,0.029740,0.136702,213.52,18.90,79.30
0.288703,0.336720,0.029789,0.136817,213.95,18.93,79.37
0.292887,0.337446,0.029819,0.137476,214.41,18.95,79.75
0.297071,0.338172,0.029849,0.138141,214.87,18.97,80.14
0.301255,0.338457,0.029910,0.140607,215.05,19.00,81.57
0.305439,0.338743,0.029971,0.143088,215.23,19.04,83.01
0.309623,0.339232,0.029998,0.150217,215.54,19.06,87.14
0.313808,0.339727,0.030026,0.157344,215.86,19.08,91.28
0.317992,0.340955,0.029957,0.163606,216.64,19.03,94.91
0.322176,0.342184,0.029888,0.169871,217.42,18.99,98.54
0.326360,0.344309,0.029708,0.176845,218.77,18.88,102.59
