t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.000000,0.000000,-0.000000,0.000000,0.00,-0.00,0.00
0.004202,0.000614,-0.001109,0.000000,0.35,-0.62,0.00
0.008403,0.001765,-0.002132,0.000000,0.99,-1.20,0.00
0.012605,0.002915,-0.003155,0.000201,1.64,-1.78,0.12
0.016807,0.004525,-0.004141,0.000201,2.55,-2.33,0.12
0.021008,0.006134,-0.005127,0.000544,3.45,-2.89,0.32
0.025210,0.008120,-0.006079,0.000777,4.57,-3.42,0.46
0.029412,0.010105,-0.007030,0.001010,5.69,-3.96,0.60
0.033613,0.012567,-0.008024,0.001314,7.07,-4.52,0.78
0.037815,0.015028,-0.009018,0.001618,8.46,-5.08,0.96
0.042017,0.017987,-0.010028,0.001999,10.12,-5.64,1.18
0.046218,0.020945,-0.011038,0.002380,11.79,-6.21,1.41
0.050420,0.024336,-0.012296,0.002808,13.70,-6.92,1.66
0.054622,0.027727,-0.013555,0.003236,15.61,-7.63,1.91
0.058824,0.031586,-0.014956,0.003726,17.78,-8.42,2.20
0.063025,0.035528,-0.016387,0.004227,20.00,-9.22,2.50
0.067227,0.039796,-0.018024,0.004762,22.40,-10.15,2.82
0.071429,0.044068,-0.019663,0.005297,24.81,-11.07,3.13
0.075630,0.048620,-0.021481,0.005861,27.37,-12.09,3.47
0.079832,0.053171,-0.023299,0.006426,29.93,-13.11,3.80
0.084034,0.057722,-0.025117,0.006990,32.49,-14.14,4.13
0.088235,0.062274,-0.026935,0.007554,35.05,-15.16,4.47
0.092437,0.066747,-0.028583,0.008120,37.57,-16.09,4.80
0.096639,0.071216,-0.030229,0.008685,40.09,-17.02,5.13
0.100840,0.075549,-0.031546,0.009256,42.53,-17.76,5.47
0.105042,0.079874,-0.032853,0.009827,44.96,-18.49,5.81
0.109244,0.083984,-0.033786,0.010396,47.27,-19.02,6.15
0.113445,0.088083,-0.034713,0.010963,49.58,-19.54,6.48
0.117647,0.091600,-0.035481,0.011451,51.56,-19.97,6.77
0.121849,0.095101,-0.036253,0.011936,53.53,-20.41,7.06
0.126050,0.098026,-0.037125,0.012323,55.18,-20.90,7.29
0.130252,0.100941,-0.038004,0.012709,56.82,-21.39,7.51
0.134454,0.103343,-0.039069,0.012998,58.17,-21.99,7.68
0.138655,0.105752,-0.040164,0.013285,59.53,-22.61,7.85
0.142857,0.106938,-0.041158,0.013285,60.19,-23.17,7.85
0.147059,0.108125,-0.042151,0.013492,60.86,-23.73,7.98
0.151261,0.109311,-0.043145,0.013492,61.53,-24.29,7.98
0.155462,0.110529,-0.044106,0.013709,62.21,-24.83,8.11
0.159664,0.112338,-0.044438,0.013966,63.23,-25.01,8.26
0.163866,0.114335,-0.044640,0.014264,64.36,-25.13,8.43
0.168067,0.119999,-0.042189,0.015354,67.55,-23.75,9.08
0.172269,0.125724,-0.039717,0.016456,70.77,-22.36,9.73
0.176471,0.132690,-0.036914,0.017781,74.69,-20.78,10.51
0.180672,0.139601,-0.034141,0.019095,78.58,-19.22,11.29
0.184874,0.149313,-0.030082,0.024618,84.05,-16.93,14.55
0.189076,0.159088,-0.026053,0.030358,89.55,-14.66,17.95
0.193277,0.170204,-0.022661,0.040403,95.81,-12.76,23.89
0.197479,0.181256,-0.019383,0.050472,102.03,-10.91,29.84
0.201681,0.191039,-0.018390,0.061017,107.53,-10.35,36.08
0.205882,0.200823,-0.017397,0.071577,113.04,-9.79,42.32
0.210084,0.210599,-0.016450,0.082448,118.54,-9.26,48.75
0.214286,0.220353,-0.015509,0.093274,124.03,-8.73,55.15
0.218487,0.229687,-0.014646,0.103208,129.29,-8.24,61.02
0.222689,0.238975,-0.013787,0.113024,134.51,-7.76,66.82
0.226891,0.247423,-0.013009,0.120500,139.27,-7.32,71.24
0.231092,0.255809,-0.012240,0.127864,143.99,-6.89,75.60
0.235294,0.262935,-0.011553,0.133010,148.00,-6.50,78.64
0.239496,0.269988,-0.010875,0.138094,151.97,-6.12,81.65
0.243697,0.275541,-0.010305,0.141918,155.10,-5.80,83.91
0.247899,0.280997,-0.009741,0.145660,158.17,-5.48,86.12
0.252101,0.284467,-0.009326,0.147757,160.12,-5.25,87.36
0.256303,0.287886,-0.008912,0.149785,162.05,-5.02,88.56
0.260504,0.290285,-0.008577,0.150425,163.40,-4.83,88.94
0.264706,0.292645,-0.008243,0.151073,164.73,-4.64,89.32
0.268908,0.294230,-0.007977,0.151849,165.62,-4.49,89.78
0.273109,0.295790,-0.007710,0.152594,166.49,-4.34,90.22
0.277311,0.296827,-0.007492,0.152724,167.08,-4.22,90.30
0.281513,0.297852,-0.007274,0.152852,167.66,-4.09,90.37
0.285714,0.298596,-0.007089,0.152963,168.07,-3.99,90.44
0.289916,0.299348,-0.006901,0.153100,168.50,-3.88,90.52
0.294118,0.300150,-0.006724,0.153747,168.95,-3.78,90.90
0.298319,0.300925,-0.006550,0.154479,169.39,-3.69,91.33
0.302521,0.301228,-0.006424,0.156899,169.56,-3.62,92.76
0.306723,0.301544,-0.006299,0.159539,169.73,-3.55,94.32
0.310924,0.302083,-0.006177,0.166535,170.04,-3.48,98.46
0.315126,0.302661,-0.006052,0.173489,170.36,-3.41,102.57
0.319328,0.304042,-0.005888,0.179633,171.14,-3.31,106.20
0.323529,0.305470,-0.005720,0.185811,171.94,-3.22,109.86
0.327731,0.307867,-0.005508,0.192655,173.29,-3.10,113.90
0.331933,0.314546,-0.004990,0.220171,177.05,-2.81,130.17
0.336134,0.318358,-0.004796,0.240895,179.20,-2.70,142.42
0.340336,0.322156,-0.004606,0.261340,181.34,-2.59,154.51
0.344538,0.325669,-0.004485,0.281505,183.31,-2.52,166.44
0.348739,0.329169,-0.004367,0.301392,185.28,-2.46,178.19
0.352941,0.332425,-0.004336,0.320999,187.12,-2.44,189.79
0.357143,0.335681,-0.004304,0.340328,188.95,-2.42,201.21
0.361345,0.338937,-0.004272,0.359377,190.78,-2.40,212.48
0.365546,0.342198,-0.004243,0.378168,192.62,-2.39,223.59
0.369748,0.345420,-0.004304,0.396659,194.43,-2.42,234.52
0.373950,0.348641,-0.004365,0.414870,196.24,-2.46,245.28
0.378151,0.351887,-0.004428,0.432921,198.07,-2.49,255.96
0.382353,0.355121,-0.004489,0.450573,199.89,-2.53,266.39
0.386555,0.358557,-0.004592,0.467945,201.83,-2.58,276.66
0.390756,0.362009,-0.004698,0.485039,203.77,-2.64,286.77
0.394958,0.365713,-0.004823,0.501853,205.85,-2.71,296.71
0.399160,0.369429,-0.004949,0.518389,207.94,-2.79,306.49
0.403361,0.373375,-0.005119,0.534645,210.17,-2.88,316.10
0.407563,0.377329,-0.005288,0.550651,212.39,-2.98,325.56
0.411765,0.381275,-0.005458,0.566349,214.61,-3.07,334.84
0.415966,0.385222,-0.005629,0.581767,216.83,-3.17,343.96
0.420168,0.389168,-0.005800,0.596907,219.06,-3.26,352.91
0.424370,0.393124,-0.005976,0.611767,221.28,-3.36,361.70
0.428571,0.397229,-0.006219,0.626349,223.59,-3.50,370.32
0.432773,0.401407,-0.006466,0.640887,225.94,-3.64,378.91
0.436975,0.405512,-0.006708,0.654905,228.26,-3.78,387.20
0.441176,0.409617,-0.006951,0.668645,230.57,-3.91,395.32
0.445378,0.413722,-0.007194,0.682105,232.88,-4.05,403.28
0.449580,0.417836,-0.007442,0.695287,235.19,-4.19,411.08
0.453782,0.422106,-0.007736,0.708189,237.60,-4.35,418.70
0.457983,0.426376,-0.008030,0.720812,240.00,-4.52,426.17
0.462185,0.430645,-0.008323,0.733156,242.40,-4.69,433.47
0.466387,0.434915,-0.008617,0.745221,244.81,-4.85,440.60
0.470588,0.439185,-0.008910,0.757007,247.21,-5.02,447.57
0.474790,0.443466,-0.009205,0.768514,249.62,-5.18,454.37
0.478992,0.447921,-0.009536,0.779741,252.13,-5.37,461.01
0.483193,0.452375,-0.009867,0.790690,254.63,-5.55,467.48
0.487395,0.456830,-0.010198,0.801359,257.14,-5.74,473.79
0.491597,0.461285,-0.010528,0.811750,259.65,-5.93,479.93
0.495798,0.465739,-0.010859,0.821861,262.16,-6.11,485.91
0.500000,0.470194,-0.011190,0.831694,264.66,-6.30,491.72
0.504202,0.474648,-0.011521,0.841247,267.17,-6.49,497.37
0.508403,0.479103,-0.011852,0.850521,269.68,-6.67,502.86
0.512605,0.483557,-0.012183,0.859516,272.19,-6.86,508.17
0.516807,0.488012,-0.012514,0.868232,274.69,-7.04,513.33
0.521008,0.492466,-0.012845,0.876669,277.20,-7.23,518.32
0.525210,0.496921,-0.013176,0.884827,279.71,-7.42,523.14
0.529412,0.501394,-0.013486,0.892705,282.23,-7.59,527.80
0.533613,0.505881,-0.013792,0.900329,284.75,-7.76,532.30
0.537815,0.510354,-0.014102,0.907649,287.27,-7.94,536.63
0.542017,0.514827,-0.014412,0.914689,289.79,-8.11,540.79
0.546218,0.519299,-0.014722,0.921451,292.30,-8.29,544.79
0.550420,0.523772,-0.015033,0.927933,294.82,-8.46,548.62
0.554622,0.528245,-0.015343,0.934137,297.34,-8.64,552.29
0.558824,0.532718,-0.015653,0.940061,299.86,-8.81,555.79
0.563025,0.537190,-0.015963,0.945706,302.38,-8.99,559.13
0.567227,0.541663,-0.016273,0.951072,304.89,-9.16,562.30
0.571429,0.546136,-0.016583,0.956159,307.41,-9.33,565.31
0.575630,0.550609,-0.016893,0.960967,309.93,-9.51,568.15
0.579832,0.555081,-0.017203,0.965496,312.45,-9.68,570.83
0.584034,0.559554,-0.017513,0.969746,314.96,-9.86,573.35
0.588235,0.564046,-0.017822,0.973730,317.49,-10.03,575.70
0.592437,0.568532,-0.018121,0.977432,320.02,-10.20,577.89
0.596639,0.572997,-0.018314,0.980843,322.53,-10.31,579.91
0.600840,0.577462,-0.018507,0.983974,325.04,-10.42,581.76
0.605042,0.581926,-0.018700,0.986827,327.56,-10.53,583.44
0.609244,0.586432,-0.018898,0.989422,330.09,-10.64,584.98
0.613445,0.590897,-0.019091,0.991714,332.61,-10.75,586.33
0.617647,0.595362,-0.019284,0.993727,335.12,-10.85,587.52
0.621849,0.599827,-0.019477,0.995460,337.63,-10.96,588.55
0.626050,0.604292,-0.019670,0.996915,340.15,-11.07,589.41
0.630252,0.608757,-0.019864,0.998090,342.66,-11.18,590.10
0.634454,0.613254,-0.020044,0.998991,345.19,-11.28,590.64
0.638655,0.617708,-0.020093,0.999607,347.70,-11.31,591.00
0.642857,0.622161,-0.020142,0.999943,350.20,-11.34,591.20
0.647059,0.626615,-0.020191,1.000000,352.71,-11.37,591.23
0.651261,0.631069,-0.020241,0.999778,355.22,-11.39,591.10
0.655462,0.635522,-0.020290,0.999277,357.72,-11.42,590.81
0.659664,0.639976,-0.020339,0.998497,360.23,-11.45,590.34
0.663866,0.644430,-0.020388,0.997438,362.74,-11.48,589.72
0.668067,0.648884,-0.020425,0.996099,365.25,-11.50,588.93
0.672269,0.653332,-0.020333,0.994482,367.75,-11.45,587.97
0.676471,0.657798,-0.020240,0.992577,370.26,-11.39,586.84
0.680672,0.662246,-0.020148,0.990400,372.77,-11.34,585.56
0.684874,0.666693,-0.020055,0.987945,375.27,-11.29,584.11
0.689076,0.671140,-0.019963,0.985210,377.77,-11.24,582.49
0.693277,0.675586,-0.019852,0.982196,380.28,-11.17,580.71
0.697479,0.680023,-0.019604,0.978903,382.77,-11.03,578.76
0.701681,0.684464,-0.019358,0.975328,385.27,-10.90,576.65
0.705882,0.688901,-0.019110,0.971477,387.77,-10.76,574.37
0.710084,0.693396,-0.018858,0.967293,390.30,-10.61,571.90
0.714286,0.697833,-0.018610,0.962880,392.80,-10.48,569.29
0.718487,0.702268,-0.018355,0.958188,395.29,-10.33,566.51
0.722689,0.706697,-0.018033,0.953217,397.79,-10.15,563.57
0.726891,0.711125,-0.017712,0.947967,400.28,-9.97,560.47
0.731092,0.715554,-0.017390,0.942437,402.77,-9.79,557.20
0.735294,0.719983,-0.017069,0.936629,405.27,-9.61,553.77
0.739496,0.724412,-0.016747,0.930541,407.76,-9.43,550.17
0.743697,0.728841,-0.016426,0.924175,410.25,-9.25,546.40
0.747899,0.733270,-0.016105,0.917529,412.74,-9.07,542.47
0.752101,0.737698,-0.015783,0.910604,415.24,-8.88,538.38
0.756303,0.742127,-0.015462,0.903401,417.73,-8.70,534.12
0.760504,0.746595,-0.015138,0.895848,420.25,-8.52,529.65
0.764706,0.751024,-0.014816,0.888083,422.74,-8.34,525.06
0.768908,0.755507,-0.014488,0.879940,425.26,-8.16,520.25
0.773109,0.759935,-0.014167,0.871614,427.75,-7.97,515.33
0.777311,0.764364,-0.013845,0.863008,430.25,-7.79,510.24
0.781513,0.768793,-0.013524,0.854124,432.74,-7.61,504.99
0.785714,0.773222,-0.013203,0.844961,435.23,-7.43,499.57
0.789916,0.777651,-0.012881,0.835518,437.73,-7.25,493.99
0.794118,0.782080,-0.012560,0.825797,440.22,-7.07,488.24
0.798319,0.786509,-0.012238,0.815796,442.71,-6.89,482.33
0.802521,0.790937,-0.011917,0.805516,445.20,-6.71,476.25
0.806723,0.795366,-0.011595,0.794958,447.70,-6.53,470.00
0.810924,0.799795,-0.011274,0.784120,450.19,-6.35,463.60
0.815126,0.804224,-0.010953,0.773003,452.68,-6.17,457.02
0.819328,0.808653,-0.010631,0.761607,455.18,-5.98,450.29
0.823529,0.813082,-0.010310,0.749932,457.67,-5.80,443.38
0.827731,0.817510,-0.009988,0.737977,460.16,-5.62,436.32
0.831933,0.821939,-0.009667,0.725744,462.66,-5.44,429.08
0.836134,0.826368,-0.009346,0.713232,465.15,-5.26,421.69
0.840336,0.830797,-0.009024,0.700440,467.64,-5.08,414.12
0.844538,0.835226,-0.008703,0.687370,470.13,-4.90,406.40
0.848739,0.839655,-0.008381,0.674020,472.63,-4.72,398.50
0.852941,0.844083,-0.008060,0.660392,475.12,-4.54,390.44
0.857143,0.848512,-0.007738,0.646484,477.61,-4.36,382.22
0.861345,0.852941,-0.007417,0.632297,480.11,-4.17,373.83
0.865546,0.857370,-0.007096,0.617831,482.60,-3.99,365.28
0.869748,0.861799,-0.006774,0.603086,485.09,-3.81,356.56
0.873950,0.866228,-0.006453,0.588062,487.58,-3.63,347.68
0.878151,0.870656,-0.006131,0.572759,490.08,-3.45,338.63
0.882353,0.875085,-0.005810,0.557176,492.57,-3.27,329.42
0.886555,0.879526,-0.005489,0.541315,495.07,-3.09,320.04
0.890756,0.884024,-0.005145,0.525175,497.60,-2.90,310.50
0.894958,0.888522,-0.004801,0.508755,500.13,-2.70,300.79
0.899160,0.893021,-0.004457,0.492056,502.67,-2.51,290.92
0.903361,0.897519,-0.004113,0.475079,505.20,-2.31,280.88
0.907563,0.902017,-0.003768,0.457822,507.73,-2.12,270.68
0.911765,0.906542,-0.003421,0.440196,510.28,-1.93,260.26
0.915966,0.911040,-0.003077,0.422380,512.81,-1.73,249.72
0.920168,0.915592,-0.002726,0.404083,515.37,-1.53,238.91
0.924370,0.920090,-0.002382,0.385706,517.90,-1.34,228.04
0.928571,0.924588,-0.002038,0.367049,520.43,-1.15,217.01
0.932773,0.929086,-0.001694,0.348113,522.97,-0.95,205.82
0.936975,0.933585,-0.001349,0.328898,525.50,-0.76,194.46
0.941176,0.938083,-0.001005,0.309404,528.03,-0.57,182.93
0.945378,0.942581,-0.000661,0.289629,530.56,-0.37,171.24
0.949580,0.947079,-0.000317,0.269577,533.09,-0.18,159.38
0.953782,0.951562,0.000023,0.249246,535.62,0.01,147.36
0.957983,0.955969,0.000339,0.228635,538.10,0.19,135.18
0.962185,0.960376,0.000654,0.207746,540.58,0.37,122.83
0.966387,0.964782,0.000969,0.186578,543.06,0.55,110.31
0.970588,0.969189,0.001285,0.165130,545.54,0.72,97.63
0.974790,0.973596,0.001600,0.143403,548.02,0.90,84.78
0.978992,0.978002,0.001916,0.121398,550.50,1.08,71.77
0.983193,0.982409,0.002231,0.099113,552.98,1.26,58.60
0.987395,0.986815,0.002547,0.076549,555.46,1.43,45.26
0.991597,0.991222,0.002862,0.053706,557.94,1.61,31.75
0.995798,0.995629,0.003177,0.030584,560.42,1.79,18.08
1.000000,1.000000,0.000000,0.029420,562.88,0.00,17.39
