t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.003891,0.001462,-0.000221,0.000000,1.08,-0.16,0.00
0.007782,0.004233,-0.000655,0.000000,3.13,-0.48,0.00
0.011673,0.007145,-0.001120,0.000198,5.28,-0.83,0.15
0.015564,0.010613,-0.001707,0.000198,7.84,-1.26,0.15
0.019455,0.014036,-0.002300,0.000362,10.37,-1.70,0.27
0.023346,0.017262,-0.002924,0.000362,12.75,-2.16,0.27
0.027237,0.020401,-0.003541,0.000519,15.07,-2.62,0.39
0.031128,0.023200,-0.004118,0.000519,17.14,-3.04,0.39
0.035019,0.025999,-0.004695,0.000658,19.21,-3.47,0.50
0.038911,0.028799,-0.005272,0.000658,21.27,-3.89,0.50
0.042802,0.031598,-0.005849,0.000798,23.34,-4.32,0.60
0.046693,0.034397,-0.006427,0.000798,25.41,-4.75,0.60
0.050584,0.037197,-0.006974,0.000937,27.48,-5.15,0.70
0.054475,0.040003,-0.007402,0.000937,29.55,-5.47,0.70
0.058366,0.042809,-0.007831,0.000937,31.62,-5.78,0.70
0.062257,0.045615,-0.008259,0.001132,33.70,-6.10,0.85
0.066148,0.048415,-0.008647,0.001132,35.76,-6.39,0.85
0.070039,0.051202,-0.008877,0.001132,37.82,-6.56,0.85
0.073930,0.053989,-0.009108,0.001313,39.88,-6.73,0.99
0.077821,0.056791,-0.009339,0.001313,41.95,-6.90,0.99
0.081712,0.059578,-0.009569,0.001313,44.01,-7.07,0.99
0.085603,0.062365,-0.009799,0.001488,46.07,-7.24,1.12
0.089494,0.065153,-0.010029,0.001488,48.13,-7.41,1.12
0.093385,0.067940,-0.010260,0.001488,50.19,-7.58,1.12
0.097276,0.070728,-0.010460,0.001663,52.25,-7.73,1.25
0.101167,0.073527,-0.010535,0.001663,54.31,-7.78,1.25
0.105058,0.076326,-0.010610,0.001663,56.38,-7.84,1.25
0.108949,0.079124,-0.010684,0.001824,58.45,-7.89,1.37
0.112840,0.081931,-0.010714,0.001824,60.52,-7.91,1.37
0.116732,0.084768,-0.010561,0.001824,62.62,-7.80,1.37
0.120623,0.087611,-0.010366,0.001969,64.72,-7.66,1.48
0.124514,0.090484,-0.009998,0.001969,66.84,-7.39,1.48
0.128405,0.093350,-0.009471,0.001969,68.96,-7.00,1.48
0.132296,0.096177,-0.008332,0.001969,71.04,-6.15,1.48
0.136187,0.099032,-0.007024,0.001969,73.15,-5.19,1.48
0.140078,0.101996,-0.005058,0.001969,75.34,-3.74,1.48
0.143969,0.105073,-0.003062,0.001969,77.62,-2.26,1.48
0.147860,0.108589,-0.000963,0.001969,80.21,-0.71,1.48
0.151751,0.112235,0.001143,0.001969,82.91,0.84,1.48
0.155642,0.116385,0.003275,0.001969,85.97,2.42,1.48
0.159533,0.120648,0.005435,0.001969,89.12,4.01,1.48
0.163424,0.125348,0.007701,0.001969,92.59,5.69,1.48
0.167315,0.130198,0.009913,0.001969,96.17,7.32,1.48
0.171206,0.135622,0.011924,0.002130,100.18,8.81,1.60
0.175097,0.141801,0.013644,0.002130,104.75,10.08,1.60
0.178988,0.150902,0.014240,0.002336,111.47,10.52,1.76
0.182879,0.159738,0.014825,0.002479,118.00,10.95,1.86
0.186770,0.167559,0.015375,0.002479,123.77,11.36,1.86
0.190661,0.175381,0.015926,0.002730,129.55,11.76,2.05
0.194553,0.183203,0.016476,0.002730,135.33,12.17,2.05
0.198444,0.191041,0.017020,0.005086,141.12,12.57,3.83
0.202335,0.198926,0.017539,0.016563,146.94,12.96,12.46
0.206226,0.206815,0.018055,0.027948,152.77,13.34,21.02
0.210117,0.214719,0.018556,0.038975,158.61,13.71,29.32
0.214008,0.222620,0.019053,0.049911,164.45,14.07,37.55
0.217899,0.230516,0.019538,0.060491,170.28,14.43,45.50
0.221790,0.238423,0.020016,0.070981,176.12,14.79,53.40
0.225681,0.246296,0.020483,0.081033,181.93,15.13,60.96
0.229572,0.254197,0.020945,0.090942,187.77,15.47,68.41
0.233463,0.262208,0.021397,0.100304,193.69,15.81,75.45
0.237354,0.270450,0.021849,0.109459,199.78,16.14,82.34
0.241245,0.279561,0.022300,0.117818,206.51,16.47,88.63
0.245136,0.288799,0.022749,0.125817,213.33,16.80,94.65
0.249027,0.298535,0.023192,0.132436,220.52,17.13,99.63
0.252918,0.308303,0.023636,0.138459,227.74,17.46,104.16
0.256809,0.318191,0.024070,0.142199,235.04,17.78,106.97
0.260700,0.328011,0.024502,0.145558,242.30,18.10,109.50
0.264591,0.337579,0.024925,0.147462,249.36,18.41,110.93
0.268482,0.346982,0.025341,0.149147,256.31,18.72,112.20
0.272374,0.355755,0.025742,0.149994,262.79,19.02,112.83
0.276265,0.364265,0.026141,0.150690,269.08,19.31,113.36
0.280156,0.371773,0.026522,0.150810,274.62,19.59,113.45
0.284047,0.379066,0.026896,0.150814,280.01,19.87,113.45
0.287938,0.385545,0.027258,0.150376,284.80,20.13,113.12
0.291829,0.391969,0.027619,0.149840,289.54,20.40,112.72
0.295720,0.398186,0.027973,0.148931,294.13,20.66,112.03
0.299611,0.404401,0.028324,0.147923,298.72,20.92,111.28
0.303502,0.410599,0.028671,0.146540,303.30,21.18,110.24
0.307393,0.418903,0.029027,0.165267,309.44,21.44,124.32
0.311284,0.422310,0.029264,0.184858,311.95,21.62,139.06
0.315175,0.425717,0.029502,0.204216,314.47,21.79,153.62
0.319066,0.429124,0.029739,0.223342,316.99,21.97,168.01
0.322957,0.432530,0.029977,0.242235,319.50,22.14,182.22
0.326848,0.435937,0.030214,0.260896,322.02,22.32,196.26
0.330739,0.439344,0.030452,0.279324,324.54,22.49,210.12
0.334630,0.442751,0.030689,0.297519,327.05,22.67,223.81
0.338521,0.446152,0.030905,0.315482,329.57,22.83,237.32
0.342412,0.449528,0.031038,0.333212,332.06,22.93,250.66
0.346304,0.452904,0.031170,0.350710,334.55,23.02,263.82
0.350195,0.456294,0.031301,0.368047,337.06,23.12,276.87
0.354086,0.459670,0.031434,0.385078,339.55,23.22,289.68
0.357977,0.463046,0.031566,0.401876,342.04,23.32,302.31
0.361868,0.466421,0.031698,0.418442,344.54,23.41,314.78
0.365759,0.469797,0.031830,0.434776,347.03,23.51,327.06
0.369650,0.473173,0.031963,0.450876,349.52,23.61,339.18
0.373541,0.476549,0.032095,0.466744,352.02,23.71,351.11
0.377432,0.479933,0.032225,0.482429,354.52,23.80,362.91
0.381323,0.483309,0.032358,0.497831,357.01,23.90,374.50
0.385214,0.486685,0.032490,0.513001,359.51,24.00,385.91
0.389105,0.490061,0.032622,0.527938,362.00,24.10,397.15
0.392996,0.493432,0.032742,0.542642,364.49,24.19,408.21
0.396887,0.496789,0.032827,0.557113,366.97,24.25,419.09
0.400778,0.500145,0.032912,0.571352,369.45,24.31,429.80
0.404669,0.503502,0.032997,0.585358,371.93,24.37,440.34
0.408560,0.506858,0.033082,0.599132,374.41,24.44,450.70
0.412451,0.510232,0.033169,0.612747,376.90,24.50,460.94
0.416342,0.513591,0.033257,0.626075,379.38,24.57,470.97
0.420233,0.516947,0.033342,0.639149,381.86,24.63,480.80
0.424125,0.520304,0.033427,0.651990,384.34,24.69,490.46
0.428016,0.523660,0.033512,0.664599,386.82,24.75,499.95
0.431907,0.527011,0.033576,0.676975,389.29,24.80,509.26
0.435798,0.530353,0.033564,0.689118,391.76,24.79,518.39
0.439689,0.533694,0.033552,0.701029,394.23,24.78,527.35
0.443580,0.537036,0.033540,0.712707,396.70,24.78,536.14
0.447471,0.540378,0.033528,0.724153,399.17,24.77,544.75
0.451362,0.543720,0.033516,0.735366,401.64,24.76,553.18
0.455253,0.547061,0.033504,0.746346,404.10,24.75,561.44
0.459144,0.550403,0.033492,0.757093,406.57,24.74,569.53
0.463035,0.553740,0.033453,0.767608,409.04,24.71,577.44
0.466926,0.557071,0.033321,0.777891,411.50,24.61,585.17
0.470817,0.560402,0.033189,0.787940,413.96,24.52,592.73
0.474708,0.563732,0.033057,0.797758,416.42,24.42,600.12
0.478599,0.567063,0.032926,0.807342,418.88,24.32,607.33
0.482490,0.570393,0.032794,0.816694,421.34,24.22,614.36
0.486381,0.573724,0.032662,0.825813,423.80,24.13,621.22
0.490272,0.577055,0.032530,0.834699,426.26,24.03,627.91
0.494163,0.580377,0.032373,0.843353,428.71,23.91,634.42
0.498054,0.583683,0.032137,0.851775,431.16,23.74,640.75
0.501946,0.586988,0.031901,0.859963,433.60,23.56,646.91
0.505837,0.590293,0.031665,0.867919,436.04,23.39,652.90
0.509728,0.593650,0.031421,0.875760,438.52,23.21,658.80
0.513619,0.596955,0.031185,0.883247,440.96,23.04,664.43
0.517510,0.600264,0.030946,0.890510,443.40,22.86,669.89
0.521401,0.603569,0.030710,0.897532,445.85,22.69,675.18
0.525292,0.606875,0.030474,0.904320,448.29,22.51,680.28
0.529183,0.610180,0.030238,0.910877,450.73,22.34,685.21
0.533074,0.613480,0.029980,0.917202,453.17,22.15,689.97
0.536965,0.616756,0.029662,0.923293,455.59,21.91,694.55
0.540856,0.620093,0.029336,0.929255,458.05,21.67,699.04
0.544747,0.623370,0.029019,0.934877,460.47,21.44,703.27
0.548638,0.626646,0.028701,0.940265,462.89,21.20,707.32
0.552529,0.629923,0.028384,0.945422,465.31,20.97,711.20
0.556420,0.633199,0.028066,0.950345,467.73,20.73,714.90
0.560311,0.636476,0.027749,0.955036,470.15,20.50,718.43
0.564202,0.639752,0.027431,0.959494,472.57,20.26,721.79
0.568093,0.643029,0.027114,0.963720,474.99,20.03,724.97
0.571984,0.646305,0.026796,0.967713,477.41,19.79,727.97
0.575875,0.649581,0.026479,0.971473,479.83,19.56,730.80
0.579767,0.652858,0.026161,0.975001,482.26,19.32,733.45
0.583658,0.656134,0.025844,0.978296,484.68,19.09,735.93
0.587549,0.659405,0.025525,0.981358,487.09,18.86,738.24
0.591440,0.662659,0.025198,0.984188,489.50,18.61,740.36
0.595331,0.665914,0.024871,0.986785,491.90,18.37,742.32
0.599222,0.669168,0.024545,0.989150,494.30,18.13,744.10
0.603113,0.672422,0.024218,0.991282,496.71,17.89,745.70
0.607004,0.675676,0.023891,0.993181,499.11,17.65,747.13
0.610895,0.678931,0.023564,0.994848,501.51,17.41,748.38
0.614786,0.682185,0.023237,0.996282,503.92,17.16,749.46
0.618677,0.685439,0.022910,0.997483,506.32,16.92,750.36
0.622568,0.688693,0.022583,0.998452,508.73,16.68,751.09
0.626459,0.691948,0.022257,0.999188,511.13,16.44,751.65
0.630350,0.695202,0.021930,0.999691,513.53,16.20,752.03
0.634241,0.698456,0.021603,0.999962,515.94,15.96,752.23
0.638132,0.701710,0.021276,1.000000,518.34,15.72,752.26
0.642023,0.704965,0.020949,0.999806,520.75,15.47,752.11
0.645914,0.708219,0.020622,0.999378,523.15,15.23,751.79
0.649805,0.711473,0.020295,0.998719,525.55,14.99,751.29
0.653696,0.714803,0.019959,0.997803,528.01,14.74,750.61
0.657588,0.718055,0.019644,0.996672,530.42,14.51,749.75
0.661479,0.721307,0.019355,0.995309,532.82,14.30,748.73
0.665370,0.724558,0.019066,0.993713,535.22,14.08,747.53
0.669261,0.727809,0.018778,0.991885,537.62,13.87,746.15
0.673152,0.731061,0.018489,0.989824,540.02,13.66,744.60
0.677043,0.734312,0.018200,0.987530,542.42,13.44,742.88
0.680934,0.737563,0.017911,0.985004,544.83,13.23,740.98
0.684825,0.740815,0.017622,0.982245,547.23,13.02,738.90
0.688716,0.744066,0.017333,0.979254,549.63,12.80,736.65
0.692607,0.747318,0.017044,0.976029,552.03,12.59,734.23
0.696498,0.750551,0.016738,0.972573,554.42,12.36,731.63
0.700389,0.753743,0.016395,0.968883,556.78,12.11,728.85
0.704280,0.756934,0.016053,0.964961,559.13,11.86,725.90
0.708171,0.760126,0.015711,0.960806,561.49,11.61,722.77
0.712062,0.763317,0.015368,0.956419,563.85,11.35,719.47
0.715953,0.766509,0.015026,0.951799,566.21,11.10,716.00
0.719844,0.769701,0.014683,0.946946,568.56,10.85,712.35
0.723735,0.772892,0.014341,0.941861,570.92,10.59,708.52
0.727626,0.776084,0.013999,0.936543,573.28,10.34,704.52
0.731518,0.779276,0.013656,0.930993,575.64,10.09,700.35
0.735409,0.782467,0.013314,0.925209,578.00,9.83,696.00
0.739300,0.785659,0.012971,0.919194,580.35,9.58,691.47
0.743191,0.788850,0.012629,0.912945,582.71,9.33,686.77
0.747082,0.792042,0.012287,0.906464,585.07,9.08,681.90
0.750973,0.795222,0.011942,0.899750,587.42,8.82,676.84
0.754864,0.798372,0.011605,0.892804,589.74,8.57,671.62
0.758755,0.801521,0.011268,0.885625,592.07,8.32,666.22
0.762646,0.804670,0.010931,0.878213,594.40,8.07,660.64
0.766537,0.807820,0.010594,0.870569,596.72,7.83,654.89
0.770428,0.810969,0.010257,0.862692,599.05,7.58,648.97
0.774319,0.814119,0.009920,0.854583,601.38,7.33,642.87
0.778210,0.817268,0.009583,0.846240,603.70,7.08,636.59
0.782101,0.820418,0.009246,0.837666,606.03,6.83,630.14
0.785992,0.823567,0.008909,0.828858,608.35,6.58,623.52
0.789883,0.826716,0.008572,0.819818,610.68,6.33,616.71
0.793774,0.829866,0.008234,0.810545,613.01,6.08,609.74
0.797665,0.833013,0.007915,0.801040,615.33,5.85,602.59
0.801556,0.836152,0.007641,0.791302,617.65,5.64,595.26
0.805447,0.839292,0.007368,0.781331,619.97,5.44,587.76
0.809339,0.842431,0.007094,0.771128,622.29,5.24,580.09
0.813230,0.845571,0.006821,0.760692,624.61,5.04,572.24
0.817121,0.848711,0.006547,0.750023,626.93,4.84,564.21
0.821012,0.851850,0.006273,0.739122,629.25,4.63,556.01
0.824903,0.854990,0.006000,0.727988,631.57,4.43,547.64
0.828794,0.858130,0.005726,0.716622,633.89,4.23,539.08
0.832685,0.861269,0.005453,0.705023,636.21,4.03,530.36
0.836576,0.864409,0.005179,0.693191,638.52,3.83,521.46
0.840467,0.867549,0.004906,0.681127,640.84,3.62,512.38
0.844358,0.870688,0.004632,0.668830,643.16,3.42,503.13
0.848249,0.873852,0.004356,0.656210,645.50,3.22,493.64
0.852140,0.876997,0.004104,0.643446,647.82,3.03,484.04
0.856031,0.880177,0.003893,0.630362,650.17,2.88,474.20
0.859922,0.883334,0.003684,0.617132,652.50,2.72,464.24
0.863813,0.886490,0.003475,0.603668,654.84,2.57,454.11
0.867704,0.889646,0.003266,0.589972,657.17,2.41,443.81
0.871595,0.892803,0.003057,0.576043,659.50,2.26,433.33
0.875486,0.895959,0.002848,0.561882,661.83,2.10,422.68
0.879377,0.899115,0.002640,0.547488,664.16,1.95,411.85
0.883268,0.902272,0.002431,0.532862,666.49,1.80,400.85
0.887160,0.905428,0.002222,0.518002,668.82,1.64,389.67
0.891051,0.908584,0.002013,0.502910,671.16,1.49,378.32
0.894942,0.911741,0.001804,0.487586,673.49,1.33,366.79
0.898833,0.914908,0.001617,0.472029,675.83,1.19,355.09
0.902724,0.918107,0.001480,0.456239,678.19,1.09,343.21
0.906615,0.921305,0.001343,0.440217,680.55,0.99,331.16
0.910506,0.924504,0.001205,0.423962,682.92,0.89,318.93
0.914397,0.927702,0.001068,0.407474,685.28,0.79,306.53
0.918288,0.930901,0.000930,0.390754,687.64,0.69,293.95
0.922179,0.934099,0.000793,0.373801,690.00,0.59,281.19
0.926070,0.937298,0.000656,0.356615,692.37,0.48,268.27
0.929961,0.940496,0.000518,0.339197,694.73,0.38,255.16
0.933852,0.943695,0.000381,0.321546,697.09,0.28,241.89
0.937743,0.946905,0.000266,0.303663,699.46,0.20,228.43
0.941634,0.950156,0.000207,0.285547,701.86,0.15,214.80
0.945525,0.953407,0.000149,0.267198,704.27,0.11,201.00
0.949416,0.956659,0.000091,0.248616,706.67,0.07,187.02
0.953307,0.959910,0.000032,0.229802,709.07,0.02,172.87
0.957198,0.963161,-0.000026,0.210756,711.47,-0.02,158.54
0.961089,0.966478,-0.000086,0.191093,713.92,-0.06,143.75
0.964981,0.969729,-0.000144,0.171576,716.32,-0.11,129.07
0.968872,0.972981,-0.000203,0.151827,718.72,-0.15,114.21
0.972763,0.976232,-0.000261,0.131845,721.13,-0.19,99.18
0.976654,0.979504,-0.000299,0.111631,723.54,-0.22,83.98
0.980545,0.982817,-0.000279,0.091184,725.99,-0.21,68.59
0.984436,0.986131,-0.000260,0.070504,728.44,-0.19,53.04
0.988327,0.989450,-0.000240,0.049557,730.89,-0.18,37.28
0.992218,0.992763,-0.000221,0.028411,733.34,-0.16,21.37
0.996109,0.996076,-0.000202,0.007033,735.78,-0.15,5.29
1.000000,1.000000,0.000000,0.006429,738.68,0.00,4.84
