t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.000000,0.000000,-0.000000,0.000000,0.00,-0.00,0.00
0.003891,0.003083,0.002345,-0.000000,2.13,1.62,-0.00
0.007782,0.007069,0.004192,-0.000000,4.89,2.90,-0.00
0.011673,0.011055,0.006039,-0.000000,7.65,4.18,-0.00
0.015564,0.015430,0.007462,-0.000000,10.67,5.16,-0.00
0.019455,0.019805,0.008885,-0.000000,13.70,6.14,-0.00
0.023346,0.023050,0.009785,-0.000000,15.94,6.77,-0.00
0.027237,0.026295,0.010684,-0.000000,18.19,7.39,-0.00
0.031128,0.029764,0.011671,-0.000000,20.58,8.07,-0.00
0.035019,0.033233,0.012658,-0.000000,22.98,8.75,-0.00
0.038911,0.036702,0.013645,-0.000000,25.38,9.44,-0.00
0.042802,0.040171,0.014631,-0.000000,27.78,10.12,-0.00
0.046693,0.043874,0.015749,-0.000000,30.34,10.89,-0.00
0.050584,0.047577,0.016867,-0.000000,32.90,11.66,-0.00
0.054475,0.051540,0.017949,-0.000000,35.64,12.41,-0.00
0.058366,0.055503,0.019031,-0.000000,38.38,13.16,-0.00
0.062257,0.059792,0.020042,-0.000000,41.35,13.86,-0.00
0.066148,0.064082,0.021053,-0.000000,44.32,14.56,-0.00
0.070039,0.068603,0.021891,-0.000000,47.44,15.14,-0.00
0.073930,0.073124,0.022729,-0.000000,50.57,15.72,-0.00
0.077821,0.077873,0.023313,-0.000000,53.86,16.12,-0.00
0.081712,0.082623,0.023896,-0.000000,57.14,16.53,-0.00
0.085603,0.087374,0.024484,-0.000000,60.43,16.93,-0.00
0.089494,0.092124,0.025068,-0.000000,63.71,17.34,-0.00
0.093385,0.097478,0.025541,-0.000000,67.41,17.66,-0.00
0.097276,0.102831,0.026015,-0.000000,71.12,17.99,-0.00
0.101167,0.107837,0.026352,-0.000000,74.58,18.22,-0.00
0.105058,0.112842,0.026688,-0.000000,78.04,18.46,-0.00
0.108949,0.117572,0.027014,-0.000000,81.31,18.68,-0.00
0.112840,0.122301,0.027340,-0.000000,84.58,18.91,-0.00
0.116732,0.126787,0.027739,-0.000000,87.68,19.18,-0.00
0.120623,0.131273,0.028137,-0.000000,90.79,19.46,-0.00
0.124514,0.135302,0.028714,-0.000000,93.57,19.86,-0.00
0.128405,0.139331,0.029291,-0.000000,96.36,20.26,-0.00
