t_norm,x_progress,y_lateral,z_height,u_cm,v_cm,h_cm
0.000000,0.000000,0.000000,0.000000,0.00,0.00,0.00
0.003891,0.000499,-0.001090,-0.000000,0.30,-0.65,-0.00
0.007782,0.001513,-0.002137,-0.000000,0.90,-1.27,-0.00
0.011673,0.002528,-0.003184,-0.000000,1.50,-1.90,-0.00
0.015564,0.003974,-0.004224,0.000000,2.37,-2.51,0.00
0.019455,0.005420,-0.005264,0.000000,3.23,-3.13,0.00
0.023346,0.007225,-0.006302,0.000000,4.30,-3.75,0.00
0.027237,0.009029,-0.007340,0.000000,5.37,-4.37,0.00
0.031128,0.011280,-0.008450,0.000000,6.71,-5.03,0.00
0.035019,0.013531,-0.009560,0.000000,8.05,-5.69,0.00
0.038911,0.016253,-0.010719,0.000000,9.67,-6.38,0.00
0.042802,0.018975,-0.011878,0.000000,11.29,-7.07,0.00
0.046693,0.022087,-0.013306,0.000000,13.15,-7.92,0.00
0.050584,0.025195,-0.014731,0.000000,15.00,-8.77,0.00
0.054475,0.028739,-0.016321,0.000000,17.11,-9.71,0.00
0.058366,0.032283,-0.017911,0.000000,19.22,-10.66,0.00
0.062257,0.036190,-0.019755,0.000000,21.54,-11.76,0.00
0.066148,0.040098,-0.021598,0.000000,23.87,-12.86,0.00
0.070039,0.044263,-0.023632,0.000000,26.35,-14.07,0.00
0.073930,0.048429,-0.025665,0.000000,28.83,-15.28,0.00
0.077821,0.052595,-0.027699,0.000000,31.31,-16.49,0.00
0.081712,0.056761,-0.029732,0.000000,33.79,-17.70,0.00
0.085603,0.060864,-0.031602,0.000000,36.23,-18.81,0.00
0.089494,0.064968,-0.033472,0.000000,38.67,-19.92,0.00
0.093385,0.068956,-0.035021,0.000000,41.05,-20.85,0.00
0.097276,0.072947,-0.036566,0.000000,43.42,-21.77,0.00
0.101167,0.076754,-0.037733,0.000000,45.69,-22.46,0.00
0.105058,0.080561,-0.038900,0.000000,47.95,-23.16,0.00
0.108949,0.083825,-0.039873,0.000000,49.90,-23.73,0.00
0.112840,0.087085,-0.040843,0.000000,51.84,-24.31,0.00
