row,t0_s,frame,s_cm,s_norm,lat_cm,y_cm,speed_cm_s,vy_cm_s,total_cm
0,6.762,0,0.00,0.000000,0.00,0.00,,0.0,1785.15
1,6.762,1,41.28,0.023127,0.08,16.51,5085.7,2033.4,1785.15
2,6.762,2,82.50,0.046215,0.00,32.93,5194.6,2070.0,1785.15
3,6.762,3,123.69,0.069286,-0.08,49.27,4735.2,1878.9,1785.15
4,6.762,4,164.78,0.092307,-0.41,65.53,4792.5,1896.0,1785.15
5,6.762,5,205.84,0.115310,-0.74,81.71,5039.8,1985.3,1785.15
6,6.762,6,246.83,0.138269,-1.29,97.80,4831.5,1897.1,1785.15
7,6.762,7,287.78,0.161210,-1.84,113.82,5083.8,1987.4,1785.15
8,6.762,8,328.70,0.184132,-2.39,129.75,5003.9,1947.7,1785.15
9,6.762,9,369.59,0.207036,-2.93,145.59,4908.4,1902.1,1785.15
10,6.762,10,410.44,0.229921,-3.48,161.36,4977.5,1920.3,1785.15
11,6.762,11,451.26,0.252788,-4.03,177.04,4830.0,1855.1,1785.15
12,6.762,12,492.05,0.275637,-4.58,192.64,4879.1,1865.5,1785.15
13,6.762,13,532.81,0.298467,-5.13,208.15,4857.6,1848.9,1785.15
14,6.762,14,573.57,0.321304,-5.46,223.59,4949.0,1873.2,1785.15
15,6.762,15,614.31,0.344122,-5.79,238.94,4785.7,1803.0,1785.15
16,6.762,16,655.06,0.366953,-5.87,254.21,4893.7,1832.8,1785.15
17,6.762,17,695.79,0.389765,-5.95,269.40,4750.7,1771.0,1785.15
18,6.762,18,736.51,0.412578,-5.87,284.50,5115.3,1896.3,1785.15
19,6.762,19,777.20,0.435372,-5.79,299.52,4833.7,1783.5,1785.15
20,6.762,20,817.86,0.458148,-5.71,314.46,5088.2,1868.4,1785.15
21,6.762,21,858.49,0.480906,-5.63,329.32,4690.5,1714.2,1785.15
22,6.762,22,899.08,0.503645,-5.55,344.09,5100.1,1854.9,1785.15
23,6.762,23,939.64,0.526366,-5.47,358.79,4586.7,1660.1,1785.15
24,6.762,24,980.17,0.549068,-5.39,373.39,5015.7,1806.5,1785.15
25,6.762,25,1020.66,0.571752,-5.31,387.92,4709.9,1688.0,1785.15
26,6.762,26,1061.12,0.594417,-5.23,402.37,5164.3,1841.7,1785.15
27,6.762,27,1101.55,0.617064,-5.15,416.73,4822.8,1711.3,1785.15
28,6.762,28,1141.94,0.639692,-5.07,431.01,4784.5,1689.2,1785.15
29,6.762,29,1182.31,0.662302,-4.99,445.20,4798.4,1685.5,1785.15
30,6.762,30,1222.64,0.684894,-4.91,459.32,4865.5,1700.4,1785.15
31,6.762,31,1262.93,0.707467,-4.83,473.35,4880.0,1696.7,1785.15
32,6.762,32,1303.20,0.730022,-4.75,487.30,4840.8,1674.3,1785.15
