trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-61.84,-0.00,261.13
0,1,0.00790,-0.76,0.00,2.19,-95.75,0.00,277.22
0,2,0.01614,-2.34,0.00,4.70,-191.85,-0.00,304.81
0,3,0.02448,-4.16,0.00,7.04,-218.68,0.00,280.95
0,4,0.03284,-6.41,0.00,9.30,-269.71,-0.00,269.71
0,5,0.04117,-8.67,-0.04,11.55,-270.70,-4.83,270.70
0,6,0.04941,-10.90,-0.16,13.51,-271.11,-14.52,237.41
0,7,0.05859,-13.14,-0.52,15.47,-243.19,-39.36,212.96
0,8,0.06635,-15.02,-0.74,16.83,-242.91,-28.13,175.98
0,9,0.07455,-16.89,-0.96,18.18,-227.51,-26.32,164.31
0,10,0.08282,-18.05,-1.07,18.63,-140.96,-14.14,54.24
0,11,0.09174,-19.22,-1.19,19.07,-130.48,-13.00,49.32
0,12,0.09952,-19.83,-1.20,18.25,-78.43,-1.52,-104.71
0,13,0.10785,-20.44,-1.21,17.43,-73.26,-1.43,-98.53
0,14,0.11621,-20.88,-1.16,15.45,-52.55,6.76,-237.23
0,15,0.12451,-21.32,-1.10,13.46,-52.94,6.80,-239.71
0,16,0.13281,-21.60,-0.99,10.68,-33.82,12.88,-335.29
0,17,0.14139,-21.88,-0.88,7.89,-32.74,12.49,-324.91
0,18,0.15018,-22.01,-0.75,4.68,-15.28,15.75,-365.28
0,19,0.15784,-22.14,-0.61,1.47,-17.13,18.23,-419.12
0,20,0.16620,-22.14,-0.45,-1.80,0.36,18.22,-390.51
0,21,0.17468,-22.14,-0.30,-5.06,0.36,17.96,-384.89
0,22,0.18286,-22.01,-0.15,-8.02,15.67,18.17,-361.19
0,23,0.19119,-21.88,-0.03,-10.97,15.75,14.80,-354.21
0,24,0.19952,-21.57,0.02,-13.79,37.00,6.55,-339.19
0,25,0.20865,-21.26,0.02,-16.62,34.11,-0.68,-309.70
0,26,0.21625,-20.75,-0.04,-19.74,67.07,-7.93,-410.04
0,27,0.22461,-20.24,0.00,-22.84,60.95,5.04,-371.17
0,28,0.23285,-19.60,0.00,-26.17,77.78,-0.00,-403.70
0,29,0.24142,-18.95,0.05,-29.50,75.09,6.03,-388.61
0,30,0.25015,-18.19,0.00,-33.17,87.06,-5.93,-420.63
0,31,0.25806,-17.43,0.00,-36.84,96.53,0.00,-464.86
0,32,0.26627,-16.57,0.00,-40.74,105.20,-0.00,-475.09
0,33,0.27466,-15.70,0.00,-44.64,102.91,0.00,-464.73
0,34,0.28290,-14.81,0.00,-48.38,108.89,-0.00,-453.70
0,35,0.29138,-13.91,0.00,-52.13,105.76,0.00,-441.37
0,36,0.29956,-12.91,0.00,-56.22,122.01,-0.00,-500.00
0,37,0.30856,-11.91,0.00,-60.31,110.85,0.00,-454.58
0,38,0.31635,-10.83,0.00,-64.71,139.22,-0.00,-565.49
0,39,0.32468,-9.75,0.00,-69.10,130.04,0.00,-526.74
0,40,0.33289,-9.75,0.00,-69.10,0.00,-0.00,0.00
0,41,0.34189,-9.75,0.00,-69.10,0.00,0.00,0.00
0,42,0.34967,-10.77,0.00,-68.77,-131.76,-0.00,41.57
0,43,0.35794,-14.50,0.00,-67.61,-450.18,0.00,140.59
0,44,0.36636,-18.62,0.00,-66.34,-489.13,-0.00,150.72
0,45,0.37463,-22.64,0.00,-65.12,-486.72,0.00,147.60
0,46,0.38297,-25.48,0.00,-67.48,-340.66,-0.00,-283.15
0,47,0.39206,-27.93,0.07,-70.00,-269.13,8.08,-277.18
0,48,0.40018,-30.96,-0.08,-70.43,-373.68,-18.38,-52.63
0,49,0.40793,-33.65,-0.40,-70.82,-346.85,-41.84,-50.79
0,50,0.41635,-39.22,-0.95,-68.74,-660.87,-64.94,247.46
0,51,0.42465,-45.81,-1.57,-66.32,-794.85,-74.93,291.18
0,52,0.43295,-48.87,-1.86,-64.83,-368.38,-34.65,180.15
0,53,0.44135,-50.21,-1.98,-63.86,-159.27,-14.95,114.91
0,54,0.44965,-50.53,-2.01,-63.10,-38.97,-3.65,91.91
0,55,0.45822,-50.33,-1.99,-62.49,23.49,2.34,70.82
0,56,0.46652,-50.16,-1.98,-61.88,20.22,1.89,73.90
0,57,0.47476,-50.05,-1.97,-61.25,13.70,1.37,75.93
0,58,0.48309,-49.83,-1.94,-60.81,26.01,2.47,53.48
0,59,0.49152,-49.67,-1.93,-60.35,19.57,1.91,54.35
0,60,0.50034,-49.42,-1.91,-59.92,28.03,2.67,49.13
0,61,0.50815,-49.64,-1.93,-59.36,-28.12,-2.59,71.09
