trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-73.33,16.06,-149.63
0,1,0.00909,-0.60,0.13,-1.23,-66.44,14.46,-135.57
0,2,0.01746,-1.35,0.29,-2.76,-89.78,19.51,-182.12
0,3,0.02515,-2.05,0.45,-4.17,-90.48,19.67,-184.13
0,4,0.03351,-2.65,0.58,-5.45,-71.17,16.37,-152.55
0,5,0.04187,-3.22,0.72,-6.70,-68.98,16.01,-149.64
0,6,0.05042,-3.56,0.81,-7.58,-39.29,11.06,-103.21
0,7,0.05865,-3.88,0.90,-8.44,-39.26,11.19,-104.81
0,8,0.06702,-4.05,0.97,-9.07,-20.07,7.96,-74.82
0,9,0.07532,-4.21,1.04,-9.68,-19.49,7.87,-73.53
0,10,0.08362,-4.28,1.08,-10.10,-8.09,5.46,-50.74
0,11,0.09204,-4.35,1.13,-10.52,-7.97,5.33,-50.00
0,12,0.10065,-4.41,1.17,-10.94,-7.80,5.22,-48.94
0,13,0.10944,-4.48,1.21,-11.35,-7.64,5.01,-46.53
0,14,0.11713,-4.54,1.24,-11.60,-7.54,3.37,-32.14
0,15,0.12555,-4.59,1.27,-11.83,-6.16,2.97,-27.54
0,16,0.13397,-4.61,1.27,-11.91,-1.81,0.99,-9.42
0,17,0.14227,-4.62,1.28,-11.99,-1.84,1.05,-9.56
0,18,0.15070,-4.64,1.29,-12.07,-1.81,0.99,-9.42
0,19,0.15967,-4.66,1.30,-12.14,-2.38,0.78,-7.48
0,20,0.16724,-4.75,1.29,-12.08,-12.50,-0.79,7.26
0,21,0.17566,-4.86,1.29,-12.02,-12.68,-0.78,7.61
0,22,0.18427,-5.08,1.27,-11.86,-26.24,-1.93,18.09
0,23,0.19238,-5.32,1.25,-11.69,-28.57,-2.16,20.68
0,24,0.20074,-5.60,1.22,-11.41,-33.58,-3.62,33.94
0,25,0.20905,-5.88,1.19,-11.13,-33.82,-3.56,34.19
0,26,0.21802,-6.16,1.16,-10.84,-31.29,-3.33,31.63
0,27,0.22650,-6.43,1.13,-10.55,-32.01,-3.73,34.89
0,28,0.23407,-6.63,1.09,-10.15,-25.81,-5.56,52.42
0,29,0.24261,-6.81,1.04,-9.75,-21.79,-5.01,46.79
0,30,0.25085,-6.95,0.99,-9.26,-17.04,-6.26,59.26
0,31,0.25989,-7.09,0.94,-8.76,-14.86,-5.97,56.08
0,32,0.26764,-7.19,0.87,-8.14,-13.78,-8.47,79.92
0,33,0.27600,-7.28,0.81,-7.50,-10.58,-8.10,75.55
0,34,0.28448,-7.26,0.73,-6.78,2.16,-9.10,85.61
0,35,0.29266,-7.22,0.65,-6.04,5.60,-9.65,90.30
0,36,0.30115,-6.98,0.56,-5.22,27.70,-10.24,96.04
0,37,0.30933,-6.70,0.47,-4.39,34.33,-10.95,102.24
0,38,0.31830,-6.11,0.37,-3.41,66.33,-11.68,109.18
0,39,0.32684,-5.45,0.26,-2.39,76.43,-12.77,118.93
0,40,0.33435,-4.51,0.14,-1.26,125.61,-16.18,150.41
0,41,0.34277,-3.54,0.02,-0.14,114.86,-14.26,132.97
0,42,0.35126,-2.39,-0.10,1.00,136.33,-14.45,134.53
0,43,0.36029,-1.21,-0.23,2.12,130.07,-13.39,124.66
0,44,0.36786,0.09,-0.34,3.19,171.37,-15.23,141.13
0,45,0.37634,1.36,-0.45,4.21,150.36,-12.85,119.42
0,46,0.38470,2.65,-0.54,5.05,153.65,-10.93,101.46
0,47,0.39313,3.91,-0.63,5.84,150.36,-10.15,93.84
0,48,0.40137,5.09,-0.68,6.38,143.33,-7.00,64.44
0,49,0.40967,6.24,-0.73,6.83,137.87,-5.96,54.78
0,50,0.41864,7.21,-0.75,6.93,108.16,-1.32,11.22
0,51,0.42700,8.13,-0.75,6.94,110.22,-0.15,0.73
0,52,0.43469,8.82,-0.70,6.50,89.29,6.01,-57.14
0,53,0.44318,9.49,-0.65,5.99,79.50,6.34,-60.07
0,54,0.45142,10.14,-0.56,5.15,78.52,10.77,-101.85
0,55,0.46051,10.78,-0.47,4.27,71.14,10.26,-96.64
0,56,0.46820,11.44,-0.35,3.18,85.71,15.11,-142.06
0,57,0.47662,12.06,-0.23,2.07,73.19,13.90,-131.52
0,58,0.48486,12.59,-0.09,0.78,64.44,16.61,-155.93
0,59,0.49329,13.04,0.05,-0.60,52.90,17.41,-164.13
0,60,0.50171,13.17,0.24,-2.34,15.22,22.07,-206.52
0,61,0.51007,13.10,0.44,-4.27,-7.66,24.58,-230.66
0,62,0.51892,12.33,0.72,-6.90,-87.24,31.74,-297.24
0,63,0.52728,11.45,1.02,-9.65,-105.11,35.18,-328.83
0,64,0.53503,10.25,1.34,-12.66,-155.12,41.55,-388.58
0,65,0.54358,9.00,1.66,-15.66,-146.43,37.59,-351.43
0,66,0.55176,7.57,1.98,-18.63,-173.88,38.89,-363.06
0,67,0.56042,6.13,2.30,-21.63,-166.90,37.00,-345.77
0,68,0.56854,4.61,2.63,-24.71,-187.59,40.64,-379.70
0,69,0.57697,3.10,2.96,-27.81,-178.26,39.44,-368.12
0,70,0.58533,1.67,3.26,-30.97,-171.53,35.65,-377.37
0,71,0.59381,0.32,3.46,-33.96,-158.63,23.46,-352.88
0,72,0.60205,-0.71,3.35,-36.39,-125.93,-13.27,-295.19
0,73,0.61041,-1.67,3.39,-38.67,-113.87,4.17,-272.26
0,74,0.61945,-2.33,3.26,-40.42,-73.65,-13.82,-193.58
