trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-154.65,-7.30,-454.35
0,1,0.00885,-1.21,-0.04,-3.46,-136.21,-4.22,-391.03
0,2,0.01671,-2.00,-0.06,-5.91,-100.97,-3.11,-312.23
0,3,0.02497,-2.79,-0.09,-8.37,-96.03,-2.93,-296.95
0,4,0.03301,-3.73,-0.12,-10.74,-116.13,-3.67,-294.50
0,5,0.04146,-4.66,-0.14,-13.10,-110.57,-3.49,-280.40
0,6,0.04977,-5.59,-0.17,-15.47,-112.29,-3.57,-284.77
0,7,0.05819,-6.53,-0.20,-17.84,-110.97,-3.48,-281.41
0,8,0.06660,-7.47,-0.23,-19.99,-112.42,-3.61,-255.67
0,9,0.07493,-8.42,-0.26,-22.14,-113.66,-3.67,-258.48
0,10,0.08298,-9.32,-0.29,-24.04,-112.12,-3.63,-234.85
0,11,0.09169,-10.23,-0.32,-25.93,-103.77,-3.34,-217.35
0,12,0.09986,-11.05,-0.35,-27.48,-101.21,-3.32,-189.73
0,13,0.10809,-11.88,-0.38,-29.03,-100.46,-3.30,-188.32
0,14,0.11668,-12.77,-0.41,-30.26,-103.37,-3.51,-142.81
0,15,0.12492,-13.66,-0.44,-31.48,-107.78,-3.63,-148.89
0,16,0.13332,-14.69,-0.47,-32.48,-122.80,-4.24,-118.44
0,17,0.14176,-15.72,-0.51,-33.47,-122.24,-4.22,-117.90
0,18,0.15009,-16.77,-0.55,-34.26,-126.12,-4.43,-94.96
0,19,0.15859,-17.82,-0.58,-35.05,-123.41,-4.31,-92.91
0,20,0.16689,-18.77,-0.62,-35.67,-114.34,-3.99,-73.90
0,21,0.17476,-19.72,-0.65,-36.28,-120.66,-4.26,-77.98
0,22,0.18307,-20.44,-0.67,-36.74,-86.97,-3.05,-55.78
0,23,0.19161,-21.16,-0.70,-37.21,-84.72,-2.97,-54.33
0,24,0.19975,-21.54,-0.71,-37.55,-46.53,-1.62,-42.03
0,25,0.20818,-21.92,-0.73,-37.89,-44.85,-1.56,-40.51
0,26,0.21663,-21.90,-0.72,-38.10,2.89,0.15,-24.93
0,27,0.22511,-21.87,-0.72,-38.31,2.88,0.15,-24.84
0,28,0.23317,-21.58,-0.71,-38.47,35.95,1.33,-19.68
0,29,0.24163,-21.29,-0.70,-38.63,34.27,1.31,-18.76
0,30,0.24975,-20.83,-0.68,-38.82,57.14,2.12,-24.06
0,31,0.25835,-20.36,-0.67,-39.02,53.95,1.97,-22.72
0,32,0.26649,-19.90,-0.65,-39.22,56.93,2.11,-23.97
0,33,0.27543,-19.44,-0.63,-39.41,51.92,1.94,-21.86
0,34,0.28320,-18.95,-0.62,-39.57,62.48,2.30,-20.43
0,35,0.29148,-18.47,-0.60,-39.73,58.56,2.18,-19.15
0,36,0.29977,-17.98,-0.58,-39.89,58.56,2.16,-19.15
0,37,0.30819,-17.50,-0.56,-40.05,57.61,2.13,-18.84
0,38,0.31673,-17.15,-0.55,-40.11,40.04,1.46,-7.86
0,39,0.32498,-16.81,-0.54,-40.18,41.40,1.53,-8.13
0,40,0.33305,-16.63,-0.53,-40.11,22.71,0.81,8.33
0,41,0.34153,-16.45,-0.52,-40.05,21.58,0.77,7.91
0,42,0.35007,-16.36,-0.52,-39.81,10.00,0.30,27.50
0,43,0.35828,-16.28,-0.52,-39.58,10.42,0.33,28.65
0,44,0.36679,-16.19,-0.51,-39.34,10.04,0.34,27.60
0,45,0.37489,-16.10,-0.51,-39.11,10.56,0.31,29.03
0,46,0.38311,-16.02,-0.51,-38.72,10.39,0.29,46.38
0,47,0.39149,-15.93,-0.51,-38.34,10.20,0.27,45.54
0,48,0.40002,-15.85,-0.50,-37.96,10.02,0.33,44.72
0,49,0.40833,-15.76,-0.50,-37.58,10.28,0.27,45.87
0,50,0.41692,-15.68,-0.50,-37.20,9.96,0.26,44.44
0,51,0.42515,-15.59,-0.50,-36.82,10.38,0.32,46.34
0,52,0.43324,-15.50,-0.50,-36.34,11.69,0.32,58.81
0,53,0.44165,-15.40,-0.49,-35.86,11.25,0.29,56.62
0,54,0.44982,-15.31,-0.49,-35.39,11.58,0.34,58.26
0,55,0.45834,-15.21,-0.49,-34.91,11.10,0.29,55.86
0,56,0.46675,-15.12,-0.49,-34.44,11.25,0.29,56.62
0,57,0.47498,-15.02,-0.48,-33.96,11.50,0.34,57.88
0,58,0.48313,-14.95,-0.48,-33.41,8.98,0.19,66.98
0,59,0.49165,-14.88,-0.48,-32.87,8.59,0.20,64.10
0,60,0.49981,-14.80,-0.48,-32.32,8.98,0.19,66.98
0,61,0.50815,-14.73,-0.48,-31.77,8.78,0.18,65.51
0,62,0.51657,-14.66,-0.47,-31.23,8.70,0.20,64.86
0,63,0.52511,-14.58,-0.47,-30.68,8.58,0.18,63.99
0,64,0.53331,-14.51,-0.47,-30.06,9.30,0.22,76.28
