trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-796.52,-357.73,-490.09
0,1,0.00801,-6.98,-3.30,-4.31,-871.62,-412.40,-537.90
0,2,0.01646,-13.96,-6.77,-8.62,-825.99,-410.33,-509.75
0,3,0.02469,-20.95,-10.41,-12.93,-848.98,-441.81,-523.93
0,4,0.03331,-27.97,-14.20,-17.31,-814.87,-440.62,-508.67
0,5,0.04134,-35.00,-18.17,-21.70,-875.29,-493.85,-546.39
0,6,0.04977,-42.02,-22.30,-26.08,-832.55,-489.29,-519.71
0,7,0.05856,-49.05,-26.59,-30.47,-799.31,-488.53,-498.96
0,8,0.06641,-56.07,-31.05,-34.85,-895.72,-568.49,-559.14
0,9,0.07455,-63.10,-35.67,-39.24,-862.17,-567.45,-538.20
0,10,0.08295,-70.04,-40.46,-43.65,-827.64,-570.60,-525.09
0,11,0.09149,-76.99,-45.42,-48.05,-812.86,-579.72,-515.71
0,12,0.09964,-83.91,-50.53,-52.57,-849.81,-628.20,-553.93
0,13,0.10815,-90.84,-55.82,-57.08,-813.26,-620.56,-530.11
0,14,0.11635,-97.81,-61.27,-61.80,-850.65,-664.96,-575.79
0,15,0.12469,-104.78,-66.88,-66.52,-835.10,-672.58,-565.27
0,16,0.13298,-111.75,-72.66,-71.23,-841.25,-697.44,-569.43
0,17,0.14174,-118.72,-78.60,-75.95,-795.82,-678.61,-538.68
0,18,0.14989,-125.74,-84.71,-80.67,-861.05,-749.70,-579.03
0,19,0.15828,-132.75,-90.98,-85.39,-836.00,-747.55,-562.18
0,20,0.16634,-139.77,-97.42,-90.11,-870.83,-799.18,-585.61
0,21,0.17450,-146.78,-104.03,-94.82,-859.44,-808.94,-577.94
0,22,0.18295,-153.83,-110.80,-99.34,-833.21,-800.71,-533.94
0,23,0.19138,-160.87,-117.73,-103.85,-836.23,-823.21,-535.87
0,24,0.19962,-167.91,-124.83,-108.36,-854.81,-861.52,-547.78
0,25,0.20810,-174.96,-132.09,-112.88,-830.22,-856.18,-532.01
0,26,0.21652,-182.00,-139.52,-117.39,-836.23,-881.97,-535.87
0,27,0.22493,-189.04,-147.11,-121.91,-837.75,-903.20,-536.84
0,28,0.23334,-196.24,-154.87,-126.45,-855.90,-922.82,-540.11
0,29,0.24124,-203.44,-162.80,-130.99,-910.42,-1002.49,-574.52
0,30,0.24989,-210.82,-170.89,-135.59,-853.26,-934.93,-532.28
0,31,0.25845,-218.20,-179.14,-140.20,-862.39,-964.20,-537.97
0,32,0.26646,-225.83,-187.56,-144.84,-952.38,-1050.92,-579.05
0,33,0.27470,-233.46,-196.14,-149.48,-925.93,-1041.75,-562.96
0,34,0.28300,-241.09,-204.89,-154.11,-919.12,-1053.97,-558.82
0,35,0.29134,-248.72,-213.80,-158.75,-915.75,-1069.91,-556.78
0,36,0.30006,-256.28,-222.88,-163.55,-866.43,-1040.18,-549.65
0,37,0.30809,-263.84,-232.13,-168.35,-942.21,-1151.71,-597.72
0,38,0.31645,-271.12,-241.54,-173.42,-870.44,-1125.21,-606.57
0,39,0.32481,-278.40,-251.11,-178.49,-870.44,-1144.94,-606.57
0,40,0.33299,-285.17,-260.85,-184.26,-827.99,-1190.75,-705.60
0,41,0.34146,-291.94,-270.75,-190.03,-799.64,-1169.47,-681.44
0,42,0.34966,-298.59,-280.82,-195.47,-811.55,-1228.80,-664.06
0,43,0.35857,-305.24,-291.05,-200.92,-746.23,-1148.43,-610.62
0,44,0.36642,-312.05,-301.45,-205.46,-866.02,-1323.29,-577.86
0,45,0.37485,-318.85,-312.02,-210.00,-807.97,-1254.18,-539.13
0,46,0.38309,-325.65,-322.75,-214.14,-824.81,-1302.08,-503.33
0,47,0.39177,-332.45,-333.64,-218.29,-782.78,-1254.72,-477.68
0,48,0.39966,-339.07,-344.70,-222.31,-839.46,-1401.83,-509.48
0,49,0.40807,-345.69,-355.92,-226.33,-787.66,-1334.96,-478.04
0,50,0.41626,-352.17,-367.31,-230.31,-791.06,-1389.90,-485.29
0,51,0.42479,-358.65,-378.86,-234.28,-759.93,-1354.54,-466.19
0,52,0.43297,-365.14,-390.58,-238.26,-792.54,-1432.84,-486.19
0,53,0.44133,-371.62,-402.47,-242.24,-775.18,-1421.20,-475.55
0,54,0.44965,-378.10,-414.52,-246.21,-779.45,-1448.86,-478.17
0,55,0.45810,-384.58,-426.73,-250.19,-766.79,-1444.84,-470.40
0,56,0.46635,-391.03,-439.11,-254.09,-780.78,-1499.55,-472.09
0,57,0.47467,-397.47,-451.65,-257.98,-775.05,-1508.39,-468.62
0,58,0.48296,-403.92,-464.36,-261.88,-777.90,-1533.86,-470.35
0,59,0.49124,-410.36,-477.24,-265.78,-777.90,-1553.77,-470.35
0,60,0.49969,-416.81,-490.27,-269.67,-762.45,-1542.44,-461.01
0,61,0.50847,-423.36,-503.69,-273.64,-746.78,-1529.18,-451.48
0,62,0.51653,-429.81,-517.06,-277.53,-800.00,-1659.68,-483.71
