trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-26.81,-2.26,88.77
0,1,0.00891,-0.23,-0.02,0.75,-25.34,-2.13,83.90
0,2,0.01666,-0.46,-0.04,1.53,-30.31,-2.56,100.79
0,3,0.02490,-0.69,-0.06,2.27,-27.78,-2.31,90.37
0,4,0.03320,-1.02,-0.08,2.94,-39.71,-2.51,79.78
0,5,0.04224,-1.35,-0.10,3.59,-36.49,-2.29,72.30
0,6,0.05066,-1.71,-0.12,4.06,-43.12,-2.23,56.16
0,7,0.05835,-2.08,-0.14,4.52,-47.62,-2.43,59.52
0,8,0.06671,-2.45,-0.15,4.70,-44.89,-1.71,21.53
0,9,0.07526,-2.83,-0.17,4.85,-44.29,-1.65,17.50
0,10,0.08344,-3.26,-0.17,4.36,-52.61,-0.67,-59.70
0,11,0.09235,-3.70,-0.18,3.85,-48.63,-0.57,-57.88
0,12,0.10022,-4.22,-0.17,2.73,-66.67,0.25,-141.86
0,13,0.10931,-4.75,-0.17,1.61,-57.72,0.20,-122.82
0,14,0.11700,-5.29,-0.17,0.45,-71.03,0.26,-151.19
0,15,0.12524,-5.82,-0.17,-0.67,-63.70,0.22,-135.56
0,16,0.13354,-6.34,-0.17,-1.79,-63.24,0.22,-134.56
0,17,0.14252,-6.87,-0.16,-2.92,-58.50,0.25,-126.87
0,18,0.15088,-7.40,-0.16,-4.29,-64.23,0.65,-163.87
0,19,0.15863,-7.94,-0.15,-5.68,-69.29,0.74,-178.35
0,20,0.16699,-8.47,-0.15,-7.18,-63.50,0.94,-180.29
0,21,0.17554,-9.00,-0.14,-8.69,-62.14,0.94,-176.43
0,22,0.18384,-9.53,-0.13,-10.20,-63.97,0.97,-181.62
0,23,0.19263,-10.06,-0.12,-11.70,-60.07,0.88,-170.49
0,24,0.20044,-10.57,-0.11,-13.11,-64.84,0.94,-181.25
0,25,0.20966,-11.07,-0.11,-14.51,-54.64,0.74,-150.99
0,26,0.21729,-11.57,-0.10,-15.75,-64.80,0.64,-162.80
0,27,0.22559,-12.04,-0.05,-16.90,-56.62,6.35,-138.97
0,28,0.23431,-12.48,-0.08,-17.76,-50.35,-3.53,-98.95
0,29,0.24286,-12.91,-0.08,-18.59,-51.07,0.36,-96.07
0,30,0.25110,-13.32,-0.07,-19.11,-50.00,0.68,-64.07
0,31,0.25891,-13.73,-0.07,-19.61,-51.95,0.55,-63.67
0,32,0.26733,-14.09,-0.07,-19.91,-42.75,-0.13,-35.51
0,33,0.27588,-14.45,-0.07,-20.21,-42.14,-0.10,-35.00
0,34,0.28406,-14.81,-0.07,-20.51,-44.03,-0.13,-36.57
0,35,0.29291,-15.15,-0.07,-20.80,-38.62,-0.08,-33.10
0,36,0.30078,-15.38,-0.07,-21.07,-29.07,0.29,-34.50
0,37,0.30994,-15.61,-0.07,-21.34,-25.00,0.27,-29.67
0,38,0.31763,-15.84,-0.06,-21.62,-30.56,0.29,-36.51
0,39,0.32587,-16.06,-0.06,-21.87,-26.30,0.22,-30.00
0,40,0.33429,-16.22,-0.06,-22.00,-18.84,-0.08,-15.58
0,41,0.34290,-16.38,-0.06,-22.13,-18.44,-0.03,-15.25
0,42,0.35162,-16.54,-0.06,-22.27,-18.18,-0.08,-15.03
0,43,0.35931,-16.69,-0.06,-22.42,-19.44,0.10,-19.84
0,44,0.36774,-16.79,-0.06,-22.66,-12.68,0.63,-28.99
0,45,0.37622,-16.89,-0.05,-22.95,-11.87,0.82,-33.45
0,46,0.38446,-16.96,-0.04,-23.42,-8.52,1.77,-57.41
0,47,0.39307,-17.03,-0.02,-23.95,-7.09,1.99,-61.70
0,48,0.40112,-17.05,0.01,-24.77,-3.03,3.58,-101.14
0,49,0.41016,-17.06,0.04,-25.64,-1.01,3.49,-97.30
0,50,0.41852,-16.99,0.09,-26.85,8.39,5.50,-144.16
0,51,0.42621,-16.89,0.14,-28.09,12.70,6.26,-161.11
0,52,0.43463,-16.68,0.20,-29.55,25.00,7.07,-173.19
0,53,0.44312,-16.44,0.26,-31.04,28.06,7.31,-176.26
0,54,0.45197,-16.09,0.33,-32.70,39.31,8.06,-186.90
0,55,0.45972,-15.71,0.40,-34.41,49.61,9.65,-221.26
0,56,0.46881,-15.23,0.48,-36.18,53.02,8.79,-194.63
0,57,0.47644,-14.72,0.56,-37.96,66.80,10.64,-233.20
0,58,0.48474,-14.11,0.65,-39.77,73.53,10.33,-218.38
0,59,0.49323,-13.47,0.74,-41.58,75.18,10.17,-212.59
0,60,0.50220,-12.73,0.82,-43.35,81.97,9.87,-197.96
0,61,0.51001,-11.96,0.91,-45.13,98.83,11.51,-227.34
0,62,0.51892,-11.11,1.00,-46.79,95.89,9.94,-186.64
0,63,0.52661,-10.21,1.09,-48.43,116.27,11.52,-213.10
0,64,0.53491,-9.24,1.18,-49.90,116.91,10.29,-177.21
0,65,0.54340,-8.18,1.26,-51.33,125.54,10.20,-167.99
0,66,0.55225,-6.81,1.36,-52.61,155.17,10.40,-144.83
0,67,0.56073,-5.31,1.45,-53.86,176.26,11.13,-147.48
0,68,0.56830,-3.41,1.56,-55.03,251.21,13.89,-154.44
0,69,0.57690,-1.46,1.66,-56.16,225.89,12.20,-131.56
0,70,0.58502,0.66,1.77,-57.20,262.03,13.30,-128.20
0,71,0.59344,2.79,1.88,-58.24,252.54,12.81,-123.55
0,72,0.60254,4.92,1.98,-59.28,233.89,11.40,-114.43
0,73,0.61078,7.03,2.13,-60.34,256.30,17.85,-127.78
0,74,0.61853,8.87,2.24,-61.31,237.40,14.27,-125.98
0,75,0.62701,10.56,2.34,-62.29,199.64,12.38,-115.11
0,76,0.63525,11.86,2.43,-63.27,157.41,10.93,-118.52
0,77,0.64355,12.94,2.51,-64.25,129.78,9.87,-118.38
0,78,0.65265,13.43,2.58,-65.25,54.03,6.63,-110.40
0,79,0.66095,13.77,2.63,-66.30,41.18,6.83,-126.10
0,80,0.66858,13.71,2.68,-67.43,-7.60,5.85,-147.60
0,81,0.67706,13.62,2.72,-68.59,-10.43,5.33,-137.41
0,82,0.68542,13.46,2.77,-69.86,-20.07,5.56,-151.46
0,83,0.69385,13.25,2.81,-71.13,-24.64,5.36,-151.45
0,84,0.70270,12.94,2.86,-72.43,-35.17,4.79,-146.90
0,85,0.71045,12.63,2.90,-73.73,-40.16,5.45,-167.72
0,86,0.71954,12.31,2.94,-75.03,-34.23,4.66,-142.95
0,87,0.72736,11.96,2.98,-76.32,-44.92,5.12,-164.06
0,88,0.73553,11.54,3.01,-77.47,-51.87,3.91,-140.67
0,89,0.74396,11.10,3.04,-78.55,-51.81,3.39,-128.62
0,90,0.75275,10.63,3.06,-79.48,-53.47,2.40,-106.25
0,91,0.76129,10.15,3.08,-80.32,-56.07,1.95,-98.21
0,92,0.76910,9.65,3.09,-80.96,-64.84,0.96,-82.03
0,93,0.77753,9.15,3.09,-81.46,-59.06,0.20,-58.70
0,94,0.78571,8.65,3.08,-81.69,-60.82,-1.15,-27.99
0,95,0.79419,8.16,3.06,-81.76,-58.27,-1.87,-8.27
0,96,0.80273,7.68,3.03,-81.50,-56.43,-3.37,29.64
0,97,0.81158,7.20,3.00,-81.12,-53.45,-3.84,43.45
0,98,0.81921,6.74,2.95,-80.45,-61.20,-6.00,88.00
0,99,0.82764,6.31,2.91,-79.70,-50.72,-5.64,89.13
0,100,0.83588,5.92,2.85,-78.77,-46.67,-6.48,112.96
0,101,0.84436,5.54,2.80,-77.84,-45.32,-6.30,109.71
0,102,0.85327,5.15,2.75,-76.90,-43.15,-5.99,104.45
0,103,0.86163,4.80,2.69,-75.99,-42.70,-6.19,109.49
0,104,0.86932,4.49,2.65,-75.10,-40.08,-6.35,115.87
0,105,0.87762,4.20,2.60,-74.29,-34.56,-5.34,97.06
0,106,0.88611,3.95,2.56,-73.64,-29.86,-4.36,76.98
0,107,0.89441,3.71,2.53,-73.07,-28.31,-3.88,68.01
0,108,0.90283,3.51,2.51,-72.67,-23.91,-2.93,47.83
0,109,0.91107,3.31,2.48,-72.27,-24.44,-2.93,48.89
0,110,0.92010,3.11,2.46,-71.87,-22.30,-2.71,44.59
0,111,0.92847,2.93,2.44,-71.51,-21.53,-2.62,43.07
0,112,0.93616,2.78,2.42,-71.22,-19.05,-2.27,36.90
0,113,0.94470,2.64,2.40,-70.94,-16.79,-2.01,32.86
0,114,0.95300,2.50,2.39,-70.66,-17.28,-2.07,33.82
0,115,0.96173,2.35,2.37,-70.38,-16.43,-1.95,32.17
0,116,0.97052,2.21,2.35,-70.10,-16.32,-1.96,31.94
0,117,0.97803,2.06,2.33,-69.81,-19.92,-2.39,39.02
0,118,0.98633,1.92,2.32,-69.53,-17.28,-2.07,33.82
0,119,0.99475,1.79,2.30,-69.23,-15.22,-2.03,34.78
0,120,1.00311,1.68,2.28,-68.92,-12.41,-2.01,37.23
0,121,1.01215,1.58,2.26,-68.61,-11.49,-1.90,34.46
0,122,1.01971,1.48,2.25,-68.30,-13.71,-2.19,41.13
0,123,1.02820,1.38,2.23,-67.94,-11.51,-2.21,42.45
0,124,1.03662,1.29,2.21,-67.51,-10.87,-2.55,51.09
0,125,1.04498,1.20,2.19,-67.08,-10.95,-2.57,51.46
0,126,1.05322,1.10,2.17,-66.65,-11.11,-2.61,52.22
0,127,1.06207,1.01,2.14,-66.15,-11.03,-2.74,56.55
0,128,1.07050,0.90,2.11,-65.55,-12.68,-3.44,71.01
0,129,1.07892,0.79,2.08,-64.95,-12.68,-3.48,71.01
0,130,1.08667,0.69,2.05,-64.35,-13.78,-3.73,77.17
0,131,1.09521,0.59,2.02,-63.69,-11.07,-3.64,77.50
0,132,1.10339,0.51,2.03,-62.94,-9.70,0.50,91.42
0,133,1.11249,0.43,1.98,-62.19,-8.72,-4.61,82.21
0,134,1.12006,0.35,1.94,-61.43,-10.89,-5.56,101.61
0,135,1.12848,0.27,1.90,-60.68,-9.42,-5.06,88.77
0,136,1.13696,0.19,1.86,-59.93,-9.35,-4.94,88.13
0,137,1.14532,0.13,1.82,-59.16,-7.30,-4.33,92.70
0,138,1.15356,0.09,1.79,-58.35,-5.19,-3.75,98.15
0,139,1.16260,0.05,1.76,-57.54,-4.73,-3.37,89.53
0,140,1.17023,0.00,1.73,-56.71,-5.60,-4.12,108.00
0,141,1.17865,-0.04,1.70,-55.91,-5.07,-3.62,96.01
0,142,1.18707,-0.08,1.67,-55.10,-5.07,-3.69,96.01
0,143,1.19537,-0.11,1.63,-54.07,-2.94,-4.56,123.90
0,144,1.20374,-0.11,1.58,-52.79,-0.36,-5.54,152.55
0,145,1.21283,-0.11,1.54,-51.52,-0.34,-5.09,140.27
0,146,1.22107,-0.12,1.49,-50.17,-0.37,-5.93,163.33
0,147,1.22882,-0.12,1.44,-48.90,-0.39,-5.97,164.57
0,148,1.23718,-0.12,1.40,-47.62,-0.36,-5.49,152.55
0,149,1.24573,-0.10,1.35,-46.37,2.86,-5.25,146.79
0,150,1.25391,-0.05,1.31,-45.13,6.34,-5.25,150.75
0,151,1.26282,0.01,1.27,-43.90,5.82,-4.82,138.36
0,152,1.27100,0.06,1.22,-42.67,6.34,-5.23,150.75
0,153,1.27960,0.11,1.18,-41.43,6.03,-5.01,143.26
0,154,1.28735,0.16,1.14,-40.20,6.69,-5.54,159.06
0,155,1.29572,0.21,1.09,-38.97,6.20,-5.14,147.45
0,156,1.30402,0.27,1.05,-37.73,6.25,-5.15,148.53
0,157,1.31281,0.32,1.01,-36.50,5.90,-4.89,140.28
0,158,1.32147,0.37,0.96,-35.27,5.99,-4.95,142.25
0,159,1.32922,0.43,0.92,-34.07,7.48,-5.35,155.12
0,160,1.33765,0.49,0.88,-32.91,7.61,-4.72,137.32
0,161,1.34595,0.56,0.84,-31.75,7.72,-4.81,139.34
0,162,1.35431,0.62,0.80,-30.60,7.66,-4.76,138.32
0,163,1.36279,0.68,0.76,-29.44,7.55,-4.69,136.33
0,164,1.37170,0.75,0.72,-28.28,7.19,-4.44,129.79
0,165,1.37939,0.81,0.69,-27.28,8.33,-4.41,130.16
0,166,1.38806,0.87,0.66,-26.44,6.69,-3.28,96.83
0,167,1.39606,0.93,0.63,-25.49,7.25,-4.09,119.08
0,168,1.40454,0.99,0.59,-24.45,6.83,-4.23,123.02
0,169,1.41351,1.04,0.55,-23.30,6.46,-4.41,127.55
0,170,1.42126,1.10,0.51,-22.05,7.48,-5.63,162.20
0,171,1.43030,1.16,0.46,-20.72,6.08,-5.11,146.62
0,172,1.43860,1.21,0.42,-19.31,6.62,-5.91,169.49
0,173,1.44641,1.26,0.36,-17.73,6.64,-7.13,203.12
0,174,1.45459,1.31,0.30,-16.01,5.97,-7.39,209.70
0,175,1.46307,1.36,0.24,-14.30,5.76,-7.15,202.16
0,176,1.47223,1.41,0.17,-12.58,5.33,-7.52,187.33
0,177,1.47980,1.46,0.22,-10.91,6.05,6.74,220.97
0,178,1.48883,1.50,0.20,-9.35,4.73,-2.63,172.30
0,179,1.49652,1.54,0.18,-8.05,4.76,-2.59,169.84
0,180,1.50482,1.57,0.16,-6.89,4.04,-2.13,139.71
0,181,1.51331,1.60,0.15,-6.02,3.60,-1.53,101.80
0,182,1.52228,1.63,0.14,-5.34,3.06,-1.14,76.53
0,183,1.52997,1.64,0.13,-4.92,2.38,-0.80,54.37
0,184,1.53821,1.66,0.13,-4.66,1.48,-0.45,31.11
0,185,1.54688,1.67,0.12,-4.41,1.41,-0.44,29.58
0,186,1.55505,1.68,0.12,-4.15,1.49,-0.46,31.34
0,187,1.56342,1.67,0.11,-3.90,-1.82,-0.53,29.56
