trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-141.01,35.14,-183.60
0,1,0.00793,-1.98,0.53,-2.71,-250.00,66.98,-341.54
0,2,0.01633,-3.97,1.06,-5.42,-236.36,63.23,-322.55
0,3,0.02472,-6.27,1.60,-8.29,-274.18,64.46,-342.91
0,4,0.03325,-8.57,2.14,-11.17,-269.77,63.33,-337.39
0,5,0.04153,-11.51,2.69,-14.35,-354.33,66.31,-383.43
0,6,0.04967,-14.44,3.24,-17.53,-360.98,67.56,-390.62
0,7,0.05858,-17.95,3.74,-20.77,-393.84,56.12,-364.38
0,8,0.06633,-21.46,4.24,-24.02,-452.76,64.42,-418.90
0,9,0.07481,-25.19,4.65,-27.04,-439.57,48.22,-355.40
0,10,0.08296,-28.92,5.06,-30.05,-457.68,50.11,-370.04
0,11,0.09172,-32.82,5.38,-32.82,-445.30,36.13,-316.38
0,12,0.09979,-36.72,5.69,-35.59,-483.18,39.40,-343.29
0,13,0.10794,-40.77,5.96,-38.26,-496.63,33.21,-326.97
0,14,0.11658,-44.81,6.23,-40.92,-468.55,31.15,-308.48
0,15,0.12502,-48.86,6.50,-43.59,-479.57,31.98,-315.73
0,16,0.13329,-52.91,6.77,-46.25,-489.30,32.63,-322.14
0,17,0.14143,-57.20,7.11,-49.24,-527.34,40.83,-367.04
0,18,0.14970,-61.50,7.44,-52.23,-519.56,40.33,-361.62
0,19,0.15805,-66.13,7.82,-55.53,-554.30,45.51,-395.25
0,20,0.16655,-70.75,8.20,-58.83,-543.63,44.68,-387.79
0,21,0.17484,-74.45,8.44,-61.25,-447.15,29.56,-293.19
0,22,0.18419,-78.16,8.69,-63.68,-396.08,25.83,-259.05
0,23,0.19302,-80.38,8.60,-64.33,-251.47,-9.30,-73.92
0,24,0.20004,-82.45,8.51,-64.89,-295.65,-13.02,-80.00
0,25,0.20813,-82.93,8.15,-63.82,-58.87,-44.66,132.45
0,26,0.21666,-83.37,7.79,-62.74,-52.24,-42.02,126.30
0,27,0.22484,-83.11,7.49,-61.57,32.09,-37.06,143.66
0,28,0.23351,-82.84,7.19,-60.39,31.69,-34.71,135.56
0,29,0.24173,-82.25,6.92,-59.19,71.24,-32.96,146.57
0,30,0.25021,-81.65,6.65,-57.98,70.50,-31.97,142.09
0,31,0.25822,-80.76,6.40,-56.74,112.00,-30.54,155.05
0,32,0.26653,-79.82,6.15,-55.47,112.50,-29.88,152.57
0,33,0.27522,-78.02,5.85,-53.64,207.72,-34.89,210.53
0,34,0.28342,-76.16,5.55,-51.79,226.44,-36.96,226.07
0,35,0.29167,-73.19,5.24,-49.44,359.33,-37.61,285.40
0,36,0.30011,-70.28,4.93,-47.13,345.75,-36.33,273.78
0,37,0.30858,-68.53,4.80,-45.93,206.13,-15.44,141.62
0,38,0.31651,-66.80,4.67,-44.74,217.69,-16.11,149.23
0,39,0.32515,-65.56,4.59,-43.93,143.46,-9.42,93.64
0,40,0.33342,-64.33,4.51,-43.13,149.08,-9.62,97.05
0,41,0.34174,-63.24,4.45,-42.45,130.64,-7.50,81.47
0,42,0.35001,-62.16,4.39,-41.78,130.63,-7.23,81.18
0,43,0.35849,-61.29,4.34,-41.26,102.88,-5.18,61.87
0,44,0.36664,-60.42,4.30,-40.74,106.37,-5.17,63.67
0,45,0.37523,-59.77,4.27,-40.35,76.73,-3.65,44.76
0,46,0.38347,-59.12,4.24,-39.98,77.78,-3.47,45.56
0,47,0.39174,-58.97,4.23,-39.87,18.45,-1.74,13.65
0,48,0.39987,-58.84,4.21,-39.76,16.51,-1.83,13.51
0,49,0.40862,-59.17,4.16,-39.70,-37.70,-6.42,6.28
0,50,0.41693,-59.51,4.10,-39.65,-41.10,-6.63,6.61
0,51,0.42513,-60.11,4.00,-39.56,-73.00,-11.97,10.80
0,52,0.43336,-60.71,3.91,-39.47,-73.33,-11.90,10.74
0,53,0.44173,-61.48,3.78,-39.37,-91.97,-14.41,11.31
0,54,0.45050,-62.27,3.66,-39.28,-90.43,-13.80,10.78
0,55,0.45857,-63.22,3.54,-39.22,-117.20,-15.89,6.81
0,56,0.46692,-64.17,3.41,-39.17,-113.35,-15.56,6.58
0,57,0.47557,-65.11,3.27,-39.11,-109.35,-15.10,6.35
0,58,0.48395,-66.06,3.15,-39.07,-112.93,-15.29,5.83
0,59,0.49184,-67.00,3.05,-39.11,-119.15,-12.75,-5.03
0,60,0.50015,-67.94,2.94,-39.15,-113.76,-12.27,-5.14
0,61,0.50845,-69.01,2.84,-39.24,-127.94,-12.29,-11.40
0,62,0.51691,-70.07,2.74,-39.34,-125.63,-11.98,-11.19
0,63,0.52519,-71.13,2.64,-39.43,-128.18,-12.02,-11.42
0,64,0.53375,-72.19,2.54,-39.53,-124.06,-11.83,-11.05
0,65,0.54204,-73.25,2.44,-39.62,-128.18,-12.12,-11.42
0,66,0.55009,-74.31,2.34,-39.72,-131.06,-12.37,-12.12
0,67,0.55908,-75.23,2.26,-39.84,-102.55,-8.60,-13.24
0,68,0.56694,-76.14,2.19,-39.96,-115.73,-9.65,-15.15
0,69,0.57608,-76.86,2.13,-40.07,-78.80,-6.15,-12.35
0,70,0.58359,-77.57,2.08,-40.18,-94.31,-7.08,-15.04
0,71,0.59190,-78.08,2.05,-40.30,-61.65,-3.34,-14.31
0,72,0.60005,-78.58,2.02,-40.42,-61.42,-3.13,-14.61
0,73,0.60870,-78.95,2.02,-40.55,-42.33,-0.86,-15.17
0,74,0.61703,-79.31,2.01,-40.68,-43.22,-0.71,-15.75
0,75,0.62527,-79.52,2.02,-40.81,-25.93,1.21,-14.81
0,76,0.63371,-79.74,2.03,-40.93,-25.32,0.90,-14.47
0,77,0.64194,-79.95,2.04,-41.05,-25.97,1.22,-14.84
0,78,0.65042,-80.16,2.05,-41.17,-24.46,1.07,-14.03
0,79,0.65860,-80.27,2.05,-41.22,-14.18,-0.08,-5.97
0,80,0.66707,-80.39,2.05,-41.27,-13.69,0.01,-5.77
0,81,0.67603,-80.51,2.05,-41.31,-12.95,-0.08,-5.45
0,82,0.68398,-80.62,2.05,-41.36,-14.59,0.01,-6.14
0,83,0.69191,-80.74,2.05,-41.41,-14.62,0.12,-6.15
0,84,0.70049,-80.85,2.04,-41.46,-12.81,-0.28,-5.34
0,85,0.70871,-80.89,2.04,-41.46,-5.19,-0.51,0.37
0,86,0.71715,-80.93,2.03,-41.45,-5.06,-0.78,0.36
0,87,0.72580,-80.98,2.03,-41.45,-4.94,-0.77,0.35
0,88,0.73380,-81.02,2.02,-41.45,-5.34,-0.63,0.38
0,89,0.74220,-81.06,2.02,-41.44,-5.08,-0.79,0.36
0,90,0.75061,-81.10,2.01,-41.44,-5.08,-0.69,0.36
0,91,0.75876,-81.15,2.00,-41.44,-5.24,-0.81,0.37
0,92,0.76698,-81.19,2.00,-41.43,-5.19,-0.61,0.37
0,93,0.77611,-81.23,1.99,-41.43,-4.68,-0.73,0.33
0,94,0.78378,-81.27,1.99,-41.42,-5.57,-0.77,0.80
0,95,0.79243,-81.29,1.97,-41.38,-2.12,-1.73,4.94
0,96,0.80022,-81.31,1.96,-41.34,-2.35,-1.82,5.49
0,97,0.80864,-81.33,1.94,-41.30,-2.17,-1.78,5.07
0,98,0.81709,-81.34,1.93,-41.24,-1.44,-1.81,6.14
0,99,0.82594,-81.28,1.89,-41.10,6.90,-4.13,16.55
0,100,0.83440,-81.22,1.86,-40.95,7.22,-3.95,17.33
0,101,0.84210,-81.16,1.82,-40.81,7.92,-4.44,19.01
0,102,0.85060,-81.10,1.79,-40.66,7.18,-4.02,17.24
0,103,0.85893,-81.04,1.75,-40.51,7.33,-4.10,17.58
0,104,0.86716,-80.98,1.72,-40.36,7.42,-4.17,18.18
0,105,0.87549,-80.90,1.68,-40.19,8.79,-4.87,20.88
0,106,0.88412,-80.83,1.64,-40.01,8.48,-4.70,20.14
0,107,0.89212,-80.76,1.60,-39.84,9.16,-5.17,21.76
0,108,0.90097,-80.68,1.56,-39.67,8.28,-4.49,19.66
0,109,0.90880,-80.61,1.52,-39.49,9.36,-5.18,22.22
0,110,0.91750,-80.54,1.48,-39.32,7.72,-4.64,19.30
0,111,0.92567,-80.55,1.45,-39.22,-0.75,-3.68,12.69
0,112,0.93425,-80.55,1.42,-39.12,-0.71,-3.61,12.10
0,113,0.94225,-80.56,1.39,-39.01,-0.76,-3.67,12.98
0,114,0.95056,-80.58,1.36,-38.93,-2.94,-3.46,10.64
0,115,0.95937,-80.77,1.36,-39.00,-21.49,-0.01,-8.67
0,116,0.96721,-80.99,1.36,-39.10,-27.24,0.07,-12.06
0,117,0.97583,-81.41,1.39,-39.40,-48.85,4.11,-35.04
0,118,0.98405,-81.85,1.43,-39.72,-53.43,4.57,-38.59
0,119,0.99226,-82.45,1.50,-40.20,-72.86,7.88,-59.48
0,120,1.00063,-83.06,1.56,-40.70,-72.99,8.27,-59.85
0,121,1.00887,-83.78,1.66,-41.34,-88.15,11.24,-77.04
0,122,1.01715,-84.52,1.75,-41.99,-89.13,11.51,-78.08
0,123,1.02582,-85.35,1.87,-42.76,-95.07,13.85,-89.44
0,124,1.03389,-86.17,1.99,-43.54,-102.08,15.17,-96.03
0,125,1.04239,-86.99,2.12,-44.31,-96.95,14.22,-91.20
0,126,1.05055,-87.81,2.24,-45.09,-100.19,14.90,-95.33
0,127,1.05881,-88.59,2.38,-45.92,-93.90,17.54,-100.55
0,128,1.06714,-89.36,2.52,-46.75,-93.04,17.09,-99.63
0,129,1.07597,-90.16,2.67,-47.59,-89.81,16.17,-95.34
0,130,1.08414,-90.92,2.81,-48.43,-93.46,17.84,-102.43
0,131,1.09239,-91.58,2.99,-49.31,-79.85,20.94,-107.21
0,132,1.10065,-92.24,3.16,-50.21,-79.85,21.47,-109.06
0,133,1.10899,-92.85,3.38,-51.25,-73.13,26.33,-123.58
0,134,1.11729,-93.45,3.61,-52.29,-72.79,27.00,-126.47
0,135,1.12566,-94.00,3.88,-53.49,-65.69,32.68,-142.70
0,136,1.13403,-94.55,4.15,-54.68,-65.57,32.72,-142.44
0,137,1.14290,-95.10,4.43,-55.87,-61.96,30.73,-134.60
0,138,1.15094,-95.64,4.70,-57.08,-67.55,34.41,-149.91
0,139,1.15936,-96.11,5.02,-58.40,-55.80,37.82,-156.52
0,140,1.16754,-96.58,5.34,-59.72,-57.46,39.05,-161.19
0,141,1.17595,-97.05,5.66,-61.04,-55.90,37.70,-156.81
0,142,1.18452,-97.52,5.98,-62.35,-54.80,37.15,-153.74
0,143,1.19240,-97.99,6.29,-63.67,-59.69,40.25,-167.44
0,144,1.20062,-98.45,6.61,-64.98,-55.66,38.70,-159.55
0,145,1.20900,-98.84,6.93,-66.25,-46.63,37.60,-151.55
0,146,1.21762,-99.23,7.24,-67.52,-45.31,36.35,-147.26
0,147,1.22577,-99.62,7.55,-68.79,-47.94,38.56,-155.81
0,148,1.23450,-99.99,7.87,-70.06,-42.66,36.05,-144.76
0,149,1.24251,-100.26,8.18,-71.27,-32.76,38.90,-151.62
0,150,1.25070,-100.52,8.50,-72.49,-32.03,38.42,-148.23
0,151,1.25894,-100.78,8.81,-73.70,-31.85,38.01,-147.41
0,152,1.26776,-101.04,9.12,-74.91,-29.76,35.61,-137.72
0,153,1.27628,-101.31,9.44,-76.13,-30.82,36.79,-142.65
0,154,1.28494,-101.56,9.75,-77.34,-28.87,36.31,-140.14
0,155,1.29301,-101.72,10.08,-78.57,-20.42,40.81,-152.36
0,156,1.30138,-101.89,10.41,-79.80,-19.71,39.39,-147.08
0,157,1.30896,-102.05,10.74,-81.03,-21.73,43.43,-162.17
0,158,1.31717,-102.22,11.07,-82.26,-20.07,40.32,-149.81
0,159,1.32573,-102.38,11.40,-83.49,-19.25,38.48,-143.67
0,160,1.33434,-102.54,11.73,-84.72,-18.44,38.45,-142.91
0,161,1.34229,-102.63,12.07,-85.97,-11.52,43.20,-157.01
0,162,1.35114,-102.72,12.42,-87.22,-10.34,38.90,-141.03
0,163,1.35934,-102.81,12.76,-88.47,-11.15,41.74,-152.04
0,164,1.36760,-102.89,13.11,-89.72,-9.61,42.09,-151.94
0,165,1.37628,-102.87,13.48,-91.03,2.81,43.08,-150.44
0,166,1.38438,-102.84,13.86,-92.33,3.01,46.26,-161.21
0,167,1.39238,-102.82,14.23,-93.64,3.05,46.68,-163.36
0,168,1.40050,-102.79,14.61,-94.96,3.76,46.58,-162.03
0,169,1.40913,-102.69,15.01,-96.34,12.01,46.94,-160.42
0,170,1.41725,-102.58,15.42,-97.73,12.78,50.13,-170.68
0,171,1.42558,-102.48,15.83,-99.11,12.45,48.66,-166.30
0,172,1.43451,-102.39,16.23,-100.51,10.26,45.72,-156.24
0,173,1.44243,-102.37,16.66,-101.98,1.54,53.19,-186.51
0,174,1.45065,-102.36,17.08,-103.46,1.48,51.22,-179.59
0,175,1.45927,-102.35,17.50,-104.94,1.42,48.95,-171.33
0,176,1.46738,-102.35,17.92,-106.41,0.00,51.70,-181.92
0,177,1.47617,-102.43,18.32,-107.86,-9.03,45.58,-164.58
0,178,1.48447,-102.51,18.72,-109.30,-10.29,47.96,-173.16
0,179,1.49258,-102.66,19.09,-110.66,-17.29,45.65,-168.05
0,180,1.50105,-102.80,19.45,-112.01,-16.58,43.44,-159.64
0,181,1.50961,-102.98,19.79,-113.26,-22.10,39.03,-146.17
0,182,1.51732,-103.17,20.12,-114.50,-24.55,42.38,-160.40
0,183,1.52592,-103.39,20.40,-115.61,-25.53,33.55,-128.72
0,184,1.53462,-103.61,20.69,-116.70,-25.26,32.78,-125.26
0,185,1.54251,-103.85,20.93,-117.63,-29.40,29.93,-118.76
0,186,1.55106,-104.08,21.16,-118.55,-27.14,27.20,-107.14
0,187,1.55920,-104.31,21.34,-119.28,-28.46,22.22,-90.26
0,188,1.56743,-104.54,21.51,-120.00,-28.20,21.27,-86.46
0,189,1.57614,-104.75,21.63,-120.50,-24.52,13.54,-58.14
0,190,1.58435,-104.97,21.74,-120.99,-26.02,13.73,-59.11
0,191,1.59312,-105.16,21.81,-121.31,-22.26,7.95,-37.22
