trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-223.72,-35.82,-1045.62
0,1,0.00839,-2.73,-0.21,-8.51,-325.82,-24.93,-1014.55
0,2,0.01721,-6.26,-0.32,-16.51,-399.31,-12.56,-906.57
0,3,0.02496,-10.56,-0.34,-24.11,-555.12,-2.36,-980.71
0,4,0.03333,-15.51,-0.26,-31.06,-591.61,9.01,-831.02
0,5,0.04169,-21.12,-0.10,-37.48,-671.90,19.60,-767.88
0,6,0.04993,-27.23,0.15,-43.15,-740.74,30.09,-688.15
0,7,0.05887,-33.87,0.48,-48.18,-742.32,37.06,-562.80
0,8,0.06647,-40.82,0.88,-52.40,-914.86,53.06,-555.02
0,9,0.07547,-48.16,5.32,-55.91,-815.25,492.50,-389.15
0,10,0.08322,-55.63,10.16,-58.57,-964.17,624.44,-344.09
0,11,0.09149,-63.33,15.05,-60.48,-931.37,591.88,-230.63
0,12,0.09979,-71.00,19.82,-61.56,-923.53,574.90,-130.51
0,13,0.10870,-78.74,24.55,-61.88,-868.15,529.79,-35.27
0,14,0.11642,-86.29,29.09,-61.66,-977.87,589.12,28.46
0,15,0.12485,-93.84,33.64,-61.44,-896.38,539.74,26.09
0,16,0.13321,-101.20,37.94,-61.22,-880.29,514.66,26.64
0,17,0.14157,-108.56,41.69,-60.99,-880.29,448.54,26.64
0,18,0.14999,-115.73,44.87,-60.77,-851.81,377.54,26.45
0,19,0.15820,-122.91,47.30,-60.55,-873.98,295.28,27.14
0,20,0.16663,-129.90,48.58,-60.33,-830.07,151.83,26.09
0,21,0.17560,-136.89,48.85,-60.11,-779.25,30.52,24.49
0,22,0.18323,-143.70,48.64,-59.81,-892.80,-28.13,39.60
0,23,0.19168,-150.51,48.32,-59.50,-805.78,-37.28,35.74
0,24,0.19992,-157.14,48.02,-59.18,-804.81,-37.04,39.26
0,25,0.20920,-163.78,47.71,-58.86,-714.80,-32.94,34.87
0,26,0.21674,-170.29,47.41,-58.51,-864.37,-39.65,45.34
0,27,0.22516,-176.75,47.12,-58.18,-766.30,-35.20,40.22
0,28,0.23346,-183.03,46.83,-57.80,-756.99,-34.51,44.85
0,29,0.24182,-189.31,46.54,-57.43,-751.09,-34.29,44.53
0,30,0.25021,-195.32,46.27,-57.09,-715.64,-32.72,41.09
0,31,0.25879,-201.32,45.99,-56.74,-700.00,-31.96,40.21
0,32,0.26743,-206.96,45.74,-56.40,-653.36,-29.82,39.93
0,33,0.27521,-212.60,45.48,-56.05,-724.71,-32.98,44.31
0,34,0.28354,-217.91,45.24,-55.73,-637.73,-29.05,39.19
0,35,0.29193,-223.22,45.00,-55.40,-632.73,-28.78,38.91
0,36,0.30023,-228.24,44.76,-55.22,-604.41,-28.17,22.06
0,37,0.30853,-233.26,44.57,-55.04,-604.04,-23.23,21.69
0,38,0.31686,-238.01,44.37,-55.03,-570.70,-24.29,0.73
0,39,0.32587,-242.76,44.17,-55.03,-527.80,-21.63,0.34
0,40,0.33353,-247.32,43.98,-55.23,-595.22,-25.59,-26.69
0,41,0.34189,-251.84,43.78,-55.44,-540.51,-23.22,-24.82
0,42,0.35019,-256.16,43.59,-55.80,-520.96,-23.23,-43.01
0,43,0.35925,-260.49,43.40,-56.15,-476.77,-21.22,-39.39
0,44,0.36697,-264.67,43.20,-56.63,-542.29,-24.88,-61.66
0,45,0.37531,-268.83,43.01,-57.10,-498.90,-22.86,-57.14
0,46,0.38373,-272.86,42.82,-57.70,-478.26,-22.66,-71.01
0,47,0.39200,-276.88,42.63,-58.31,-486.72,-23.13,-73.80
0,48,0.40033,-280.81,42.43,-59.38,-471.43,-24.78,-128.57
0,49,0.40857,-284.74,42.22,-60.46,-476.67,-25.08,-130.74
0,50,0.41684,-288.60,42.00,-61.78,-467.16,-25.94,-159.04
0,51,0.42584,-292.46,41.79,-63.07,-428.47,-23.67,-144.07
0,52,0.43356,-296.12,41.62,-63.64,-474.31,-22.58,-73.12
0,53,0.44196,-299.78,41.44,-64.19,-435.64,-20.68,-65.82
0,54,0.45016,-303.12,41.30,-64.27,-407.06,-17.11,-10.04
1,0,0.00000,0.00,0.00,0.00,1015.92,462.85,-631.84
1,1,0.00845,8.03,3.59,-3.94,949.46,425.07,-466.06
1,2,0.01669,16.20,7.01,-7.02,991.85,414.22,-374.07
1,3,0.02579,24.64,9.94,-9.27,928.19,322.52,-247.32
1,4,0.03339,33.07,12.83,-10.67,1109.64,379.96,-183.94
1,5,0.04175,41.59,15.11,-11.22,1018.25,273.58,-65.33
1,6,0.05002,49.91,16.34,-10.95,1006.64,147.72,32.47
1,7,0.05850,58.17,17.46,-9.85,973.38,132.10,129.50
1,8,0.06671,66.09,18.46,-8.00,964.68,122.72,225.28
1,9,0.07504,73.78,19.37,-5.37,923.44,108.97,315.75
1,10,0.08389,81.01,20.15,-2.08,816.21,88.42,371.03
1,11,0.09167,87.87,20.82,1.90,881.57,85.91,512.55
1,12,0.10001,94.40,21.43,6.05,784.62,73.02,497.80
1,13,0.10855,100.94,22.04,10.20,765.00,71.19,485.36
1,14,0.11691,107.32,22.63,14.23,763.50,70.99,482.48
1,15,0.12524,113.71,23.23,18.27,766.30,71.53,484.25
1,16,0.13348,119.94,23.81,22.20,755.93,70.55,476.67
1,17,0.14258,126.17,24.39,26.12,684.90,63.95,431.54
1,18,0.15018,132.36,24.97,30.02,815.26,76.09,512.85
1,19,0.15860,138.43,25.69,33.84,721.01,85.25,453.62
