trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,247.73,-107.14,20.45
0,1,0.00842,2.00,-0.86,0.16,236.96,-102.32,19.57
0,2,0.01685,3.99,-1.73,0.33,236.96,-102.72,19.57
0,3,0.02576,5.99,-2.59,0.49,223.97,-96.58,18.49
0,4,0.03357,8.01,-3.55,1.23,258.59,-123.67,94.14
0,5,0.04224,10.03,-4.52,1.97,233.10,-111.09,84.86
0,6,0.05054,12.10,-5.59,3.23,250.00,-129.48,152.57
0,7,0.05896,14.18,-6.67,4.50,246.38,-127.61,150.36
0,8,0.06775,16.23,-7.75,5.87,233.33,-122.79,155.90
0,9,0.07629,18.28,-8.83,7.24,240.00,-126.69,160.36
0,10,0.08447,20.20,-9.70,8.84,235.07,-106.49,195.90
0,11,0.09229,22.10,-9.65,10.42,242.97,5.71,202.73
0,12,0.10059,23.86,-9.61,12.18,211.76,5.62,211.03
0,13,0.10901,25.62,-9.56,13.93,208.70,5.54,208.33
0,14,0.11731,27.31,-9.51,15.81,203.68,5.84,226.47
0,15,0.12622,29.00,-9.46,17.69,189.73,5.45,211.30
0,16,0.13391,30.59,-9.41,19.65,207.14,6.40,254.76
0,17,0.14233,32.18,-9.37,21.62,189.13,5.84,232.97
0,18,0.15063,33.65,-9.32,23.61,176.47,5.90,240.44
0,19,0.15906,35.11,-9.27,25.61,173.19,5.79,236.96
0,20,0.16797,36.35,-9.22,27.58,139.73,5.25,221.58
0,21,0.17566,37.60,-9.17,29.56,161.90,6.11,257.54
0,22,0.18408,38.84,-9.13,31.54,147.83,5.55,234.42
0,23,0.19250,40.09,-9.08,33.51,147.83,5.53,234.06
0,24,0.20068,41.34,-9.07,35.40,152.99,0.77,231.72
0,25,0.20911,42.58,-8.99,37.30,147.83,10.02,224.64
0,26,0.21716,43.56,-8.95,39.05,121.21,5.03,218.18
0,27,0.22607,44.54,-8.91,40.81,109.59,4.55,196.92
0,28,0.23450,45.46,-8.87,42.40,109.42,4.40,188.77
0,29,0.24219,46.38,-8.84,43.98,119.84,4.81,206.35
0,30,0.25061,47.37,-8.80,45.36,117.39,3.97,162.68
0,31,0.25891,48.36,-8.77,46.72,119.12,4.02,164.71
0,32,0.26770,49.30,-8.74,47.78,106.94,3.10,120.83
0,33,0.27551,50.24,-8.71,48.84,120.31,3.46,134.77
0,34,0.28394,51.16,-8.69,49.48,109.42,2.29,75.72
0,35,0.29224,52.08,-8.68,50.11,111.03,2.30,76.47
0,36,0.30054,52.95,-8.66,50.43,105.15,1.55,38.60
0,37,0.30896,53.82,-8.65,50.75,102.90,1.53,38.04
0,38,0.31726,54.56,-8.64,50.98,88.97,1.21,27.21
0,39,0.32629,55.29,-8.63,51.20,81.08,1.10,25.00
0,40,0.33447,55.69,-8.62,51.32,48.51,0.65,14.18
0,41,0.34216,56.09,-8.62,51.43,51.59,0.70,15.08
0,42,0.35046,56.48,-8.61,51.55,47.79,0.62,13.97
0,43,0.35901,56.88,-8.61,51.66,46.43,0.62,13.21
0,44,0.36780,57.15,-8.61,51.71,30.56,0.33,4.86
0,45,0.37561,57.42,-8.60,51.75,34.38,0.37,5.47
0,46,0.38464,57.68,-8.60,51.79,29.73,0.32,4.73
0,47,0.39233,57.95,-8.60,51.83,34.92,0.36,5.16
0,48,0.40051,58.10,-8.60,51.79,17.91,0.04,-5.60
0,49,0.40894,58.25,-8.60,51.74,17.39,0.04,-5.43
0,50,0.41760,58.39,-8.60,51.69,16.90,0.04,-5.28
0,51,0.42554,58.54,-8.60,51.65,18.46,0.03,-5.77
0,52,0.43384,58.69,-8.60,51.60,17.65,0.04,-5.51
0,53,0.44214,58.83,-8.60,51.56,17.65,0.04,-5.51
0,54,0.45044,58.92,-8.60,51.43,10.29,-0.20,-15.07
0,55,0.45886,59.00,-8.60,51.31,10.14,-0.19,-14.86
0,56,0.46765,59.09,-8.60,51.18,9.72,-0.20,-14.24
0,57,0.47559,59.17,-8.60,51.06,10.77,-0.20,-15.77
0,58,0.48389,59.26,-8.60,50.93,10.29,-0.21,-15.07
0,59,0.49243,59.34,-8.61,50.81,10.00,-0.20,-14.64
0,60,0.50049,59.43,-8.61,50.68,10.61,-0.20,-15.53
0,61,0.50879,59.52,-8.61,50.56,10.29,-0.21,-15.07
0,62,0.51721,59.55,-8.61,50.45,3.62,-0.21,-13.04
0,63,0.52600,59.58,-8.61,50.34,3.47,-0.21,-12.50
0,64,0.53381,59.61,-8.61,50.23,3.91,-0.23,-14.06
0,65,0.54224,59.64,-8.62,50.12,3.62,-0.22,-13.04
0,66,0.55054,59.67,-8.62,50.01,3.68,-0.21,-13.24
0,67,0.55884,59.70,-8.62,49.90,3.68,-0.22,-13.24
0,68,0.56787,59.67,-8.62,49.86,-2.70,-0.10,-4.39
0,69,0.57629,59.65,-8.62,49.82,-2.90,-0.11,-4.71
0,70,0.58447,59.63,-8.62,49.78,-2.99,-0.11,-4.85
0,71,0.59229,59.60,-8.62,49.74,-3.12,-0.13,-5.08
0,72,0.60059,59.58,-8.62,49.70,-2.94,-0.11,-4.78
0,73,0.60889,59.55,-8.63,49.66,-2.94,-0.12,-4.78
0,74,0.61731,59.53,-8.63,49.62,-2.90,-0.10,-4.71
0,75,0.62622,59.50,-8.63,49.58,-2.74,-0.11,-4.45
0,76,0.63391,59.48,-8.63,49.54,-3.17,-0.12,-5.16
