trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-90.26,9.36,-380.51
0,1,0.00790,-0.80,0.08,-3.27,-100.87,9.78,-413.91
0,2,0.01657,-2.09,0.19,-8.28,-148.81,12.88,-578.01
0,3,0.02435,-3.41,0.29,-13.17,-169.58,13.19,-628.85
0,4,0.03353,-4.83,0.35,-17.55,-155.48,6.85,-476.74
0,5,0.04147,-6.26,0.42,-21.93,-180.00,8.03,-551.92
0,6,0.04948,-7.69,0.48,-26.31,-178.29,7.86,-546.67
0,7,0.05780,-9.13,0.54,-30.66,-173.42,7.35,-523.19
0,8,0.06612,-10.64,0.59,-34.92,-180.92,5.83,-511.19
0,9,0.07432,-12.14,0.64,-39.11,-183.07,5.56,-511.63
0,10,0.08277,-13.63,0.67,-43.09,-176.53,4.19,-471.12
0,11,0.09111,-15.12,0.70,-47.00,-177.86,3.97,-468.07
0,12,0.09965,-16.55,0.73,-50.58,-168.36,2.44,-419.30
0,13,0.10796,-17.97,0.74,-54.00,-171.01,1.86,-412.11
0,14,0.11630,-19.33,0.73,-56.83,-162.49,-1.08,-338.52
0,15,0.12470,-20.68,0.72,-59.52,-160.58,-1.72,-320.07
0,16,0.13287,-22.01,0.68,-61.67,-162.99,-4.89,-263.55
0,17,0.14136,-23.35,0.68,-63.78,-158.13,0.60,-249.42
0,18,0.14970,-24.74,0.61,-65.77,-166.73,-8.97,-238.39
0,19,0.15817,-26.12,0.54,-67.67,-162.16,-8.27,-224.14
0,20,0.16611,-27.41,0.46,-69.21,-163.30,-10.06,-193.66
0,21,0.17452,-28.58,0.40,-70.73,-138.29,-6.70,-180.76
0,22,0.18270,-29.20,0.40,-72.19,-76.12,-0.57,-177.99
0,23,0.19112,-29.77,0.38,-73.67,-67.45,-1.60,-176.61
0,24,0.19950,-30.12,0.38,-75.28,-42.22,-0.92,-192.17
0,25,0.20796,-30.42,0.35,-76.93,-34.99,-3.64,-194.05
0,26,0.21649,-30.49,0.30,-78.68,-8.23,-5.39,-205.72
0,27,0.22467,-30.58,0.21,-80.43,-11.19,-10.98,-213.43
0,28,0.23302,-30.75,0.08,-82.14,-20.84,-15.05,-205.48
0,29,0.24112,-30.96,-0.05,-83.84,-25.99,-16.16,-210.17
0,30,0.24960,-31.33,-0.17,-85.49,-42.81,-14.10,-193.88
0,31,0.25790,-31.69,-0.29,-87.13,-43.75,-14.36,-198.16
0,32,0.26685,-32.05,-0.41,-88.78,-40.61,-13.38,-183.96
0,33,0.27438,-32.43,-0.52,-90.34,-50.20,-15.13,-207.69
0,34,0.28279,-32.87,-0.61,-91.60,-51.91,-11.23,-149.18
0,35,0.29098,-33.30,-0.70,-92.72,-53.31,-10.34,-136.44
0,36,0.29971,-33.73,-0.75,-93.28,-49.30,-5.36,-65.03
0,37,0.30830,-34.20,-0.78,-93.68,-54.30,-4.27,-46.14
0,38,0.31613,-34.81,-0.77,-93.40,-77.58,0.97,35.48
0,39,0.32461,-35.46,-0.77,-93.08,-76.69,1.12,37.44
0,40,0.33274,-36.28,-0.75,-92.60,-100.56,2.09,59.29
0,41,0.34105,-37.06,-0.73,-92.08,-94.77,2.51,63.18
0,42,0.34943,-37.74,-0.69,-91.39,-80.44,4.10,82.26
0,43,0.35786,-38.21,-0.65,-90.61,-56.16,5.22,92.39
0,44,0.36643,-37.88,-0.57,-89.48,39.15,9.77,132.03
0,45,0.37466,-37.11,-0.45,-87.96,92.68,14.39,184.24
0,46,0.38277,-34.64,-0.19,-84.92,304.71,31.54,375.89
0,47,0.39129,-32.24,0.08,-81.69,281.83,31.30,378.51
0,48,0.39964,-30.11,0.36,-77.75,254.84,34.46,472.39
0,49,0.40781,-28.28,0.52,-74.27,223.88,19.74,424.63
0,50,0.41640,-27.63,0.55,-72.67,76.38,2.96,186.15
0,51,0.42476,-27.03,0.57,-71.10,71.23,2.93,188.13
0,52,0.43282,-26.68,0.56,-69.63,43.90,-1.41,182.40
0,53,0.44141,-26.37,0.53,-68.17,36.23,-4.12,169.80
0,54,0.44984,-26.22,0.46,-66.76,17.38,-8.35,167.96
0,55,0.45795,-26.10,0.37,-65.35,14.31,-10.17,174.01
0,56,0.46629,-26.11,0.28,-63.96,-1.10,-11.83,166.88
0,57,0.47430,-26.15,0.25,-62.56,-4.95,-2.68,174.48
0,58,0.48334,-26.31,0.16,-61.14,-16.88,-9.94,156.62
0,59,0.49103,-26.51,0.07,-59.70,-26.19,-12.67,187.30
0,60,0.49950,-26.89,-0.05,-58.17,-45.36,-14.39,180.38
0,61,0.50773,-27.31,-0.17,-56.76,-50.46,-14.55,172.17
0,62,0.51615,-27.84,-0.28,-55.80,-63.77,-13.03,113.77
0,63,0.52442,-28.27,-0.37,-55.11,-51.29,-10.09,82.66
0,64,0.53276,-28.24,-0.34,-55.52,3.29,2.91,-48.67
0,65,0.54100,-28.18,-0.31,-55.95,7.78,3.54,-51.85
0,66,0.54940,-27.96,-0.26,-56.46,25.79,6.04,-61.04
0,67,0.55768,-27.74,-0.21,-56.97,26.18,6.17,-61.94
0,68,0.56612,-27.53,-0.16,-57.49,25.68,5.96,-60.76
0,69,0.57445,-27.31,-0.11,-58.00,26.01,6.13,-61.54
0,70,0.58266,-27.09,-0.06,-58.51,26.37,6.22,-62.40
