trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,169.42,-1.30,430.94
0,1,0.00800,1.44,-0.01,3.66,179.77,-1.38,457.63
0,2,0.01654,2.87,-0.02,7.32,168.21,-1.29,427.86
0,3,0.02487,4.31,-0.03,10.96,172.16,-1.31,437.36
0,4,0.03326,5.75,-0.04,14.59,172.00,-1.28,433.09
0,5,0.04163,7.23,-0.05,18.19,177.01,-1.20,430.66
0,6,0.04990,8.71,-0.06,21.79,178.60,-1.21,435.06
0,7,0.05804,10.18,-0.07,25.38,180.90,-1.22,440.07
0,8,0.06656,11.66,-0.08,28.97,173.12,-1.17,421.51
0,9,0.07465,13.13,-0.09,32.56,182.26,-1.24,444.15
0,10,0.08319,14.61,-0.10,36.11,172.86,-1.12,415.00
0,11,0.09164,16.09,-0.11,39.61,174.73,-1.09,414.44
0,12,0.09973,17.57,-0.12,43.12,183.02,-1.14,433.58
0,13,0.10812,19.05,-0.13,46.63,176.36,-1.10,418.55
0,14,0.11670,20.53,-0.14,50.14,172.60,-1.08,409.96
0,15,0.12506,22.01,-0.15,53.66,177.37,-1.11,420.80
0,16,0.13330,23.46,-0.16,57.07,175.93,-1.07,414.07
0,17,0.14163,24.90,-0.17,60.46,172.89,-1.06,406.96
0,18,0.14978,26.32,-0.18,63.85,174.91,-1.10,415.36
0,19,0.15802,27.74,-0.19,67.24,171.85,-1.11,411.85
0,20,0.16641,29.09,-0.19,70.49,160.36,-1.06,386.91
0,21,0.17468,30.37,-0.20,73.76,155.35,-1.20,395.94
0,22,0.18292,31.61,-0.21,77.06,150.00,-1.30,400.00
0,23,0.19159,32.81,-0.23,80.37,139.08,-1.29,381.69
0,24,0.19983,33.98,-0.24,83.62,141.85,-1.37,394.81
0,25,0.20844,35.14,-0.25,86.88,134.40,-1.34,378.72
0,26,0.21664,36.26,-0.26,90.15,137.17,-1.46,398.51
0,27,0.22488,37.34,-0.27,93.44,131.11,-1.55,399.26
0,28,0.23340,38.38,-0.29,96.76,121.51,-1.60,389.25
0,29,0.24170,39.37,-0.30,100.09,119.12,-1.72,401.10
0,30,0.25006,40.34,-0.32,103.66,115.69,-1.99,427.01
0,31,0.25830,41.24,-0.34,107.24,109.63,-2.14,435.56
0,32,0.26642,42.04,-0.35,110.87,98.50,-2.38,446.99
0,33,0.27512,42.77,-0.38,114.52,84.56,-2.33,418.95
0,34,0.28317,43.44,-0.40,118.18,82.95,-2.65,454.17
0,35,0.29150,44.03,-0.42,121.85,70.70,-2.70,440.66
0,36,0.29990,44.56,-0.44,125.73,62.55,-2.98,462.55
0,37,0.30835,44.98,-0.29,129.62,50.54,18.28,460.65
0,38,0.31668,45.25,-0.24,133.58,31.87,6.31,475.09
0,39,0.32495,45.33,-0.11,137.51,10.33,15.58,475.28
0,40,0.33334,45.24,0.02,141.45,-10.91,15.20,468.73
0,41,0.34164,45.02,0.14,145.35,-27.21,15.11,470.22
0,42,0.34979,44.66,0.27,149.33,-43.82,15.59,488.39
0,43,0.35825,44.23,0.40,153.24,-51.26,14.71,463.18
0,44,0.36658,43.77,0.52,157.07,-55.31,14.54,458.97
0,45,0.37506,43.27,0.64,160.80,-57.91,13.90,439.93
0,46,0.38315,42.76,0.75,164.43,-63.77,14.16,449.43
0,47,0.39166,42.21,0.86,167.96,-64.16,12.98,413.98
0,48,0.39999,41.60,0.96,171.30,-73.99,12.50,400.37
0,49,0.40833,40.95,1.06,174.50,-76.92,11.95,384.98
0,50,0.41641,40.24,1.16,177.57,-87.92,11.69,379.25
0,51,0.42493,39.49,1.25,180.51,-88.17,10.55,344.80
0,52,0.43323,38.69,1.33,183.18,-96.69,9.79,322.79
0,53,0.44174,37.87,1.41,185.73,-96.42,9.01,299.28
0,54,0.45004,37.01,1.48,188.16,-102.94,8.73,292.28
0,55,0.45822,36.13,1.55,190.48,-107.84,8.40,283.21
0,56,0.46674,35.20,1.61,192.69,-110.04,7.63,259.86
0,57,0.47501,34.20,1.67,194.81,-120.30,7.44,256.46
0,58,0.48340,33.15,1.73,196.86,-125.45,7.00,244.36
0,59,0.49179,32.01,1.79,198.85,-135.64,6.69,237.09
0,60,0.50018,30.78,1.84,200.79,-146.18,6.40,230.91
0,61,0.50815,29.47,1.89,202.67,-164.75,6.43,236.02
0,62,0.51654,28.08,1.94,204.49,-166.18,5.79,216.73
0,63,0.52478,26.60,1.99,206.24,-179.26,5.55,212.96
0,64,0.53323,24.91,2.03,208.04,-200.00,5.42,213.36
0,65,0.54156,23.14,2.08,209.77,-212.45,5.11,206.96
0,66,0.54980,21.29,2.12,211.41,-224.07,4.77,199.26
0,67,0.55814,19.37,2.15,212.97,-230.40,4.33,187.18
0,68,0.56641,17.39,2.18,214.44,-240.22,3.95,177.86
0,69,0.57495,15.34,2.21,215.82,-240.00,3.39,161.43
0,70,0.58310,13.07,2.24,217.25,-277.90,2.77,174.91
0,71,0.59155,10.74,2.24,218.57,-275.45,-0.01,156.68
0,72,0.59982,8.36,2.24,219.79,-288.19,0.69,147.23
0,73,0.60809,5.92,2.24,220.90,-294.83,0.24,133.95
0,74,0.61661,3.67,2.24,221.85,-263.80,-0.01,112.54
0,75,0.62479,1.39,2.24,222.71,-279.48,-0.38,104.85
0,76,0.63324,-0.73,2.24,223.45,-250.18,-0.51,87.73
0,77,0.64157,-2.85,2.23,224.16,-255.31,-0.64,85.35
0,78,0.64975,-4.86,2.22,224.72,-245.15,-0.98,67.91
0,79,0.65839,-6.87,2.21,225.25,-232.86,-1.04,61.48
0,80,0.66660,-8.88,2.20,225.77,-245.35,-1.13,63.57
0,81,0.67508,-10.90,2.20,226.29,-237.41,-1.10,61.15
0,82,0.68314,-12.91,2.19,226.81,-250.00,-1.16,64.39
0,83,0.69165,-14.93,2.18,227.33,-236.56,-1.08,60.57
0,84,0.69995,-16.94,2.17,227.84,-242.65,-1.13,62.13
0,85,0.70825,-18.95,2.16,228.36,-242.65,-1.13,62.13
0,86,0.71658,-20.97,2.15,228.87,-241.76,-1.13,61.90
0,87,0.72488,-22.98,2.14,229.39,-242.65,-1.13,62.13
0,88,0.73404,-24.96,2.13,229.86,-216.00,-1.13,51.00
0,89,0.74164,-26.94,2.12,230.32,-260.24,-1.36,61.45
0,90,0.74985,-28.92,2.11,230.79,-240.89,-1.24,56.88
0,91,0.75815,-30.89,2.10,231.26,-238.24,-1.25,56.25
0,92,0.76663,-32.87,2.09,231.72,-233.09,-1.22,55.04
0,93,0.77490,-34.85,2.08,232.19,-239.11,-1.25,56.46
0,94,0.78308,-36.83,2.07,232.66,-241.79,-1.26,57.09
0,95,0.79156,-38.80,2.06,233.12,-233.09,-1.20,55.04
0,96,0.80002,-40.78,2.05,233.59,-233.94,-1.22,55.23
0,97,0.80814,-42.76,2.04,234.06,-243.61,-1.27,57.52
0,98,0.81653,-44.74,2.03,234.52,-235.64,-1.23,55.64
0,99,0.82510,-46.71,2.02,234.99,-230.60,-1.21,54.09
0,100,0.83322,-48.69,2.01,235.45,-243.61,-1.29,56.39
0,101,0.84174,-50.67,1.99,235.89,-232.97,-1.30,51.61
0,102,0.84998,-52.67,1.98,236.38,-241.85,-1.17,60.37
0,103,0.85889,-54.67,1.97,236.84,-224.66,-1.21,51.71
0,104,0.86655,-56.68,1.96,237.25,-262.55,-1.61,52.99
0,105,0.87494,-58.70,1.95,237.61,-240.73,-1.63,42.91
0,106,0.88315,-60.73,1.93,237.92,-247.21,-1.85,37.92
0,107,0.89166,-62.77,1.92,238.19,-239.07,-1.95,31.54
0,108,0.89993,-64.81,1.90,238.42,-246.86,-2.13,27.68
0,109,0.90820,-66.85,1.88,238.59,-247.23,-2.31,21.03
0,110,0.91666,-68.82,1.86,238.79,-233.21,-2.09,23.10
0,111,0.92487,-70.80,1.84,238.94,-240.52,-2.30,18.59
0,112,0.93320,-72.78,1.82,239.05,-237.36,-2.42,12.82
0,113,0.94165,-74.76,1.80,239.10,-234.30,-2.56,6.50
0,114,0.94998,-76.74,1.78,239.12,-237.73,-2.73,1.83
0,115,0.95828,-78.72,1.75,239.10,-238.60,-2.85,-2.21
0,116,0.96658,-80.70,1.73,239.05,-238.60,-2.95,-5.51
0,117,0.97482,-82.68,1.70,238.98,-240.37,-3.05,-8.52
0,118,0.98322,-84.56,1.68,238.88,-224.00,-2.97,-12.73
0,119,0.99158,-86.44,1.65,238.75,-224.82,-3.06,-15.33
0,120,0.99994,-88.31,1.63,238.60,-224.45,-3.10,-17.15
0,121,1.00824,-90.19,1.61,238.45,-226.47,-2.51,-19.12
0,122,1.01672,-92.07,1.77,238.27,-221.22,18.92,-20.86
0,123,1.02487,-93.95,1.93,238.07,-229.96,19.51,-23.97
0,124,1.03317,-95.82,2.08,237.86,-225.37,18.98,-26.10
0,125,1.04166,-97.68,2.24,237.63,-220.14,18.53,-27.34
0,126,1.04996,-99.33,2.38,237.38,-198.53,16.36,-29.41
0,127,1.05841,-100.98,2.51,237.13,-194.95,16.05,-29.96
0,128,1.06671,-102.63,2.65,236.87,-198.53,16.29,-31.62
0,129,1.07516,-104.27,2.78,236.60,-194.58,15.88,-31.77
0,130,1.08328,-105.67,2.90,236.45,-172.56,14.64,-18.42
0,131,1.09171,-107.07,3.02,236.30,-166.30,14.06,-17.75
0,132,1.10001,-108.47,3.14,236.14,-168.75,14.28,-18.75
0,133,1.10849,-109.88,3.26,235.99,-165.11,14.01,-18.35
0,134,1.11658,-111.28,3.38,235.83,-173.21,14.61,-19.25
0,135,1.12488,-112.68,3.49,235.68,-168.75,14.32,-18.75
0,136,1.13312,-114.08,3.61,235.52,-170.00,14.34,-18.89
0,137,1.14163,-115.48,3.73,235.36,-164.52,13.92,-18.28
0,138,1.15009,-116.81,3.84,235.21,-157.76,13.35,-18.05
0,139,1.15820,-118.15,3.96,235.06,-164.29,13.85,-18.80
0,140,1.16656,-119.48,4.07,234.91,-159.49,13.45,-18.25
0,141,1.17480,-120.81,4.18,234.75,-161.85,13.70,-18.52
0,142,1.18317,-122.15,4.29,234.60,-159.49,13.45,-18.25
0,143,1.19156,-123.48,4.41,234.45,-158.91,13.40,-18.18
0,144,1.20016,-124.66,4.50,234.27,-137.59,11.36,-20.21
0,145,1.20825,-125.85,4.60,234.10,-146.42,12.15,-21.13
0,146,1.21677,-127.03,4.70,233.93,-139.07,11.50,-20.07
0,147,1.22491,-128.22,4.80,233.76,-145.32,12.06,-20.97
0,148,1.23325,-129.40,4.90,233.59,-142.12,11.75,-20.51
0,149,1.24164,-130.58,4.99,233.42,-141.09,11.65,-20.73
0,150,1.25003,-131.77,5.09,233.24,-141.09,11.64,-20.73
0,151,1.25827,-132.95,5.19,233.07,-143.70,11.88,-20.74
0,152,1.26663,-134.09,5.28,232.88,-135.77,11.09,-22.99
0,153,1.27521,-135.22,5.37,232.68,-132.38,10.77,-23.13
