trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-597.89,-21.03,35.79
0,1,0.00790,-5.20,-0.18,0.31,-657.92,-23.16,39.38
0,2,0.01645,-11.01,-0.38,0.57,-680.36,-23.55,30.71
0,3,0.02463,-16.83,-0.59,0.84,-710.82,-24.61,32.09
0,4,0.03290,-23.16,-0.80,1.07,-766.05,-26.32,28.41
0,5,0.04144,-29.50,-1.02,1.31,-741.43,-25.47,27.50
0,6,0.04965,-36.26,-1.25,1.54,-823.79,-28.21,27.88
0,7,0.05807,-43.02,-1.48,1.76,-802.90,-27.49,27.17
0,8,0.06631,-50.13,-1.73,2.01,-861.85,-29.53,30.00
0,9,0.07471,-57.23,-1.97,2.26,-846.18,-28.97,29.45
0,10,0.08289,-64.58,-2.22,2.55,-898.51,-30.95,35.07
0,11,0.09146,-71.92,-2.48,2.83,-856.94,-29.50,33.45
0,12,0.09961,-80.17,-2.76,3.15,-1011.99,-34.83,39.33
0,13,0.10834,-88.42,-2.63,3.47,-944.76,15.30,36.71
0,14,0.11642,-97.71,-2.52,3.83,-1148.68,12.94,43.77
0,15,0.12469,-106.99,-2.45,4.18,-1123.25,8.30,42.80
0,16,0.13287,-116.48,-2.71,4.59,-1159.33,-30.99,50.37
0,17,0.14136,-125.96,-3.09,5.00,-1117.63,-44.87,48.56
0,18,0.14960,-134.79,-3.46,5.51,-1071.48,-44.68,60.74
0,19,0.15796,-143.62,-3.82,6.01,-1055.84,-44.04,59.85
0,20,0.16656,-151.52,-4.18,6.64,-918.44,-40.87,74.11
0,21,0.17468,-159.42,-4.53,7.28,-973.68,-43.38,78.57
0,22,0.18307,-166.67,-4.87,8.06,-863.27,-41.24,93.09
0,23,0.19122,-173.91,-5.22,8.84,-889.14,-42.47,95.88
0,24,0.19977,-180.45,-5.55,9.73,-765.36,-39.06,103.57
0,25,0.20807,-186.99,-5.89,10.61,-787.87,-40.16,106.62
0,26,0.21634,-192.97,-6.23,11.76,-722.88,-41.68,138.38
0,27,0.22488,-198.88,-6.57,12.89,-691.07,-39.87,132.86
