trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-197.43,88.71,-311.76
0,1,0.00824,-1.64,0.67,-2.59,-198.89,81.91,-314.07
0,2,0.01660,-3.98,1.20,-6.14,-279.93,62.21,-424.45
0,3,0.02490,-6.32,1.65,-9.69,-281.99,55.33,-427.57
0,4,0.03336,-8.55,1.88,-13.08,-263.90,26.42,-401.08
0,5,0.04160,-10.78,2.20,-16.47,-270.74,38.64,-411.48
0,6,0.04993,-12.56,2.45,-19.20,-213.19,30.91,-328.57
0,7,0.05820,-14.33,2.71,-21.94,-214.76,31.13,-331.00
0,8,0.06665,-15.86,2.94,-24.34,-180.87,26.64,-283.75
0,9,0.07477,-17.39,3.16,-26.74,-188.35,27.74,-295.49
0,10,0.08319,-18.32,3.31,-28.37,-110.14,18.18,-193.12
0,11,0.09149,-19.25,3.47,-29.99,-111.76,18.44,-195.96
0,12,0.10013,-19.64,3.57,-30.71,-45.23,11.50,-83.04
0,13,0.10837,-20.03,3.63,-31.43,-47.41,7.37,-87.04
0,14,0.11661,-20.30,3.67,-31.97,-33.33,4.70,-65.56
0,15,0.12500,-20.58,3.71,-32.51,-32.73,5.66,-64.36
0,16,0.13339,-20.85,3.76,-33.05,-32.73,5.61,-64.36
0,17,0.14172,-21.13,3.81,-33.59,-32.97,5.69,-64.84
0,18,0.14996,-21.40,3.86,-34.13,-33.33,5.70,-65.56
0,19,0.15842,-21.68,3.90,-34.67,-32.49,5.29,-63.90
0,20,0.16656,-21.86,3.93,-35.06,-22.85,3.65,-47.57
0,21,0.17480,-22.05,3.96,-35.44,-22.59,3.46,-47.04
0,22,0.18323,-22.12,3.97,-35.59,-8.33,1.16,-17.39
0,23,0.19174,-22.19,3.98,-35.74,-8.24,1.18,-17.20
0,24,0.19998,-22.19,3.97,-35.61,0.37,-1.34,15.56
0,25,0.20819,-22.18,3.96,-35.48,0.37,-1.31,15.61
0,26,0.21646,-22.16,3.93,-35.14,2.21,-3.39,40.59
0,27,0.22479,-22.15,3.90,-34.81,2.20,-3.41,40.29
0,28,0.23322,-21.92,3.87,-34.34,26.81,-4.09,56.16
0,29,0.24155,-21.69,3.83,-33.86,27.11,-4.56,56.78
0,30,0.25034,-21.31,3.77,-33.18,43.40,-6.60,78.12
0,31,0.25833,-20.93,3.70,-32.49,47.71,-8.22,85.88
0,32,0.26678,-20.55,3.63,-31.80,45.13,-8.32,81.23
0,33,0.27490,-20.17,3.56,-31.12,46.99,-8.73,84.59
0,34,0.28329,-19.79,3.49,-30.43,45.45,-8.42,81.82
0,35,0.29172,-19.41,3.42,-29.74,45.29,-8.46,81.52
0,36,0.30002,-18.91,3.37,-29.29,59.56,-6.20,54.41
0,37,0.30829,-18.42,3.36,-28.84,59.78,-1.17,54.61
0,38,0.31671,-17.86,3.34,-28.65,65.58,-2.06,22.46
0,39,0.32492,-17.31,3.32,-28.46,67.29,-2.16,23.05
0,40,0.33340,-16.79,3.34,-28.57,61.51,1.28,-13.31
0,41,0.34174,-16.27,3.35,-28.69,62.64,1.35,-13.55
0,42,0.35022,-15.88,3.39,-29.18,45.68,5.49,-58.27
0,43,0.35828,-15.49,3.44,-29.68,48.11,5.83,-61.36
0,44,0.36667,-15.36,3.53,-30.66,15.64,11.12,-117.45
0,45,0.37485,-15.23,3.63,-31.65,16.04,11.37,-120.52
0,46,0.38324,-15.49,3.78,-33.24,-30.55,17.88,-189.45
0,47,0.39154,-15.74,3.93,-34.83,-30.88,18.08,-191.54
0,48,0.39984,-16.35,4.13,-36.95,-73.53,24.18,-256.25
0,49,0.40857,-16.96,4.33,-39.08,-69.93,22.95,-243.71
0,50,0.41656,-17.80,4.66,-41.74,-104.96,41.01,-332.44
0,51,0.42499,-18.64,4.86,-44.40,-99.64,24.04,-315.58
0,52,0.43314,-19.76,5.10,-47.60,-137.08,30.12,-393.26
0,53,0.44147,-20.88,5.27,-50.81,-134.07,20.28,-384.62
0,54,0.45010,-21.94,5.45,-53.59,-123.32,20.41,-322.97
0,55,0.45844,-23.01,5.62,-56.38,-127.84,21.14,-334.80
0,56,0.46674,-24.07,5.80,-59.17,-128.31,21.26,-336.03
0,57,0.47491,-25.14,5.98,-61.96,-130.22,21.55,-341.04
0,58,0.48318,-26.31,6.16,-64.87,-141.70,21.87,-351.29
0,59,0.49176,-27.48,6.34,-67.77,-136.65,21.04,-338.79
0,60,0.50012,-27.96,6.45,-69.42,-57.66,13.29,-196.72
0,61,0.50833,-28.45,6.56,-71.06,-58.74,13.49,-200.37
0,62,0.51663,-28.92,6.64,-72.30,-56.99,9.45,-148.90
0,63,0.52487,-29.39,6.72,-73.54,-57.41,9.42,-150.00
0,64,0.53333,-29.91,6.80,-74.85,-61.37,9.79,-155.96
0,65,0.54172,-30.43,6.88,-76.17,-61.82,9.82,-157.09
0,66,0.55011,-30.95,6.96,-77.49,-61.82,9.84,-157.09
0,67,0.55826,-31.47,7.05,-78.81,-63.67,10.18,-161.80
0,68,0.56674,-31.79,7.11,-79.79,-38.13,7.61,-116.19
0,69,0.57495,-32.11,7.18,-80.78,-39.41,7.87,-120.07
0,70,0.58334,-32.21,7.22,-81.41,-12.00,5.58,-75.64
0,71,0.59180,-32.32,7.27,-82.05,-11.91,5.56,-75.09
0,72,0.60004,-32.32,7.27,-82.05,0.00,0.02,0.00
0,73,0.60849,-32.32,7.27,-82.05,0.00,0.00,0.00
0,74,0.61670,-32.32,7.27,-82.05,0.00,0.00,0.00
0,75,0.62494,-32.32,7.27,-82.05,0.00,0.00,0.00
0,76,0.63330,-32.03,7.29,-82.11,34.31,2.22,-7.30
0,77,0.64182,-31.70,7.31,-82.14,38.71,2.20,-3.94
0,78,0.65024,-31.30,7.33,-82.14,47.10,2.15,1.09
0,79,0.65836,-30.81,7.34,-82.01,60.53,1.59,15.79
0,80,0.66660,-30.18,7.34,-81.70,76.67,0.63,37.04
0,81,0.67545,-29.51,7.34,-81.27,75.17,-0.34,48.28
0,82,0.68326,-28.80,7.33,-80.66,91.80,-2.00,78.52
0,83,0.69183,-28.11,7.30,-79.92,80.43,-3.23,86.83
0,84,0.70026,-27.46,7.25,-78.98,77.17,-5.40,111.23
0,85,0.70850,-26.84,7.20,-77.94,75.19,-6.70,126.30
0,86,0.71680,-26.26,7.13,-76.75,69.12,-8.37,143.38
0,87,0.72516,-25.73,7.05,-75.48,63.87,-9.30,151.46
0,88,0.73328,-25.25,6.96,-74.10,59.02,-11.02,170.30
0,89,0.74173,-24.81,6.87,-72.67,51.99,-11.23,168.59
0,90,0.75000,-24.43,6.76,-71.18,45.76,-12.54,180.44
0,91,0.75824,-24.05,6.66,-69.69,45.93,-12.51,181.11
0,92,0.76685,-23.68,6.56,-68.20,43.97,-12.03,173.40
0,93,0.77484,-23.30,6.45,-66.65,46.95,-13.52,193.51
0,94,0.78323,-22.93,6.33,-65.02,44.36,-13.70,194.18
0,95,0.79153,-22.53,6.21,-63.29,47.79,-14.68,208.09
0,96,0.79990,-22.09,6.08,-61.42,52.19,-15.77,223.72
0,97,0.80835,-21.63,5.94,-59.48,54.51,-16.09,229.96
0,98,0.81659,-21.14,5.80,-57.42,60.00,-17.45,249.26
0,99,0.82483,-20.65,5.65,-55.37,60.00,-17.45,249.26
0,100,0.83331,-20.15,5.51,-53.32,58.27,-16.92,242.09
0,101,0.84171,-19.66,5.37,-51.26,58.91,-17.11,244.73
0,102,0.84988,-19.16,5.22,-49.21,60.45,-17.55,251.12
0,103,0.85846,-18.68,5.08,-47.20,56.58,-16.42,234.88
0,104,0.86667,-18.21,4.92,-45.24,56.88,-20.41,238.29
0,105,0.87500,-17.79,4.73,-43.34,49.82,-21.80,227.84
0,106,0.88321,-17.46,4.55,-41.53,40.89,-22.55,220.45
0,107,0.89178,-17.18,4.37,-39.78,32.74,-20.57,204.27
0,108,0.90024,-16.98,4.21,-38.11,23.47,-19.41,197.11
0,109,0.90842,-16.72,4.03,-36.34,31.34,-22.10,216.79
0,110,0.91650,-16.38,3.89,-34.41,41.89,-17.48,238.87
0,111,0.92487,-16.05,3.70,-32.48,40.51,-21.76,231.02
0,112,0.93326,-15.71,3.52,-30.55,40.36,-21.73,230.18
0,113,0.94186,-15.36,3.34,-28.59,40.43,-21.35,226.60
0,114,0.94995,-15.00,3.15,-26.62,44.91,-23.05,244.15
0,115,0.95840,-14.63,2.97,-24.65,42.96,-22.00,233.57
0,116,0.96698,-14.27,2.78,-22.67,42.35,-21.69,230.25
0,117,0.97485,-13.91,2.59,-20.70,46.12,-23.67,250.78
0,118,0.98331,-13.54,2.41,-18.72,42.96,-22.00,233.57
0,119,0.99182,-13.20,2.23,-16.79,40.50,-21.42,226.88
0,120,0.99988,-12.88,2.05,-14.93,39.39,-21.85,231.44
0,121,1.00830,-12.58,1.88,-13.11,35.51,-20.34,215.94
0,122,1.01691,-12.31,1.71,-11.36,31.21,-19.13,203.19
0,123,1.02499,-12.07,1.55,-9.67,30.57,-19.66,208.30
0,124,1.03333,-11.85,1.46,-8.09,26.01,-10.81,190.48
0,125,1.04163,-11.65,1.27,-6.57,24.26,-23.59,182.35
0,126,1.05005,-11.47,1.07,-5.17,21.01,-23.29,166.67
0,127,1.05853,-11.30,0.85,-3.83,20.14,-26.52,157.91
0,128,1.06662,-11.14,0.60,-2.58,20.38,-30.22,153.96
0,129,1.07492,-10.95,0.34,-1.41,22.43,-31.65,141.91
0,130,1.08319,-10.73,0.07,-0.33,26.20,-32.37,130.26
0,131,1.09171,-10.49,-0.20,0.68,27.96,-32.32,118.64
0,132,1.10001,-10.22,-0.47,1.59,32.72,-32.17,109.19
0,133,1.10831,-9.95,-0.73,2.49,32.72,-31.62,109.19
0,134,1.11667,-9.68,-0.99,3.40,32.48,-30.82,108.39
0,135,1.12494,-9.41,-1.24,4.28,33.21,-30.30,105.90
0,136,1.13327,-9.13,-1.48,5.11,32.97,-28.31,99.63
0,137,1.14163,-8.86,-1.71,5.94,32.85,-28.50,99.27
0,138,1.14981,-8.58,-1.96,6.77,33.58,-29.72,101.49
0,139,1.15848,-8.31,-2.21,7.60,31.69,-28.98,95.77
0,140,1.16666,-8.03,-2.46,8.43,33.58,-30.36,101.49
0,141,1.17496,-7.82,-2.63,9.04,25.00,-21.23,73.53
0,142,1.18329,-7.72,-2.68,9.32,12.45,-5.34,33.70
0,143,1.19153,-7.67,-2.69,9.37,6.30,-1.57,5.93
0,144,1.20004,-7.70,-2.60,9.06,-3.23,10.11,-35.48
0,145,1.20844,-7.74,-2.47,8.58,-5.09,16.51,-58.18
0,146,1.21677,-7.81,-2.20,7.81,-8.06,31.99,-91.94
0,147,1.22488,-7.87,-1.95,6.92,-8.27,30.30,-109.02
0,148,1.23340,-7.94,-1.66,5.87,-7.53,34.28,-124.37
0,149,1.24194,-8.00,-1.38,4.81,-7.50,32.64,-123.93
0,150,1.24994,-8.07,-1.09,3.75,-8.02,37.02,-132.44
0,151,1.25842,-8.11,-0.80,2.73,-4.68,34.09,-119.42
0,152,1.26669,-8.11,-0.53,1.79,-0.37,32.65,-114.39
0,153,1.27502,-8.08,-0.30,0.98,3.30,27.77,-96.70
0,154,1.28329,-8.01,-0.13,0.38,8.86,20.70,-72.32
0,155,1.29166,-7.90,-0.01,-0.03,12.41,13.36,-49.27
0,156,1.29999,-7.76,0.02,-0.16,17.58,4.06,-16.12
0,157,1.30832,-7.64,0.04,-0.22,14.65,1.99,-7.33
0,158,1.31665,-7.55,0.03,-0.18,10.26,-1.35,5.13
0,159,1.32489,-7.49,0.00,-0.09,7.78,-2.83,10.74
0,160,1.33328,-7.46,-0.04,0.06,3.64,-4.93,18.55
0,161,1.34177,-7.43,-0.09,0.24,3.24,-5.73,21.22
0,162,1.34982,-7.40,-0.15,0.46,3.03,-7.48,27.27
0,163,1.35840,-7.38,-0.21,0.68,2.85,-7.17,25.62
0,164,1.36652,-7.35,-0.27,0.90,3.01,-7.71,27.07
0,165,1.37491,-7.33,-0.34,1.12,2.91,-7.56,26.18
0,166,1.38312,-7.31,-0.40,1.34,2.97,-7.55,26.77
0,167,1.39169,-7.28,-0.45,1.54,3.56,-6.70,23.13
0,168,1.39984,-7.24,-0.50,1.71,4.49,-5.89,20.97
0,169,1.40833,-7.20,-0.55,1.88,4.32,-5.84,20.14
0,170,1.41663,-7.17,-0.60,2.05,4.41,-5.97,20.59
0,171,1.42493,-7.13,-0.65,2.22,4.41,-5.78,20.59
0,172,1.43338,-7.09,-0.70,2.40,4.33,-5.86,20.22
0,173,1.44162,-7.06,-0.75,2.57,4.44,-5.82,20.74
0,174,1.44992,-7.02,-0.80,2.74,4.41,-5.78,20.59
0,175,1.45856,-6.96,-0.86,2.97,7.07,-7.76,26.86
0,176,1.46655,-6.86,-0.96,3.30,11.83,-11.77,40.84
