trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-156.03,92.94,14.18
0,1,0.00800,-1.34,0.80,0.14,-167.56,99.48,17.94
0,2,0.01624,-2.68,1.58,0.31,-162.22,95.72,20.00
0,3,0.02457,-3.83,2.28,0.39,-138.83,83.32,10.26
0,4,0.03284,-4.99,2.97,0.49,-139.85,83.06,11.44
0,5,0.04153,-6.14,3.65,0.60,-132.63,78.86,12.28
0,6,0.04950,-7.30,4.34,0.71,-144.83,86.09,14.94
0,7,0.05814,-8.45,5.02,0.86,-133.22,78.72,16.61
0,8,0.06625,-9.59,5.69,1.03,-141.35,82.81,21.05
0,9,0.07458,-10.59,6.28,1.11,-119.41,71.45,9.52
0,10,0.08301,-11.58,6.87,1.21,-117.75,69.99,11.96
0,11,0.09134,-12.57,7.46,1.33,-118.68,70.15,14.29
0,12,0.09970,-13.56,8.04,1.46,-118.25,69.68,16.06
0,13,0.10791,-14.54,8.68,1.61,-120.07,77.74,18.59
0,14,0.11615,-15.53,9.23,1.79,-119.26,66.52,20.74
0,15,0.12448,-16.51,9.77,1.97,-117.58,65.56,22.71
0,16,0.13287,-17.48,10.31,2.18,-116.36,63.70,24.36
0,17,0.14120,-18.46,10.81,2.40,-116.85,60.81,26.01
0,18,0.14981,-19.43,11.29,2.62,-112.77,55.52,26.60
0,19,0.15799,-20.39,11.74,2.87,-118.28,54.98,29.85
0,20,0.16611,-21.36,12.16,3.12,-118.80,52.00,31.20
0,21,0.17456,-22.21,12.50,3.40,-101.08,40.21,33.21
0,22,0.18289,-23.07,12.82,3.69,-102.20,38.49,34.43
0,23,0.19128,-23.92,13.12,3.98,-101.45,35.76,34.55
0,24,0.19949,-24.77,13.41,4.27,-103.72,34.18,35.32
0,25,0.20813,-25.62,13.67,4.56,-98.59,30.38,33.92
0,26,0.21625,-26.47,13.91,4.86,-104.89,29.91,36.09
0,27,0.22427,-27.32,14.13,5.15,-106.08,27.95,36.50
0,28,0.23285,-28.17,14.34,5.44,-99.29,24.04,34.16
0,29,0.24118,-29.03,14.53,5.73,-102.20,22.58,35.16
0,30,0.24963,-29.88,14.70,6.03,-100.72,20.06,34.66
0,31,0.25781,-30.69,14.82,6.38,-98.88,15.06,42.91
0,32,0.26617,-31.49,14.93,6.73,-96.72,12.60,41.97
0,33,0.27472,-32.43,15.04,7.12,-109.64,12.73,45.71
0,34,0.28302,-33.37,15.12,7.51,-112.87,9.94,47.06
0,35,0.29141,-34.31,15.21,7.89,-112.00,10.34,45.09
0,36,0.29953,-35.25,15.37,8.26,-116.54,19.91,45.11
