trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-441.17,-372.19,-778.87
0,1,0.00853,-3.70,-3.28,-6.52,-433.27,-384.87,-764.94
0,2,0.01637,-7.39,-6.73,-13.05,-471.21,-439.60,-831.91
0,3,0.02522,-11.09,-10.34,-19.57,-417.59,-408.22,-737.24
0,4,0.03313,-14.78,-14.12,-26.10,-467.57,-477.97,-825.48
0,5,0.04144,-18.48,-18.06,-32.62,-444.40,-474.13,-784.59
0,6,0.04997,-22.17,-22.17,-39.15,-433.27,-481.60,-764.94
0,7,0.05806,-25.87,-26.44,-45.67,-456.98,-528.35,-806.79
0,8,0.06630,-29.57,-30.88,-52.20,-448.52,-538.59,-791.85
0,9,0.07523,-33.26,-35.49,-58.72,-414.02,-515.65,-730.94
0,10,0.08345,-36.96,-40.25,-65.25,-449.35,-579.72,-793.32
0,11,0.09166,-40.65,-45.19,-71.77,-450.19,-600.89,-794.80
0,12,0.10002,-44.35,-49.85,-78.30,-441.97,-558.18,-780.29
0,13,0.10794,-48.04,-54.69,-84.82,-466.67,-610.19,-823.89
0,14,0.11668,-51.74,-58.97,-91.35,-422.69,-489.52,-746.25
0,15,0.12489,-55.44,-63.41,-97.87,-450.19,-541.42,-794.80
0,16,0.13353,-59.13,-65.48,-104.39,-427.92,-239.70,-755.48
0,17,0.14128,-62.83,-67.72,-110.92,-476.77,-288.36,-841.73
0,18,0.14972,-66.52,-70.12,-117.44,-437.97,-284.45,-773.24
0,19,0.15788,-70.22,-72.68,-123.97,-452.71,-314.24,-799.25
0,20,0.16629,-73.91,-75.66,-130.49,-439.56,-353.85,-776.04
0,21,0.17513,-77.61,-78.80,-137.02,-418.31,-355.41,-738.51
0,22,0.18327,-81.30,-82.46,-143.54,-453.56,-450.11,-800.75
0,23,0.19142,-85.00,-86.30,-150.07,-453.56,-470.37,-800.75
0,24,0.19981,-88.70,-90.81,-156.59,-440.36,-537.34,-777.45
0,25,0.20816,-92.39,-95.48,-163.12,-442.78,-560.07,-781.72
0,26,0.21629,-96.09,-100.68,-169.64,-454.41,-639.04,-802.25
0,27,0.22490,-99.78,-106.04,-176.17,-429.43,-623.08,-758.16
0,28,0.23317,-103.48,-111.57,-182.69,-446.86,-668.33,-788.93
0,29,0.24168,-107.17,-117.26,-189.22,-434.05,-668.55,-766.31
0,30,0.24974,-110.87,-123.30,-195.74,-458.71,-749.11,-809.85
0,31,0.25821,-114.57,-129.50,-202.26,-436.40,-732.16,-770.45
0,32,0.26653,-118.26,-136.07,-208.79,-444.40,-790.42,-784.59
0,33,0.27490,-121.96,-142.81,-215.31,-441.17,-804.38,-778.87
0,34,0.28323,-125.65,-149.99,-221.84,-443.59,-861.56,-783.15
0,35,0.29155,-129.35,-157.33,-228.36,-444.40,-882.99,-784.59
0,36,0.29976,-133.04,-164.96,-234.89,-450.19,-930.07,-794.80
0,37,0.30795,-136.74,-172.76,-241.41,-451.02,-951.93,-796.28
0,38,0.31636,-140.44,-180.73,-247.94,-439.56,-947.37,-776.04
0,39,0.32507,-144.13,-188.86,-254.46,-424.17,-933.12,-748.86
0,40,0.33325,-147.83,-197.02,-260.99,-451.87,-998.04,-797.76
0,41,0.34172,-151.52,-205.35,-267.51,-436.40,-983.34,-770.45
0,42,0.35052,-155.22,-213.68,-274.04,-419.76,-946.13,-741.07
0,43,0.35892,-158.91,-222.17,-280.56,-440.36,-1012.23,-777.45
0,44,0.36728,-162.61,-230.65,-287.08,-441.97,-1013.46,-780.29
0,45,0.37526,-166.31,-239.29,-293.61,-463.10,-1082.59,-817.59
0,46,0.38438,-170.00,-248.09,-300.13,-405.02,-964.89,-715.05
0,47,0.39145,-173.70,-257.06,-306.66,-523.11,-1269.61,-923.54
0,48,0.40025,-177.39,-266.55,-313.18,-419.76,-1078.11,-741.07
0,49,0.40807,-181.09,-276.21,-319.71,-473.05,-1236.11,-835.16
0,50,0.41638,-184.78,-286.27,-326.23,-444.40,-1209.04,-784.59
0,51,0.42480,-188.48,-296.48,-332.76,-438.77,-1213.30,-774.64
0,52,0.43320,-192.18,-307.01,-339.28,-440.36,-1254.05,-777.45
0,53,0.44159,-195.87,-317.70,-345.81,-440.36,-1273.73,-777.45
0,54,0.44998,-199.57,-328.89,-352.33,-440.36,-1333.74,-777.45
0,55,0.45824,-203.26,-340.25,-358.86,-447.69,-1375.94,-790.39
0,56,0.46669,-206.96,-352.36,-365.38,-437.18,-1432.92,-771.84
0,57,0.47522,-210.65,-364.64,-371.91,-433.27,-1439.47,-764.94
0,58,0.48341,-214.48,-378.11,-378.65,-466.67,-1643.45,-823.46
0,59,0.49174,-218.17,-391.32,-385.18,-443.59,-1585.42,-783.15
0,60,0.50027,-221.87,-405.23,-391.70,-433.27,-1631.43,-764.94
0,61,0.50841,-225.56,-419.33,-398.23,-454.41,-1733.64,-802.25
0,62,0.51691,-229.26,-434.13,-404.75,-435.19,-1741.22,-768.04
0,63,0.52534,-232.96,-449.11,-411.28,-437.97,-1775.07,-773.24
0,64,0.53386,-236.65,-464.81,-417.80,-434.05,-1844.44,-766.31
0,65,0.54181,-240.35,-480.70,-424.33,-464.88,-1998.82,-820.73
0,66,0.55029,-244.05,-497.33,-430.85,-435.61,-1960.33,-769.06
0,67,0.55861,-247.74,-514.15,-437.38,-444.40,-2022.08,-784.59
0,68,0.56703,-251.44,-531.67,-443.90,-438.77,-2079.55,-774.64
0,69,0.57529,-255.13,-549.36,-450.43,-447.69,-2143.99,-790.39
0,70,0.58386,-258.83,-567.72,-456.95,-430.96,-2140.75,-760.85
0,71,0.59192,-262.52,-586.26,-463.48,-458.71,-2301.13,-809.85
0,72,0.59987,-266.22,-605.42,-470.00,-464.88,-2409.81,-820.73
0,73,0.60867,-269.92,-624.76,-476.53,-419.76,-2196.38,-741.07
0,74,0.61681,-273.61,-644.67,-483.05,-454.41,-2448.68,-802.25
0,75,0.62547,-277.37,-665.10,-489.68,-433.45,-2356.60,-765.14
0,76,0.63379,-281.06,-685.73,-496.21,-444.40,-2481.06,-784.59
0,77,0.64235,-284.76,-706.54,-502.73,-431.73,-2431.63,-762.21
0,78,0.65022,-288.46,-727.85,-509.26,-469.38,-2705.93,-828.68
0,79,0.65886,-292.15,-749.34,-515.78,-427.92,-2487.78,-755.48
0,80,0.66689,-295.85,-771.27,-522.31,-460.46,-2733.00,-812.93
0,81,0.67552,-299.54,-793.38,-528.83,-427.92,-2560.50,-755.48
0,82,0.68370,-303.24,-815.91,-535.35,-451.87,-2753.89,-797.76
1,0,0.00000,0.00,0.00,0.00,-140.15,695.12,-264.23
1,1,0.00830,-1.17,5.64,-2.21,-141.18,679.15,-266.18
1,2,0.01666,-2.34,11.10,-4.42,-140.15,653.26,-264.23
1,3,0.02484,-3.52,16.39,-6.63,-143.28,646.49,-270.15
1,4,0.03326,-4.69,21.50,-8.84,-139.13,606.97,-262.32
1,5,0.04163,-5.86,26.44,-11.05,-140.15,590.48,-264.23
1,6,0.04999,-7.03,31.20,-13.26,-140.15,569.55,-264.23
1,7,0.05817,-8.20,35.79,-15.47,-143.28,560.90,-270.15
1,8,0.06659,-9.38,40.20,-17.68,-139.13,523.87,-262.32
1,9,0.07489,-10.55,44.44,-19.89,-141.18,510.49,-266.18
1,10,0.08331,-11.72,48.50,-22.09,-139.13,482.31,-262.32
1,11,0.09161,-12.89,52.39,-24.30,-141.18,468.33,-266.18
1,12,0.09998,-14.06,56.53,-26.51,-140.15,495.46,-264.23
1,13,0.10828,-15.23,60.50,-28.72,-141.18,478.03,-266.18
1,14,0.11676,-16.41,65.01,-30.93,-138.13,531.63,-260.43
1,15,0.12494,-17.58,69.34,-33.14,-143.28,530.11,-270.15
1,16,0.13336,-18.75,76.04,-35.35,-139.13,795.47,-262.32
1,17,0.14166,-19.92,82.57,-37.56,-141.18,786.08,-266.18
1,18,0.15002,-21.09,88.92,-39.77,-140.15,759.41,-264.23
1,19,0.15826,-22.27,95.09,-41.98,-142.22,749.42,-268.15
1,20,0.16669,-23.44,100.85,-44.19,-139.13,683.30,-262.32
1,21,0.17493,-24.61,106.43,-46.40,-142.22,677.24,-268.15
1,22,0.18341,-25.78,111.47,-48.61,-138.13,594.40,-260.43
1,23,0.19171,-26.95,116.34,-50.82,-141.18,586.41,-266.18
1,24,0.20007,-28.12,120.52,-53.03,-140.15,499.98,-264.23
1,25,0.20831,-29.30,124.53,-55.24,-142.22,486.15,-268.15
1,26,0.21667,-30.47,128.00,-57.45,-140.15,415.34,-264.23
1,27,0.22498,-31.64,131.30,-59.66,-141.18,397.31,-266.18
1,28,0.23334,-32.81,134.42,-61.87,-140.15,373.48,-264.23
1,29,0.24170,-33.98,137.37,-64.07,-140.15,352.55,-264.23
1,30,0.25000,-35.16,139.96,-66.28,-141.18,312.61,-266.18
1,31,0.25830,-36.33,142.38,-68.49,-141.18,291.53,-266.18
1,32,0.26672,-37.50,144.42,-70.70,-139.13,241.85,-262.32
1,33,0.27521,-38.67,146.28,-72.91,-138.13,219.48,-260.43
1,34,0.28339,-39.85,147.70,-75.13,-144.03,173.61,-271.64
1,35,0.29163,-41.02,148.94,-77.34,-142.22,149.97,-268.15
1,36,0.30005,-42.19,149.87,-79.55,-139.13,110.91,-262.32
1,37,0.30835,-43.37,150.63,-81.76,-141.18,91.46,-266.18
1,38,0.31671,-44.54,151.22,-83.97,-140.15,69.87,-264.23
1,39,0.32501,-45.71,151.63,-86.18,-141.18,49.39,-266.18
1,40,0.33344,-46.88,151.99,-88.39,-139.13,43.52,-262.32
1,41,0.34174,-48.05,152.19,-90.60,-141.18,23.21,-266.18
1,42,0.35010,-49.22,152.36,-92.81,-140.15,21.43,-264.23
1,43,0.35834,-50.40,152.37,-95.02,-142.22,0.65,-268.15
1,44,0.36676,-51.57,152.38,-97.23,-139.13,1.77,-262.32
1,45,0.37512,-52.74,152.22,-99.44,-140.15,-19.15,-264.23
1,46,0.38342,-53.91,151.89,-101.65,-141.18,-40.37,-266.18
1,47,0.39172,-55.08,151.38,-103.86,-141.18,-61.72,-266.18
1,48,0.40015,-56.26,150.33,-106.07,-139.13,-123.79,-262.32
1,49,0.40839,-57.43,149.12,-108.28,-142.22,-147.95,-268.15
1,50,0.41675,-58.60,147.49,-110.49,-140.15,-194.34,-264.23
1,51,0.42511,-59.77,145.69,-112.70,-140.15,-215.37,-264.23
1,52,0.43347,-60.94,143.57,-114.90,-140.15,-252.94,-264.23
1,53,0.44177,-62.12,141.28,-117.11,-141.18,-276.14,-266.18
1,54,0.45020,-63.29,138.48,-119.32,-139.13,-332.89,-262.32
1,55,0.45844,-64.46,135.50,-121.53,-142.22,-361.96,-268.15
1,56,0.46686,-65.63,131.75,-123.74,-139.13,-444.46,-262.32
1,57,0.47516,-66.80,127.83,-125.95,-141.18,-472.51,-266.18
1,58,0.48346,-67.97,123.16,-128.16,-141.18,-562.50,-266.18
1,59,0.49182,-69.15,118.31,-130.37,-140.15,-579.74,-264.23
1,60,0.50018,-70.32,112.73,-132.58,-140.15,-667.39,-264.23
1,61,0.50848,-71.49,106.97,-134.79,-141.18,-693.79,-266.18
1,62,0.51691,-72.66,100.50,-137.00,-139.13,-769.08,-262.32
1,63,0.52521,-73.83,93.84,-139.21,-141.18,-801.91,-266.18
1,64,0.53357,-75.01,86.43,-141.42,-140.15,-886.09,-264.23
1,65,0.54181,-76.18,78.84,-143.63,-142.22,-920.90,-268.15
1,66,0.55029,-77.35,70.49,-145.84,-138.13,-984.95,-260.43
1,67,0.55853,-78.52,61.95,-148.05,-142.22,-1035.79,-268.15
1,68,0.56696,-79.69,52.69,-150.26,-139.13,-1099.47,-262.32
1,69,0.57520,-80.87,43.25,-152.47,-142.22,-1145.53,-268.15
1,70,0.58356,-82.04,33.13,-154.68,-140.15,-1210.60,-264.23
1,71,0.59192,-83.21,22.83,-156.88,-140.15,-1231.88,-264.23
1,72,0.60046,-84.38,11.89,-159.09,-137.14,-1280.59,-258.57
1,73,0.60852,-85.68,-0.44,-161.53,-160.61,-1529.63,-302.27
1,74,0.61700,-86.85,-12.18,-163.74,-138.13,-1383.57,-260.43
1,75,0.62518,-88.02,-24.13,-165.95,-143.28,-1461.75,-270.15
1,76,0.63348,-89.19,-36.60,-168.16,-141.18,-1502.63,-266.18
1,77,0.64172,-90.36,-49.29,-170.37,-142.22,-1539.56,-268.15
1,78,0.65021,-91.53,-62.46,-172.58,-138.13,-1551.84,-260.43
1,79,0.65845,-92.71,-75.83,-174.79,-142.22,-1623.06,-268.15
1,80,0.66687,-93.88,-89.65,-177.00,-139.13,-1640.28,-262.32
1,81,0.67517,-95.05,-103.66,-179.21,-141.18,-1688.89,-266.18
1,82,0.68353,-96.22,-118.09,-181.41,-140.15,-1724.94,-264.23
2,0,0.00000,0.00,0.00,0.00,-21.01,398.99,-296.01
2,1,0.00818,-0.18,3.19,-2.49,-21.64,389.50,-304.85
2,2,0.01709,-0.35,6.20,-4.99,-19.86,337.85,-279.79
2,3,0.02502,-0.53,9.03,-7.48,-22.31,357.37,-314.23
2,4,0.03308,-0.71,11.69,-9.97,-21.97,330.24,-309.47
2,5,0.04163,-0.89,14.18,-12.47,-20.71,290.89,-291.79
2,6,0.04980,-1.06,16.49,-14.96,-21.64,282.52,-304.85
2,7,0.05835,-1.24,18.62,-17.45,-20.71,249.93,-291.79
2,8,0.06714,-1.42,20.58,-19.95,-20.14,223.07,-283.68
2,9,0.07495,-1.59,22.37,-22.44,-22.66,228.56,-319.14
2,10,0.08325,-1.77,23.98,-24.93,-21.32,194.03,-300.37
2,11,0.09155,-1.95,25.42,-27.43,-21.32,172.95,-300.37
2,12,0.09998,-2.12,27.11,-29.92,-21.01,200.76,-296.01
2,13,0.10840,-2.30,28.62,-32.41,-21.01,180.00,-296.01
2,14,0.11719,-2.48,30.68,-34.91,-20.14,234.21,-283.68
2,15,0.12537,-2.66,32.57,-37.40,-21.64,230.33,-304.85
2,16,0.13330,-2.83,36.81,-39.89,-22.31,535.41,-314.23
2,17,0.14160,-3.01,40.89,-42.39,-21.32,490.71,-300.37
2,18,0.14990,-3.19,44.79,-44.88,-21.32,469.62,-300.37
2,19,0.15894,-3.36,48.51,-47.37,-19.59,412.17,-276.01
2,20,0.16663,-3.54,51.81,-49.87,-23.02,429.56,-324.21
2,21,0.17505,-3.72,54.94,-52.36,-21.01,371.42,-296.01
2,22,0.18335,-3.89,57.53,-54.85,-21.32,312.13,-300.37
2,23,0.19165,-4.07,59.95,-57.35,-21.32,291.04,-300.37
2,24,0.20007,-4.25,61.68,-59.84,-21.01,205.25,-296.01
2,25,0.20850,-4.43,63.23,-62.33,-21.01,184.48,-296.01
2,26,0.21729,-4.60,64.25,-64.83,-20.14,116.19,-283.68
2,27,0.22546,-4.78,65.10,-67.32,-21.64,103.46,-304.85
2,28,0.23340,-4.96,65.77,-69.81,-22.31,84.59,-314.23
2,29,0.24170,-5.13,66.27,-72.31,-21.32,59.78,-300.37
2,30,0.25000,-5.31,66.41,-74.80,-21.32,17.23,-300.37
2,31,0.25903,-5.49,66.38,-77.29,-19.59,-3.54,-276.01
2,32,0.26672,-5.66,65.96,-79.79,-23.02,-53.94,-324.21
2,33,0.27515,-5.84,65.37,-82.28,-21.01,-70.03,-296.01
2,34,0.28345,-6.02,64.33,-84.77,-21.32,-125.23,-300.37
2,35,0.29175,-6.20,63.12,-87.27,-21.32,-146.32,-300.37
2,36,0.30017,-6.37,61.60,-89.76,-21.01,-180.25,-296.38
2,37,0.30847,-6.55,59.91,-92.25,-21.32,-203.81,-300.37
2,38,0.31726,-6.73,58.04,-94.75,-20.14,-212.40,-283.68
2,39,0.32507,-6.90,56.00,-97.24,-22.66,-261.33,-319.14
2,40,0.33325,-7.08,53.91,-99.73,-21.64,-254.85,-304.85
2,41,0.34167,-7.26,51.66,-102.23,-21.01,-268.22,-296.01
2,42,0.34998,-7.43,49.38,-104.72,-21.32,-273.68,-300.37
