trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-21.32,-2051.86,-300.37
0,1,0.00818,-0.18,-17.43,-2.49,-21.64,-2130.59,-304.85
0,2,0.01672,-0.36,-35.61,-5.07,-21.43,-2127.72,-301.43
0,3,0.02551,-0.54,-53.59,-7.56,-20.14,-2045.86,-283.68
0,4,0.03320,-0.71,-71.75,-10.06,-23.02,-2361.71,-324.21
0,5,0.04150,-0.89,-90.27,-12.55,-21.32,-2230.95,-300.37
0,6,0.05005,-1.07,-108.97,-15.04,-20.71,-2188.38,-291.79
0,7,0.05835,-1.25,-128.01,-17.54,-21.32,-2294.19,-300.37
0,8,0.06726,-1.42,-147.24,-20.03,-19.86,-2157.32,-279.79
0,9,0.07495,-1.60,-166.79,-22.52,-23.02,-2542.92,-324.21
0,10,0.08325,-1.78,-186.53,-25.02,-21.32,-2377.64,-300.37
0,11,0.09180,-1.95,-206.58,-27.51,-20.71,-2347.14,-291.79
0,12,0.10010,-2.13,-226.82,-30.00,-21.32,-2437.82,-300.37
0,13,0.10828,-2.31,-247.36,-32.50,-21.64,-2511.85,-304.85
0,14,0.11719,-2.48,-268.09,-34.99,-19.86,-2325.51,-279.79
0,15,0.12561,-2.66,-289.11,-37.48,-21.01,-2495.45,-296.01
0,16,0.13330,-2.84,-310.30,-39.97,-23.02,-2756.37,-324.21
0,17,0.14160,-3.02,-331.79,-42.47,-21.32,-2587.88,-300.37
0,18,0.14990,-3.19,-353.45,-44.96,-21.32,-2609.56,-300.37
0,19,0.15845,-3.37,-375.42,-47.45,-20.71,-2571.75,-291.79
0,20,0.16711,-1.70,-380.34,-48.86,192.96,-567.59,-162.32
