trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-460.45,141.59,-116.42
0,1,0.00861,-3.77,1.16,-0.95,-437.59,134.56,-110.64
0,2,0.01685,-8.04,2.13,-2.12,-519.26,117.54,-141.85
0,3,0.02496,-12.32,3.10,-3.29,-527.07,119.39,-143.98
0,4,0.03375,-17.28,3.97,-4.71,-563.89,99.67,-162.15
0,5,0.04169,-22.24,4.85,-6.14,-624.62,110.32,-179.23
0,6,0.04999,-27.66,5.64,-7.73,-652.94,95.75,-192.28
0,7,0.05835,-33.14,6.41,-9.23,-655.47,91.27,-179.20
0,8,0.06683,-38.91,7.14,-10.41,-680.58,86.26,-138.85
0,9,0.07495,-44.67,7.88,-11.65,-709.77,92.00,-152.26
0,10,0.08331,-50.40,8.59,-12.77,-685.40,84.87,-134.31
0,11,0.09161,-56.10,9.34,-14.04,-686.03,89.77,-153.31
0,12,0.10004,-61.54,10.14,-15.16,-646.38,94.73,-132.25
0,13,0.10846,-66.98,10.93,-16.27,-645.65,94.74,-131.88
0,14,0.11682,-71.92,11.89,-17.38,-590.51,114.58,-133.21
0,15,0.12488,-75.26,13.34,-20.16,-414.39,180.14,-345.08
0,16,0.13336,-78.60,14.84,-22.92,-394.24,176.82,-325.54
0,17,0.14203,-81.95,16.35,-25.69,-385.92,173.23,-319.37
0,18,0.14996,-85.39,17.60,-28.62,-433.85,157.95,-369.62
0,19,0.15851,-73.03,29.38,-13.26,1446.43,1378.87,1797.86
0,20,0.16656,-76.98,29.64,-16.97,-490.15,32.17,-460.61
0,21,0.17487,-80.93,29.90,-20.68,-475.74,31.21,-447.43
0,22,0.18335,-84.77,29.57,-24.46,-452.52,-38.26,-445.32
0,23,0.19202,-88.60,29.25,-28.24,-442.96,-37.47,-435.92
0,24,0.20032,-92.30,28.43,-32.03,-444.85,-98.28,-455.88
0,25,0.20862,-96.78,27.56,-35.76,-540.44,-104.74,-450.00
0,26,0.21729,-100.90,26.64,-39.31,-474.65,-107.06,-409.51
0,27,0.22510,-105.60,25.58,-42.99,-602.34,-134.66,-471.48
0,28,0.23346,-109.99,24.77,-46.55,-524.82,-97.21,-425.18
0,29,0.24188,-114.38,23.96,-50.10,-521.01,-96.50,-422.10
0,30,0.25006,-119.01,23.50,-53.76,-566.42,-56.09,-447.01
0,31,0.25830,-123.65,23.04,-57.42,-562.22,-55.63,-443.70
0,32,0.26709,-128.87,23.98,-61.17,-594.44,106.63,-427.43
0,33,0.27496,-134.09,24.92,-64.93,-663.57,119.02,-476.74
0,34,0.28339,-139.23,26.77,-68.38,-609.42,219.78,-410.14
0,35,0.29169,-144.36,28.62,-71.84,-618.38,223.12,-416.54
0,36,0.30017,-148.80,30.74,-74.69,-523.02,249.87,-335.97
0,37,0.30835,-153.23,32.86,-77.54,-542.54,259.29,-348.88
0,38,0.31702,-156.57,34.91,-79.57,-384.51,235.97,-234.51
0,39,0.32495,-159.90,36.95,-81.60,-420.00,257.64,-255.77
0,40,0.33350,-161.82,38.81,-82.61,-225.00,217.18,-117.50
0,41,0.34216,-163.75,40.66,-83.61,-221.83,214.01,-115.49
0,42,0.34991,-164.11,42.23,-83.49,-47.24,201.95,14.96
0,43,0.35834,-164.48,43.79,-83.38,-43.48,185.85,13.77
0,44,0.36676,-163.52,45.14,-82.31,113.77,160.19,127.17
0,45,0.37512,-162.56,46.49,-81.23,114.60,161.39,128.10
0,46,0.38324,-160.81,48.42,-79.41,215.79,237.31,224.44
0,47,0.39172,-159.06,50.34,-77.59,206.47,227.11,215.11
0,48,0.39996,-156.41,53.32,-74.83,320.74,360.99,335.19
0,49,0.40845,-153.78,56.29,-72.07,310.79,350.60,325.18
0,50,0.41644,-149.80,60.29,-68.01,497.71,499.71,506.87
0,51,0.42505,-145.81,64.28,-63.97,463.12,464.50,469.86
0,52,0.43329,-140.70,68.95,-58.83,620.00,566.54,623.33
0,53,0.44183,-135.60,73.62,-53.70,597.86,546.32,601.07
0,54,0.45050,-129.77,78.42,-48.04,672.54,553.41,652.82
0,55,0.45837,-123.95,83.20,-42.40,738.76,607.14,716.67
0,56,0.46661,-117.80,87.42,-36.64,745.93,512.60,698.89
0,57,0.47491,-111.65,91.64,-30.88,741.18,508.58,693.75
0,58,0.48340,-104.80,95.19,-24.29,807.19,418.05,776.98
0,59,0.49152,-98.55,98.76,-17.23,770.68,439.90,869.92
0,60,0.50000,-91.99,101.54,-10.11,773.38,327.30,839.21
0,61,0.50848,-85.44,104.31,-3.01,771.22,326.92,837.05
0,62,0.51654,-78.79,108.31,4.43,825.76,496.30,922.73
0,63,0.52496,-71.09,113.36,7.50,913.77,599.89,364.49
0,64,0.53339,-63.39,118.42,10.57,914.49,599.89,364.49
0,65,0.54181,-55.52,123.49,13.69,934.06,602.94,370.29
0,66,0.54999,-76.62,139.39,12.46,-2579.10,1943.21,-150.00
0,67,0.55835,-67.44,143.67,15.70,1097.08,511.78,387.23
0,68,0.56677,-63.06,146.02,17.32,521.01,279.13,192.39
0,69,0.57501,-58.72,148.40,19.10,526.67,289.27,216.67
0,70,0.58344,-54.89,150.48,20.92,454.35,246.46,215.58
