trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,386.33,0.00,261.15
0,1,0.00879,3.28,-0.00,2.22,372.92,-0.49,252.08
0,2,0.01654,7.75,-0.18,4.98,577.56,-23.26,356.30
0,3,0.02594,12.23,-0.55,7.74,476.30,-38.56,293.83
0,4,0.03326,17.73,-0.82,11.01,751.25,-37.71,447.08
0,5,0.04178,22.91,-1.11,14.09,607.53,-33.72,360.93
0,6,0.05011,28.28,-1.40,17.21,644.69,-35.03,375.46
0,7,0.05911,33.65,-1.69,20.34,596.61,-32.37,347.46
0,8,0.06671,39.02,-1.99,23.47,706.83,-38.45,411.65
0,9,0.07507,44.42,-2.28,26.61,645.26,-35.05,375.18
0,10,0.08344,50.18,-2.58,29.85,689.05,-36.15,387.96
0,11,0.09164,55.96,-2.88,33.11,704.46,-37.01,396.65
0,12,0.10013,62.05,-3.21,36.55,717.63,-37.78,405.40
0,13,0.10837,68.15,-3.53,40.01,741.11,-39.16,419.63
0,14,0.11740,74.55,-3.87,43.72,707.77,-38.39,411.15
0,15,0.12512,80.98,-4.22,47.46,832.81,-45.16,484.19
0,16,0.13361,87.89,-4.61,51.57,815.11,-45.26,484.89
0,17,0.14203,94.84,-4.99,55.71,824.64,-45.82,491.30
0,18,0.15039,102.22,-5.41,60.20,883.21,-50.11,536.50
0,19,0.15936,109.61,-5.83,64.68,823.13,-46.70,500.00
0,20,0.16791,117.00,-6.37,69.17,864.29,-62.80,525.00
0,21,0.17542,124.60,-7.10,73.80,1013.41,-97.93,617.48
0,22,0.18396,131.59,-7.79,78.19,818.21,-80.24,513.57
0,23,0.19235,138.53,-8.47,82.57,826.18,-81.36,521.09
0,24,0.20062,144.96,-9.12,86.80,777.12,-78.25,512.18
0,25,0.20941,151.33,-9.76,91.03,725.69,-73.33,480.90
0,26,0.21735,157.29,-10.38,95.15,751.15,-77.64,519.62
0,27,0.22638,163.20,-10.99,99.25,654.05,-67.72,453.38
0,28,0.23419,168.71,-11.57,103.13,705.08,-73.82,497.66
0,29,0.24237,174.11,-12.13,106.95,660.07,-69.11,467.16
0,30,0.25082,179.10,-12.66,110.56,590.25,-62.57,426.71
0,31,0.25986,184.03,-13.19,114.14,546.28,-57.96,395.95
0,32,0.26819,188.66,-13.68,117.58,554.95,-59.71,412.45
0,33,0.27585,193.04,-14.15,120.83,571.71,-61.50,424.30
0,34,0.28421,196.81,-14.56,123.60,451.82,-48.36,332.12
0,35,0.29272,200.47,-14.95,126.27,429.03,-45.73,313.62
0,36,0.30106,203.37,-15.25,128.32,347.99,-36.47,246.15
0,37,0.30997,206.16,-15.54,130.29,314.04,-32.79,221.23
0,38,0.31775,208.36,-15.77,131.79,282.75,-28.93,192.16
0,39,0.32690,210.51,-15.99,133.24,234.33,-23.98,158.33
0,40,0.33469,212.40,-16.18,134.45,242.35,-24.07,155.69
0,41,0.34280,214.19,-16.35,135.59,220.68,-21.75,139.85
0,42,0.35132,215.77,-16.50,136.52,186.02,-17.67,109.32
0,43,0.36008,217.31,-16.65,137.41,175.61,-16.51,101.74
0,44,0.36871,218.63,-16.77,138.10,153.36,-13.79,80.57
0,45,0.37631,219.96,-16.89,138.80,175.10,-15.66,91.57
0,46,0.38501,221.19,-16.99,139.43,141.40,-12.52,71.93
0,47,0.39301,222.44,-17.11,140.07,155.34,-13.88,80.53
0,48,0.40146,223.73,-17.22,140.79,153.43,-14.10,84.84
0,49,0.40988,225.04,-17.35,141.53,154.71,-14.50,88.41
0,50,0.41885,226.37,-17.48,142.40,148.30,-14.83,96.60
0,51,0.42648,227.72,-17.62,143.28,176.80,-17.77,115.60
0,52,0.43503,229.05,-17.75,144.15,155.71,-15.57,101.43
0,53,0.44318,230.39,-17.88,145.02,165.17,-16.51,107.49
0,54,0.45166,231.80,-18.02,145.93,165.47,-16.53,107.19
0,55,0.46008,233.24,-18.09,146.84,171.38,-8.09,107.97
0,56,0.46884,234.83,-18.29,147.75,181.88,-22.21,103.48
0,57,0.47662,236.50,-18.50,148.66,213.73,-27.11,117.25
0,58,0.48505,238.41,-18.78,149.58,227.54,-33.24,109.06
0,59,0.49344,240.38,-19.13,150.50,234.91,-42.34,109.45
0,60,0.50186,242.57,-19.58,151.43,259.78,-53.70,110.14
0,61,0.51022,244.78,-20.12,152.34,264.23,-64.52,109.85
0,62,0.51862,247.07,-20.70,153.23,272.73,-68.50,105.82
0,63,0.52756,249.37,-21.24,154.10,257.68,-60.31,96.59
0,64,0.53598,251.84,-21.79,154.91,292.75,-65.49,96.74
0,65,0.54355,254.23,-22.32,155.68,315.32,-69.88,101.61
0,66,0.55197,256.69,-22.85,156.42,292.03,-63.21,88.04
0,67,0.56033,259.15,-23.39,157.19,294.89,-64.41,91.97
0,68,0.56927,261.63,-23.95,158.05,277.13,-63.07,95.90
0,69,0.57697,264.11,-24.37,158.96,322.22,-53.50,118.25
0,70,0.58539,266.59,-24.45,160.01,294.93,-10.47,124.64
0,71,0.59387,269.08,-24.54,161.08,293.17,-10.52,126.62
0,72,0.60217,271.58,-24.63,162.23,301.10,-11.10,138.24
0,73,0.61047,274.08,-24.73,163.38,301.10,-11.10,138.24
0,74,0.61887,276.58,-24.82,164.52,297.82,-11.00,136.73
0,75,0.62796,279.06,-24.91,165.65,273.15,-9.99,123.83
0,76,0.63623,281.65,-25.00,166.76,312.55,-11.21,134.69
0,77,0.64392,284.07,-25.09,167.78,315.48,-11.15,131.75
0,78,0.65228,286.45,-25.17,168.70,283.94,-9.78,110.58
0,79,0.66080,288.82,-25.25,169.63,278.85,-9.58,108.60
0,80,0.66965,291.20,-25.33,170.55,268.28,-9.22,104.48
0,81,0.67734,293.55,-25.41,171.43,306.35,-10.36,114.29
0,82,0.68573,295.86,-25.49,172.21,274.91,-8.95,92.73
0,83,0.69424,298.17,-25.56,172.99,270.97,-8.78,91.40
0,84,0.70261,300.47,-25.64,173.76,275.91,-8.99,93.07
0,85,0.71082,302.72,-25.71,174.47,273.61,-8.66,85.87
0,86,0.71979,304.83,-25.77,175.01,235.03,-6.94,59.86
0,87,0.72751,306.83,-25.83,175.46,259.68,-7.40,58.89
0,88,0.73587,308.61,-25.87,175.74,212.77,-5.53,32.85
0,89,0.74438,310.30,-25.92,175.94,197.85,-4.94,24.37
0,90,0.75275,311.77,-25.95,176.00,175.91,-3.85,6.93
0,91,0.76099,313.15,-25.98,176.01,167.41,-3.45,0.74
0,92,0.76990,314.33,-26.00,175.90,132.53,-2.27,-12.33
0,93,0.77771,315.45,-26.02,175.74,143.36,-2.26,-19.53
0,94,0.78680,316.36,-26.03,175.51,100.34,-1.14,-25.50
1,0,0.00000,0.00,0.00,0.00,412.32,23.31,225.00
1,1,0.00775,3.47,0.20,1.90,448.03,25.38,244.49
1,2,0.01605,8.19,0.48,4.22,568.38,33.61,280.15
1,3,0.02435,12.91,0.75,6.55,568.38,33.61,280.15
1,4,0.03271,18.33,1.08,9.11,648.91,38.87,306.93
1,5,0.04108,23.76,1.41,11.68,648.91,38.91,306.93
1,6,0.04999,26.70,1.33,16.62,329.45,-8.90,554.45
1,7,0.05823,26.40,1.26,20.25,-36.30,-8.26,440.37
1,8,0.06610,25.11,0.99,23.90,-163.57,-33.84,463.18
1,9,0.07434,23.70,0.69,26.96,-170.74,-36.80,371.48
1,10,0.08282,20.61,0.38,28.02,-364.03,-35.78,125.90
1,11,0.09100,16.63,0.06,27.99,-486.94,-39.82,-3.73
1,12,0.10010,12.39,-0.25,27.14,-466.44,-33.88,-93.62
1,13,0.10834,7.71,-0.56,25.50,-568.52,-37.33,-199.63
1,14,0.11633,3.88,-0.80,24.06,-477.86,-30.80,-180.15
1,15,0.12445,0.60,-1.00,22.42,-404.51,-23.83,-201.13
1,16,0.13281,-1.29,-1.09,21.21,-226.28,-11.75,-145.62
1,17,0.14105,-2.74,-1.15,19.82,-175.56,-6.58,-168.15
1,18,0.15009,-2.86,-1.12,19.05,-13.51,2.85,-85.47
1,19,0.15839,-2.70,-1.08,18.37,19.49,5.47,-82.35
1,20,0.16632,-1.90,-1.01,18.21,100.38,9.13,-19.62
1,21,0.17444,-0.66,-0.91,18.27,152.63,12.19,7.89
1,22,0.18286,-0.03,-0.85,18.11,74.64,6.97,-19.57
1,23,0.19116,1.05,-0.75,17.90,130.51,11.96,-25.00
1,24,0.19952,1.91,-0.67,17.70,103.28,9.58,-24.09
1,25,0.20837,3.91,-0.50,17.66,225.86,18.75,-4.83
1,26,0.21613,5.78,-0.34,17.52,240.55,20.58,-17.32
1,27,0.22437,8.76,-0.10,17.61,361.85,29.18,10.74
1,28,0.23291,11.33,0.12,17.38,301.07,25.93,-26.79
1,29,0.24103,14.40,0.36,17.57,378.57,30.03,22.93
1,30,0.25012,16.98,0.57,17.75,283.56,22.32,19.80
1,31,0.25836,18.80,0.71,17.87,220.37,17.43,14.44
1,32,0.26617,18.41,0.71,17.22,-49.22,-0.19,-82.42
1,33,0.27515,17.50,0.67,16.43,-101.36,-4.23,-88.10
1,34,0.28308,15.86,0.59,15.19,-207.31,-9.67,-156.54
1,35,0.29187,14.72,0.54,14.30,-129.51,-5.93,-101.39
1,36,0.29974,12.78,0.45,12.89,-246.90,-11.93,-179.46
1,37,0.30865,11.65,0.40,12.01,-126.71,-5.81,-97.95
1,38,0.31653,9.93,0.31,10.78,-218.60,-10.58,-156.98
1,39,0.32471,8.79,0.26,9.93,-139.18,-6.60,-104.10
1,40,0.33319,7.41,0.19,8.91,-162.95,-7.71,-120.50
1,41,0.34192,6.36,0.14,8.11,-119.58,-5.54,-91.26
1,42,0.34979,5.11,0.09,7.15,-158.53,-7.36,-121.71
1,43,0.35864,4.12,0.04,6.36,-112.76,-5.05,-89.66
1,44,0.36646,2.90,-0.01,5.41,-155.86,-7.16,-121.48
1,45,0.37482,1.93,-0.06,4.62,-115.69,-5.13,-94.16
1,46,0.38318,0.90,-0.10,3.81,-123.36,-5.58,-97.08
1,47,0.39191,-0.02,-0.15,3.07,-105.94,-4.74,-84.27
1,48,0.40033,-0.87,-0.18,2.44,-100.00,-4.71,-75.36
1,49,0.40820,-1.78,-0.23,1.79,-115.50,-5.63,-82.17
1,50,0.41663,-2.85,-0.29,1.19,-127.17,-7.11,-71.01
1,51,0.42474,-4.07,-0.36,0.54,-150.75,-8.64,-80.83
1,52,0.43323,-5.53,-0.44,-0.21,-171.58,-9.97,-88.49
1,53,0.44141,-7.05,-0.53,-0.97,-186.57,-10.90,-92.91
1,54,0.45044,-8.38,-0.61,-1.61,-146.96,-8.82,-70.27
1,55,0.45874,-9.70,-0.69,-2.22,-159.19,-9.66,-73.90
1,56,0.46655,-10.82,-0.76,-2.82,-143.36,-8.18,-76.56
1,57,0.47455,-12.09,-0.83,-3.47,-158.78,-9.16,-81.68
1,58,0.48309,-13.02,-0.88,-4.10,-108.93,-5.52,-73.93
1,59,0.49133,-14.15,-0.94,-4.82,-137.04,-7.25,-86.30
1,60,0.50024,-15.04,-0.98,-5.53,-99.66,-4.42,-80.14
1,61,0.50861,-16.10,-1.03,-6.31,-126.64,-6.03,-93.07
1,62,0.51636,-17.07,-1.07,-7.11,-124.80,-5.44,-103.54
1,63,0.52460,-18.07,-1.11,-7.92,-122.22,-5.43,-98.15
1,64,0.53308,-19.01,-1.15,-8.81,-110.43,-4.12,-105.40
