trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,355.27,114.98,29.45
0,1,0.00827,2.94,0.99,0.26,354.98,120.13,31.00
0,2,0.01703,5.87,1.96,0.51,335.54,110.72,29.27
0,3,0.02493,8.80,2.93,0.77,370.66,122.22,32.05
0,4,0.03336,11.87,3.94,1.03,363.41,120.14,31.88
0,5,0.04169,14.92,4.95,1.31,366.30,120.95,32.60
0,6,0.05008,18.16,6.02,1.60,386.55,127.59,34.91
0,7,0.05835,21.40,7.09,1.89,391.14,129.05,35.06
0,8,0.06708,24.93,8.26,2.21,405.24,133.98,36.71
0,9,0.07574,28.47,9.42,2.53,407.75,134.42,37.32
0,10,0.08359,32.70,10.82,2.92,540.08,178.42,49.42
0,11,0.09192,36.97,12.12,3.32,512.09,155.98,47.99
0,12,0.10037,42.12,13.16,3.78,609.75,123.48,54.15
0,13,0.10855,47.34,13.90,4.21,638.06,89.39,52.99
0,14,0.11716,52.99,14.69,4.68,656.38,91.94,54.96
0,15,0.12524,58.61,15.47,5.15,694.72,97.28,58.11
0,16,0.13419,63.30,16.13,5.55,524.23,73.38,44.37
0,17,0.14182,68.06,16.80,5.95,624.80,87.30,52.80
0,18,0.15021,72.98,17.48,6.38,585.82,82.03,50.18
0,19,0.15851,77.91,18.17,6.80,593.75,82.90,51.10
0,20,0.16751,83.05,18.89,7.24,571.19,79.82,49.15
0,21,0.17514,88.20,19.61,7.69,674.80,94.36,58.40
0,22,0.18356,93.61,20.37,8.16,642.39,89.77,55.80
0,23,0.19186,99.03,21.12,8.63,652.94,91.16,57.35
0,24,0.20029,104.78,21.93,9.14,682.25,95.23,59.78
0,25,0.20865,110.64,22.39,9.59,701.09,55.87,54.01
0,26,0.21701,116.86,22.36,10.05,744.53,-3.97,54.74
0,27,0.22522,123.10,22.35,10.51,759.11,-1.08,56.13
0,28,0.23422,129.49,22.30,10.98,710.51,-5.10,52.54
0,29,0.24182,135.90,22.26,11.46,842.97,-6.06,62.65
0,30,0.25027,142.48,22.21,11.94,779.06,-5.59,57.76
0,31,0.25842,148.99,22.16,12.43,798.88,-5.74,59.18
0,32,0.26685,153.74,22.13,12.78,563.41,-4.05,41.67
0,33,0.27570,158.48,22.10,13.13,536.21,-3.85,39.66
0,34,0.28360,163.17,22.35,13.48,593.44,31.84,44.02
0,35,0.29187,167.86,22.72,13.82,566.79,44.81,41.70
0,36,0.30032,172.75,23.17,14.18,578.34,53.70,42.24
0,37,0.30856,177.64,23.63,14.54,593.70,55.15,43.70
0,38,0.31702,182.72,24.10,14.91,600.36,55.71,44.04
0,39,0.32587,187.80,24.57,15.28,573.79,53.30,42.07
0,40,0.33368,193.03,25.06,15.67,670.31,62.23,49.22
0,41,0.34186,198.29,25.54,16.06,642.54,59.59,47.76
0,42,0.35040,203.91,26.07,16.47,658.21,61.17,48.57
0,43,0.35870,209.52,26.59,16.89,676.10,62.74,49.63
0,44,0.36694,214.98,27.09,17.29,661.85,61.48,48.89
0,45,0.37521,220.43,27.60,17.69,659.04,61.14,48.71
0,46,0.38425,225.88,28.10,18.09,603.04,55.98,44.26
0,47,0.39197,231.33,28.61,18.49,706.32,65.65,52.17
0,48,0.40027,236.77,29.12,18.90,655.88,60.82,48.53
0,49,0.40863,242.21,29.62,19.30,650.36,60.37,47.81
0,50,0.41696,247.67,30.13,19.69,654.95,60.79,47.62
0,51,0.42590,253.16,30.48,20.08,613.99,38.90,43.34
0,52,0.43375,258.56,30.73,20.47,689.11,32.62,49.03
0,53,0.44214,263.92,31.02,20.84,638.18,34.82,45.09
0,54,0.45047,269.27,31.31,21.22,642.12,34.99,45.05
0,55,0.45874,274.61,31.61,21.59,645.76,35.17,45.39
0,56,0.46701,279.81,31.89,21.96,628.41,34.23,43.91
1,0,0.00000,0.00,0.00,0.00,364.49,59.36,62.68
1,1,0.00793,3.08,0.48,0.53,388.08,60.01,66.54
1,2,0.01651,6.15,0.93,1.06,358.01,52.47,61.57
1,3,0.02472,9.22,1.35,1.58,373.98,51.76,64.31
1,4,0.03305,12.45,1.75,2.14,387.18,48.00,66.67
1,5,0.04138,15.67,2.13,2.69,387.18,45.00,66.67
1,6,0.04968,19.11,2.48,3.29,414.71,42.16,71.32
1,7,0.05789,22.56,2.80,3.88,419.33,39.58,72.12
1,8,0.06631,26.34,3.10,4.53,449.28,35.61,77.17
1,9,0.07498,30.12,3.38,5.18,436.62,31.72,75.00
1,10,0.08313,34.60,3.63,5.95,549.81,30.67,94.38
1,11,0.09143,39.08,3.85,6.72,539.71,27.10,93.01
1,12,0.09961,44.31,4.05,7.62,638.81,24.45,109.70
