trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,1512.09,888.22,110.99
0,1,0.00897,9.97,7.20,0.73,1111.56,802.49,81.63
0,2,0.01657,19.95,14.20,1.46,1312.45,921.20,96.39
0,3,0.02512,29.92,21.00,2.20,1167.14,795.80,85.71
0,4,0.03317,39.89,27.60,2.93,1237.88,819.21,90.91
0,5,0.04175,49.87,34.00,3.66,1162.99,746.32,85.41
0,6,0.04990,59.84,40.20,4.39,1223.97,760.91,89.89
0,7,0.05832,69.81,46.20,5.13,1184.06,712.35,86.96
0,8,0.06665,79.79,52.00,5.86,1197.07,696.17,87.91
0,9,0.07498,89.77,57.60,6.59,1198.17,672.70,87.91
0,10,0.08316,99.74,63.00,7.32,1219.40,660.23,89.55
0,11,0.09167,109.71,68.20,8.06,1171.33,610.71,86.02
0,12,0.10052,119.69,73.20,8.79,1126.90,564.95,82.76
0,13,0.10834,129.66,78.00,9.52,1276.56,614.38,93.75
0,14,0.11658,139.63,82.60,10.25,1210.37,558.25,88.89
0,15,0.12494,149.61,87.00,10.99,1192.70,526.18,87.59
0,16,0.13330,159.58,91.20,11.72,1192.70,502.27,87.59
0,17,0.14166,169.55,95.20,12.45,1192.70,478.35,87.59
0,18,0.14996,179.53,99.00,13.18,1201.47,457.77,88.24
0,19,0.15891,189.50,102.60,13.92,1115.36,402.59,81.91
0,20,0.16660,199.51,106.02,14.65,1301.59,443.66,95.63
0,21,0.17487,209.48,109.21,15.38,1205.90,386.82,88.56
0,22,0.18326,219.45,112.21,16.12,1188.36,357.36,87.27
0,23,0.19177,229.43,115.01,16.85,1171.33,328.75,86.02
0,24,0.20056,239.40,117.61,17.58,1134.72,295.72,83.33
0,25,0.20837,249.37,120.01,18.31,1276.56,307.08,93.75
0,26,0.21667,259.35,122.21,19.05,1201.47,264.92,88.24
0,27,0.22513,269.32,124.21,19.78,1179.78,236.48,86.64
0,28,0.23334,279.29,126.01,20.51,1214.87,219.15,89.22
0,29,0.24170,289.27,127.61,21.24,1192.70,191.24,87.59
0,30,0.25000,299.24,129.01,21.98,1201.47,168.55,88.24
0,31,0.25903,309.21,130.21,22.71,1104.05,132.74,81.08
0,32,0.26660,319.20,131.21,23.44,1320.16,132.21,96.77
0,33,0.27505,329.18,132.00,24.17,1179.78,94.48,86.64
0,34,0.28329,339.15,132.60,24.91,1210.37,72.66,88.89
0,35,0.29190,349.12,133.00,25.64,1158.87,46.33,85.11
0,36,0.30002,359.10,133.20,26.37,1228.57,24.48,90.23
0,37,0.30835,369.07,133.20,27.10,1197.07,-0.16,87.91
0,38,0.31665,379.04,133.00,27.84,1201.47,-24.25,88.24
0,39,0.32504,389.02,132.60,28.57,1188.36,-47.82,87.27
0,40,0.33331,398.99,132.00,29.30,1205.90,-72.71,88.56
0,41,0.34180,408.96,131.19,30.03,1175.54,-94.45,86.33
0,42,0.35074,418.94,130.19,30.76,1115.36,-111.98,81.91
0,43,0.35852,428.91,128.99,31.50,1281.57,-154.37,94.12
0,44,0.36682,438.88,127.59,32.23,1201.47,-168.82,88.24
0,45,0.37515,448.86,125.99,32.96,1197.07,-192.21,87.91
0,46,0.38373,458.83,124.19,33.69,1162.99,-210.06,85.41
0,47,0.39206,468.80,122.19,34.43,1197.07,-240.22,87.91
0,48,0.40027,478.78,119.98,35.16,1214.87,-268.15,89.22
0,49,0.40942,488.75,117.58,35.89,1089.33,-262.29,80.00
0,50,0.41696,499.32,114.82,36.67,1402.83,-366.78,102.83
0,51,0.42560,509.30,112.01,37.40,1154.77,-325.76,84.81
0,52,0.43369,519.27,108.99,38.13,1233.21,-372.62,90.57
0,53,0.44223,529.24,105.78,38.86,1167.14,-376.06,85.71
0,54,0.45038,539.22,102.36,39.60,1223.97,-418.92,89.89
0,55,0.45877,549.19,98.75,40.33,1188.36,-430.56,87.27
0,56,0.46698,559.16,94.94,41.06,1214.87,-464.53,89.22
0,57,0.47543,569.13,90.92,41.79,1179.78,-474.77,86.64
0,58,0.48361,579.11,86.71,42.53,1219.40,-515.17,89.55
0,59,0.49213,589.08,82.30,43.26,1171.33,-518.35,86.02
0,60,0.50049,599.05,77.68,43.99,1192.70,-551.73,87.59
0,61,0.50937,609.03,72.87,44.72,1123.02,-542.02,82.47
0,62,0.51709,619.00,67.86,45.46,1291.70,-649.33,94.86
0,63,0.52542,628.97,62.64,46.19,1197.07,-625.77,87.91
0,64,0.53372,638.95,57.23,46.92,1201.47,-652.16,88.24
0,65,0.54221,648.92,51.62,47.65,1175.54,-661.66,86.33
0,66,0.55038,658.89,45.80,48.39,1219.40,-710.80,89.55
0,67,0.55875,668.87,39.79,49.12,1192.70,-719.16,87.59
0,68,0.56702,678.84,33.58,49.85,1205.90,-751.30,88.56
0,69,0.57547,688.81,27.16,50.58,1179.78,-758.69,86.64
