trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-440.15,-29.79,128.10
0,1,0.00839,-3.65,-0.25,1.18,-435.27,-29.83,141.09
0,2,0.01657,-7.39,-0.51,2.56,-456.34,-31.83,168.66
0,3,0.02512,-11.07,-0.77,4.08,-431.07,-30.52,177.50
0,4,0.03415,-14.80,-1.04,5.79,-413.18,-29.74,189.53
0,5,0.04202,-18.52,-1.32,7.76,-472.48,-34.91,249.61
0,6,0.05014,-22.05,-1.58,9.86,-434.21,-32.84,259.40
0,7,0.05841,-25.44,-1.85,12.16,-410.33,-31.88,277.49
0,8,0.06677,-28.66,-2.10,14.51,-384.67,-30.39,280.66
0,9,0.07587,-31.74,-2.35,17.02,-339.26,-27.60,276.85
0,10,0.08337,-34.74,-2.60,19.79,-398.78,-33.52,368.70
0,11,0.09195,-37.48,-2.84,22.65,-319.93,-27.89,333.81
0,12,0.10013,-39.94,-3.06,25.56,-300.75,-27.31,355.97
0,13,0.10861,-42.22,-3.28,28.62,-268.71,-25.49,359.71
0,14,0.11688,-44.31,-3.49,31.80,-253.14,-25.18,384.87
0,15,0.12524,-46.20,-3.69,35.09,-225.91,-23.79,393.80
0,16,0.13409,-47.81,-3.87,38.38,-181.38,-20.55,371.72
0,17,0.14191,-49.21,-4.04,41.76,-179.69,-22.03,432.81
0,18,0.15015,-50.41,-4.20,45.22,-145.56,-19.63,419.63
0,19,0.15845,-51.39,-4.35,48.74,-118.38,-18.09,423.53
0,20,0.16730,-52.10,-4.49,52.20,-79.66,-14.92,391.38
0,21,0.17514,-52.59,-4.61,55.70,-63.42,-15.39,446.30
0,22,0.18338,-52.93,-4.72,59.22,-40.74,-13.52,427.04
0,23,0.19196,-53.14,-4.82,62.74,-24.20,-12.07,410.32
0,24,0.20013,-53.15,-4.91,66.15,-1.12,-10.89,417.16
0,25,0.20862,-53.02,-4.99,69.56,14.75,-9.51,401.80
0,26,0.21674,-52.75,-5.06,72.96,33.46,-8.85,418.80
0,27,0.22589,-52.33,-5.13,76.34,46.33,-6.78,369.67
0,28,0.23358,-51.82,-5.18,79.71,66.27,-7.41,438.49
0,29,0.24203,-51.23,-5.23,83.07,69.68,-6.08,396.39
0,30,0.25040,-50.54,-5.28,86.29,82.12,-5.04,386.13
0,31,0.25873,-49.79,-5.31,89.51,89.74,-4.59,385.71
0,32,0.26691,-48.98,-5.35,92.71,99.63,-4.17,391.04
0,33,0.27530,-48.11,-5.38,95.89,103.27,-3.60,379.27
0,34,0.28424,-47.18,-5.40,99.06,103.75,-2.92,354.27
0,35,0.29205,-46.21,-5.43,102.21,124.22,-3.02,403.91
