trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,78.21,1264.51,952.92
0,1,0.00827,0.61,9.75,7.47,74.17,1179.23,903.69
0,2,0.01669,1.23,19.34,14.95,72.83,1138.28,887.32
0,3,0.02496,1.84,28.76,22.42,74.17,1139.33,903.69
0,4,0.03391,2.45,38.02,29.90,68.60,1035.33,835.84
0,5,0.04172,3.07,47.11,37.37,78.52,1163.85,956.64
0,6,0.05008,3.68,56.04,44.84,73.36,1067.66,893.80
0,7,0.05835,4.29,64.80,52.32,74.17,1059.52,903.69
0,8,0.06668,4.91,73.40,59.79,73.63,1031.96,897.07
0,9,0.07495,5.52,81.83,67.26,74.17,1019.63,903.69
0,10,0.08344,6.13,90.10,74.74,72.30,974.50,880.94
0,11,0.09225,6.75,98.20,82.21,69.55,918.70,847.40
0,12,0.10004,7.36,106.14,89.69,78.82,1019.99,960.39
0,13,0.10834,7.97,113.91,97.16,73.90,936.36,900.37
0,14,0.11676,8.59,121.52,104.63,72.83,903.20,887.32
0,15,0.12509,9.20,128.96,112.11,73.63,893.32,897.07
0,16,0.13354,9.81,136.24,119.58,72.56,860.90,884.12
0,17,0.14175,10.43,143.35,127.05,74.72,866.41,910.41
0,18,0.15070,11.04,150.30,134.53,68.60,776.98,835.84
0,19,0.15842,11.66,157.14,142.07,80.24,885.85,976.28
0,20,0.16675,12.27,163.76,149.54,73.63,794.13,897.07
0,21,0.17508,12.89,170.21,157.01,73.63,774.32,897.07
0,22,0.18405,13.50,176.49,164.49,68.37,700.63,832.99
0,23,0.19168,14.11,182.62,171.96,80.40,802.31,979.60
0,24,0.20013,14.73,188.57,179.43,72.56,704.58,884.12
0,25,0.20840,15.34,194.36,186.91,74.17,700.23,903.69
0,26,0.21683,15.95,199.99,194.38,72.83,667.96,887.32
0,27,0.22510,16.57,205.45,201.86,74.17,660.33,903.69
0,28,0.23343,17.18,210.75,209.33,73.63,635.69,897.07
0,29,0.24179,17.79,215.88,216.80,73.36,613.63,893.80
0,30,0.25073,18.41,220.84,224.28,68.60,555.39,835.84
0,31,0.25848,19.03,225.73,231.89,80.71,630.88,982.68
0,32,0.26682,19.65,230.37,239.37,73.63,556.09,897.07
0,33,0.27509,20.26,234.83,246.84,74.17,540.24,903.69
0,34,0.28412,20.87,239.14,254.32,67.91,476.35,827.36
0,35,0.29178,21.49,243.27,261.79,80.08,540.21,975.70
0,36,0.30020,22.10,247.25,269.26,72.83,471.69,887.32
0,37,0.30856,22.71,251.06,276.74,73.36,455.39,893.80
0,38,0.31689,23.33,254.70,284.21,73.63,437.26,897.07
0,39,0.32510,23.94,258.18,291.68,74.72,423.66,910.41
0,40,0.33365,24.55,261.49,299.16,71.79,387.71,874.64
0,41,0.34241,25.17,264.64,306.63,70.03,359.42,853.31
0,42,0.35025,25.78,267.62,314.11,78.21,380.33,952.92
0,43,0.35852,26.39,270.44,321.58,74.17,340.73,903.69
0,44,0.36694,27.01,273.09,329.05,72.83,314.97,887.32
0,45,0.37527,27.62,275.58,336.53,73.63,298.63,897.07
0,46,0.38367,28.23,277.90,344.00,73.09,276.80,890.55
0,47,0.39194,28.85,280.06,351.47,74.17,260.93,903.69
0,48,0.40094,29.46,282.05,358.95,68.14,221.37,830.17
0,49,0.40875,30.08,283.89,366.46,78.91,235.06,961.33
0,50,0.41705,30.69,285.55,373.93,73.90,200.24,900.37
0,51,0.42523,31.30,287.05,381.41,75.00,183.05,913.81
0,52,0.43420,31.92,288.38,388.88,68.37,148.47,832.99
0,53,0.44199,32.53,289.55,396.35,78.82,149.98,960.39
0,54,0.45029,33.15,290.55,403.83,73.90,120.73,900.37
0,55,0.45868,33.76,291.39,411.30,73.09,99.75,890.55
0,56,0.46698,34.37,292.06,418.77,73.90,80.97,900.37
0,57,0.47528,34.99,292.57,426.25,73.90,61.09,900.37
0,58,0.48361,35.60,292.91,433.72,73.63,41.06,897.07
0,59,0.49261,36.21,293.09,441.20,68.14,19.67,830.17
0,60,0.50031,36.83,293.10,448.72,80.56,1.51,977.78
0,61,0.50861,37.45,292.94,456.19,73.90,-18.54,900.37
0,62,0.51736,38.06,292.62,463.66,70.03,-36.41,853.31
0,63,0.52533,38.68,292.13,471.24,78.16,-61.73,951.34
0,64,0.53369,39.29,291.48,478.71,73.36,-77.87,893.80
0,65,0.54196,39.91,290.67,486.19,74.17,-98.69,903.69
0,66,0.55045,40.52,289.68,493.66,72.30,-115.65,880.94
0,67,0.55872,41.13,288.54,501.14,74.17,-138.60,903.69
0,68,0.56702,41.75,287.23,508.61,73.90,-157.96,900.37
0,69,0.57532,42.36,285.75,516.08,73.90,-177.84,900.37
0,70,0.58374,42.97,284.11,523.56,72.83,-194.85,887.32
0,71,0.59256,43.59,282.30,531.03,69.55,-204.79,847.40
0,72,0.60043,44.20,280.33,538.50,77.91,-250.36,949.22
0,73,0.60864,44.82,278.20,545.98,74.72,-260.22,910.41
0,74,0.61703,45.43,275.89,553.45,73.09,-274.20,890.55
0,75,0.62543,46.04,273.43,560.93,73.09,-293.86,890.55
0,76,0.63376,46.66,270.80,568.40,73.63,-315.82,897.07
0,77,0.64200,47.27,268.00,575.87,74.44,-339.35,907.04
0,78,0.65109,47.88,265.04,583.35,67.45,-325.62,821.81
0,79,0.65872,48.50,261.91,590.82,80.40,-409.76,979.60
0,80,0.66708,49.11,258.62,598.29,73.36,-393.60,893.80
0,81,0.67542,49.72,255.17,605.77,73.63,-414.85,897.07
0,82,0.68439,50.34,251.54,613.24,68.37,-403.60,832.99
0,83,0.69202,50.95,247.76,620.72,80.40,-496.27,979.60
0,84,0.70044,51.56,243.81,628.19,72.83,-469.11,887.32
0,85,0.70877,52.18,239.69,635.66,73.63,-494.07,897.07
0,86,0.71707,52.79,235.41,643.14,74.26,-516.10,901.10
0,87,0.72540,53.41,230.96,650.62,73.63,-533.69,897.07
0,88,0.73383,54.02,226.35,658.09,72.83,-547.48,887.32
0,89,0.74213,54.63,221.57,665.56,73.90,-575.41,900.37
0,90,0.75110,55.25,216.63,673.04,68.37,-550.74,832.99
0,91,0.75876,55.86,211.53,680.51,80.08,-666.63,975.70
0,92,0.76718,56.47,206.25,687.99,72.83,-625.84,887.32
0,93,0.77551,57.09,200.82,695.46,73.63,-652.52,897.07
0,94,0.78448,57.70,195.22,702.93,68.37,-624.31,832.99
0,95,0.79214,58.32,189.44,710.42,80.48,-753.69,976.89
