trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-269.75,11.55,-32.38
0,1,0.00755,-2.35,0.10,-0.29,-311.11,13.32,-38.79
0,2,0.01593,-4.96,0.22,-0.81,-311.11,13.69,-61.57
0,3,0.02438,-7.58,0.33,-1.35,-310.11,13.68,-63.54
0,4,0.03337,-10.44,0.46,-2.22,-318.85,14.60,-97.79
0,5,0.04086,-13.32,0.59,-3.13,-384.11,17.66,-121.38
0,6,0.04938,-16.36,0.74,-4.55,-356.99,17.29,-166.67
0,7,0.05783,-19.41,0.89,-5.98,-360.29,17.44,-169.31
0,8,0.06630,-22.56,1.04,-7.64,-372.25,18.37,-194.95
0,9,0.07446,-25.71,1.20,-9.24,-385.79,18.95,-196.26
0,10,0.08354,-28.81,1.34,-10.09,-341.51,15.46,-93.45
0,11,0.09120,-31.91,1.48,-10.90,-404.78,18.23,-105.98
0,12,0.09955,-34.89,1.60,-11.12,-357.22,15.01,-26.69
0,13,0.10793,-37.86,1.73,-11.33,-354.10,14.86,-25.14
0,14,0.11638,-40.59,1.84,-11.38,-323.47,13.28,-5.42
0,15,0.12471,-43.45,1.96,-11.40,-342.86,14.01,-2.20
0,16,0.13344,-48.16,2.14,-11.01,-539.86,21.29,43.71
0,17,0.14189,-52.91,2.33,-10.62,-561.73,22.19,46.21
0,18,0.15028,-57.77,2.52,-10.12,-578.91,22.63,60.00
0,19,0.15800,-62.66,2.71,-9.63,-634.39,24.84,63.24
0,20,0.16652,-68.08,2.93,-9.33,-635.84,25.38,35.84
0,21,0.17473,-73.45,3.14,-9.05,-653.90,26.14,34.20
0,22,0.18364,-78.16,3.34,-9.08,-529.11,21.63,-3.77
0,23,0.19138,-83.02,3.54,-9.12,-628.40,25.73,-5.13
0,24,0.19983,-88.94,3.78,-9.25,-700.36,28.81,-15.16
0,25,0.20818,-94.95,4.03,-9.37,-719.56,29.58,-14.26
