trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-21.99,0.00,58.51
0,1,0.00823,-0.19,-0.00,0.50,-22.98,-0.00,61.17
0,2,0.01659,-0.67,-0.00,1.84,-58.03,-0.00,159.49
0,3,0.02502,-1.16,-0.00,3.17,-57.56,-0.00,158.19
0,4,0.03324,-1.81,-0.00,5.08,-79.11,0.00,231.75
0,5,0.04163,-2.46,-0.00,6.98,-77.45,0.00,226.91
0,6,0.05002,-3.15,-0.00,9.19,-81.89,0.00,263.88
0,7,0.05825,-3.83,-0.00,11.40,-83.41,0.00,268.77
0,8,0.06635,-4.43,-0.00,13.66,-73.45,0.00,278.72
0,9,0.07486,-5.02,-0.00,15.92,-69.96,0.00,265.47
0,10,0.08324,-5.40,-0.00,17.97,-44.81,0.00,244.08
0,11,0.09155,-5.77,-0.00,20.01,-45.14,0.00,245.87
0,12,0.09972,-5.80,-0.00,21.59,-2.99,0.00,193.09
0,13,0.10822,-5.82,-0.00,23.16,-2.88,0.00,184.73
0,14,0.11687,-5.57,-0.00,24.26,28.92,0.00,127.34
0,15,0.12507,-5.32,-0.00,25.36,30.51,0.00,134.33
0,16,0.13354,-4.97,-0.00,26.23,41.76,0.00,102.61
0,17,0.14147,-4.61,-0.00,27.10,44.66,0.00,109.72
0,18,0.15005,-4.14,-0.00,27.79,55.47,0.00,80.36
0,19,0.15807,-3.66,-0.00,28.48,59.37,0.00,86.01
0,20,0.16670,-3.19,-0.00,29.17,55.17,0.00,79.93
0,21,0.17497,-2.71,-0.00,29.86,57.56,0.00,83.03
0,22,0.18343,-2.15,-0.00,30.53,66.79,0.00,79.78
0,23,0.19146,-1.58,-0.00,31.20,70.28,0.00,83.95
0,24,0.20015,-0.97,-0.00,31.98,70.59,0.00,89.55
0,25,0.20840,-0.35,-0.00,32.76,74.31,0.00,94.27
0,26,0.21686,0.26,-0.00,33.54,72.56,0.00,92.06
0,27,0.22490,0.88,-0.00,34.31,76.66,0.00,96.39
0,28,0.23329,1.57,-0.00,35.01,82.18,0.00,83.27
0,29,0.24173,2.26,-0.00,35.71,81.74,0.00,82.82
0,30,0.24977,2.94,0.19,36.41,85.77,23.05,86.91
0,31,0.25835,3.63,0.19,37.11,80.43,0.00,81.49
0,32,0.26636,4.43,0.37,37.94,98.67,23.05,104.00
0,33,0.27499,5.22,0.47,38.78,91.60,11.87,96.55
0,34,0.28339,6.10,0.58,39.84,105.00,12.36,126.79
0,35,0.29147,6.98,0.58,40.91,109.06,0.00,132.08
0,36,0.30024,7.97,0.75,42.31,113.14,19.95,160.14
0,37,0.30833,8.96,0.75,43.72,122.64,-0.00,173.96
0,38,0.31670,10.23,0.86,45.86,151.55,13.10,255.37
0,39,0.32510,11.51,0.86,48.00,151.50,0.00,255.40
0,40,0.33354,13.14,0.86,51.07,193.85,-0.00,363.11
0,41,0.34158,14.78,0.86,54.14,203.61,0.00,382.15
0,42,0.35044,16.73,0.86,58.04,220.65,0.00,440.28
0,43,0.35848,18.66,0.99,61.88,239.47,15.50,477.04
0,44,0.36688,21.38,4.25,67.14,324.07,388.75,626.34
0,45,0.37522,24.09,7.62,72.43,324.98,403.84,634.95
0,46,0.38396,26.50,13.56,78.51,276.33,679.87,695.90
0,47,0.39182,28.86,19.51,84.57,300.19,757.21,770.87
0,48,0.40033,29.87,25.74,90.01,117.92,732.19,639.43
0,49,0.40831,30.87,31.98,95.46,125.81,782.11,682.22
0,50,0.41669,31.85,38.41,100.90,116.47,766.56,648.95
0,51,0.42500,32.82,44.82,106.33,117.54,771.05,653.81
0,52,0.43340,33.74,50.69,111.53,108.73,699.82,619.27
