trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-123.63,1847.27,-414.38
0,1,0.00781,-0.38,12.25,-2.54,-48.05,1568.33,-325.39
0,2,0.01614,-0.75,24.34,-5.08,-45.05,1450.87,-305.13
0,3,0.02451,-0.97,36.26,-7.70,-26.28,1425.84,-313.14
0,4,0.03287,-1.19,48.02,-10.32,-26.28,1406.10,-313.14
0,5,0.04138,-1.28,59.61,-13.02,-10.39,1361.53,-316.85
0,6,0.04947,-1.37,71.04,-15.72,-10.94,1413.05,-333.58
0,7,0.05786,-1.46,82.30,-18.41,-10.55,1342.01,-321.45
0,8,0.06619,-1.54,93.40,-21.11,-10.62,1332.03,-323.81
0,9,0.07477,-1.63,104.33,-23.86,-9.61,1274.87,-321.00
0,10,0.08282,-1.71,115.10,-26.62,-10.23,1336.48,-341.67
0,11,0.09116,-1.79,125.70,-29.37,-9.89,1272.62,-330.40
0,12,0.09961,-1.87,136.14,-32.12,-9.75,1234.72,-325.63
0,13,0.10788,-2.08,146.41,-34.87,-25.09,1242.11,-332.47
0,14,0.11612,-2.29,156.52,-37.62,-25.19,1226.68,-333.70
0,15,0.12457,-2.65,166.46,-40.35,-42.24,1176.16,-322.74
0,16,0.13284,-3.00,176.24,-43.08,-43.17,1182.25,-329.89
0,17,0.14114,-3.50,185.85,-45.81,-59.56,1158.03,-328.68
0,18,0.14941,-3.99,195.30,-48.54,-59.78,1142.35,-329.89
0,19,0.15793,-4.49,204.58,-51.26,-58.06,1090.22,-320.43
0,20,0.16638,-4.98,213.70,-53.99,-58.48,1078.57,-322.74
0,21,0.17456,-5.47,222.65,-56.72,-60.45,1094.62,-333.58
0,22,0.18292,-5.97,231.44,-59.45,-59.12,1050.91,-326.28
0,23,0.19113,-6.56,240.06,-62.20,-71.75,1050.35,-334.94
0,24,0.20010,-7.15,248.52,-64.95,-65.65,942.64,-306.46
0,25,0.20782,-7.74,256.81,-67.70,-76.28,1074.03,-356.13
0,26,0.21619,-8.33,264.94,-70.45,-70.44,971.98,-328.83
0,27,0.22433,-8.91,272.90,-73.20,-72.28,977.21,-337.45
0,28,0.23288,-9.50,280.70,-75.95,-68.93,912.53,-321.79
0,29,0.24152,-10.19,288.33,-78.70,-79.51,883.76,-319.08
0,30,0.24979,-10.88,295.80,-81.46,-83.03,902.93,-333.21
0,31,0.25784,-11.56,303.10,-84.21,-85.23,906.40,-342.05
0,32,0.26633,-12.25,310.24,-86.97,-80.94,841.31,-324.82
0,33,0.27472,-12.94,317.21,-89.72,-81.82,830.82,-328.36
0,34,0.28317,-13.62,324.02,-92.48,-81.23,805.30,-325.99
0,35,0.29126,-14.42,330.66,-95.23,-98.11,821.37,-340.38
0,36,0.29999,-15.21,337.14,-97.99,-90.91,742.15,-315.38
0,37,0.30801,-16.00,343.45,-100.74,-98.86,786.50,-342.97
0,38,0.31622,-16.80,349.60,-103.49,-96.65,748.85,-335.32
0,39,0.32465,-17.59,355.58,-106.24,-94.20,710.27,-326.81
0,40,0.33322,-18.38,361.40,-109.00,-92.53,678.39,-321.00
0,41,0.34161,-19.18,367.05,-111.75,-94.55,673.53,-328.00
0,42,0.34949,-19.97,372.54,-114.50,-100.78,696.95,-349.61
0,43,0.35806,-20.76,377.86,-117.25,-92.53,620.67,-321.00
0,44,0.36621,-21.56,383.02,-120.01,-97.38,632.96,-337.83
0,45,0.37451,-22.35,388.01,-122.76,-95.59,601.45,-331.62
0,46,0.38293,-23.14,392.84,-125.51,-94.20,573.14,-326.81
0,47,0.39120,-23.94,397.50,-128.25,-96.68,563.76,-331.37
0,48,0.39969,-24.74,402.00,-130.99,-94.24,530.12,-323.02
0,49,0.40848,-25.54,406.33,-133.73,-90.97,492.94,-311.81
0,50,0.41629,-26.34,410.50,-136.47,-102.34,533.44,-350.78
0,51,0.42465,-27.14,414.50,-139.22,-95.62,478.66,-327.74
0,52,0.43320,-27.94,418.34,-141.96,-93.57,449.09,-320.71
0,53,0.44141,-28.74,422.01,-144.70,-97.40,447.36,-333.83
0,54,0.44968,-29.54,425.52,-147.44,-96.68,424.11,-331.37
0,55,0.45786,-30.34,428.86,-150.18,-97.76,408.68,-335.07
0,56,0.46643,-31.14,432.04,-152.92,-93.24,370.53,-319.57
0,57,0.47446,-31.94,435.05,-155.66,-99.62,375.33,-341.44
0,58,0.48288,-32.74,437.90,-158.40,-94.93,338.06,-325.36
0,59,0.49109,-33.54,440.58,-161.14,-97.40,326.76,-333.83
0,60,0.49960,-34.34,443.10,-163.88,-93.91,295.67,-321.86
0,61,0.50803,-35.14,445.45,-166.62,-94.93,279.30,-325.36
0,62,0.51639,-35.94,447.64,-169.36,-95.62,261.60,-327.74
0,63,0.52441,-36.72,449.66,-172.04,-97.72,251.98,-333.46
0,64,0.53299,-37.51,451.52,-174.71,-91.46,216.60,-312.10
0,65,0.54132,-38.29,453.21,-177.39,-94.14,203.14,-321.25
0,66,0.54968,-39.07,454.74,-180.07,-93.80,182.66,-320.07
0,67,0.55801,-39.86,456.10,-182.74,-94.14,163.53,-321.25
0,68,0.56622,-40.64,457.30,-185.42,-95.54,145.86,-326.02
0,69,0.57449,-41.43,458.33,-188.10,-94.83,124.83,-323.62
0,70,0.58307,-42.21,459.20,-190.77,-91.46,101.15,-312.10
0,71,0.59128,-43.00,459.90,-193.45,-95.54,85.57,-326.02
0,72,0.59961,-43.78,460.44,-196.12,-94.14,64.50,-321.25
0,73,0.60788,-44.54,460.81,-198.72,-91.88,45.03,-314.39
0,74,0.61612,-45.30,461.02,-201.32,-92.22,25.17,-315.56
0,75,0.62445,-46.06,461.06,-203.92,-91.21,5.09,-312.09
0,76,0.63303,-46.82,460.94,-206.52,-88.61,-14.30,-303.20
0,77,0.64102,-47.58,460.65,-209.12,-95.04,-35.97,-325.19
0,78,0.64960,-48.34,460.20,-211.72,-88.61,-52.78,-303.20
0,79,0.65787,-49.10,459.58,-214.32,-91.88,-74.68,-314.39
0,80,0.66641,-49.86,458.80,-216.93,-88.93,-91.59,-304.29
0,81,0.67471,-50.60,457.85,-219.45,-88.97,-114.16,-303.68
0,82,0.68283,-51.34,456.74,-221.97,-90.98,-137.06,-310.53
0,83,0.69113,-52.08,455.46,-224.49,-88.97,-153.92,-303.68
0,84,0.69971,-52.81,454.02,-227.01,-86.12,-168.23,-293.95
0,85,0.70792,-53.55,452.41,-229.53,-89.96,-195.83,-307.06
0,86,0.71628,-54.29,450.64,-232.05,-88.32,-211.99,-301.46
0,87,0.72437,-55.00,448.70,-234.49,-88.30,-239.59,-301.51
0,88,0.73260,-55.72,446.60,-236.93,-86.67,-255.19,-295.93
0,89,0.74124,-56.43,444.33,-239.36,-82.69,-262.57,-282.33
0,90,0.74988,-57.15,441.90,-241.80,-82.69,-281.67,-282.33
0,91,0.75793,-57.86,439.30,-244.24,-88.64,-322.43,-302.65
0,92,0.76654,-58.58,436.54,-246.68,-82.98,-321.02,-283.33
0,93,0.77448,-59.28,433.61,-249.08,-88.46,-368.97,-302.31
0,94,0.78281,-59.98,430.52,-251.48,-84.25,-371.21,-287.91
0,95,0.79105,-60.68,427.26,-253.88,-85.19,-395.36,-291.11
0,96,0.79950,-61.38,423.84,-256.27,-83.03,-404.88,-283.75
0,97,0.80869,-62.08,420.25,-258.67,-76.41,-390.57,-261.13
0,98,0.81613,-62.79,416.50,-261.07,-94.26,-503.96,-322.13
0,99,0.82455,-63.49,412.58,-263.47,-83.33,-465.12,-284.78
0,100,0.83279,-64.19,408.50,-265.87,-85.19,-495.49,-291.11
0,101,0.84103,-64.89,404.25,-268.27,-85.19,-515.51,-291.11
0,102,0.84964,-65.59,399.84,-270.67,-81.56,-512.75,-278.72
0,103,0.85773,-66.30,395.26,-273.07,-86.79,-566.04,-296.60
0,104,0.86606,-67.00,390.52,-275.46,-84.25,-569.26,-287.91
0,105,0.87460,-67.70,385.61,-277.86,-82.14,-574.34,-280.71
0,106,0.88269,-68.40,380.54,-280.26,-86.79,-627.25,-296.60
0,107,0.89105,-69.10,375.30,-282.66,-83.94,-626.38,-286.86
0,108,0.89951,-69.81,369.90,-285.06,-83.03,-639.12,-283.75
0,109,0.90802,-70.51,364.33,-287.46,-82.44,-653.91,-281.72
0,110,0.91599,-71.21,358.59,-289.86,-88.12,-719.73,-301.15
0,111,0.92441,-71.91,352.70,-292.25,-83.33,-700.20,-284.78
0,112,0.93298,-72.61,346.63,-294.65,-81.85,-706.98,-279.72
0,113,0.94122,-73.32,340.41,-297.05,-85.19,-755.81,-291.11
0,114,0.94965,-74.02,334.01,-299.45,-83.33,-758.97,-284.78
0,115,0.95782,-74.72,327.46,-301.85,-85.82,-801.80,-293.28
0,116,0.96619,-75.42,320.73,-304.25,-83.94,-803.97,-286.86
0,117,0.97449,-76.12,313.85,-306.65,-84.56,-829.77,-288.97
0,118,0.98279,-76.82,306.79,-309.05,-84.56,-849.64,-288.97
0,119,0.99109,-77.53,299.58,-311.44,-84.56,-869.53,-288.97
0,120,0.99957,-78.23,292.19,-313.84,-82.73,-870.21,-282.73
0,121,1.00797,-78.93,284.64,-316.24,-83.64,-899.36,-285.82
0,122,1.01642,-79.63,276.93,-318.64,-83.03,-912.39,-283.75
0,123,1.02454,-80.33,269.05,-321.04,-86.47,-970.44,-295.49
0,124,1.03281,-81.04,261.01,-323.44,-84.87,-972.49,-290.04
0,125,1.04120,-81.74,252.80,-325.84,-83.64,-978.01,-285.82
0,126,1.04950,-82.44,244.43,-328.23,-84.56,-1008.67,-288.97
0,127,1.05789,-83.14,235.89,-330.63,-83.64,-1017.33,-285.82
0,128,1.06595,-83.84,227.19,-333.03,-87.12,-1080.19,-297.73
0,129,1.07452,-84.55,218.32,-335.43,-81.85,-1034.09,-279.72
0,130,1.08292,-85.25,209.29,-337.83,-83.64,-1076.31,-285.82
0,131,1.09097,-85.95,200.09,-340.23,-87.12,-1141.64,-297.73
1,0,0.00000,0.00,0.00,0.00,-125.26,1884.86,-422.46
1,1,0.00800,-0.38,12.25,-2.54,-46.95,1532.42,-317.94
1,2,0.01648,-0.75,24.34,-5.08,-43.88,1424.77,-299.64
1,3,0.02475,-0.97,36.26,-7.70,-26.57,1441.62,-316.61
1,4,0.03302,-1.19,48.02,-10.32,-26.57,1421.67,-316.61
1,5,0.04135,-1.28,59.61,-13.02,-10.62,1391.45,-323.81
1,6,0.04968,-1.36,71.04,-15.72,-10.62,1371.65,-323.81
1,7,0.05841,-1.45,82.30,-18.41,-10.14,1290.39,-309.09
1,8,0.06656,-1.54,93.40,-21.11,-10.86,1361.97,-331.09
1,9,0.07495,-1.62,104.33,-23.86,-9.82,1302.69,-328.00
1,10,0.08304,-1.71,115.10,-26.62,-10.19,1331.44,-340.38
1,11,0.09180,-1.79,125.70,-29.37,-9.41,1210.54,-314.29
1,12,0.09973,-1.87,136.14,-32.12,-10.77,1315.45,-346.92
1,13,0.10852,-2.08,146.41,-34.87,-23.61,1168.79,-312.85
1,14,0.11633,-2.29,156.52,-37.62,-26.56,1293.77,-351.95
1,15,0.12476,-2.65,166.46,-40.35,-42.39,1180.43,-323.91
1,16,0.13315,-3.00,176.24,-43.08,-42.55,1165.06,-325.09
1,17,0.14130,-3.50,185.85,-45.81,-60.67,1179.72,-334.83
1,18,0.14981,-3.99,195.30,-48.54,-58.06,1109.60,-320.43
1,19,0.15802,-4.49,204.58,-51.26,-60.22,1130.74,-332.34
1,20,0.16644,-4.98,213.70,-53.99,-58.70,1082.48,-323.91
1,21,0.17477,-5.47,222.65,-56.72,-59.34,1074.57,-327.47
1,22,0.18301,-5.97,231.44,-59.45,-60.37,1066.48,-331.11
1,23,0.19153,-6.56,240.06,-62.20,-69.18,1012.70,-322.94
1,24,0.19965,-7.15,248.52,-64.95,-72.56,1041.87,-338.72
1,25,0.20837,-7.74,256.81,-67.70,-67.48,950.11,-315.03
1,26,0.21631,-8.33,264.94,-70.45,-74.23,1024.32,-346.54
1,27,0.22476,-8.92,272.90,-73.20,-69.68,941.93,-325.27
1,28,0.23315,-9.51,280.70,-75.95,-70.55,929.12,-327.64
1,29,0.24133,-10.20,288.33,-78.70,-83.96,933.22,-336.94
1,30,0.24957,-10.88,295.80,-81.46,-83.33,906.28,-334.44
1,31,0.25815,-11.57,303.10,-84.21,-80.07,851.56,-321.35
1,32,0.26645,-12.26,310.24,-86.97,-82.72,859.86,-331.99
1,33,0.27487,-12.94,317.21,-89.72,-81.52,827.81,-327.17
1,34,0.28299,-13.63,324.02,-92.48,-84.96,838.60,-339.47
1,35,0.29138,-14.43,330.66,-95.23,-94.55,791.49,-328.00
1,36,0.29984,-15.22,337.14,-97.99,-93.86,766.26,-325.63
