trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,149.21,-1142.31,267.16
0,1,0.00851,1.22,-9.53,2.20,143.14,-1120.73,258.30
0,2,0.01700,2.44,-19.23,4.39,143.40,-1142.17,258.76
0,3,0.02520,3.65,-29.10,6.59,148.47,-1202.67,267.91
0,4,0.03365,4.87,-39.13,8.79,144.04,-1186.37,259.93
0,5,0.04220,6.09,-49.32,10.99,142.50,-1192.97,257.14
0,6,0.05047,7.31,-59.68,13.18,147.23,-1252.54,265.68
0,7,0.05910,8.52,-70.20,15.38,140.99,-1218.53,254.42
0,8,0.06744,9.74,-80.89,17.58,146.15,-1282.97,263.74
0,9,0.07571,10.96,-91.74,19.78,147.10,-1311.18,265.44
0,10,0.08366,12.18,-102.76,21.97,153.17,-1386.05,276.39
0,11,0.09217,13.39,-113.95,24.17,143.14,-1314.70,258.30
0,12,0.10040,14.61,-125.30,26.37,147.91,-1378.60,266.91
0,13,0.10880,15.83,-136.81,28.56,145.09,-1371.95,261.82
0,14,0.11693,17.05,-148.49,30.76,149.72,-1435.99,270.17
0,15,0.12531,18.26,-160.33,32.96,145.36,-1413.84,262.30
0,16,0.13328,19.52,-172.34,35.12,156.94,-1506.24,271.39
0,17,0.14157,20.77,-184.51,37.28,151.61,-1467.94,260.17
0,18,0.14999,22.03,-196.85,39.44,149.41,-1466.25,256.39
0,19,0.15852,23.29,-209.36,41.60,147.27,-1464.62,252.73
0,20,0.16687,24.55,-222.03,43.75,150.64,-1517.85,258.50
0,21,0.17544,25.80,-234.86,45.91,146.75,-1497.92,251.83
0,22,0.18410,27.06,-247.86,48.07,145.20,-1501.13,249.16
0,23,0.19210,28.32,-261.02,50.23,157.10,-1644.82,269.59
0,24,0.20055,29.57,-274.35,52.38,148.74,-1576.75,255.23
0,25,0.20889,30.83,-287.85,54.54,150.92,-1619.66,258.97
0,26,0.21735,32.09,-301.50,56.70,148.60,-1614.33,255.00
0,27,0.22539,33.35,-315.33,58.86,156.36,-1719.09,268.31
0,28,0.23348,34.25,-319.48,61.50,111.22,-512.93,326.86
1,0,0.00000,0.00,0.00,0.00,146.77,-1136.41,265.43
1,1,0.00836,1.18,-9.55,2.22,141.61,-1141.63,264.96
1,2,0.01670,2.37,-19.26,4.43,141.99,-1164.55,265.69
1,3,0.02510,3.55,-29.14,6.65,140.96,-1176.47,263.76
1,4,0.03382,4.74,-39.18,8.86,135.78,-1151.46,254.07
1,5,0.04180,5.92,-49.39,11.08,148.37,-1278.92,277.63
1,6,0.05020,7.10,-59.76,13.29,140.96,-1234.67,263.76
1,7,0.05875,8.29,-70.29,15.51,138.57,-1233.04,259.29
1,8,0.06667,9.47,-81.00,17.72,149.37,-1349.98,279.50
1,9,0.07511,10.66,-91.86,19.94,140.33,-1287.75,262.57
1,10,0.08349,11.84,-102.89,22.16,141.35,-1316.83,264.48
1,11,0.09180,13.02,-114.09,24.37,142.52,-1347.58,266.67
1,12,0.10003,14.21,-125.45,26.59,143.84,-1380.11,269.14
1,13,0.10836,15.39,-136.98,28.80,142.12,-1383.49,265.93
1,14,0.11657,16.58,-148.67,31.02,144.24,-1424.16,269.89
1,15,0.12504,17.76,-160.52,33.23,139.82,-1400.02,261.62
1,16,0.13358,18.95,-172.55,35.44,139.29,-1406.83,258.57
1,17,0.14176,20.18,-184.73,37.62,149.63,-1490.00,266.04
1,18,0.15025,21.40,-197.08,39.79,144.24,-1455.85,256.47
1,19,0.15826,22.62,-209.60,41.97,152.62,-1560.92,271.36
1,20,0.16689,23.85,-222.28,44.15,141.95,-1470.93,252.39
1,21,0.17493,25.07,-235.13,46.32,152.18,-1597.52,270.59
1,22,0.18365,26.29,-248.14,48.50,140.21,-1490.74,249.30
1,23,0.19161,27.52,-261.31,50.67,153.79,-1655.84,273.44
1,24,0.20008,28.74,-274.66,52.85,144.50,-1575.37,256.94
1,25,0.20831,29.97,-288.16,55.03,148.79,-1642.20,264.56
1,26,0.21673,31.19,-301.83,57.20,145.29,-1623.12,258.33
1,27,0.22517,32.32,-314.30,59.56,133.45,-1476.93,278.84
2,0,0.00000,0.00,0.00,0.00,-233.39,-1115.50,184.39
2,1,0.00853,-1.99,-9.54,1.53,-233.63,-1118.88,179.25
2,2,0.01662,-3.99,-19.25,3.06,-246.42,-1200.51,189.06
2,3,0.02486,-5.98,-29.13,4.59,-241.85,-1198.30,185.56
2,4,0.03325,-7.97,-39.16,6.12,-237.45,-1196.18,182.18
2,5,0.04163,-9.96,-49.37,7.64,-237.89,-1218.05,182.51
2,6,0.04985,-11.96,-59.74,9.17,-242.30,-1260.71,185.90
2,7,0.05830,-13.95,-70.27,10.70,-235.74,-1246.10,180.87
2,8,0.06677,-15.94,-80.97,12.23,-235.32,-1263.34,180.54
2,9,0.07492,-17.94,-91.83,13.76,-244.57,-1333.27,187.64
2,10,0.08337,-19.93,-102.86,15.29,-235.74,-1304.65,180.87
2,11,0.09154,-21.92,-114.06,16.82,-244.11,-1371.20,187.29
2,12,0.09999,-23.91,-125.41,18.35,-235.74,-1343.69,180.87
2,13,0.10870,-25.91,-136.94,19.88,-228.72,-1322.62,175.48
2,14,0.11656,-27.90,-148.63,21.41,-253.59,-1487.44,194.56
2,15,0.12483,-29.89,-160.48,22.93,-240.96,-1433.30,184.87
2,16,0.13315,-31.88,-172.50,24.47,-239.27,-1445.25,184.22
2,17,0.14149,-33.83,-184.68,26.03,-233.64,-1459.73,186.84
2,18,0.14999,-35.78,-197.03,27.58,-229.44,-1452.94,183.48
2,19,0.15849,-37.73,-209.55,29.14,-229.44,-1472.35,183.48
2,20,0.16690,-39.68,-222.22,30.70,-231.94,-1508.01,185.48
2,21,0.17503,-41.63,-235.07,32.26,-239.77,-1579.23,191.74
2,22,0.18341,-43.58,-248.08,33.82,-232.79,-1552.90,186.16
2,23,0.19179,-45.53,-261.25,35.38,-232.79,-1572.60,186.16
2,24,0.20000,-47.48,-274.59,36.94,-237.55,-1624.85,189.96
2,25,0.20872,-49.43,-288.09,38.50,-223.43,-1547.17,178.67
2,26,0.21660,-51.38,-301.76,40.06,-247.67,-1736.04,198.06
2,27,0.22528,-53.33,-315.60,41.62,-224.60,-1593.34,179.61
2,28,0.23341,-55.30,-325.66,43.40,-241.65,-1237.79,219.14
