trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,24.09,0.99,-78.10
0,1,0.00842,0.20,0.01,-0.65,23.91,1.00,-77.54
0,2,0.01682,0.17,0.01,-1.52,-4.00,0.00,-103.27
0,3,0.02542,0.13,0.01,-2.40,-4.26,0.00,-102.84
0,4,0.03369,-0.10,0.01,-3.44,-27.68,0.00,-125.09
0,5,0.04184,-0.33,0.01,-4.48,-28.46,-0.00,-127.34
0,6,0.05005,-0.72,0.01,-5.65,-47.58,0.00,-143.49
0,7,0.05838,-1.11,0.13,-6.84,-47.25,14.15,-141.76
0,8,0.06699,-1.67,0.13,-8.22,-64.89,-0.00,-160.99
0,9,0.07529,-2.23,0.13,-9.61,-67.65,0.00,-167.28
0,10,0.08377,-2.98,0.23,-11.20,-88.13,12.38,-187.77
0,11,0.09198,-3.73,0.23,-12.80,-91.08,-0.00,-194.80
0,12,0.10040,-4.54,0.23,-14.67,-96.38,-0.00,-221.38
0,13,0.10858,-5.36,0.23,-16.54,-99.63,-0.00,-228.73
0,14,0.11703,-6.30,0.23,-18.65,-111.19,-0.00,-249.82
0,15,0.12518,-7.24,0.23,-20.77,-115.36,0.00,-259.93
0,16,0.13339,-8.24,0.23,-23.14,-121.93,0.00,-288.85
0,17,0.14212,-9.24,0.23,-25.51,-115.03,0.00,-272.03
0,18,0.15015,-10.28,0.23,-28.07,-129.66,0.00,-318.25
0,19,0.15854,-11.32,0.23,-30.62,-124.00,0.00,-304.36
0,20,0.16653,-12.36,0.23,-33.18,-130.15,-0.00,-319.47
0,21,0.17523,-13.40,0.33,-35.73,-119.65,11.57,-293.68
0,22,0.18344,-14.48,0.33,-38.19,-131.23,-0.00,-299.26
0,23,0.19159,-15.56,0.33,-40.64,-132.58,0.00,-301.12
0,24,0.20004,-16.72,0.33,-42.91,-136.82,-0.00,-268.59
0,25,0.20892,-17.87,0.33,-45.18,-130.24,0.00,-254.98
0,26,0.21667,-19.10,0.33,-47.20,-158.27,-0.00,-261.81
0,27,0.22562,-20.32,0.33,-49.23,-136.86,0.00,-226.28
0,28,0.23386,-21.39,0.33,-50.96,-128.89,0.00,-209.63
0,29,0.24194,-22.44,0.33,-52.68,-130.57,0.00,-212.83
0,30,0.25006,-23.23,0.33,-54.20,-96.99,-0.00,-187.97
0,31,0.25858,-24.01,0.43,-55.73,-91.76,11.89,-178.85
0,32,0.26721,-24.52,0.43,-57.12,-58.66,-0.00,-161.13
0,33,0.27548,-25.02,0.43,-58.50,-60.15,-0.00,-166.79
0,34,0.28329,-25.08,0.43,-59.37,-7.81,-0.00,-111.33
0,35,0.29156,-25.14,0.43,-60.24,-7.38,-0.00,-105.17
0,36,0.29993,-25.20,0.43,-61.11,-7.30,-0.00,-104.01
0,37,0.30829,-25.27,0.43,-61.98,-8.39,-0.00,-104.01
0,38,0.31674,-25.84,0.43,-62.84,-67.51,-0.00,-102.17
0,39,0.32510,-26.46,0.43,-63.71,-74.09,0.00,-104.38
0,40,0.33395,-29.66,0.43,-65.05,-362.07,0.00,-151.38
0,41,0.34177,-32.88,0.43,-66.40,-411.72,0.00,-172.27
0,42,0.35004,-36.74,0.56,-68.12,-466.42,15.35,-208.86
0,43,0.35822,-40.62,0.62,-69.86,-475.37,7.57,-212.69
0,44,0.36661,-46.06,3.89,-72.22,-648.00,389.10,-280.36
0,45,0.37515,-51.51,7.20,-74.58,-637.14,388.09,-277.14
0,46,0.38339,-57.22,13.14,-77.76,-693.70,720.78,-385.93
0,47,0.39154,-62.91,19.09,-80.95,-698.13,729.57,-391.39
0,48,0.39996,-67.14,25.32,-84.53,-501.45,740.15,-425.00
0,49,0.40823,-71.36,31.56,-88.11,-510.33,754.25,-432.84
0,50,0.41663,-75.56,37.99,-91.71,-500.36,765.87,-428.36
0,51,0.42517,-79.75,44.40,-95.30,-491.07,750.96,-420.36
0,52,0.43344,-83.75,50.28,-98.75,-483.03,710.15,-416.61
0,53,0.44171,-87.73,56.12,-102.19,-481.92,706.81,-415.87
0,54,0.45001,-91.35,60.54,-105.31,-435.29,532.48,-376.10
0,55,0.45822,-94.95,64.94,-108.42,-439.03,535.23,-379.18
0,56,0.46655,-98.01,67.98,-111.04,-367.40,365.25,-314.65
0,57,0.47516,-101.06,71.01,-113.65,-354.26,351.86,-303.55
0,58,0.48364,-103.46,73.27,-115.68,-283.09,266.52,-239.21
0,59,0.49173,-105.84,75.51,-117.70,-294.72,277.19,-249.06
0,60,0.50009,-107.37,76.75,-118.94,-182.12,148.32,-148.91
0,61,0.50836,-108.88,77.97,-120.18,-183.39,147.98,-149.45
0,62,0.51682,-109.95,78.35,-121.02,-126.71,44.80,-99.64
0,63,0.52505,-111.02,78.73,-121.86,-129.26,46.14,-101.48
0,64,0.53348,-111.75,79.19,-122.39,-86.23,54.51,-63.77
0,65,0.54169,-112.47,79.64,-122.93,-88.10,55.03,-65.06
0,66,0.55023,-112.96,79.72,-123.26,-57.86,8.95,-39.29
0,67,0.55838,-113.46,79.80,-123.60,-60.30,9.36,-40.82
0,68,0.56693,-113.82,79.86,-123.83,-42.86,7.67,-26.79
0,69,0.57544,-114.19,79.93,-124.06,-43.37,8.49,-27.24
0,70,0.58347,-114.58,80.32,-124.31,-47.91,47.66,-31.94
0,71,0.59171,-114.95,80.72,-124.57,-45.93,49.07,-30.74
0,72,0.59998,-115.12,82.15,-124.64,-20.30,172.99,-9.23
0,73,0.60849,-115.29,83.64,-124.72,-20.07,174.66,-8.96
0,74,0.61676,-115.55,87.78,-124.89,-31.73,500.09,-20.66
0,75,0.62503,-115.82,91.90,-125.07,-32.47,498.82,-21.40
0,76,0.63336,-116.43,95.53,-125.56,-72.53,436.02,-59.34
0,77,0.64172,-117.04,99.17,-126.07,-73.36,435.46,-60.22
0,78,0.64993,-118.06,103.22,-126.95,-124.54,492.88,-108.18
1,0,0.00000,0.00,0.00,0.00,80.54,0.00,42.41
1,1,0.00848,0.63,0.00,0.33,74.46,0.00,39.21
1,2,0.01660,1.49,-0.00,0.46,105.64,-0.00,15.79
1,3,0.02478,2.35,0.13,0.59,104.85,15.83,15.67
1,4,0.03329,3.41,0.13,0.56,124.37,0.00,-3.94
1,5,0.04147,4.46,0.24,0.52,129.48,13.57,-4.10
1,6,0.04993,5.69,0.24,0.36,145.49,0.00,-19.49
1,7,0.05811,6.92,0.38,0.19,150.37,16.57,-20.15
1,8,0.06665,8.39,0.38,-0.10,171.43,-0.00,-34.29
1,9,0.07474,9.85,0.54,-0.39,181.13,20.58,-36.23
1,10,0.08307,11.56,0.54,-0.83,204.76,0.00,-52.75
1,11,0.09134,13.27,0.74,-1.27,206.27,24.09,-53.14
1,12,0.09988,15.25,0.86,-1.73,232.14,13.36,-53.21
1,13,0.10815,17.23,0.97,-2.18,239.85,13.83,-54.98
1,14,0.11691,19.48,1.10,-2.72,256.79,14.85,-60.98
1,15,0.12488,21.73,1.23,-3.25,282.38,16.31,-67.05
1,16,0.13318,24.25,1.37,-3.80,302.94,17.38,-65.81
1,17,0.14142,26.76,1.52,-4.34,305.19,17.50,-66.30
1,18,0.15002,29.46,1.66,-4.89,314.18,17.01,-63.83
1,19,0.15829,32.17,1.66,-5.44,326.94,0.00,-66.42
1,20,0.16656,34.87,1.84,-5.99,326.94,20.69,-66.42
1,21,0.17496,37.58,1.84,-6.54,322.18,0.00,-65.45
1,22,0.18307,40.19,2.02,-7.14,322.18,22.48,-74.44
1,23,0.19144,42.81,2.02,-7.75,312.77,0.00,-72.26
1,24,0.19980,45.25,2.20,-8.47,292.34,21.17,-85.77
1,25,0.20819,47.70,2.20,-9.18,291.27,0.00,-85.45
1,26,0.21640,49.92,2.36,-10.01,270.63,20.54,-101.12
1,27,0.22476,52.14,2.36,-10.84,265.69,0.00,-99.27
1,28,0.23303,54.03,2.52,-11.57,228.78,18.35,-87.45
1,29,0.24176,55.92,2.52,-12.29,216.78,0.00,-82.87
1,30,0.24966,57.57,2.64,-12.78,208.11,16.26,-62.16
1,31,0.25809,59.21,2.64,-13.27,195.29,0.00,-58.33
1,32,0.26663,60.67,2.75,-13.51,170.71,12.57,-28.21
1,33,0.27502,62.13,2.75,-13.75,173.82,0.00,-28.36
1,34,0.28357,63.00,2.75,-13.65,101.43,0.00,11.79
1,35,0.29138,63.86,2.75,-13.55,110.94,-0.00,12.89
1,36,0.29962,64.73,2.88,-13.45,105.19,15.04,12.22
1,37,0.30801,65.60,2.88,-13.35,103.27,0.00,12.00
1,38,0.31647,66.55,2.88,-13.75,113.00,-0.00,-47.65
1,39,0.32468,67.51,2.88,-14.15,116.36,0.00,-49.07
1,40,0.33322,69.42,3.08,-17.06,223.21,23.68,-339.64
1,41,0.34146,71.32,3.18,-19.96,231.48,12.81,-352.22
1,42,0.35001,73.73,3.31,-23.43,282.14,15.24,-406.43
1,43,0.35864,76.14,3.44,-26.90,278.80,15.08,-402.12
1,44,0.36700,79.46,6.71,-31.81,396.35,390.52,-587.23
1,45,0.37485,82.83,10.06,-36.79,429.96,426.69,-634.63
1,46,0.38364,87.01,16.00,-41.82,475.69,675.74,-572.22
1,47,0.39151,91.19,21.94,-46.83,531.40,754.84,-636.05
1,48,0.39978,95.49,28.17,-50.32,519.56,753.80,-421.77
1,49,0.40851,99.79,34.41,-53.81,492.31,714.58,-399.65
1,50,0.41669,104.10,40.84,-57.27,526.87,785.87,-423.51
1,51,0.42517,108.40,47.26,-60.73,507.55,756.68,-407.91
1,52,0.43326,112.53,53.13,-64.02,510.19,726.23,-406.79
1,53,0.44150,116.65,58.98,-67.30,500.00,710.29,-398.52
1,54,0.44977,120.38,63.40,-70.28,451.66,534.45,-359.78
1,55,0.45798,124.11,67.80,-73.25,454.28,536.04,-361.71
1,56,0.46637,127.26,70.85,-75.77,374.55,362.59,-300.73
1,57,0.47519,130.39,73.88,-78.29,355.02,343.77,-285.12
1,58,0.48325,132.82,76.14,-80.27,302.65,280.66,-246.21
1,59,0.49149,135.25,78.39,-82.24,294.07,272.66,-239.63
1,60,0.49985,136.75,79.63,-83.51,179.93,148.32,-151.82
1,61,0.50797,138.25,80.85,-84.78,184.59,151.27,-155.64
1,62,0.51654,139.28,81.23,-85.68,119.57,44.16,-104.63
1,63,0.52478,140.30,81.61,-86.57,123.70,46.10,-108.52
1,64,0.53320,140.96,82.07,-87.19,78.62,54.51,-73.19
1,65,0.54153,141.62,82.52,-87.80,79.12,54.45,-73.63
1,66,0.54968,142.04,82.60,-88.22,51.69,9.39,-52.06
1,67,0.55817,142.46,82.68,-88.64,49.28,9.00,-49.64
1,68,0.56653,142.75,82.74,-88.96,35.04,7.84,-37.96
1,69,0.57483,143.05,82.82,-89.29,36.03,8.94,-38.97
1,70,0.58316,143.37,83.20,-89.61,38.83,45.91,-39.56
1,71,0.59158,143.69,83.61,-89.94,37.68,48.52,-38.77
1,72,0.60022,143.79,85.04,-90.09,12.01,165.65,-17.67
1,73,0.60858,143.90,86.54,-90.25,12.77,179.18,-18.61
1,74,0.61676,144.12,90.67,-90.48,26.49,505.69,-27.61
1,75,0.62488,144.35,94.81,-90.71,28.20,510.11,-28.95
1,76,0.63342,144.94,98.45,-91.21,70.00,425.12,-58.93
1,77,0.64163,145.56,102.09,-91.73,74.72,444.01,-62.45
1,78,0.64996,146.62,106.14,-92.57,127.47,485.66,-101.10
2,0,0.00000,0.00,0.00,0.00,62.63,-0.00,54.80
2,1,0.00800,0.54,-0.00,0.47,67.18,-0.00,58.78
2,2,0.01651,1.34,0.14,0.79,94.62,16.37,37.99
2,3,0.02490,2.15,0.14,1.12,96.00,-0.00,38.55
2,4,0.03317,3.19,0.28,1.33,125.83,17.31,25.83
2,5,0.04141,4.23,0.28,1.54,126.30,0.00,25.93
2,6,0.04999,5.46,0.46,1.67,143.77,20.83,14.59
2,7,0.05789,6.70,0.46,1.79,155.98,0.00,15.83
2,8,0.06635,8.19,0.68,1.85,176.53,25.58,6.50
2,9,0.07480,9.68,0.80,1.90,176.53,14.03,6.50
2,10,0.08319,11.44,0.94,1.87,209.82,16.80,-3.64
2,11,0.09161,13.20,1.08,1.84,209.06,16.65,-3.62
2,12,0.10010,15.24,1.24,1.86,239.93,19.21,2.52
2,13,0.10852,17.27,1.40,1.89,241.67,19.31,2.54
2,14,0.11642,19.59,1.59,1.89,292.66,23.30,0.77
2,15,0.12479,21.90,1.77,1.90,276.64,22.12,0.73
2,16,0.13293,24.47,1.98,1.95,315.73,25.15,6.74
2,17,0.14139,27.04,2.18,2.01,304.33,24.27,6.50
2,18,0.14987,29.80,2.40,2.10,325.18,25.85,11.15
2,19,0.15808,32.56,2.62,2.20,336.06,26.78,11.52
2,20,0.16647,35.32,2.84,2.29,328.73,26.14,11.27
2,21,0.17468,38.08,3.06,2.39,336.06,26.78,11.52
2,22,0.18320,40.76,3.27,2.41,315.05,25.13,2.51
2,23,0.19156,43.44,3.49,2.43,320.80,25.54,2.55
2,24,0.19980,45.99,3.69,2.30,308.89,24.83,-15.56
2,25,0.20834,48.54,3.90,2.17,297.86,23.94,-15.00
2,26,0.21640,50.89,4.09,1.88,292.05,23.65,-35.98
2,27,0.22485,53.24,4.28,1.59,278.34,22.50,-34.30
2,28,0.23337,55.25,4.44,1.33,235.84,19.14,-30.82
2,29,0.24139,57.26,4.60,1.07,250.19,20.28,-32.70
2,30,0.25006,58.97,4.74,0.97,197.89,15.83,-10.92
2,31,0.25812,60.69,4.88,0.88,212.88,17.13,-11.74
2,32,0.26645,62.16,5.00,0.99,177.29,14.06,12.82
2,33,0.27490,63.64,5.11,1.09,174.73,13.82,12.64
2,34,0.28320,64.46,5.11,1.39,98.53,0.00,36.03
2,35,0.29169,65.28,5.24,1.69,96.40,14.81,35.25
2,36,0.29987,66.09,5.24,1.99,100.00,0.00,36.57
2,37,0.30817,66.91,5.35,2.29,98.53,13.34,36.03
2,38,0.31628,67.94,5.35,2.12,125.94,-0.00,-20.68
2,39,0.32468,68.96,5.35,1.95,121.82,0.00,-20.00
2,40,0.33301,71.49,5.45,-0.42,304.03,12.28,-285.35
2,41,0.34137,74.02,5.62,-2.80,302.92,20.64,-284.31
2,42,0.34973,77.18,5.74,-5.62,377.01,14.33,-336.50
2,43,0.35803,80.32,5.86,-8.43,379.04,14.39,-338.97
2,44,0.36646,84.69,9.13,-12.43,518.48,387.69,-475.36
2,45,0.37491,89.06,12.40,-16.44,516.61,386.41,-473.65
2,46,0.38306,94.30,18.33,-20.36,643.07,728.88,-480.90
2,47,0.39151,99.54,24.27,-24.27,619.86,702.58,-463.54
2,48,0.39990,104.53,30.51,-26.67,594.91,742.84,-285.09
2,49,0.40842,109.52,36.74,-29.06,586.38,732.20,-281.00
2,50,0.41656,114.52,43.17,-31.42,613.48,788.81,-290.26
2,51,0.42490,119.52,49.60,-33.79,600.00,771.45,-283.88
2,52,0.43347,124.30,55.47,-36.03,557.30,684.88,-260.85
2,53,0.44153,129.07,61.34,-38.26,592.80,728.91,-277.65
2,54,0.44968,133.40,65.76,-40.29,531.09,542.46,-248.31
2,55,0.45798,137.73,70.18,-42.31,521.32,532.41,-243.75
2,56,0.46634,141.37,73.22,-44.03,435.77,363.91,-205.84
2,57,0.47461,145.02,76.27,-45.75,440.59,367.90,-208.12
2,58,0.48303,147.85,78.53,-47.11,336.23,268.45,-161.59
2,59,0.49124,150.68,80.79,-48.47,344.98,275.38,-165.80
2,60,0.49985,152.44,82.03,-49.36,204.26,144.11,-102.48
2,61,0.50809,154.20,83.27,-50.24,213.33,150.47,-107.04
2,62,0.51648,155.40,83.65,-50.87,143.64,45.12,-75.64
2,63,0.52475,156.61,84.03,-51.51,145.76,45.79,-76.75
2,64,0.53293,157.39,84.49,-51.95,96.27,56.13,-54.48
2,65,0.54123,158.18,84.94,-52.40,94.85,55.29,-53.68
2,66,0.54962,158.69,85.02,-52.71,60.36,9.11,-37.45
2,67,0.55801,159.19,85.10,-53.03,60.36,9.11,-37.45
2,68,0.56650,159.56,85.16,-53.27,42.45,7.73,-28.42
2,69,0.57462,159.92,85.23,-53.51,44.36,8.10,-29.70
2,70,0.58298,160.31,85.61,-53.76,46.72,45.74,-29.56
2,71,0.59143,160.70,85.99,-54.00,46.21,45.32,-29.24
2,72,0.59958,160.83,87.43,-54.13,16.85,175.58,-15.36
2,73,0.60794,160.97,88.86,-54.25,16.42,171.28,-14.96
2,74,0.61627,161.23,92.99,-54.42,31.50,496.43,-20.15
2,75,0.62488,161.50,97.13,-54.59,30.50,480.55,-19.50
2,76,0.63300,162.19,100.76,-54.94,86.09,447.50,-42.86
2,77,0.64169,162.89,104.39,-55.29,80.35,417.69,-40.35
2,78,0.64984,164.12,108.44,-55.86,150.94,496.57,-70.04
3,0,0.00000,0.00,0.00,0.00,85.82,0.00,-15.30
3,1,0.00839,0.70,-0.00,-0.13,83.64,-0.00,-14.91
3,2,0.01663,1.46,-0.00,-0.55,91.48,-0.00,-51.85
3,3,0.02490,2.21,-0.00,-0.98,91.14,0.00,-51.66
3,4,0.03320,3.02,-0.00,-1.66,98.16,0.00,-81.62
3,5,0.04190,3.84,-0.00,-2.33,93.68,0.00,-77.89
3,6,0.05017,4.71,-0.00,-3.22,105.17,0.00,-107.01
3,7,0.05835,5.58,-0.00,-4.10,106.34,0.00,-108.21
3,8,0.06686,6.56,-0.00,-5.23,114.70,0.00,-132.62
3,9,0.07510,7.53,-0.00,-6.36,118.52,0.00,-137.04
3,10,0.08356,8.61,-0.00,-7.76,127.08,0.00,-164.98
3,11,0.09180,9.68,-0.00,-9.15,130.74,0.00,-169.26
3,12,0.10013,10.97,-0.00,-10.73,154.58,0.00,-189.01
3,13,0.10809,12.26,-0.00,-12.30,161.69,0.00,-197.70
3,14,0.11667,13.71,-0.00,-14.10,169.04,0.00,-209.96
3,15,0.12494,15.16,-0.00,-15.90,175.28,0.00,-217.71
3,16,0.13330,16.81,-0.00,-17.88,197.08,0.00,-236.13
3,17,0.14185,18.45,-0.00,-19.85,192.86,0.00,-231.07
3,18,0.15009,20.25,-0.00,-21.95,218.15,0.00,-254.07
3,19,0.15839,22.05,-0.00,-24.04,216.54,0.00,-252.21
3,20,0.16678,23.85,-0.00,-26.13,214.18,0.00,-249.45
3,21,0.17505,25.64,-0.00,-28.23,217.34,0.00,-253.14
3,22,0.18326,27.34,-0.00,-30.31,206.32,0.00,-253.53
3,23,0.19156,29.03,-0.00,-32.39,204.04,0.00,-250.74
3,24,0.19995,30.52,-0.00,-34.45,177.45,0.00,-246.18
3,25,0.20825,32.01,-0.00,-36.52,179.41,0.00,-248.90
3,26,0.21664,33.25,-0.00,-38.54,148.00,0.00,-240.73
3,27,0.22510,34.49,-0.00,-40.56,146.93,0.00,-238.99
3,28,0.23355,35.55,-0.00,-42.30,124.55,0.00,-205.78
3,29,0.24176,36.60,-0.00,-44.03,127.88,0.00,-210.78
3,30,0.24991,37.59,-0.00,-45.43,122.47,0.00,-171.54
3,31,0.25827,38.59,-0.00,-46.83,119.34,0.00,-167.15
3,32,0.26657,39.60,-0.00,-47.91,121.32,0.00,-130.88
3,33,0.27524,40.60,-0.00,-49.00,115.85,0.00,-125.00
3,34,0.28366,41.35,-0.00,-49.45,88.41,0.00,-53.62
3,35,0.29172,42.09,-0.00,-49.90,92.42,0.00,-56.06
3,36,0.29996,42.84,-0.00,-50.35,90.37,0.00,-54.81
3,37,0.30826,43.58,-0.00,-50.81,89.71,0.00,-54.78
3,38,0.31693,44.09,-0.00,-51.72,59.15,0.00,-104.93
3,39,0.32501,44.59,-0.00,-52.65,61.51,0.00,-115.85
3,40,0.33356,44.32,-0.00,-56.12,-32.14,0.00,-405.36
3,41,0.34167,44.04,-0.00,-59.59,-33.83,0.00,-427.82
3,42,0.35004,43.81,-0.00,-63.81,-27.37,0.00,-504.74
3,43,0.35843,43.59,0.04,-68.05,-27.27,5.18,-505.45
3,44,0.36679,43.19,3.31,-73.96,-47.45,390.52,-706.93
3,45,0.37515,42.80,6.61,-79.88,-46.35,394.78,-708.03
3,46,0.38333,43.01,12.55,-86.42,26.12,726.16,-799.25
3,47,0.39178,43.24,18.49,-92.94,27.08,703.04,-771.48
3,48,0.40045,44.49,24.73,-98.33,144.37,719.30,-622.18
3,49,0.40842,45.75,30.96,-103.73,157.09,783.01,-677.01
3,50,0.41684,47.02,37.39,-109.11,151.45,763.09,-638.77
3,51,0.42529,48.30,43.81,-114.48,150.90,759.46,-636.10
3,52,0.43362,49.54,49.68,-119.61,148.72,704.95,-615.38
3,53,0.44202,50.77,55.54,-124.73,147.27,697.51,-610.18
3,54,0.45013,51.90,59.96,-129.37,138.35,544.49,-571.80
3,55,0.45850,53.02,64.36,-134.01,133.94,526.39,-554.01
3,56,0.46710,53.95,67.40,-137.93,108.16,353.59,-455.67
3,57,0.47562,54.87,70.43,-141.84,108.96,356.16,-459.14
3,58,0.48346,55.58,72.70,-144.90,89.88,288.30,-390.66
3,59,0.49197,56.28,74.94,-147.95,82.44,263.96,-358.06
3,60,0.50012,56.69,76.18,-149.87,50.19,152.21,-236.33
3,61,0.50858,57.10,77.41,-151.79,48.01,145.35,-226.71
3,62,0.51660,57.35,77.79,-153.13,31.94,47.18,-166.54
3,63,0.52502,57.61,78.17,-154.46,30.43,45.09,-157.97
3,64,0.53375,57.75,78.63,-155.35,16.78,52.60,-102.45
3,65,0.54187,57.90,79.08,-156.24,17.67,55.93,-109.77
3,66,0.55005,57.97,79.16,-156.84,8.96,9.35,-72.39
3,67,0.55850,58.04,79.24,-157.42,8.30,9.03,-69.68
3,68,0.56686,58.08,79.30,-157.86,4.38,7.84,-51.46
3,69,0.57526,58.11,79.37,-158.29,4.36,8.36,-51.64
3,70,0.58359,58.17,79.75,-158.75,6.23,45.91,-54.95
3,71,0.59198,58.22,80.15,-159.20,6.18,47.40,-54.18
3,72,0.60019,58.21,81.58,-159.39,-1.12,174.27,-22.68
3,73,0.60861,58.20,83.05,-159.57,-1.09,174.54,-22.10
3,74,0.61661,58.23,87.19,-159.88,4.20,517.27,-38.93
3,75,0.62491,58.27,91.32,-160.20,4.04,497.37,-38.24
3,76,0.63345,58.43,94.95,-160.96,19.29,425.12,-89.29
3,77,0.64185,58.60,98.59,-161.74,19.64,433.57,-92.00
3,78,0.65045,58.92,102.64,-163.05,37.59,470.16,-152.84
4,0,0.00000,0.00,0.00,0.00,-57.09,0.00,-66.04
4,1,0.00818,-0.47,-0.00,-0.54,-57.09,-0.00,-66.04
4,2,0.01672,-1.22,0.00,-0.97,-88.21,0.00,-50.36
4,3,0.02493,-1.97,0.00,-1.40,-91.82,0.00,-52.42
4,4,0.03317,-2.98,0.00,-1.75,-121.48,0.00,-42.59
4,5,0.04172,-3.98,0.00,-2.10,-117.14,0.00,-41.07
4,6,0.05002,-5.18,0.00,-2.40,-145.22,0.00,-35.29
4,7,0.05896,-6.39,0.00,-2.69,-134.81,0.00,-32.76
4,8,0.06665,-7.86,0.00,-2.94,-191.27,0.00,-33.33
4,9,0.07489,-9.33,0.00,-3.20,-178.52,0.00,-31.11
4,10,0.08331,-11.08,0.00,-3.41,-207.61,0.00,-24.64
4,11,0.09177,-12.83,0.00,-3.62,-206.86,0.00,-24.55
4,12,0.09985,-14.84,0.00,-3.91,-249.06,0.00,-36.60
4,13,0.10849,-16.86,0.00,-4.21,-233.92,0.00,-34.28
4,14,0.11670,-19.15,0.00,-4.53,-278.81,0.00,-38.66
4,15,0.12491,-21.44,0.00,-4.84,-279.18,0.00,-38.66
4,16,0.13324,-23.98,0.00,-5.25,-305.13,0.00,-48.35
4,17,0.14157,-26.53,0.00,-5.65,-305.13,0.00,-48.35
4,18,0.14987,-29.24,0.00,-6.12,-327.57,0.00,-56.25
4,19,0.15839,-31.97,0.00,-6.58,-320.07,0.00,-54.84
4,20,0.16687,-34.69,0.00,-7.05,-320.50,0.00,-55.04
4,21,0.17569,-37.54,0.00,-7.53,-323.53,0.00,-55.02
4,22,0.18365,-40.20,0.00,-7.92,-333.33,0.00,-48.28
4,23,0.19211,-42.85,0.00,-8.29,-313.36,0.00,-44.40
4,24,0.20029,-45.39,0.00,-8.51,-310.45,0.00,-26.49
4,25,0.20871,-47.92,0.00,-8.72,-300.36,0.00,-24.64
4,26,0.21716,-50.29,0.00,-8.75,-280.51,0.00,-3.61
4,27,0.22519,-52.64,0.00,-8.78,-293.16,0.00,-3.80
4,28,0.23404,-54.67,0.00,-8.79,-228.97,0.00,-1.38
4,29,0.24203,-56.67,0.00,-8.81,-251.15,0.00,-2.29
4,30,0.25037,-58.39,0.00,-8.95,-205.49,0.00,-16.48
4,31,0.25879,-60.08,0.00,-9.09,-201.45,0.00,-17.39
4,32,0.26703,-61.53,0.00,-9.40,-175.56,0.00,-37.04
4,33,0.27557,-62.94,0.00,-9.71,-165.00,0.00,-36.43
