trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-284.93,43.00,151.84
0,1,0.00851,-2.37,0.36,1.26,-277.78,41.86,148.03
0,2,0.01669,-5.29,0.72,2.08,-357.84,44.28,100.37
0,3,0.02512,-8.24,1.08,2.91,-350.00,43.35,97.83
0,4,0.03329,-11.38,1.43,3.39,-384.33,42.31,59.33
0,5,0.04169,-14.52,1.78,3.88,-373.82,41.31,57.82
0,6,0.05005,-16.83,2.02,4.13,-276.64,29.17,30.66
0,7,0.05841,-19.15,2.27,4.39,-277.01,29.32,30.66
0,8,0.06674,-21.63,2.53,4.68,-297.44,31.60,34.80
0,9,0.07513,-24.11,2.79,4.97,-295.27,31.39,34.55
0,10,0.08340,-26.58,3.06,5.26,-299.63,31.84,35.06
0,11,0.09183,-29.06,3.32,5.55,-294.20,31.33,34.42
0,12,0.10016,-31.71,3.61,5.90,-318.32,34.37,42.49
0,13,0.10855,-34.37,3.89,6.26,-316.00,34.19,42.18
0,14,0.11688,-37.19,4.19,6.56,-339.19,35.66,36.26
0,15,0.12540,-40.02,4.52,6.86,-331.90,38.65,35.48
0,16,0.13358,-43.06,4.68,7.08,-372.01,19.61,26.49
0,17,0.14236,-46.10,4.68,7.29,-346.18,0.00,24.31
0,18,0.15015,-49.28,4.68,7.36,-408.63,0.00,9.02
0,19,0.15851,-52.46,4.68,7.43,-380.29,0.00,8.39
0,20,0.16687,-55.77,4.68,7.31,-395.26,0.00,-14.96
0,21,0.17526,-59.07,4.68,7.18,-393.82,0.00,-14.91
0,22,0.18356,-62.38,4.68,7.06,-398.16,0.00,-15.07
0,23,0.19238,-65.69,4.68,6.93,-375.09,0.00,-14.53
0,24,0.20013,-69.39,4.68,6.66,-477.95,0.00,-34.65
0,25,0.20859,-73.10,4.68,6.39,-438.27,0.00,-31.77
0,26,0.21689,-76.55,4.68,6.07,-416.18,0.00,-38.97
0,27,0.22522,-80.00,4.68,5.74,-414.29,0.00,-38.83
0,28,0.23349,-83.27,4.68,5.44,-394.83,0.00,-36.53
0,29,0.24188,-86.53,4.68,5.14,-388.73,0.00,-36.00
0,30,0.25015,-89.68,4.68,4.91,-380.81,0.00,-27.31
0,31,0.25864,-92.78,4.68,4.69,-365.47,0.00,-25.90
0,32,0.26685,-95.60,4.68,4.64,-343.12,0.00,-6.32
0,33,0.27521,-98.39,4.68,4.59,-333.94,0.00,-5.84
0,34,0.28357,-100.10,4.68,4.71,-204.74,0.00,14.60
0,35,0.29187,-101.81,4.68,4.84,-205.88,0.00,15.07
0,36,0.30020,-103.33,4.68,5.00,-182.78,0.00,19.05
0,37,0.30920,-104.86,4.68,5.16,-169.83,0.00,17.97
0,38,0.31683,-106.68,4.68,5.37,-238.00,0.00,28.00
0,39,0.32520,-108.53,4.68,5.59,-221.17,0.00,26.28
0,40,0.33359,-111.97,4.68,6.08,-409.82,0.00,58.18
0,41,0.34192,-115.42,4.68,6.57,-414.65,0.00,58.61
0,42,0.35034,-119.62,4.68,7.06,-498.55,0.00,57.97
0,43,0.35870,-123.85,4.75,7.55,-506.20,8.28,59.12
0,44,0.36691,-129.73,8.01,8.31,-715.61,397.78,92.57
0,45,0.37534,-135.62,11.34,9.06,-699.28,394.43,88.77
0,46,0.38361,-142.16,17.28,9.25,-790.77,718.12,22.88
0,47,0.39194,-148.67,23.22,9.41,-782.05,713.62,19.78
0,48,0.40036,-154.13,29.45,8.50,-648.19,740.15,-108.70
0,49,0.40927,-159.59,35.69,7.58,-612.67,700.05,-102.74
0,50,0.41693,-165.04,42.12,6.64,-711.16,839.10,-122.71
0,51,0.42523,-170.48,48.54,5.70,-655.51,772.89,-113.24
