trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-98.89,0.00,-97.53
0,1,0.00748,-0.89,-0.00,-0.87,-118.25,-0.00,-116.62
0,2,0.01618,-1.85,0.00,-1.21,-111.23,0.00,-39.30
0,3,0.02425,-2.82,-0.00,-1.56,-119.85,-0.00,-42.34
0,4,0.03252,-3.87,-0.00,-1.41,-126.94,0.00,17.34
0,5,0.04125,-4.92,-0.00,-1.27,-120.28,0.00,16.43
0,6,0.04945,-5.85,-0.00,-1.01,-113.22,0.00,31.66
0,7,0.05768,-6.77,-0.00,-0.75,-112.70,0.00,31.51
0,8,0.06591,-7.03,-0.00,-0.33,-30.77,0.00,51.16
0,9,0.07464,-7.28,-0.00,0.09,-29.02,0.00,48.25
0,10,0.08259,-6.80,-0.00,0.34,60.27,0.00,31.86
0,11,0.09121,-6.32,-0.00,0.60,55.58,0.00,29.38
0,12,0.09937,-5.47,-0.00,0.70,104.67,0.00,12.34
0,13,0.10742,-4.61,-0.00,0.80,106.16,0.00,12.51
0,14,0.11586,-3.60,-0.00,1.15,120.43,0.00,41.95
0,15,0.12412,-2.58,-0.00,1.51,122.99,0.00,42.84
0,16,0.13237,-1.53,-0.00,2.22,127.29,0.00,86.59
0,17,0.14085,-0.48,-0.00,2.94,123.85,0.00,84.25
0,18,0.14919,0.57,-0.00,3.65,125.89,0.00,85.64
0,19,0.15761,1.62,0.00,4.36,124.64,0.00,84.78
0,20,0.16608,2.67,0.00,5.08,123.96,0.00,84.32
0,21,0.17435,3.72,0.00,5.79,126.82,0.00,86.27
0,22,0.18281,4.76,0.13,6.61,123.10,15.37,97.11
0,23,0.19100,5.80,0.13,7.43,127.00,0.00,100.19
0,24,0.19939,6.78,0.13,8.36,117.56,0.00,110.65
0,25,0.20743,7.77,0.23,9.29,122.58,13.00,115.37
0,26,0.21593,8.73,0.23,10.38,113.11,0.00,127.83
0,27,0.22421,9.69,0.23,11.46,116.13,-0.00,131.24
0,28,0.23921,11.40,0.36,13.40,114.08,8.28,129.13
0,29,0.24765,12.44,0.36,14.58,122.60,0.00,139.96
0,30,0.25572,13.49,0.36,15.79,130.81,0.00,149.72
0,31,0.26399,15.01,0.48,16.94,183.03,14.76,139.11
0,32,0.27235,16.65,0.48,18.08,196.35,-0.00,135.77
0,33,0.28078,18.27,0.59,19.40,192.58,13.17,156.74
0,34,0.28916,19.89,0.59,20.77,193.44,-0.00,163.93
0,35,0.29736,21.49,0.70,22.27,194.23,13.20,182.33
0,36,0.30596,23.07,0.70,23.79,184.21,-0.00,177.82
0,37,0.31406,24.70,0.81,25.68,201.32,13.19,233.36
0,38,0.32262,26.34,0.81,27.67,191.27,-0.00,232.24
0,39,0.33099,29.28,0.96,32.17,351.87,17.77,536.74
0,40,0.33933,32.59,1.06,37.35,396.71,12.70,621.77
0,41,0.34722,35.99,1.17,42.75,430.17,13.76,683.95
