trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,133.22,1506.85,293.43
0,1,0.00785,0.96,12.25,2.38,122.84,1560.71,303.60
0,2,0.01649,1.82,24.34,4.85,99.65,1399.60,285.87
0,3,0.02480,2.66,36.26,7.35,100.28,1435.00,300.09
0,4,0.03291,3.41,48.02,9.92,92.19,1449.76,317.97
0,5,0.04128,4.13,59.61,12.53,86.42,1385.11,311.03
0,6,0.04977,4.85,71.04,15.13,85.10,1344.56,306.28
0,7,0.05846,5.58,82.30,17.73,83.30,1297.20,299.82
0,8,0.06696,6.33,93.69,20.45,88.33,1339.33,319.21
0,9,0.07520,7.06,104.61,23.10,88.81,1325.06,321.92
0,10,0.08374,7.79,115.38,25.76,85.79,1260.74,310.99
0,11,0.09165,8.52,125.98,28.41,92.57,1339.58,335.58
0,12,0.10032,9.35,136.41,31.04,95.42,1203.80,303.52
0,13,0.10831,10.20,146.68,33.67,106.59,1285.47,328.94
0,14,0.11663,11.17,156.78,36.25,115.86,1213.80,309.81
0,15,0.12507,12.16,166.72,38.82,117.18,1177.79,304.52
0,16,0.13320,13.25,176.49,41.36,135.08,1201.69,312.57
0,17,0.14162,14.38,186.10,43.90,133.82,1141.77,301.36
0,18,0.14989,15.51,195.54,46.43,136.16,1141.84,306.64
0,19,0.15847,16.63,204.82,48.97,131.20,1081.00,295.47
0,20,0.16670,17.76,213.94,51.50,136.79,1107.04,308.06
0,21,0.17541,18.88,222.88,54.04,129.36,1027.93,291.32
0,22,0.18324,20.09,231.67,56.57,153.61,1122.07,323.59
0,23,0.19183,21.31,240.29,59.11,142.45,1003.21,294.85
0,24,0.19992,22.53,248.74,61.64,151.18,1044.28,312.91
0,25,0.20908,23.76,257.03,64.17,133.67,905.30,276.67
0,26,0.21685,24.98,265.15,66.71,157.41,1044.88,325.81
0,27,0.22527,26.21,273.11,69.24,145.42,945.70,301.00
0,28,0.23334,27.51,280.90,71.76,161.06,965.48,312.29
0,29,0.24185,28.82,288.53,74.28,154.84,895.92,295.70
0,30,0.25010,30.14,295.99,76.79,159.85,904.93,305.27
0,31,0.25846,31.46,303.29,79.31,157.66,872.80,301.09
0,32,0.26679,32.79,310.49,81.85,159.71,864.57,305.13
0,33,0.27523,34.11,317.46,84.37,156.24,825.61,298.37
0,34,0.28368,35.51,324.26,86.87,165.70,804.60,295.31
0,35,0.29180,36.93,330.90,89.36,174.81,817.55,306.77
0,36,0.30019,38.35,337.37,91.85,169.09,771.13,296.73
0,37,0.30840,39.77,343.68,94.34,172.86,768.23,303.35
0,38,0.31726,41.19,349.82,96.83,160.21,693.36,281.14
0,39,0.32549,42.61,355.80,99.32,172.38,726.01,302.50
0,40,0.33350,44.02,361.61,101.81,177.31,726.16,311.15
0,41,0.34184,45.44,367.25,104.30,170.17,677.13,298.63
0,42,0.34999,46.86,372.74,106.79,173.99,672.11,305.33
0,43,0.35838,48.28,378.05,109.28,169.24,634.08,297.00
0,44,0.36675,49.70,383.20,111.77,169.40,614.96,297.27
0,45,0.37540,51.12,388.19,114.26,164.17,576.88,288.08
0,46,0.38342,52.55,393.01,116.74,177.74,601.31,309.04
0,47,0.39194,53.97,397.67,119.21,167.23,546.41,290.42
0,48,0.39996,55.40,402.16,121.69,177.74,560.15,308.66
0,49,0.40850,56.82,406.49,124.16,166.79,506.33,289.64
0,50,0.41726,58.25,410.65,126.64,162.72,475.14,282.58
0,51,0.42547,59.67,414.64,129.11,173.61,486.84,301.49
0,52,0.43336,61.10,418.48,131.59,180.66,485.69,313.73
0,53,0.44225,62.52,422.14,134.06,160.21,412.16,278.22
0,54,0.45010,63.95,425.64,136.54,181.71,446.46,315.56
0,55,0.45882,65.37,428.98,139.01,163.29,382.28,283.57
0,56,0.46745,66.80,432.15,141.49,165.31,367.88,287.08
0,57,0.47515,68.22,435.16,143.96,184.95,390.17,321.19
0,58,0.48330,69.65,438.00,146.44,174.91,348.73,303.75
0,59,0.49199,71.07,440.68,148.91,164.00,308.01,284.81
0,60,0.50019,72.50,443.19,151.39,173.77,306.23,301.77
0,61,0.50837,73.92,445.53,153.86,174.25,286.91,302.61
0,62,0.51668,75.32,447.72,156.29,168.23,262.57,292.38
0,63,0.52527,76.71,449.73,158.71,161.99,234.74,281.71
0,64,0.53383,78.10,451.58,161.13,162.57,216.29,282.71
0,65,0.54186,79.50,453.27,163.55,173.22,209.93,301.23
0,66,0.55072,80.89,454.79,165.97,157.11,171.77,273.21
0,67,0.55855,82.28,456.15,168.39,177.78,173.29,309.16
0,68,0.56743,83.67,457.34,170.81,156.70,134.17,272.51
0,69,0.57563,85.06,458.37,173.23,169.67,125.16,295.07
0,70,0.58356,86.45,459.23,175.65,175.38,108.58,305.00
0,71,0.59161,87.84,459.93,178.07,173.06,86.62,300.95
0,72,0.60007,89.21,460.46,180.44,160.72,62.76,278.92
0,73,0.60836,90.56,460.82,182.79,163.54,44.23,283.61
0,74,0.61703,91.92,461.02,185.13,156.20,23.23,270.89
0,75,0.62555,93.27,461.06,187.48,159.14,4.28,275.99
0,76,0.63384,94.63,460.93,189.83,163.39,-15.50,283.35
0,77,0.64204,95.98,460.64,192.18,165.36,-35.82,286.78
0,78,0.65005,97.34,460.18,194.53,168.98,-57.18,293.05
0,79,0.65881,98.69,459.56,196.88,154.70,-71.19,268.29
0,80,0.66697,100.01,458.77,199.18,162.02,-96.68,281.01
0,81,0.67537,101.32,457.81,201.46,156.22,-113.52,271.39
0,82,0.68349,102.64,456.70,203.74,161.50,-137.66,280.56
0,83,0.69205,103.95,455.41,206.02,153.30,-149.94,266.31
0,84,0.70021,105.26,453.96,208.29,160.90,-177.61,279.51
0,85,0.70871,106.57,452.35,210.57,154.40,-189.85,268.22
0,86,0.71677,107.85,450.57,212.79,158.18,-220.55,274.74
0,87,0.72522,109.12,448.63,214.99,150.32,-230.12,260.89
0,88,0.73350,110.39,446.52,217.20,153.36,-254.72,266.18
0,89,0.74167,111.66,444.25,219.40,155.37,-278.24,269.65
0,90,0.75015,112.93,441.81,221.60,149.64,-287.43,259.71
0,91,0.75853,114.20,439.20,223.81,151.55,-310.79,263.02
0,92,0.76747,115.45,436.44,225.98,139.93,-309.63,243.00
0,93,0.77520,116.70,433.50,228.15,161.50,-379.57,280.36
0,94,0.78404,117.94,430.40,230.31,141.16,-350.42,245.04
0,95,0.79204,119.19,427.14,232.48,156.11,-408.17,270.99
0,96,0.80010,120.44,423.71,234.65,154.78,-425.15,268.68
0,97,0.80836,121.69,420.12,236.81,151.20,-435.32,262.48
0,98,0.81734,122.94,416.36,238.98,138.88,-418.20,241.09
0,99,0.82580,124.19,412.44,241.15,147.65,-464.14,256.32
0,100,0.83364,125.43,408.35,243.31,159.14,-521.30,276.26
0,101,0.84182,126.68,404.09,245.48,152.61,-520.08,264.93
0,102,0.85007,127.93,399.68,247.65,151.34,-535.75,262.72
0,103,0.85838,129.18,395.09,249.81,150.09,-551.18,260.55
0,104,0.86719,130.43,390.34,251.98,141.77,-539.35,246.10
0,105,0.87556,131.67,385.43,254.15,149.00,-586.55,258.65
0,106,0.88331,132.92,380.35,256.31,161.18,-655.83,279.80
0,107,0.89217,134.17,375.11,258.48,140.79,-591.47,244.41
0,108,0.90020,135.42,369.70,260.65,155.51,-673.88,269.96
0,109,0.90893,136.67,364.13,262.81,143.01,-638.59,248.25
0,110,0.91698,137.92,358.39,264.98,155.07,-712.96,269.19
0,111,0.92514,139.16,352.48,267.15,152.90,-723.18,265.42
0,112,0.93329,140.41,346.41,269.31,153.18,-744.78,265.92
0,113,0.94195,141.66,340.18,271.48,144.14,-719.87,250.22
0,114,0.95025,142.91,333.78,273.65,150.37,-770.85,261.03
0,115,0.95850,144.16,327.22,275.81,151.20,-795.11,262.48
0,116,0.96688,145.40,320.49,277.98,149.00,-803.22,258.65
0,117,0.97546,146.65,313.60,280.15,145.42,-803.17,252.44
0,118,0.98356,147.90,306.54,282.32,154.19,-872.00,267.67
0,119,0.99185,149.15,299.31,284.48,150.51,-871.03,261.27
0,120,1.00026,150.40,291.93,286.65,148.46,-878.81,257.71
0,121,1.00859,151.64,284.37,288.82,149.82,-906.66,260.07
0,122,1.01697,152.89,276.65,290.98,149.00,-921.40,258.65
0,123,1.02531,154.14,268.77,293.15,149.68,-945.40,259.84
