trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-168.64,8.15,-282.37
0,1,0.00834,-1.45,0.07,-2.43,-174.20,8.41,-291.67
0,2,0.01641,-2.69,0.15,-4.98,-153.88,10.49,-315.69
0,3,0.02483,-3.94,0.24,-7.53,-147.60,10.04,-302.81
0,4,0.03345,-5.18,0.32,-10.08,-143.94,9.81,-295.31
0,5,0.04136,-6.42,0.41,-12.63,-157.14,10.68,-322.39
0,6,0.04999,-6.41,0.47,-13.72,1.06,6.63,-126.61
0,7,0.05811,-6.40,0.52,-14.81,1.13,7.05,-134.59
0,8,0.06699,-6.02,0.58,-15.54,42.92,5.91,-81.72
0,9,0.07489,-5.64,0.63,-16.26,48.31,6.65,-91.98
0,10,0.08324,-5.35,0.66,-16.69,34.73,4.02,-51.19
0,11,0.09196,-5.06,0.69,-17.12,33.22,3.82,-48.95
0,12,0.09991,-4.73,0.71,-17.13,41.11,1.69,-1.92
0,13,0.10820,-4.41,0.72,-17.15,39.37,1.60,-1.84
0,14,0.11641,-4.08,0.73,-17.05,40.15,0.94,11.90
0,15,0.12496,-3.75,0.74,-16.95,38.54,0.90,11.42
0,16,0.13308,-3.52,0.75,-17.09,27.44,1.94,-17.29
0,17,0.14140,-3.30,0.77,-17.23,26.79,1.92,-16.88
0,18,0.14982,-3.08,0.78,-17.37,26.45,1.90,-16.67
0,19,0.15832,-2.86,0.80,-17.51,26.21,1.88,-16.52
0,20,0.16644,-2.63,0.82,-17.65,27.44,1.94,-17.29
0,21,0.17503,-2.41,0.83,-17.79,25.93,1.86,-16.34
0,22,0.18344,-2.19,0.85,-17.94,26.47,1.87,-16.68
0,23,0.19203,-1.97,0.86,-18.08,25.93,1.88,-16.34
0,24,0.19979,-1.74,0.88,-18.22,28.71,2.03,-18.09
0,25,0.20818,-1.52,0.90,-18.36,26.57,1.90,-16.74
0,26,0.21642,-1.41,0.91,-18.47,12.96,1.20,-13.70
0,27,0.22502,-1.31,0.92,-18.58,12.41,1.19,-13.12
0,28,0.23330,-1.20,0.93,-18.70,12.90,1.19,-13.64
0,29,0.24149,-1.09,0.94,-18.81,13.04,1.23,-13.78
0,30,0.24984,-1.12,0.94,-18.88,-3.66,0.32,-8.78
0,31,0.25838,-1.15,0.94,-18.95,-3.57,0.29,-8.57
0,32,0.26672,-1.18,0.94,-19.03,-3.66,0.32,-8.79
0,33,0.27510,-1.21,0.95,-19.10,-3.64,0.34,-8.74
0,34,0.28322,-1.33,0.95,-19.17,-14.29,-0.14,-7.89
0,35,0.29161,-1.45,0.94,-19.23,-13.82,-0.16,-7.64
0,36,0.29972,-1.68,0.95,-19.42,-28.22,0.15,-23.33
0,37,0.30811,-1.90,0.95,-19.61,-27.27,0.10,-22.55
0,38,0.31662,-2.30,0.95,-20.03,-46.28,0.77,-49.15
0,39,0.32488,-2.69,0.96,-20.44,-47.65,0.79,-50.60
0,40,0.33339,-3.28,0.97,-21.03,-69.24,0.88,-68.88
0,41,0.34142,-3.87,0.97,-21.62,-73.38,0.96,-73.00
0,42,0.34995,-4.64,0.98,-22.34,-90.80,0.90,-84.36
0,43,0.35815,-5.42,0.99,-23.06,-94.51,0.94,-87.81
0,44,0.36639,-6.34,0.99,-23.84,-112.33,0.59,-95.27
0,45,0.37471,-7.27,1.00,-24.62,-111.09,0.61,-94.23
0,46,0.38322,-8.19,1.00,-25.41,-108.70,0.59,-92.20
0,47,0.39159,-9.12,1.01,-26.19,-110.48,0.63,-93.71
0,48,0.39979,-10.14,1.01,-27.05,-125.02,0.62,-104.93
0,49,0.40825,-11.17,1.02,-27.91,-121.19,0.61,-101.71
0,50,0.41668,-12.19,1.03,-28.78,-121.63,0.59,-102.08
0,51,0.42504,-13.22,1.03,-29.64,-122.63,0.61,-102.92
0,52,0.43324,-14.25,1.04,-30.64,-125.51,1.55,-122.53
0,53,0.44164,-15.28,1.06,-31.64,-122.43,1.49,-119.53
0,54,0.44978,-16.27,1.08,-32.79,-122.21,2.59,-140.58
0,55,0.45819,-17.27,1.10,-33.93,-118.22,2.49,-135.99
0,56,0.46642,-18.20,1.13,-35.25,-113.17,3.97,-160.30
0,57,0.47495,-19.13,1.16,-36.57,-109.12,3.85,-154.92
0,58,0.48305,-20.07,1.21,-38.23,-116.76,6.14,-204.90
0,59,0.49158,-21.02,1.26,-39.89,-110.91,5.83,-194.63
0,60,0.49973,-22.21,1.33,-42.14,-146.07,8.70,-275.66
0,61,0.50797,-23.40,1.40,-44.38,-144.44,8.60,-272.59
0,62,0.51643,-24.66,1.48,-46.82,-148.83,9.19,-287.57
0,63,0.52481,-25.92,1.56,-49.26,-150.46,9.27,-290.71
0,64,0.53297,-27.04,1.63,-51.44,-137.57,8.65,-268.04
0,65,0.54132,-28.17,1.70,-53.63,-134.55,8.44,-262.16
0,66,0.55009,-29.17,1.77,-55.62,-113.74,7.34,-226.09
0,67,0.55837,-30.16,1.83,-57.60,-120.55,7.83,-239.63
0,68,0.56660,-31.16,1.89,-59.58,-121.34,7.86,-241.19
0,69,0.57504,-32.16,1.96,-61.57,-118.16,7.63,-234.87
0,70,0.58368,-33.16,2.02,-63.55,-115.55,7.50,-229.68
1,0,0.00000,0.00,0.00,0.00,-167.00,26.09,-290.35
1,1,0.00792,-1.41,0.22,-2.46,-178.42,27.91,-310.21
1,2,0.01682,-2.62,0.50,-5.03,-135.05,30.81,-288.60
1,3,0.02471,-3.82,0.53,-7.60,-152.42,4.73,-325.73
1,4,0.03296,-5.02,0.42,-10.17,-145.79,-14.08,-311.56
1,5,0.04171,-6.22,0.30,-12.73,-137.40,-13.48,-293.64
1,6,0.04974,-6.20,0.31,-13.83,3.42,1.65,-136.12
1,7,0.05827,-6.17,0.32,-14.92,3.22,1.51,-128.09
1,8,0.06656,-5.77,0.37,-15.64,47.47,5.08,-86.84
1,9,0.07508,-5.38,0.41,-16.36,46.20,4.94,-84.51
1,10,0.08318,-5.08,0.44,-16.78,36.91,3.71,-51.98
1,11,0.09142,-4.78,0.47,-17.20,36.33,3.66,-51.16
1,12,0.09975,-4.46,0.50,-17.21,39.16,3.51,-1.46
1,13,0.10807,-4.13,0.53,-17.23,39.27,3.48,-1.47
1,14,0.11652,-3.80,0.56,-17.12,39.02,3.37,12.29
1,15,0.12461,-3.47,0.58,-17.02,40.72,3.46,12.82
1,16,0.13303,-3.25,0.60,-17.16,26.47,2.45,-16.32
1,17,0.14140,-3.02,0.63,-17.29,26.59,2.59,-16.39
1,18,0.14989,-2.80,0.65,-17.43,26.24,2.42,-16.17
1,19,0.15859,-2.58,0.67,-17.57,25.61,2.45,-15.79
1,20,0.16669,-2.36,0.69,-17.71,27.52,2.58,-16.97
1,21,0.17480,-2.13,0.71,-17.84,27.85,2.61,-16.93
1,22,0.18337,-1.91,0.73,-17.98,25.98,2.48,-16.01
1,23,0.19164,-1.68,0.75,-18.12,26.96,2.53,-16.62
1,24,0.20026,-1.46,0.77,-18.26,25.84,2.43,-15.93
1,25,0.20829,-1.24,0.79,-18.39,27.73,2.65,-16.71
1,26,0.21691,-1.13,0.80,-18.50,12.74,1.20,-13.10
1,27,0.22488,-1.02,0.82,-18.62,13.78,1.39,-14.16
1,28,0.23331,-0.91,0.83,-18.73,13.03,1.31,-13.39
1,29,0.24146,-0.80,0.84,-18.84,13.11,1.28,-13.86
1,30,0.24995,-0.83,0.84,-18.91,-3.59,-0.21,-8.63
1,31,0.25816,-0.86,0.83,-18.99,-3.72,-0.26,-8.92
1,32,0.26649,-0.89,0.83,-19.06,-3.67,-0.26,-8.80
