trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,115.73,-672.29,110.14
0,1,0.00842,1.14,-5.82,1.09,135.14,-690.78,128.99
0,2,0.01642,2.24,-11.46,2.14,138.17,-705.11,131.68
0,3,0.02466,3.35,-17.09,3.20,134.44,-684.07,128.52
0,4,0.03333,4.49,-22.88,4.29,131.69,-668.28,125.70
0,5,0.04181,5.62,-28.68,5.36,133.09,-683.12,126.98
0,6,0.04968,6.73,-34.29,6.42,140.31,-712.76,134.11
0,7,0.06067,7.83,-39.90,7.47,100.56,-510.86,95.83
0,8,0.07605,8.85,-45.12,8.45,66.47,-339.17,63.49
0,9,0.08246,10.35,-52.77,9.88,234.29,-1193.51,223.81
0,10,0.08893,11.09,-56.52,10.58,113.21,-579.59,108.02
0,11,0.09753,11.59,-59.06,11.07,58.87,-295.51,56.03
0,12,0.10590,11.99,-61.11,11.44,47.45,-244.73,44.89
0,13,0.11401,12.40,-63.15,11.83,50.00,-251.80,47.74
0,14,0.12451,12.86,-65.51,12.27,43.90,-224.88,42.15
0,15,0.13263,13.24,-67.46,12.63,46.62,-239.49,44.74
0,16,0.14124,13.61,-69.39,12.99,43.97,-224.01,41.84
0,17,0.14948,13.99,-71.31,13.36,45.93,-233.82,44.07
0,18,0.15765,14.37,-73.24,13.72,46.27,-235.71,44.03
0,19,0.16583,14.72,-75.02,14.05,42.91,-218.16,41.04
0,20,0.17389,15.07,-76.79,14.38,42.80,-218.75,40.91
0,21,0.18188,15.39,-78.42,14.69,40.46,-203.99,38.17
0,22,0.19000,15.70,-80.03,14.99,38.72,-198.48,36.84
0,23,0.19836,15.99,-81.48,15.26,34.31,-173.67,32.48
0,24,0.20679,16.27,-82.91,15.52,33.33,-169.58,31.52
0,25,0.21497,16.52,-84.12,15.76,29.85,-148.05,28.36
0,26,0.22345,16.74,-85.30,15.97,26.62,-138.94,25.54
0,27,0.23230,16.93,-86.23,16.15,21.03,-105.04,20.00
0,28,0.24005,17.10,-87.12,16.32,22.44,-114.85,22.05
0,29,0.24847,17.22,-87.78,16.44,14.49,-78.24,13.77
0,30,0.25677,17.35,-88.40,16.55,14.71,-74.36,13.97
0,31,0.26538,17.43,-88.79,16.63,9.22,-45.99,8.51
0,32,0.27325,17.43,-89.18,16.63,0.00,-49.17,0.00
0,33,0.28217,17.53,-89.30,16.73,11.30,-13.84,11.30
0,34,0.29010,17.53,-89.43,16.73,0.00,-15.83,0.00
0,35,0.29834,17.53,-89.45,16.73,0.00,-2.12,0.00
0,36,0.30695,17.53,-89.45,16.73,0.00,0.00,0.00
0,37,0.31525,17.53,-89.45,16.73,0.00,0.00,0.00
0,38,0.32318,17.53,-89.45,16.73,0.00,0.00,0.00
0,39,0.33185,17.53,-89.45,16.73,0.00,0.00,0.00
0,40,0.34033,17.53,-89.45,16.73,0.00,0.00,0.00
0,41,0.34857,17.53,-89.45,16.73,0.00,0.00,0.00
0,42,0.35699,17.53,-89.45,16.73,0.00,0.00,0.00
0,43,0.36530,17.53,-89.45,16.73,0.00,0.00,0.00
0,44,0.37390,17.53,-89.45,16.73,0.00,0.00,0.00
0,45,0.38257,17.53,-89.45,16.73,0.00,0.00,0.00
0,46,0.39032,17.53,-89.45,16.73,0.00,0.00,0.00
0,47,0.39850,17.53,-89.45,16.73,0.00,0.00,0.00
0,48,0.40680,17.53,-89.45,16.73,0.00,0.00,0.00
