trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-365.44,-15.37,-8.39
0,1,0.00763,-3.04,-0.07,0.13,-398.00,-8.89,17.60
0,2,0.01614,-6.02,-0.30,0.27,-350.54,-26.95,15.77
0,3,0.02435,-8.75,-0.46,0.42,-332.71,-19.66,17.84
0,4,0.03271,-11.44,-0.61,0.58,-321.90,-18.26,19.34
0,5,0.04095,-13.94,-0.75,0.82,-302.96,-16.49,30.00
0,6,0.04941,-16.43,-0.88,1.07,-294.58,-15.98,29.24
0,7,0.05762,-18.79,-1.00,1.47,-287.73,-14.44,49.07
0,8,0.06659,-21.12,-1.12,1.86,-259.52,-13.12,42.52
0,9,0.07434,-23.37,-1.23,2.29,-290.16,-14.18,56.30
0,10,0.08273,-25.59,-1.34,2.63,-264.00,-13.47,40.73
0,11,0.09097,-27.76,-1.45,2.98,-263.33,-13.41,41.85
0,12,0.09998,-29.91,-1.57,3.18,-239.32,-13.05,22.71
0,13,0.10764,-32.05,-1.69,3.33,-278.88,-15.67,19.52
0,14,0.11609,-34.34,-1.83,3.34,-271.84,-16.36,0.36
0,15,0.12448,-36.67,-1.97,3.27,-277.09,-17.17,-8.00
0,16,0.13284,-38.98,-2.12,3.17,-276.28,-17.32,-12.04
0,17,0.14096,-41.28,-2.26,3.04,-283.08,-17.99,-15.79
0,18,0.14944,-43.69,-2.42,2.88,-284.17,-18.17,-18.35
0,19,0.15778,-46.10,-2.57,2.72,-289.38,-18.59,-19.41
0,20,0.16675,-48.66,-2.74,2.55,-285.37,-18.37,-19.73
0,21,0.17441,-51.23,-2.90,2.37,-335.46,-21.54,-23.11
0,22,0.18280,-53.79,-3.07,2.19,-305.09,-19.64,-21.09
0,23,0.19101,-56.35,-3.23,2.01,-311.90,-20.08,-21.56
0,24,0.20007,-59.07,-3.41,1.80,-300.34,-19.44,-23.23
0,25,0.20773,-61.83,-3.59,1.59,-360.56,-23.35,-27.89
0,26,0.21631,-64.56,-3.76,1.38,-317.44,-20.55,-24.56
0,27,0.22452,-67.28,-3.94,1.17,-331.97,-21.54,-25.65
0,28,0.23285,-70.12,-4.13,0.89,-340.29,-22.45,-33.33
0,29,0.24109,-72.95,-4.31,0.61,-344.07,-22.75,-33.70
0,30,0.24948,-75.79,-4.50,0.34,-337.82,-22.29,-33.09
0,31,0.25836,-78.62,-4.69,0.06,-319.24,-21.06,-31.27
0,32,0.26617,-81.51,-4.88,-0.27,-369.14,-24.71,-41.41
0,33,0.27444,-84.39,-5.07,-0.59,-348.71,-23.30,-39.11
0,34,0.28293,-87.27,-5.27,-0.91,-339.93,-22.71,-38.13
0,35,0.29108,-90.16,-5.46,-1.24,-353.93,-23.65,-39.70
0,36,0.29947,-93.04,-5.65,-1.56,-343.64,-23.00,-38.55
