trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
0,1,0.00848,0.00,0.00,0.00,0.00,0.00,0.00
0,2,0.01654,0.00,0.00,0.00,0.00,0.00,0.00
0,3,0.02484,0.00,0.00,0.00,0.00,0.00,0.00
0,4,0.03339,0.00,0.00,0.00,0.00,0.00,0.00
0,5,0.04175,0.00,0.00,0.00,0.00,0.00,0.00
0,6,0.04993,0.00,0.00,0.00,0.00,0.00,0.00
0,7,0.05811,0.00,0.00,0.00,0.00,0.00,0.00
0,8,0.06647,0.00,0.00,0.00,0.00,0.00,0.00
0,9,0.07471,0.00,0.00,0.00,0.00,0.00,0.00
0,10,0.08307,0.00,0.00,0.00,0.00,0.00,0.00
0,11,0.09180,0.00,0.00,0.00,0.00,0.00,0.00
0,12,0.09979,0.00,0.00,0.00,0.00,0.00,0.00
0,13,0.10828,0.00,0.00,0.00,0.00,0.00,0.00
0,14,0.11658,0.00,0.00,0.00,0.00,0.00,0.00
0,15,0.12476,0.00,0.00,0.00,0.00,0.00,0.00
0,16,0.13306,0.00,0.00,0.00,0.00,0.00,0.00
0,17,0.14160,0.00,0.00,0.00,0.00,0.00,0.00
0,18,0.14984,0.00,0.00,0.00,0.00,0.00,0.00
