trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
0,1,0.00818,0.00,0.00,0.00,0.00,0.00,0.00
0,2,0.01630,0.00,0.00,0.00,0.00,0.00,0.00
0,3,0.02448,0.00,0.00,0.00,0.00,0.00,0.00
0,4,0.03351,0.00,0.00,0.00,0.00,0.00,0.00
0,5,0.04132,0.00,0.00,0.00,0.00,0.00,0.00
0,6,0.04993,0.00,0.00,0.00,0.00,0.00,0.00
0,7,0.05774,0.00,0.00,0.00,0.00,0.00,0.00
0,8,0.06610,0.00,0.00,0.00,0.00,0.00,0.00
0,9,0.07471,0.00,0.00,0.00,0.00,0.00,0.00
0,10,0.08289,0.00,0.00,0.00,0.00,0.00,0.00
0,11,0.09149,0.00,0.00,0.00,0.00,0.00,0.00
0,12,0.09955,0.00,0.00,0.00,0.00,0.00,0.00
0,13,0.10846,0.00,0.00,0.00,0.00,0.00,0.00
0,14,0.11780,0.00,0.00,0.00,0.00,0.00,0.00
0,15,0.12585,0.00,0.00,0.00,0.00,0.00,0.00
0,16,0.13354,0.00,0.00,0.00,0.00,0.00,0.00
0,17,0.14117,0.00,0.00,0.00,0.00,0.00,0.00
0,18,0.15125,0.00,0.00,0.00,0.00,0.00,0.00
0,19,0.15814,0.00,0.00,0.00,0.00,0.00,0.00
0,20,0.16644,0.00,0.00,0.00,0.00,0.00,0.00
0,21,0.17542,0.00,0.00,0.00,0.00,0.00,0.00
0,22,0.18335,0.00,0.00,0.00,0.00,0.00,0.00
0,23,0.19128,0.00,0.00,0.00,0.00,0.00,0.00
0,24,0.19958,0.00,0.00,0.00,0.00,0.00,0.00
0,25,0.20819,0.00,0.00,0.00,0.00,0.00,0.00
0,26,0.21667,0.00,0.00,0.00,0.00,0.00,0.00
0,27,0.22443,0.00,0.00,0.00,0.00,0.00,0.00
0,28,0.23309,0.00,0.00,0.00,0.00,0.00,0.00
0,29,0.24176,0.00,0.00,0.00,0.00,0.00,0.00
0,30,0.25043,0.00,0.00,0.00,0.00,0.00,0.00
0,31,0.25873,0.00,0.00,0.00,0.00,0.00,0.00
0,32,0.26648,0.00,0.00,0.00,0.00,0.00,0.00
0,33,0.27563,0.00,0.00,0.00,0.00,0.00,0.00
0,34,0.28314,0.00,0.00,0.00,0.00,0.00,0.00
0,35,0.29126,0.00,0.00,0.00,0.00,0.00,0.00
0,36,0.29968,0.00,0.00,0.00,0.00,0.00,0.00
0,37,0.30817,0.00,0.00,0.00,0.00,0.00,0.00
0,38,0.31610,0.00,0.00,0.00,0.00,0.00,0.00
0,39,0.32538,0.00,0.00,0.00,0.00,0.00,0.00
0,40,0.33295,0.00,0.00,0.00,0.00,0.00,0.00
