trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,618.92,1321.52,1255.74
0,1,0.00763,4.33,11.81,10.43,567.20,1548.30,1367.60
0,2,0.01599,5.84,23.50,19.10,181.39,1397.73,1036.50
0,3,0.02428,7.08,35.06,25.33,149.54,1395.52,751.75
0,4,0.03264,7.96,46.50,29.04,105.11,1367.83,443.43
0,5,0.04103,8.51,57.81,30.63,64.73,1347.97,190.18
0,6,0.04965,9.05,69.00,32.12,62.65,1297.68,172.74
0,7,0.05846,9.63,80.06,33.74,66.20,1256.50,183.36
0,8,0.06636,10.17,91.00,35.06,69.11,1383.79,167.18
0,9,0.07468,10.67,101.81,36.10,59.82,1300.21,125.14
0,10,0.08321,11.16,112.50,37.06,57.25,1252.99,112.34
0,11,0.09143,11.66,123.06,38.07,60.85,1284.28,122.82
0,12,0.09985,12.00,133.50,38.28,40.58,1239.20,25.36
0,13,0.10817,12.21,143.81,37.83,24.95,1240.08,-54.68
0,14,0.11659,12.42,154.00,37.37,24.64,1209.51,-53.99
0,15,0.12500,12.63,164.06,36.92,24.68,1196.84,-54.08
0,16,0.13333,12.83,174.00,36.46,24.91,1192.80,-54.58
0,17,0.14149,13.04,183.81,36.01,25.42,1202.01,-55.70
0,18,0.14984,13.25,193.50,35.55,24.86,1160.66,-54.48
0,19,0.15872,13.46,203.06,35.10,23.37,1076.79,-51.20
0,20,0.16650,13.66,212.50,34.64,26.67,1212.74,-58.43
0,21,0.17490,13.87,221.81,34.19,24.73,1109.65,-54.18
0,22,0.18326,14.08,231.00,33.73,24.82,1098.75,-54.38
0,23,0.19151,14.29,240.06,33.28,25.14,1097.83,-55.08
0,24,0.19983,14.49,249.00,32.82,24.95,1074.74,-54.68
0,25,0.20810,14.70,257.81,32.37,25.09,1065.57,-54.98
0,26,0.21715,14.91,266.50,31.92,22.93,960.11,-50.25
0,27,0.22482,15.12,275.06,31.46,27.04,1115.62,-59.24
0,28,0.23322,15.32,283.50,31.01,24.73,1005.39,-54.18
0,29,0.24142,15.53,291.81,30.55,25.28,1012.58,-55.39
0,30,0.25046,15.74,300.00,30.10,22.97,906.38,-50.34
0,31,0.25816,15.95,308.06,29.64,26.93,1046.31,-59.01
0,32,0.26659,16.15,316.00,29.19,24.64,942.38,-53.99
0,33,0.27489,16.36,323.81,28.73,25.00,941.18,-54.78
0,34,0.28322,16.57,331.50,28.28,24.91,922.73,-54.58
0,35,0.29155,16.78,339.06,27.82,24.91,907.72,-54.58
0,36,0.29997,16.98,346.50,27.37,24.64,883.02,-53.99
0,37,0.30882,17.19,353.81,26.91,23.45,826.26,-51.38
0,38,0.31657,17.40,361.00,26.46,26.77,927.25,-58.66
0,39,0.32491,17.61,368.06,26.00,24.91,847.70,-54.58
0,40,0.33334,17.81,375.00,25.55,24.59,822.16,-53.89
0,41,0.34152,18.02,381.81,25.09,25.37,832.95,-55.60
0,42,0.34975,18.23,388.50,24.64,25.23,813.12,-55.29
0,43,0.35800,18.44,395.06,24.19,25.14,794.97,-55.08
0,44,0.36713,18.64,401.50,23.73,22.74,705.50,-49.83
0,45,0.37476,18.85,407.81,23.28,27.20,827.39,-59.60
0,46,0.38318,19.06,414.00,22.82,24.64,734.61,-53.99
0,47,0.39143,19.27,420.06,22.37,25.14,734.40,-55.08
0,48,0.39984,19.47,426.00,21.91,24.68,706.20,-54.08
0,49,0.40874,19.68,431.81,21.46,23.33,653.39,-51.11
0,50,0.41649,19.89,437.50,21.00,26.77,733.73,-58.66
0,51,0.42479,20.10,443.06,20.55,25.00,670.12,-54.78
0,52,0.43321,20.30,448.50,20.09,24.64,645.56,-53.99
0,53,0.44153,20.51,453.81,19.64,24.95,638.82,-54.68
0,54,0.44987,20.72,459.00,19.18,24.86,621.51,-54.48
0,55,0.45821,20.93,464.06,18.73,24.91,607.65,-54.58
0,56,0.46719,21.13,469.00,18.27,23.09,549.37,-50.59
0,57,0.47481,21.34,473.81,17.82,27.25,632.05,-59.72
0,58,0.48323,21.55,478.50,17.36,24.64,556.52,-53.99
0,59,0.49159,21.76,483.06,16.91,24.82,545.63,-54.38
0,60,0.50053,21.96,487.50,16.46,23.21,496.27,-50.85
0,61,0.50819,22.17,491.81,16.00,27.09,562.99,-59.36
0,62,0.51660,22.38,496.00,15.55,24.68,498.05,-54.08
0,63,0.52490,22.59,500.06,15.09,25.00,489.41,-54.78
0,64,0.53337,22.79,504.00,14.64,24.50,464.94,-53.69
0,65,0.54153,23.00,507.81,14.18,25.42,467.02,-55.70
0,66,0.55000,23.21,511.50,13.73,24.50,435.42,-53.69
0,67,0.55826,23.42,515.06,13.27,25.14,431.55,-55.08
0,68,0.56735,23.62,518.50,12.82,22.82,377.98,-50.00
0,69,0.57500,23.83,521.81,12.36,27.15,433.30,-59.48
0,70,0.58345,24.04,525.00,11.91,24.55,377.06,-53.79
0,71,0.59166,24.25,528.06,11.45,25.28,373.05,-55.39
0,72,0.60069,24.45,531.00,11.00,22.97,325.18,-50.34
0,73,0.60831,24.66,533.81,10.54,27.25,369.37,-59.72
0,74,0.61667,24.87,536.50,10.09,24.82,321.40,-54.38
0,75,0.62500,25.08,539.06,9.63,24.91,307.57,-54.58
0,76,0.63341,25.28,541.50,9.18,24.68,289.91,-54.08
0,77,0.64178,25.49,543.81,8.72,24.77,276.04,-54.28
0,78,0.65010,25.70,546.00,8.27,24.95,263.04,-54.68
0,79,0.65891,25.91,548.06,7.82,23.57,234.25,-51.65
0,80,0.66687,26.11,550.00,7.36,26.05,243.24,-57.09
0,81,0.67505,26.32,551.81,6.91,25.37,221.60,-55.60
0,82,0.68340,26.53,553.50,6.45,24.86,202.17,-54.48
0,83,0.69167,26.74,555.06,6.00,25.09,188.92,-54.98
0,84,0.70070,26.94,556.50,5.54,22.97,159.13,-50.34
0,85,0.70853,27.15,557.81,5.09,26.51,167.66,-58.09
0,86,0.71674,27.36,559.00,4.63,25.28,144.64,-55.39
0,87,0.72505,27.57,560.06,4.18,24.95,127.75,-54.68
0,88,0.73343,27.77,561.00,3.72,24.77,111.90,-54.28
0,89,0.74176,27.98,561.81,3.27,24.91,97.51,-54.58
0,90,0.75018,28.19,562.50,2.81,24.64,81.61,-53.99
0,91,0.75903,28.40,563.06,2.36,23.45,63.55,-51.38
0,92,0.76685,28.60,563.50,1.90,26.56,55.99,-58.20
0,93,0.77513,28.81,563.81,1.45,25.05,37.70,-54.88
0,94,0.78355,29.02,564.00,0.99,24.64,22.25,-53.99
0,95,0.79187,29.23,564.06,0.54,24.95,7.50,-54.68
0,96,0.80016,29.43,564.00,0.09,25.05,-7.56,-54.88
0,97,0.80844,29.64,563.81,-0.37,25.05,-22.65,-54.88
0,98,0.81757,29.85,563.50,-0.82,22.74,-34.26,-49.83
0,99,0.82518,30.06,563.05,-1.29,28.06,-58.65,-60.92
0,100,0.83360,30.27,562.49,-1.74,24.64,-67.06,-53.99
0,101,0.84183,30.48,561.80,-2.20,25.23,-83.88,-55.29
0,102,0.85017,30.69,560.98,-2.65,24.86,-97.63,-54.48
0,103,0.85857,30.89,560.04,-3.11,24.73,-111.99,-54.18
0,104,0.86685,31.10,558.98,-3.56,25.05,-128.52,-54.88
0,105,0.87518,31.31,557.79,-4.02,24.91,-142.82,-54.58
0,106,0.88351,31.52,556.47,-4.47,24.91,-157.82,-54.58
0,107,0.89191,31.72,555.03,-4.93,24.73,-171.57,-54.18
0,108,0.90019,31.93,553.47,-5.38,25.05,-188.87,-54.88
0,109,0.90909,32.14,551.78,-5.83,23.33,-189.96,-51.11
0,110,0.91698,32.35,549.96,-6.29,26.31,-230.06,-57.64
0,111,0.92520,32.55,548.02,-6.74,25.23,-235.87,-55.29
0,112,0.93359,32.76,545.96,-7.20,24.73,-246.05,-54.18
0,113,0.94191,32.97,543.77,-7.65,24.95,-263.33,-54.68
0,114,0.95084,33.18,541.45,-8.11,23.25,-259.33,-50.94
0,115,0.95851,33.38,539.01,-8.56,27.04,-317.89,-59.24
0,116,0.96704,33.59,536.45,-9.02,24.33,-300.70,-53.31
0,117,0.97525,33.80,533.76,-9.47,25.28,-327.67,-55.39
0,118,0.98366,34.01,530.94,-9.93,24.68,-334.81,-54.08
0,119,0.99191,34.21,528.00,-10.38,25.14,-356.13,-55.08
0,120,1.00038,34.42,524.94,-10.84,24.50,-361.91,-53.69
0,121,1.00916,34.63,521.75,-11.29,23.65,-363.57,-51.83
0,122,1.01694,34.84,518.43,-11.75,26.67,-425.97,-58.43
0,123,1.02528,35.04,514.99,-12.20,24.86,-412.13,-54.48
0,124,1.03368,35.25,511.43,-12.66,24.73,-424.78,-54.18
0,125,1.04199,35.46,507.74,-13.11,24.95,-443.71,-54.68
