trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,76.73,0.00,65.45
0,1,0.00887,0.64,0.14,0.55,72.63,15.91,61.96
0,2,0.01724,2.21,0.31,1.90,187.25,20.61,161.75
0,3,0.02501,3.78,0.49,3.26,201.96,22.23,174.46
0,4,0.03340,5.73,0.70,4.98,232.00,25.64,205.09
0,5,0.04189,7.68,0.92,6.70,229.50,25.44,202.88
0,6,0.05006,9.45,1.12,8.35,217.54,24.46,201.87
0,7,0.05885,11.23,1.32,10.00,202.43,22.81,187.85
0,8,0.06721,12.76,1.49,11.46,182.85,20.80,174.09
0,9,0.07501,14.29,1.66,12.92,196.09,22.21,186.69
0,10,0.08339,15.82,1.84,14.37,182.51,20.77,173.77
0,11,0.09203,17.35,2.01,15.83,177.03,20.05,168.55
0,12,0.10010,18.88,2.19,17.28,189.41,21.56,180.34
0,13,0.10843,20.41,2.36,18.74,183.52,20.89,174.73
0,14,0.11674,22.00,2.53,20.10,191.56,20.92,164.04
0,15,0.12560,23.59,2.71,21.47,180.00,19.74,154.14
0,16,0.13345,25.19,2.88,22.83,202.72,22.25,173.59
0,17,0.14172,26.78,3.06,24.19,192.62,21.12,164.94
0,18,0.15016,28.44,3.23,25.43,196.38,20.52,146.11
0,19,0.15846,30.09,3.41,26.66,199.63,20.96,148.53
0,20,0.16748,31.75,3.58,27.89,183.76,19.35,136.72
0,21,0.17500,33.41,3.75,29.13,220.28,23.02,163.89
0,22,0.18347,35.06,3.93,30.36,195.68,20.54,145.59
0,23,0.19177,36.72,4.10,31.59,199.63,20.91,148.53
0,24,0.20006,38.38,4.28,32.82,200.00,21.06,148.80
0,25,0.20885,40.04,4.45,34.06,188.54,19.70,140.28
0,26,0.21756,41.76,4.62,35.20,197.90,20.10,131.00
0,27,0.22580,43.55,4.80,36.38,216.67,22.00,143.33
0,28,0.23361,45.27,4.98,37.52,220.70,22.40,146.09
0,29,0.24185,47.00,5.15,38.66,209.63,21.25,137.78
0,30,0.25034,48.83,5.33,39.67,216.55,20.96,119.42
0,31,0.25844,50.67,5.51,40.68,227.12,21.98,124.29
0,32,0.26758,52.62,5.69,41.57,213.02,19.74,97.50
0,33,0.27568,54.58,5.87,42.44,241.43,22.28,107.72
0,34,0.28354,56.79,6.05,42.83,281.94,22.89,49.71
0,35,0.29178,59.02,6.23,43.21,270.74,21.89,45.56
