trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-395.56,-1660.16,819.63
0,1,0.00839,-3.23,-13.84,6.77,-385.09,-1649.64,806.18
0,2,0.01678,-6.46,-27.85,13.53,-385.09,-1669.30,806.18
0,3,0.02509,-9.70,-42.03,20.30,-389.34,-1707.59,815.07
0,4,0.03342,-12.93,-56.37,27.06,-387.91,-1721.14,812.09
0,5,0.04239,-16.16,-70.87,33.83,-360.20,-1616.59,754.08
0,6,0.05008,-19.39,-85.54,40.59,-420.24,-1907.48,879.76
0,7,0.05835,-22.62,-100.38,47.36,-390.77,-1793.70,818.08
0,8,0.06696,-25.85,-115.37,54.13,-375.53,-1742.91,786.17
0,9,0.07556,-29.09,-130.54,60.89,-375.53,-1762.08,786.17
0,10,0.08328,-32.32,-145.87,67.66,-418.58,-1985.42,876.28
0,11,0.09177,-35.55,-161.36,74.42,-380.94,-1826.33,797.48
0,12,0.09998,-38.78,-177.02,81.19,-393.68,-1907.53,824.16
0,13,0.10843,-42.01,-192.85,87.95,-382.31,-1871.96,800.36
0,14,0.11694,-45.25,-208.84,94.72,-379.57,-1877.92,794.62
0,15,0.12534,-48.48,-224.99,101.49,-385.09,-1924.90,806.18
0,16,0.13419,-51.49,-237.20,108.39,-340.00,-1379.70,779.66
1,0,0.00000,0.00,0.00,0.00,-178.31,-1648.17,885.66
1,1,0.00842,-1.45,-13.85,7.36,-172.46,-1643.87,873.55
1,2,0.01730,-2.91,-27.86,14.72,-163.57,-1577.72,828.52
1,3,0.02493,-4.36,-42.03,22.07,-190.40,-1858.09,964.40
1,4,0.03333,-5.81,-56.37,29.43,-173.09,-1708.84,876.73
1,5,0.04166,-7.26,-70.88,36.79,-174.36,-1741.16,883.15
1,6,0.04999,-8.72,-85.55,44.15,-174.36,-1760.96,883.15
1,7,0.05826,-10.17,-100.39,51.50,-175.65,-1793.91,889.67
1,8,0.06665,-11.62,-115.39,58.86,-173.09,-1787.48,876.73
1,9,0.07492,-13.07,-130.56,66.22,-175.65,-1833.82,889.67
1,10,0.08395,-14.53,-145.89,73.58,-160.81,-1697.20,814.53
1,11,0.09158,-15.98,-161.38,80.94,-190.40,-2031.11,964.40
1,12,0.09998,-17.43,-177.04,88.29,-173.09,-1866.13,876.73
1,13,0.10837,-18.88,-192.87,95.65,-173.09,-1885.79,876.73
1,14,0.11728,-20.34,-208.86,103.01,-163.01,-1794.51,825.68
1,15,0.12500,-21.94,-222.44,110.30,-207.11,-1758.28,943.87
2,0,0.00000,0.00,0.00,0.00,-478.45,-1583.82,724.73
2,1,0.00833,-4.11,-13.84,6.27,-493.04,-1661.64,753.11
2,2,0.01672,-8.22,-27.85,12.55,-489.45,-1669.21,747.64
2,3,0.02478,-12.32,-42.03,18.82,-509.85,-1759.24,778.79
2,4,0.03302,-16.43,-56.36,25.10,-498.52,-1740.18,761.48
2,5,0.04126,-20.54,-70.87,31.37,-498.52,-1760.20,761.48
2,6,0.04968,-24.65,-85.54,37.65,-487.68,-1741.53,744.93
2,7,0.05792,-28.75,-100.37,43.92,-498.52,-1800.25,761.48
2,8,0.06644,-32.86,-115.37,50.20,-482.44,-1761.56,736.92
2,9,0.07462,-36.97,-130.53,56.47,-502.24,-1854.04,767.16
2,10,0.08295,-41.08,-145.86,62.74,-493.04,-1839.88,753.11
2,11,0.09134,-45.18,-161.35,69.02,-489.45,-1846.16,747.64
2,12,0.09949,-49.29,-177.01,75.29,-504.12,-1921.73,770.04
2,13,0.10806,-53.40,-192.84,81.57,-479.00,-1845.23,731.67
2,14,0.11661,-57.51,-208.83,87.84,-480.71,-1871.13,734.29
2,15,0.12473,-61.61,-224.98,94.12,-506.02,-1989.93,772.93
2,16,0.13284,-65.69,-228.77,101.50,-501.50,-466.96,909.77
3,0,0.00000,0.00,0.00,0.00,-132.59,-2281.12,-273.33
3,1,0.00827,-1.09,-18.97,-2.25,-131.73,-2293.87,-272.32
3,2,0.01727,-2.18,-38.12,-4.50,-121.02,-2126.68,-250.17
3,3,0.02579,-3.30,-58.05,-6.82,-131.90,-2341.20,-272.40
3,4,0.03326,-4.39,-77.65,-9.08,-146.12,-2621.42,-302.04
3,5,0.04181,-5.48,-97.33,-11.33,-127.50,-2302.80,-263.57
3,6,0.05011,-6.57,-117.18,-13.59,-131.25,-2391.61,-271.32
3,7,0.05838,-7.66,-137.21,-15.84,-131.73,-2421.60,-272.32
3,8,0.06744,-8.75,-157.41,-18.09,-120.20,-2228.92,-248.48
3,9,0.07578,-9.86,-178.16,-20.38,-132.97,-2490.89,-274.73
3,10,0.08347,-10.95,-198.72,-22.63,-141.67,-2672.87,-292.86
3,11,0.09180,-12.04,-219.45,-24.88,-130.77,-2488.27,-270.33
3,12,0.10019,-13.13,-240.35,-27.14,-129.82,-2491.02,-268.36
3,13,0.10861,-15.11,-240.60,-29.91,-234.78,-29.74,-329.71
4,0,0.00000,0.00,0.00,0.00,-563.38,-1611.33,-678.99
4,1,0.00865,-4.81,-13.86,-5.76,-555.56,-1601.99,-665.26
4,2,0.01689,-9.61,-27.88,-11.51,-583.33,-1702.11,-698.52
4,3,0.02472,-14.42,-42.07,-17.27,-614.04,-1812.77,-735.28
4,4,0.03407,-19.23,-56.43,-23.02,-513.87,-1534.69,-615.33
4,5,0.04129,-24.03,-70.95,-28.78,-665.96,-2011.80,-797.46
4,6,0.04990,-28.84,-85.63,-34.53,-558.51,-1706.37,-668.79
4,7,0.05827,-33.65,-100.48,-40.29,-573.77,-1772.69,-687.07
4,8,0.06664,-38.45,-115.50,-46.04,-574.82,-1795.66,-688.32
4,9,0.07503,-43.26,-130.68,-51.80,-572.73,-1808.79,-685.82
4,10,0.08319,-48.07,-146.02,-57.56,-588.79,-1879.72,-705.05
4,11,0.09181,-52.87,-161.53,-63.31,-557.52,-1799.05,-667.61
4,12,0.09967,-57.68,-177.21,-69.07,-611.65,-1994.71,-732.43
4,13,0.10823,-62.48,-193.05,-74.82,-561.50,-1850.43,-672.37
