trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-86.40,0.00,-110.15
0,1,0.00779,-0.77,0.00,-0.98,-98.33,0.00,-125.37
0,2,0.01624,-1.68,0.00,-1.44,-108.30,0.00,-54.51
0,3,0.02454,-2.60,0.00,-1.90,-110.29,0.00,-55.51
0,4,0.03299,-3.66,0.00,-1.89,-125.38,0.00,1.08
0,5,0.04123,-4.71,0.00,-1.88,-128.52,0.00,1.11
0,6,0.04944,-5.67,0.00,-1.74,-115.99,0.00,17.10
0,7,0.05779,-6.62,0.00,-1.60,-114.08,0.00,16.82
0,8,0.06604,-6.92,0.00,-1.21,-36.97,0.00,46.95
0,9,0.07444,-7.23,0.00,-0.82,-36.33,0.00,46.14
0,10,0.08298,-6.78,0.00,-0.51,52.14,0.00,36.43
0,11,0.09121,-6.34,0.00,-0.20,54.17,0.00,37.85
0,12,0.09960,-5.50,0.00,0.01,99.64,0.00,24.73
0,13,0.10794,-4.67,0.00,0.21,100.27,0.00,24.89
0,14,0.11598,-3.70,0.00,0.69,119.92,0.00,59.58
0,15,0.12469,-2.74,0.00,1.17,110.68,0.00,54.99
0,16,0.13297,-1.79,0.00,1.99,114.76,0.00,99.26
0,17,0.14159,-0.84,0.00,2.81,109.99,0.00,95.14
0,18,0.14961,0.11,0.00,3.63,118.36,0.00,102.38
0,19,0.15815,1.06,0.00,4.46,111.17,0.00,96.16
0,20,0.16621,2.17,0.00,5.29,137.75,0.00,104.07
0,21,0.17468,3.28,0.00,6.13,131.17,0.00,99.10
0,22,0.18303,4.39,0.10,6.97,133.09,12.22,100.55
0,23,0.19116,5.50,0.10,7.81,136.59,0.00,103.19
0,24,0.19967,6.68,0.27,8.76,138.48,19.63,111.93
0,25,0.20786,7.86,0.27,9.72,143.90,-0.00,116.31
0,26,0.21624,9.04,0.44,10.67,140.49,20.15,113.56
0,27,0.22467,10.21,0.44,11.62,139.73,-0.00,112.94
0,28,0.23301,11.45,0.61,12.69,148.58,20.36,128.45
0,29,0.24133,12.69,0.61,13.76,148.99,-0.00,128.81
0,30,0.24964,14.56,0.77,16.30,224.95,20.00,304.95
0,31,0.25793,16.43,0.77,18.84,225.78,0.00,306.08
0,32,0.26637,18.44,0.94,21.66,238.12,19.41,334.60
0,33,0.27471,20.46,0.94,24.49,241.17,0.00,338.88
0,34,0.28301,22.60,1.10,27.62,258.46,19.84,376.84
0,35,0.29114,24.75,1.10,30.74,264.04,0.00,384.98
0,36,0.29970,26.70,1.27,33.42,227.81,19.27,312.66
0,37,0.30800,28.65,1.27,36.09,234.93,0.00,322.06
0,38,0.31625,30.48,1.43,38.53,222.18,20.06,295.38
0,39,0.32480,32.36,1.43,41.04,219.64,0.00,293.21
0,40,0.33318,34.53,1.59,44.35,258.78,18.98,395.63
0,41,0.34132,36.70,1.59,47.70,266.92,0.00,410.50
0,42,0.34965,39.03,1.70,52.21,279.38,12.66,542.25
0,43,0.35824,41.35,1.70,56.74,271.05,-0.00,526.82
0,44,0.36667,43.86,1.70,61.73,297.19,0.00,592.22
0,45,0.37507,46.37,1.70,66.72,298.27,-0.00,594.01
0,46,0.38327,48.80,1.70,71.59,296.93,0.00,593.86
0,47,0.39156,51.24,1.70,76.46,294.02,0.00,588.04
0,48,0.39967,53.79,1.70,81.67,314.21,0.00,641.20
0,49,0.40807,56.34,1.70,86.87,303.36,0.00,619.07
0,50,0.41642,58.88,1.70,92.07,305.30,0.00,623.03
0,51,0.42495,61.43,1.88,97.27,298.75,20.80,609.66
0,52,0.43315,63.98,10.51,102.52,310.33,1052.71,640.74
0,53,0.44162,66.52,19.14,107.78,300.54,1018.69,620.54
0,54,0.44972,69.06,27.43,113.05,313.37,1023.79,650.47
0,55,0.45830,71.60,35.72,118.32,295.73,966.51,614.59
0,56,0.46657,74.12,43.68,123.59,305.17,962.41,637.27
0,57,0.47481,76.64,51.63,128.86,306.30,964.98,639.63
0,58,0.48351,79.15,59.19,134.12,287.82,868.63,604.03
0,59,0.49185,81.66,66.74,139.38,300.46,905.50,630.92
0,60,0.50034,84.19,73.79,144.74,298.92,830.14,631.65
0,61,0.50790,86.73,80.81,150.11,335.89,928.50,710.08
0,62,0.51656,89.57,87.10,156.22,328.04,726.86,706.17
0,63,0.52477,92.42,93.36,162.34,346.47,762.75,745.35
0,64,0.53339,95.43,98.34,168.88,349.03,577.56,758.58
0,65,0.54159,98.43,103.28,175.42,366.88,601.66,797.77
0,66,0.54978,101.48,106.09,182.07,371.69,343.33,811.17
0,67,0.55820,104.52,108.87,188.71,361.23,330.61,788.77
0,68,0.56628,107.47,110.31,195.14,364.84,177.46,796.98
0,69,0.57490,110.41,111.72,201.57,341.24,164.25,744.78
0,70,0.58348,113.12,112.36,207.46,316.09,74.22,686.58
0,71,0.59129,115.83,112.99,213.33,346.09,80.09,751.95
0,72,0.59974,118.17,113.08,218.37,277.51,10.65,595.84
