trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,487.46,1595.27,684.67
0,1,0.00800,1.53,14.74,2.01,191.22,1843.21,251.53
0,2,0.01665,3.07,29.47,4.04,178.33,1701.76,234.71
0,3,0.02507,4.60,43.86,6.05,181.69,1709.46,238.98
0,4,0.03326,6.13,58.07,8.07,186.77,1735.88,245.67
0,5,0.04141,7.66,72.11,10.08,187.46,1720.92,246.59
0,6,0.04999,9.19,85.97,12.09,178.29,1616.30,234.52
0,7,0.05814,10.72,99.65,14.10,187.46,1678.01,246.59
0,8,0.06644,12.24,113.16,16.11,183.09,1627.62,242.28
0,9,0.07470,13.69,126.50,18.14,175.60,1615.45,246.21
0,10,0.08298,15.14,139.66,20.18,174.95,1588.37,245.30
0,11,0.09152,16.59,152.64,22.21,169.79,1521.03,238.07
0,12,0.09977,18.04,165.45,24.24,175.76,1553.28,246.44
0,13,0.10796,19.49,178.09,26.27,177.07,1543.48,248.28
0,14,0.11643,20.94,190.55,28.31,171.02,1470.05,239.78
0,15,0.12474,22.38,202.84,30.34,174.47,1478.68,244.63
0,16,0.13280,23.83,214.95,32.37,179.75,1501.75,252.03
0,17,0.14149,25.28,226.88,34.40,166.96,1374.70,234.09
0,18,0.14971,26.73,238.64,36.43,176.25,1429.93,247.12
0,19,0.15807,28.18,250.23,38.47,173.52,1386.79,243.29
0,20,0.16628,29.63,261.65,40.50,176.58,1391.30,247.96
0,21,0.17479,31.08,272.88,42.54,170.25,1319.56,238.71
0,22,0.18314,32.53,283.94,44.57,172.79,1323.92,243.29
0,23,0.19136,33.94,294.83,46.61,171.59,1324.75,248.10
0,24,0.20000,35.35,305.54,48.65,163.25,1240.12,236.04
0,25,0.20798,36.76,316.08,50.68,176.50,1318.89,255.21
0,26,0.21644,38.17,326.44,52.72,166.79,1225.58,241.16
0,27,0.22470,39.58,336.62,54.76,170.64,1232.69,246.72
0,28,0.23299,40.99,346.63,56.80,170.01,1207.05,245.81
0,29,0.24158,42.40,356.47,58.84,164.12,1144.88,237.30
0,30,0.24986,43.80,366.13,60.88,170.32,1167.00,246.27
0,31,0.25811,45.21,375.61,62.92,170.95,1150.10,247.18
0,32,0.26691,46.65,385.09,65.00,162.71,1077.93,236.60
0,33,0.27502,48.01,394.23,67.05,168.42,1124.95,253.38
0,34,0.28352,49.38,403.18,69.11,160.86,1053.87,242.01
0,35,0.29144,50.75,411.97,71.17,172.64,1108.94,259.73
0,36,0.30051,52.11,420.57,73.22,150.84,949.61,226.94
0,37,0.30868,53.48,429.00,75.28,167.32,1031.93,251.73
0,38,0.31692,54.85,437.26,77.34,165.93,1002.09,249.63
0,39,0.32537,56.22,445.34,79.39,161.73,956.07,243.32
0,40,0.33353,57.57,453.25,81.46,166.51,969.49,252.95
0,41,0.34151,58.87,460.98,83.55,162.52,968.88,262.33
0,42,0.34995,60.17,468.54,85.64,153.71,895.58,248.10
0,43,0.35839,61.47,475.92,87.74,153.57,874.05,247.88
0,44,0.36711,62.75,483.13,89.84,147.33,826.45,241.12
0,45,0.37576,63.95,490.16,91.99,138.27,812.78,248.68
0,46,0.38369,65.14,497.02,94.14,150.91,865.02,271.41
0,47,0.39270,66.34,503.70,96.30,132.77,741.59,238.78
0,48,0.40064,67.52,510.21,98.46,149.09,819.29,272.05
0,49,0.40883,68.61,516.54,100.67,132.71,773.48,270.27
0,50,0.41727,69.72,522.86,102.94,132.01,748.94,269.08
0,51,0.42574,70.81,528.83,105.15,128.29,705.81,261.26
0,52,0.43375,71.90,534.64,107.36,135.62,724.30,276.19
0,53,0.44219,72.98,540.26,109.58,128.64,666.28,261.97
0,54,0.45018,74.07,545.72,111.79,136.01,682.56,276.98
0,55,0.45847,75.16,550.99,114.00,131.12,636.92,267.03
0,56,0.46676,76.23,556.10,116.22,129.53,615.24,267.16
0,57,0.47517,77.24,561.02,118.45,120.15,586.05,265.70
0,58,0.48406,78.25,565.78,120.68,113.55,534.21,251.11
0,59,0.49195,79.26,570.35,122.92,128.05,580.22,283.17
0,60,0.50047,80.27,574.75,125.15,118.64,517.04,262.37
0,61,0.50854,81.28,578.98,127.39,125.02,523.20,276.49
0,62,0.51708,82.29,583.03,129.62,118.32,474.65,261.66
0,63,0.52529,83.30,586.91,131.85,123.05,472.30,272.12
0,64,0.53352,84.31,590.61,134.09,122.71,449.73,271.36
0,65,0.54178,85.32,594.14,136.32,122.37,427.28,270.61
0,66,0.55016,86.33,597.49,138.56,120.47,399.80,266.42
0,67,0.55844,87.34,600.67,140.79,122.03,383.82,269.86
0,68,0.56665,88.35,603.67,143.02,123.05,365.71,272.12
0,69,0.57518,89.36,606.50,145.26,118.43,331.46,261.90
0,70,0.58388,90.37,609.15,147.49,116.14,304.94,256.84
0,71,0.59174,91.38,611.63,149.73,128.54,315.24,284.27
0,72,0.60004,92.39,613.93,151.95,121.21,277.09,267.77
0,73,0.60867,93.38,616.06,154.13,114.94,246.52,252.52
0,74,0.61700,94.37,618.01,156.31,119.16,234.53,261.78
0,75,0.62542,95.36,619.79,158.49,117.75,210.99,258.70
0,76,0.63345,96.36,621.39,160.67,123.57,199.62,271.48
0,77,0.64196,97.35,622.82,162.84,116.49,167.62,255.91
0,78,0.65024,98.34,624.07,165.02,119.82,151.27,263.23
0,79,0.66166,99.33,625.15,167.20,86.84,94.31,190.78
0,80,0.66798,100.32,626.05,169.38,156.82,142.64,344.51
0,81,0.67519,101.32,626.78,171.56,137.71,100.97,302.54
0,82,0.68349,102.31,627.33,173.74,119.49,66.52,262.50
0,83,0.69172,103.30,627.71,175.92,120.48,45.82,264.69
0,84,0.70014,104.29,627.91,178.10,117.75,24.00,258.70
0,85,0.70858,105.28,627.93,180.28,117.54,3.22,258.23
0,86,0.71700,106.27,627.79,182.45,117.75,-17.55,257.97
0,87,0.72534,107.26,627.46,184.60,118.21,-38.71,257.64
0,88,0.73367,108.25,626.97,186.75,118.42,-59.81,258.11
0,89,0.74184,109.23,626.29,188.89,120.63,-82.35,262.93
0,90,0.75052,110.22,625.45,191.04,113.53,-97.65,247.45
0,91,0.75835,111.20,624.42,193.19,125.80,-130.54,274.20
0,92,0.76685,112.19,623.22,195.34,115.98,-140.94,252.78
0,93,0.77520,113.17,621.85,197.49,118.10,-164.48,257.40
0,94,0.78354,114.16,620.30,199.64,118.21,-185.62,257.64
0,95,0.79276,115.15,618.58,201.79,106.95,-186.94,233.11
0,96,0.80025,116.13,616.68,203.93,131.43,-253.06,286.47
0,97,0.80865,117.12,614.61,206.08,117.45,-246.99,256.00
0,98,0.81721,118.11,612.36,208.22,116.22,-262.59,249.91
0,99,0.82588,119.16,609.94,210.31,120.32,-279.30,240.99
0,100,0.83361,120.20,607.34,212.40,135.04,-336.14,270.48
0,101,0.84229,121.24,604.57,214.49,120.32,-319.66,240.99
0,102,0.85027,122.29,601.62,216.58,130.78,-369.40,261.95
0,103,0.85868,123.33,598.50,218.67,124.03,-371.10,248.41
0,104,0.86699,124.37,595.20,220.76,125.62,-396.94,251.61
0,105,0.87557,125.42,591.73,222.85,121.60,-404.62,243.56
0,106,0.88356,126.47,588.08,224.93,131.42,-456.67,260.17
0,107,0.89214,127.55,584.26,226.96,125.87,-445.40,235.73
0,108,0.90032,128.63,580.26,228.98,132.09,-488.82,247.39
0,109,0.90883,129.71,576.09,231.00,127.00,-490.54,237.85
0,110,0.91724,130.79,571.74,233.03,128.49,-517.14,240.65
0,111,0.92551,131.87,567.22,235.05,130.63,-546.89,244.65
0,112,0.93400,132.95,562.52,237.07,127.22,-553.25,238.27
0,113,0.94181,134.03,557.64,239.10,138.28,-623.73,258.98
0,114,0.95064,135.11,552.60,241.11,122.73,-571.86,228.18
0,115,0.95847,136.21,547.37,243.08,140.35,-667.23,251.07
0,116,0.96712,137.31,541.98,245.04,126.87,-623.36,226.96
0,117,0.97556,138.41,536.40,247.01,130.32,-661.05,233.12
0,118,0.98367,139.51,530.65,248.97,135.34,-708.08,242.11
0,119,0.99166,140.61,524.73,250.94,137.54,-741.48,246.04
0,120,1.00047,141.71,518.63,252.90,124.68,-692.01,223.03
0,121,1.00845,142.80,512.36,254.87,137.80,-786.80,246.51
0,122,1.01682,143.90,505.91,256.83,131.15,-769.71,234.61
0,123,1.02528,145.00,499.29,258.80,129.96,-783.47,232.49
0,124,1.03366,146.10,492.49,260.76,131.03,-810.75,234.39
0,125,1.04180,147.20,485.52,262.73,134.96,-856.57,241.42
0,126,1.05006,148.31,478.37,264.69,134.57,-865.89,238.08
0,127,1.05869,149.48,471.05,266.66,135.69,-847.91,227.56
0,128,1.06725,150.65,463.55,268.62,137.02,-876.69,229.79
0,129,1.07531,151.82,455.88,270.59,145.32,-951.48,243.71
0,130,1.08331,153.00,448.03,272.56,146.43,-980.60,245.57
0,131,1.09199,154.17,440.01,274.52,135.09,-924.88,226.56
0,132,1.09997,155.34,431.81,276.49,146.85,-1027.27,246.27
0,133,1.10863,156.51,423.44,278.45,135.21,-966.08,226.76
0,134,1.11711,157.70,414.89,280.42,139.69,-1008.46,232.58
0,135,1.12538,158.95,406.16,282.42,151.66,-1054.74,242.07
0,136,1.13353,160.21,397.27,284.43,153.93,-1092.02,245.69
0,137,1.14207,161.46,388.19,286.43,146.92,-1062.75,234.50
0,138,1.15021,162.71,378.95,288.43,154.08,-1136.04,245.92
0,139,1.15849,163.97,369.52,290.43,151.38,-1137.28,241.62
0,140,1.16733,165.23,359.92,292.44,143.35,-1086.38,227.29
0,141,1.17530,166.56,350.15,294.48,166.89,-1225.81,255.31
0,142,1.18365,167.90,340.20,296.51,159.41,-1191.87,243.88
0,143,1.19176,169.23,330.08,298.55,164.06,-1248.21,250.99
0,144,1.20026,170.56,319.78,300.58,156.41,-1210.57,239.28
0,145,1.20847,171.89,309.31,302.62,162.08,-1275.76,247.96
0,146,1.21763,173.22,298.66,304.65,145.33,-1163.05,222.33
0,147,1.22536,174.55,287.84,306.69,172.16,-1400.39,263.38
0,148,1.23340,175.88,276.84,308.72,165.46,-1367.68,253.13
0,149,1.24165,177.21,265.67,310.76,161.18,-1353.48,246.58
0,150,1.24998,178.54,254.32,312.80,159.71,-1362.10,244.32
0,151,1.25830,179.87,242.80,314.83,160.00,-1385.64,244.77
0,152,1.26690,181.20,231.10,316.87,154.75,-1360.50,236.73
0,153,1.27505,182.53,219.23,318.90,163.30,-1457.14,249.81
0,154,1.28342,183.87,207.18,320.94,159.56,-1438.21,243.35
0,155,1.29173,185.24,194.95,323.00,164.71,-1472.52,247.79
0,156,1.29995,186.60,182.56,325.05,166.23,-1507.47,250.09
0,157,1.30848,187.97,169.98,327.11,160.29,-1474.04,241.14
0,158,1.31686,189.34,157.23,329.17,163.06,-1520.39,245.31
0,159,1.32540,190.70,144.31,331.23,160.14,-1513.72,240.93
0,160,1.33331,192.07,131.21,333.28,172.81,-1655.53,259.98
0,161,1.34177,193.44,117.94,335.34,161.73,-1570.15,243.32
0,162,1.35011,194.81,104.49,337.40,163.80,-1611.21,246.44
0,163,1.35863,196.17,90.87,339.45,160.57,-1600.00,241.58
0,164,1.36684,197.54,77.07,341.51,166.39,-1679.24,250.32
0,165,1.37542,198.91,63.10,343.57,159.43,-1629.43,239.86
0,166,1.38342,200.27,48.95,345.62,170.99,-1769.48,257.25
0,167,1.39184,201.64,34.63,347.68,162.32,-1700.50,244.20
0,168,1.40035,203.01,20.13,349.74,160.57,-1702.77,241.58
0,169,1.40842,204.38,5.46,351.79,169.54,-1819.52,255.06
0,170,1.41705,205.74,-9.39,353.85,158.30,-1719.23,238.16
0,171,1.42505,207.11,-24.41,355.91,170.99,-1878.92,257.25
0,172,1.43385,208.48,-39.61,357.97,155.63,-1726.21,233.97
0,173,1.44172,209.87,-54.99,360.04,176.92,-1954.40,263.43
0,174,1.45023,211.26,-70.53,362.11,163.59,-1827.73,243.59
0,175,1.45845,212.66,-86.26,364.18,169.20,-1911.74,251.95
0,176,1.46673,214.09,-99.90,366.52,172.90,-1647.54,281.66
1,0,0.00000,0.00,0.00,0.00,808.81,1677.00,396.70
1,1,0.00829,2.30,14.74,1.04,277.35,1778.72,125.60
1,2,0.01668,4.60,29.30,2.08,273.82,1735.23,124.00
1,3,0.02573,6.89,43.69,3.12,253.96,1590.06,115.01
1,4,0.03346,9.19,57.90,4.16,297.04,1837.16,134.52
1,5,0.04192,11.49,71.94,5.20,271.84,1660.59,123.10
1,6,0.05025,13.79,85.80,6.24,275.82,1663.92,124.91
1,7,0.05937,16.09,99.49,7.28,251.84,1500.05,114.05
1,8,0.06686,18.40,113.08,8.34,308.35,1813.85,140.53
1,9,0.07518,20.64,126.41,9.43,269.36,1603.72,131.74
1,10,0.08357,22.88,139.58,10.53,266.91,1568.29,130.55
1,11,0.09184,25.12,152.56,11.62,270.85,1570.28,132.47
1,12,0.10013,27.36,165.37,12.72,270.35,1546.26,132.23
1,13,0.10854,29.60,178.01,13.82,266.42,1503.00,130.31
1,14,0.11746,31.84,190.47,14.91,250.94,1396.04,122.74
1,15,0.12532,34.08,202.76,16.01,285.05,1563.52,139.42
1,16,0.13350,36.32,214.87,17.10,273.88,1480.87,133.96
1,17,0.14191,38.56,226.81,18.20,266.42,1419.74,130.31
1,18,0.15019,40.80,238.57,19.29,270.35,1419.53,132.23
1,19,0.15865,43.04,250.16,20.39,264.98,1370.65,129.60
1,20,0.16696,45.28,261.57,21.48,269.36,1372.24,131.74
1,21,0.17531,47.52,272.80,22.58,268.37,1346.25,131.26
1,22,0.18364,49.75,283.86,23.68,268.50,1327.71,131.87
1,23,0.19203,51.96,294.75,24.80,263.27,1297.20,133.45
1,24,0.20032,54.17,305.46,25.92,266.67,1292.81,135.17
1,25,0.20915,56.38,316.00,27.04,250.09,1192.62,126.77
1,26,0.21704,58.59,326.36,28.16,280.08,1313.46,141.97
1,27,0.22533,60.80,336.55,29.28,266.67,1229.44,135.17
1,28,0.23384,63.01,346.56,30.40,259.50,1175.83,131.54
1,29,0.24203,65.22,356.40,31.52,269.65,1200.46,136.69
1,30,0.25037,67.43,366.06,32.64,265.20,1159.67,134.43
1,31,0.25868,69.64,375.54,33.76,265.69,1140.75,134.68
1,32,0.26695,71.84,384.86,34.88,266.79,1125.91,135.79
1,33,0.27602,74.02,393.99,36.04,240.40,1008.03,127.61
1,34,0.28366,76.21,402.98,37.20,286.23,1175.51,152.10
1,35,0.29207,78.39,411.76,38.36,259.17,1045.01,137.57
1,36,0.30042,80.57,420.38,39.51,261.06,1031.68,138.57
1,37,0.30904,82.75,428.81,40.67,252.74,978.52,134.16
1,38,0.31705,84.93,437.07,41.83,272.00,1031.23,144.38
1,39,0.32544,87.11,445.16,42.98,259.64,963.50,137.82
1,40,0.33377,89.28,453.07,44.15,261.17,949.55,139.56
1,41,0.34216,91.43,460.85,45.38,256.00,927.54,146.91
1,42,0.35042,93.57,468.41,46.60,258.78,915.80,148.24
1,43,0.35881,95.70,475.80,47.83,254.55,879.96,145.82
1,44,0.36763,97.83,483.01,49.06,241.52,817.49,139.45
1,45,0.37544,99.91,490.04,50.38,265.62,900.47,169.14
1,46,0.38373,101.98,496.90,51.70,250.46,827.94,159.48
