trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,938.52,600.15,1933.33
0,1,0.00858,0.83,4.84,3.91,96.44,563.82,456.23
0,2,0.01743,1.65,9.56,7.82,93.45,533.90,442.07
0,3,0.02521,2.48,14.18,11.74,106.27,593.04,502.75
0,4,0.03363,3.31,18.68,15.65,98.19,534.86,464.49
0,5,0.04214,4.14,23.08,19.56,97.13,516.19,459.50
0,6,0.05032,4.96,27.36,23.47,101.12,523.93,478.36
0,7,0.05887,5.79,31.54,27.39,96.79,488.60,457.86
0,8,0.06708,6.62,35.60,31.30,100.74,495.18,476.58
0,9,0.07550,7.44,39.56,35.21,98.19,469.56,464.49
0,10,0.08377,8.27,43.40,39.12,100.00,464.92,473.06
0,11,0.09229,9.10,47.14,43.04,97.13,438.67,459.50
0,12,0.10052,9.92,50.76,46.95,100.37,439.94,474.81
0,13,0.10950,10.75,54.28,50.86,92.18,391.77,436.05
0,14,0.11719,11.59,57.71,54.81,108.73,447.14,513.89
0,15,0.12555,12.41,61.01,58.72,98.91,393.92,467.88
0,16,0.13382,13.24,64.19,62.64,100.00,384.98,473.06
0,17,0.14224,14.07,67.27,66.55,98.19,364.95,464.49
0,18,0.15106,14.90,70.23,70.46,93.77,336.06,443.60
0,19,0.15903,15.72,73.08,74.37,103.83,358.30,491.19
0,20,0.16776,16.55,75.83,78.29,94.76,314.38,448.25
0,21,0.17551,17.38,78.46,82.20,106.69,339.79,504.72
0,22,0.18384,18.20,80.99,86.11,99.27,302.94,469.60
0,23,0.19223,19.03,83.40,90.02,98.55,287.63,466.18
0,24,0.20050,19.86,85.70,93.94,100.00,278.57,473.06
0,25,0.20959,20.68,87.90,97.85,90.94,241.24,430.20
0,26,0.21719,21.52,90.00,101.80,110.04,277.18,520.48
0,27,0.22565,22.35,91.98,105.72,97.83,233.36,462.82
0,28,0.23389,23.18,93.84,109.63,100.37,226.06,474.81
0,29,0.24240,24.00,95.59,113.54,97.13,205.85,459.50
0,30,0.25052,24.83,97.23,117.45,101.88,202.36,481.95
0,31,0.25955,25.66,98.77,121.37,91.55,169.67,433.11
0,32,0.26721,26.48,100.19,125.28,107.97,185.73,510.76
0,33,0.27570,27.31,101.50,129.19,97.48,154.72,461.15
0,34,0.28394,28.14,102.70,133.10,100.37,145.96,474.81
0,35,0.29236,28.96,103.80,137.01,98.19,129.73,464.49
0,36,0.30090,29.79,104.78,140.93,96.79,115.00,457.86
0,37,0.30908,30.62,105.65,144.84,101.12,106.70,478.36
0,38,0.31732,31.45,106.42,148.75,100.37,92.56,474.81
0,39,0.32571,32.27,107.07,152.66,98.55,77.77,466.18
0,40,0.33398,33.10,107.61,156.58,100.00,65.61,473.06
0,41,0.34244,33.93,108.04,160.49,97.83,51.18,462.82
0,42,0.35068,34.76,108.37,164.41,100.74,39.20,475.56
0,43,0.35965,35.58,108.58,168.32,92.18,23.69,436.05
0,44,0.36746,36.41,108.68,172.23,105.86,13.12,500.78
0,45,0.37582,37.24,108.67,176.14,98.91,-0.90,467.88
0,46,0.38400,38.06,108.56,180.06,101.12,-14.37,478.36
0,47,0.39255,38.89,108.33,183.97,96.79,-26.62,457.86
0,48,0.40073,39.72,107.99,187.88,101.12,-41.26,478.36
0,49,0.40924,40.55,107.54,191.79,97.13,-52.56,459.50
0,50,0.41812,41.37,106.99,195.71,93.13,-62.78,440.55
0,51,0.42599,42.22,106.30,199.71,107.75,-86.98,508.91
0,52,0.43411,43.05,105.52,203.63,101.88,-96.10,481.95
0,53,0.44257,43.88,104.63,207.54,97.83,-105.30,462.82
0,54,0.45099,44.70,103.63,211.45,98.19,-118.74,464.49
0,55,0.45929,45.53,102.52,215.36,99.63,-133.74,471.32
0,56,0.46756,46.36,101.30,219.27,100.00,-147.53,473.06
0,57,0.47592,47.18,99.97,223.19,98.91,-159.07,467.88
0,58,0.48419,48.01,98.53,227.10,100.00,-174.14,473.06
0,59,0.49271,48.84,96.98,231.01,97.13,-182.06,459.50
0,60,0.50085,49.66,95.32,234.92,101.50,-203.75,480.15
0,61,0.50931,50.49,93.55,238.84,97.83,-209.40,462.82
0,62,0.51819,51.32,91.67,242.75,93.13,-211.71,440.55
0,63,0.52597,52.16,89.65,246.72,107.84,-259.51,510.20
0,64,0.53427,52.98,87.55,250.63,99.63,-253.20,471.32
0,65,0.54263,53.81,85.34,254.54,98.91,-264.50,467.88
0,66,0.55115,54.64,83.02,258.46,97.13,-272.68,459.50
0,67,0.55920,55.47,80.58,262.37,102.65,-301.83,485.61
0,68,0.56757,56.29,78.04,266.28,98.91,-303.97,467.88
0,69,0.57605,57.12,75.39,270.19,97.48,-312.56,461.15
0,70,0.58435,57.95,72.63,274.11,99.63,-332.71,471.32
0,71,0.59265,58.77,69.76,278.02,99.63,-345.96,471.32
0,72,0.60095,59.60,66.77,281.93,99.63,-359.21,471.32
0,73,0.60992,60.43,63.68,285.84,92.18,-344.59,436.05
0,74,0.61768,61.25,60.48,289.76,106.69,-413.05,504.72
0,75,0.62607,62.08,57.17,293.67,98.55,-394.62,466.18
0,76,0.63437,62.91,53.75,297.58,99.63,-412.22,471.32
0,77,0.64264,63.74,50.22,301.49,100.00,-427.04,473.06
0,78,0.65091,64.56,46.57,305.40,100.00,-440.35,473.06
0,79,0.65936,65.39,42.82,309.32,97.83,-443.82,462.82
0,80,0.66837,66.22,38.96,313.23,91.86,-428.96,434.58
0,81,0.67603,67.06,34.93,317.20,109.56,-525.67,517.93
0,82,0.68439,67.88,30.85,321.11,98.91,-488.32,467.88
0,83,0.69281,68.71,26.66,325.02,98.19,-497.84,464.49
0,84,0.70120,69.54,22.35,328.93,98.55,-512.76,466.18
0,85,0.70944,70.36,17.94,332.85,100.37,-535.61,474.81
0,86,0.71762,71.19,13.42,336.76,101.12,-553.05,478.36
0,87,0.72604,72.02,8.78,340.67,98.19,-550.08,464.49
0,88,0.73450,72.85,4.04,344.58,97.83,-561.11,462.82
0,89,0.74274,73.67,-0.81,348.50,100.37,-589.01,474.81
0,90,0.75098,74.50,-5.78,352.41,100.37,-602.36,474.81
0,91,0.76001,75.33,-10.85,356.32,91.55,-561.63,433.11
0,92,0.76764,76.15,-16.03,360.23,108.40,-679.38,512.80
0,93,0.77591,76.98,-21.33,364.14,100.00,-640.04,473.06
0,94,0.78436,77.81,-26.73,368.06,97.83,-639.19,462.82
