trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-10.07,5.26,-17.99
0,1,0.00809,-0.18,0.07,-0.24,-21.89,8.55,-30.19
0,2,0.01657,-0.63,0.24,-0.86,-53.24,20.66,-72.30
0,3,0.02502,-1.21,0.47,-1.64,-68.95,26.22,-92.42
0,4,0.03317,-1.93,0.74,-2.59,-87.64,33.08,-116.48
0,5,0.04163,-2.80,1.05,-3.74,-103.97,37.76,-135.74
0,6,0.04980,-3.75,1.35,-4.95,-115.30,35.57,-148.51
0,7,0.05823,-4.83,1.63,-6.30,-128.62,34.14,-160.87
0,8,0.06677,-5.91,1.88,-7.66,-126.79,28.61,-158.57
0,9,0.07486,-7.00,2.08,-9.01,-133.96,25.25,-167.55
0,10,0.08340,-8.20,2.25,-10.42,-141.07,20.23,-165.00
0,11,0.09161,-9.43,2.39,-11.85,-149.81,15.96,-173.23
0,12,0.09988,-10.66,2.48,-13.27,-148.71,11.56,-171.96
0,13,0.10837,-11.87,2.57,-14.62,-142.09,10.43,-158.99
0,14,0.11664,-13.05,2.75,-15.90,-142.80,22.05,-154.61
0,15,0.12506,-14.09,2.85,-16.97,-123.55,11.98,-127.90
0,16,0.13364,-15.07,2.95,-17.97,-113.88,10.83,-115.66
0,17,0.14172,-15.87,3.02,-18.73,-99.25,8.81,-94.34
0,18,0.14999,-16.58,3.14,-19.43,-85.61,14.57,-84.50
0,19,0.15845,-17.19,3.18,-20.07,-72.20,4.68,-75.45
0,20,0.16684,-17.80,3.22,-20.70,-72.73,5.67,-76.00
0,21,0.17529,-18.41,3.27,-21.34,-72.20,5.65,-75.45
0,22,0.18335,-19.02,3.32,-21.98,-75.76,5.92,-79.17
0,23,0.19183,-19.66,3.37,-22.71,-75.54,5.69,-86.33
0,24,0.20007,-20.33,3.41,-23.54,-81.11,4.96,-100.37
0,25,0.20813,-21.29,3.46,-24.80,-119.32,6.13,-156.44
0,26,0.21655,-22.32,3.52,-26.17,-122.83,7.40,-163.41
0,27,0.22501,-23.43,3.59,-27.69,-131.41,8.29,-179.06
0,28,0.23343,-24.60,3.67,-29.31,-138.77,9.11,-192.75
0,29,0.24167,-25.83,3.75,-31.04,-148.52,9.98,-210.00
0,30,0.24991,-27.05,3.83,-32.77,-148.52,10.03,-210.00
0,31,0.25830,-28.27,3.92,-34.50,-145.82,9.84,-206.18
0,32,0.26669,-29.50,4.00,-36.23,-145.82,9.80,-206.18
0,33,0.27487,-30.69,4.08,-38.00,-146.27,10.63,-216.04
0,34,0.28348,-31.86,4.20,-39.80,-135.82,13.54,-209.57
0,35,0.29178,-33.03,4.29,-41.61,-140.81,10.52,-217.28
0,36,0.30032,-34.19,4.37,-43.39,-135.36,10.07,-208.93
0,37,0.30841,-35.29,4.46,-45.09,-135.85,10.07,-209.81
0,38,0.31677,-36.50,4.53,-46.77,-144.89,9.37,-200.73
0,39,0.32510,-37.82,4.60,-48.43,-158.97,8.14,-198.90
0,40,0.33340,-39.28,4.65,-49.91,-175.37,5.31,-179.41
0,41,0.34189,-40.77,4.69,-51.32,-175.54,5.06,-166.19
0,42,0.35028,-42.29,4.71,-52.50,-181.82,2.74,-140.00
0,43,0.35837,-42.45,4.71,-52.62,-18.87,0.29,-14.34
0,44,0.36664,-42.60,4.72,-52.73,-18.45,0.20,-14.02
0,45,0.37521,-42.75,4.72,-52.85,-17.79,0.28,-13.52
0,46,0.38351,-42.90,4.72,-52.96,-18.38,0.27,-13.97
0,47,0.39178,-44.45,4.72,-53.91,-187.08,0.40,-114.76
0,48,0.40002,-45.99,4.72,-54.79,-186.67,-0.20,-106.67
0,49,0.40869,-47.49,4.71,-55.52,-172.89,-1.44,-84.15
0,50,0.41684,-49.02,4.69,-56.18,-188.01,-2.37,-80.90
0,51,0.42517,-50.58,4.67,-56.79,-187.18,-3.00,-72.89
0,52,0.43378,-52.41,4.62,-57.35,-212.77,-4.86,-64.89
0,53,0.44183,-54.38,4.57,-57.89,-243.94,-6.11,-68.18
0,54,0.44989,-56.68,4.51,-58.42,-286.36,-8.34,-65.53
0,55,0.45834,-59.14,4.44,-59.03,-290.97,-8.03,-72.20
0,56,0.46677,-61.72,4.37,-59.70,-306.16,-8.11,-79.71
0,57,0.47513,-63.76,4.36,-60.76,-243.80,-1.38,-125.91
0,58,0.48334,-65.72,4.36,-61.88,-238.29,-0.24,-137.17
0,59,0.49197,-67.60,4.37,-63.10,-218.02,1.13,-141.34
0,60,0.50040,-69.35,4.38,-64.24,-207.97,1.04,-134.78
0,61,0.50851,-71.00,4.38,-65.30,-203.01,1.03,-131.20
0,62,0.51703,-72.41,4.39,-66.15,-165.59,0.12,-98.92
0,63,0.52515,-73.71,4.38,-66.86,-159.77,-0.45,-88.35
0,64,0.53326,-74.72,4.37,-67.26,-125.19,-1.99,-48.50
0,65,0.54172,-75.46,4.33,-67.27,-87.00,-4.07,-1.44
0,66,0.55032,-75.98,4.28,-66.99,-60.64,-5.50,32.27
0,67,0.55844,-76.20,4.23,-66.40,-26.69,-7.22,72.93
0,68,0.56699,-76.32,4.17,-65.73,-13.93,-7.04,78.21
0,69,0.57501,-76.21,4.10,-64.92,12.55,-7.64,101.14
0,70,0.58368,-76.00,4.04,-64.03,24.65,-7.19,103.17
0,71,0.59195,-75.70,3.98,-63.07,36.16,-7.75,115.87
0,72,0.59995,-75.25,3.91,-61.98,56.87,-8.35,136.26
0,73,0.60846,-74.71,3.84,-60.83,63.44,-7.95,134.41
0,74,0.61673,-73.93,3.78,-59.56,93.36,-8.07,154.24
0,75,0.62521,-72.99,3.71,-58.15,110.79,-8.23,166.19
0,76,0.63361,-71.93,3.63,-56.63,127.27,-8.64,180.36
0,77,0.64194,-70.78,3.58,-55.34,138.10,-6.06,155.68
0,78,0.65002,-69.66,3.55,-54.25,138.49,-4.38,134.72
0,79,0.65872,-68.66,3.56,-53.75,114.39,0.85,56.84
0,80,0.66721,-67.76,3.58,-53.59,105.76,3.47,19.06
0,81,0.67517,-66.94,3.63,-53.68,103.45,5.90,-11.49
0,82,0.68341,-66.26,3.70,-54.11,82.59,8.11,-51.48
0,83,0.69193,-65.62,3.77,-54.62,74.55,8.46,-59.86
0,84,0.70013,-65.08,3.85,-55.29,66.54,9.85,-82.16
0,85,0.70859,-64.43,3.95,-56.16,76.90,12.01,-102.53
0,86,0.71689,-63.70,4.07,-57.17,87.87,14.17,-122.43
