trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,19.71,-15.63,197.08
0,1,0.00833,0.16,-0.13,1.65,19.78,-15.68,197.80
0,2,0.01672,0.60,-0.47,5.91,52.00,-40.17,507.64
0,3,0.02502,1.04,-0.81,10.17,52.57,-40.66,513.24
0,4,0.03400,1.66,-1.27,16.02,69.73,-51.68,652.72
0,5,0.04169,2.29,-1.73,21.88,81.35,-60.35,761.51
0,6,0.05014,3.02,-2.08,28.31,86.64,-40.95,760.65
0,7,0.05841,3.75,-2.49,34.74,88.56,-49.27,777.49
0,8,0.06677,4.51,-2.82,40.73,90.51,-40.28,716.06
0,9,0.07501,5.27,-2.76,46.72,91.85,7.43,726.67
0,10,0.08362,6.02,-2.76,52.09,86.88,0.03,624.82
0,11,0.09238,6.76,-2.76,57.47,85.37,0.03,613.94
0,12,0.10010,7.74,-2.76,63.53,126.09,0.06,784.58
0,13,0.10837,8.71,-2.76,69.57,117.34,0.05,730.63
0,14,0.11682,10.21,-2.76,77.40,177.62,0.10,925.99
0,15,0.12515,11.71,-2.76,85.24,180.59,0.10,941.03
0,16,0.13345,13.93,-2.76,95.54,267.28,0.17,1240.81
0,17,0.14175,16.15,-2.76,105.84,267.28,0.17,1241.54
0,18,0.15012,18.82,-2.75,117.66,318.98,0.22,1412.77
0,19,0.15839,21.48,-2.75,129.47,322.51,0.22,1428.41
0,20,0.16678,24.15,-2.75,141.28,317.82,0.21,1407.64
0,21,0.17502,26.82,-2.75,153.09,323.33,0.22,1432.96
0,22,0.18399,29.14,-2.75,163.65,259.18,0.17,1176.53
0,23,0.19162,31.47,-2.75,174.19,304.80,0.20,1382.40
0,24,0.20013,33.30,-2.74,182.78,215.05,0.14,1008.60
0,25,0.20837,35.13,-2.68,191.37,222.22,8.38,1041.85
0,26,0.21680,36.72,-2.63,198.82,188.41,5.46,885.14
0,27,0.22504,38.30,-2.58,206.27,192.59,5.58,904.44
0,28,0.23343,39.83,-2.54,213.46,181.82,5.28,856.00
0,29,0.24176,41.35,-2.50,220.64,183.15,5.33,862.27
0,30,0.25012,43.00,-2.45,228.41,197.08,5.74,929.56
0,31,0.25836,44.65,-2.40,236.19,200.00,5.83,943.70
0,32,0.26682,46.47,-2.35,244.78,214.80,6.28,1015.88
0,33,0.27512,48.28,-2.29,253.37,219.12,6.39,1034.93
0,34,0.28406,50.17,-2.24,262.29,210.92,6.16,997.61
0,35,0.29175,52.06,-2.18,271.21,245.24,7.17,1160.32
0,36,0.30029,53.96,-2.13,280.24,222.86,6.53,1056.07
0,37,0.30841,55.87,-2.07,289.26,234.59,6.87,1111.65
0,38,0.31702,57.77,-2.02,298.28,221.28,6.48,1048.58
0,39,0.32507,59.67,-1.96,307.31,236.36,6.92,1120.08
0,40,0.33368,61.51,-1.91,316.04,213.48,6.27,1014.18
0,41,0.34262,63.35,-1.85,324.76,205.46,6.03,975.77
0,42,0.35040,65.09,-1.80,333.03,223.53,6.56,1061.96
0,43,0.35880,66.83,-1.75,341.29,207.27,6.09,984.73
0,44,0.36710,68.48,-1.70,349.18,199.63,5.88,950.74
0,45,0.37543,70.14,-1.65,357.07,198.90,5.86,947.25
0,46,0.38376,71.80,-1.60,364.97,198.90,5.86,947.25
0,47,0.39209,73.46,-1.55,372.85,198.90,5.86,946.89
0,48,0.40115,75.08,-1.51,380.58,179.12,5.27,851.85
0,49,0.40878,76.73,-1.46,388.41,216.00,6.35,1027.20
0,50,0.41721,78.32,-1.41,395.97,188.77,5.55,897.46
0,51,0.42557,79.90,-1.36,403.53,189.78,5.59,903.65
0,52,0.43478,81.45,-2.11,410.89,167.88,-80.51,799.01
0,53,0.44211,83.05,-3.55,418.52,218.75,-196.66,1041.67
0,54,0.45056,84.55,-5.10,425.65,177.26,-183.40,843.68
0,55,0.45883,86.05,-6.64,432.77,180.81,-187.06,860.52
0,56,0.46719,87.49,-8.14,439.64,172.63,-178.50,821.17
0,57,0.47552,88.93,-9.63,446.48,172.89,-178.70,821.98
0,58,0.48398,90.31,-11.05,453.05,163.54,-168.78,776.17
0,59,0.49222,91.69,-12.48,459.59,167.41,-172.95,794.44
0,60,0.50125,93.01,-13.84,465.86,145.95,-150.68,693.58
0,61,0.50888,94.32,-14.06,472.11,172.00,-28.37,819.20
0,62,0.51730,95.59,-14.09,478.11,150.00,-4.35,713.04
0,63,0.52554,96.85,-14.13,484.10,152.96,-4.60,727.04
0,64,0.53421,98.06,-14.17,489.86,139.44,-4.08,664.08
0,65,0.54279,99.26,-14.20,495.60,140.57,-4.28,669.75
0,66,0.55060,100.42,-14.24,501.12,148.05,-4.45,706.25
0,67,0.55887,101.57,-14.27,506.62,139.85,-3.95,665.31
0,68,0.56735,102.69,-14.30,511.91,130.94,-4.04,623.02
0,69,0.57565,103.79,-14.34,517.18,133.46,-4.09,635.29
0,70,0.58401,104.86,-14.45,522.25,127.37,-13.68,606.20
0,71,0.59229,105.92,-15.03,527.31,128.41,-69.78,611.44
0,72,0.60129,106.94,-16.08,532.17,113.56,-117.24,539.66
0,73,0.60898,107.97,-17.28,537.01,132.94,-155.35,630.16
0,74,0.61737,108.95,-18.43,541.67,117.45,-137.48,555.27
0,75,0.62567,109.93,-19.58,546.32,118.38,-138.60,559.93
0,76,0.63406,110.89,-20.69,550.80,113.45,-132.00,533.45
0,77,0.64227,111.83,-21.80,555.26,115.61,-135.03,544.24
0,78,0.65143,112.75,-22.06,559.55,100.33,-27.87,468.33
0,79,0.65906,113.67,-21.91,563.86,120.80,19.34,565.20
0,80,0.66742,114.55,-21.77,567.95,105.11,16.76,489.05
0,81,0.67575,115.43,-21.63,572.03,105.13,16.76,489.01
0,82,0.68475,116.26,-21.50,575.89,92.54,14.66,429.49
0,83,0.69235,117.09,-21.36,579.75,109.24,17.29,506.83
0,84,0.70078,117.87,-21.24,583.37,92.75,14.68,430.43
0,85,0.70914,118.65,-21.12,586.98,92.70,14.80,431.75
0,86,0.71747,119.37,-21.00,590.35,86.45,13.83,404.03
0,87,0.72571,120.09,-20.89,593.70,87.04,13.95,406.30
0,88,0.73419,120.74,-20.78,596.79,77.34,12.55,364.39
0,89,0.74225,121.39,-20.67,599.86,80.68,13.14,381.06
0,90,0.75131,121.98,-20.58,602.65,64.31,10.68,308.42
0,91,0.75891,122.56,-20.48,605.43,76.31,12.82,365.86
0,92,0.76730,123.08,-20.39,608.00,62.91,10.66,305.82
0,93,0.77563,123.61,-20.30,610.56,63.00,10.80,306.96
0,94,0.78479,124.10,-20.22,612.98,53.67,9.29,264.67
0,95,0.79227,124.59,-20.13,615.42,65.71,11.64,326.12
0,96,0.80081,125.04,-20.05,617.66,52.14,9.32,262.14
0,97,0.80896,125.48,-19.97,619.90,54.68,9.77,274.91
0,98,0.81732,125.93,-19.89,622.14,53.28,9.57,267.88
0,99,0.82571,126.37,-19.81,624.36,52.73,9.47,265.09
0,100,0.83405,126.77,-19.74,626.41,47.99,8.81,245.79
0,101,0.84241,127.17,-19.66,628.46,47.81,8.78,244.89
0,102,0.85138,127.57,-19.59,630.51,44.56,8.23,228.23
0,103,0.85913,127.97,-19.52,632.54,51.18,9.54,262.99
0,104,0.86746,128.34,-19.45,634.46,44.69,8.27,230.04
0,105,0.87576,128.71,-19.38,636.38,44.85,8.34,230.88
