trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-146.53,16.56,101.76
0,1,0.00834,-1.30,0.11,0.69,-155.90,12.93,83.07
0,2,0.01645,-2.50,0.23,1.43,-147.51,15.62,91.44
0,3,0.02479,-3.70,0.37,2.17,-144.19,15.70,87.83
0,4,0.03327,-5.10,0.51,3.02,-165.11,17.02,101.08
0,5,0.04165,-6.50,0.66,3.88,-167.21,18.28,102.73
0,6,0.04984,-7.73,0.79,4.63,-150.09,15.90,90.88
0,7,0.05811,-8.26,0.84,4.96,-64.21,6.13,39.85
0,8,0.06645,-8.36,0.90,4.98,-12.44,7.23,2.56
0,9,0.07491,-8.44,0.91,4.99,-8.66,0.19,1.44
0,10,0.08324,-8.56,0.91,5.01,-15.03,0.46,2.20
0,11,0.09155,-8.69,0.91,5.03,-15.06,0.43,2.20
0,12,0.10001,-8.75,1.05,5.03,-6.85,16.41,-0.36
0,13,0.10817,-8.80,1.05,5.04,-7.11,-0.08,1.12
0,14,0.11675,-8.81,0.92,5.04,-1.07,-15.89,0.36
0,15,0.12497,-8.83,0.92,5.04,-1.49,0.01,0.37
0,16,0.13322,-8.72,0.91,5.03,12.20,-0.34,-1.85
0,17,0.14189,-8.62,0.91,5.01,11.97,-0.24,-1.76
0,18,0.14990,-8.48,1.00,5.00,17.52,11.04,-1.90
0,19,0.15828,-8.34,1.00,4.98,16.76,-0.28,-1.82
0,20,0.16674,-8.20,0.95,4.96,16.95,-5.07,-2.89
0,21,0.17507,-8.06,0.96,4.89,16.12,0.45,-8.42
0,22,0.18353,-7.92,0.88,4.84,16.59,-9.32,-5.05
0,23,0.19174,-7.85,0.81,4.70,9.29,-7.95,-17.10
0,24,0.19980,-7.71,0.85,4.66,17.42,4.12,-5.30
0,25,0.20817,-7.57,0.84,4.62,16.77,-1.00,-5.10
0,26,0.21641,-7.45,0.81,4.47,14.07,-3.12,-18.15
0,27,0.22499,-7.33,0.79,4.32,13.87,-3.06,-17.42
0,28,0.23321,-7.21,0.76,4.17,14.48,-3.29,-18.20
0,29,0.24195,-7.10,0.73,4.02,13.26,-2.93,-17.10
0,30,0.24976,-7.03,0.69,3.79,7.81,-5.22,-29.69
0,31,0.25827,-6.97,0.65,3.56,7.17,-4.76,-27.26
0,32,0.26648,-6.91,0.61,3.32,7.43,-5.02,-28.25
0,33,0.27498,-6.85,0.57,3.09,7.18,-4.76,-27.29
0,34,0.28313,-6.79,0.53,2.86,7.48,-4.96,-28.44
0,35,0.29160,-6.73,0.49,2.63,7.21,-4.78,-27.41
0,36,0.29980,-6.72,0.44,2.36,0.74,-5.76,-33.09
0,37,0.30820,-6.72,0.40,2.08,0.73,-5.63,-32.36
0,38,0.31653,-6.71,0.35,1.81,0.73,-5.67,-32.60
0,39,0.32479,-6.70,0.30,1.54,0.74,-5.72,-32.87
0,40,0.33346,-6.77,0.23,1.16,-8.10,-7.58,-43.66
0,41,0.34175,-6.85,0.17,0.78,-8.46,-7.92,-45.63
0,42,0.35010,-6.92,0.10,0.41,-8.41,-7.82,-45.34
0,43,0.35825,-6.99,0.04,0.02,-8.61,-8.13,-46.82
0,44,0.36669,-7.06,-0.03,-0.35,-8.31,-7.78,-44.81
0,45,0.37495,-7.13,-0.09,-0.73,-8.50,-7.96,-45.84
0,46,0.38330,-7.20,-0.16,-1.11,-8.40,-7.86,-45.30
0,47,0.39162,-7.27,-0.22,-1.49,-8.43,-7.89,-45.46
0,48,0.39983,-7.34,-0.29,-1.87,-8.56,-8.01,-46.14
0,49,0.40824,-7.41,-0.36,-2.25,-8.34,-7.81,-44.97
0,50,0.41656,-7.51,-0.42,-2.64,-12.48,-8.14,-46.97
0,51,0.42484,-7.61,-0.49,-3.03,-12.53,-8.18,-47.19
0,52,0.43323,-7.72,-0.56,-3.42,-12.36,-8.07,-46.55
0,53,0.44167,-7.82,-0.63,-3.81,-12.29,-8.06,-46.25
