trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
0,1,0.00837,0.00,0.00,0.00,0.00,0.00,0.00
0,2,0.01646,0.00,0.00,0.00,0.00,0.00,0.00
0,3,0.02481,0.00,0.00,0.00,0.00,0.00,0.00
0,4,0.03297,0.00,0.00,0.00,0.00,0.00,0.00
0,5,0.04132,0.00,0.00,0.00,0.00,0.00,0.00
0,6,0.04988,0.00,0.00,0.00,0.00,0.00,0.00
0,7,0.05805,0.00,0.00,0.00,0.00,0.00,0.00
0,8,0.06650,0.00,0.00,0.00,0.00,0.00,0.00
0,9,0.07476,0.00,0.00,0.00,0.00,0.00,0.00
0,10,0.08298,0.00,0.00,0.00,0.00,0.00,0.00
0,11,0.09130,0.00,0.00,0.00,0.00,0.00,0.00
0,12,0.09974,0.00,0.00,0.00,0.00,0.00,0.00
0,13,0.10837,0.00,0.00,0.00,0.00,0.00,0.00
0,14,0.11649,0.00,0.00,0.00,0.00,0.00,0.00
0,15,0.12499,0.00,0.00,0.00,0.00,0.00,0.00
0,16,0.13306,0.00,0.00,0.00,0.00,0.00,0.00
0,17,0.14146,0.00,0.00,0.00,0.00,0.00,0.00
0,18,0.14962,0.00,0.00,0.00,0.00,0.00,0.00
0,19,0.15808,0.00,0.00,0.00,0.00,0.00,0.00
0,20,0.16648,0.00,0.00,0.00,0.00,0.00,0.00
0,21,0.17469,0.00,0.00,0.00,0.00,0.00,0.00
0,22,0.18298,0.00,0.00,0.00,0.00,0.00,0.00
0,23,0.19138,0.00,0.00,0.00,0.00,0.00,0.00
0,24,0.19968,0.00,0.00,0.00,0.00,0.00,0.00
0,25,0.20808,0.00,0.00,0.00,0.00,0.00,0.00
0,26,0.21653,0.00,0.00,0.00,0.00,0.00,0.00
0,27,0.22478,0.00,0.00,0.00,0.00,0.00,0.00
0,28,0.23307,0.00,0.00,0.00,0.00,0.00,0.00
0,29,0.24132,0.00,0.00,0.00,0.00,0.00,0.00
0,30,0.24996,0.00,0.00,0.00,0.00,0.00,0.00
0,31,0.25800,0.00,0.00,0.00,0.00,0.00,0.00
0,32,0.26629,0.00,0.00,0.00,0.00,0.00,0.00
0,33,0.27464,0.00,0.00,0.00,0.00,0.00,0.00
0,34,0.28288,0.00,0.00,0.00,0.00,0.00,0.00
0,35,0.29131,0.00,0.00,0.00,0.00,0.00,0.00
0,36,0.29988,0.00,0.00,0.00,0.00,0.00,0.00
0,37,0.30804,0.00,0.00,0.00,0.00,0.00,0.00
0,38,0.31651,0.00,0.00,0.00,0.00,0.00,0.00
0,39,0.32484,0.00,0.00,0.00,0.00,0.00,0.00
0,40,0.33287,0.00,0.00,0.00,0.00,0.00,0.00
0,41,0.34154,0.00,0.00,0.00,0.00,0.00,0.00
0,42,0.34975,0.00,0.00,0.00,0.00,0.00,0.00
0,43,0.35826,0.00,0.00,0.00,0.00,0.00,0.00
0,44,0.36650,0.00,0.00,0.00,0.00,0.00,0.00
0,45,0.37513,0.00,0.00,0.00,0.00,0.00,0.00
0,46,0.38298,0.00,0.00,0.00,0.00,0.00,0.00
0,47,0.39129,0.00,0.00,0.00,0.00,0.00,0.00
0,48,0.39960,0.00,0.00,0.00,0.00,0.00,0.00
0,49,0.40800,0.00,0.00,0.00,0.00,0.00,0.00
0,50,0.41641,0.00,0.00,0.00,0.00,0.00,0.00
0,51,0.42475,0.00,0.00,0.00,0.00,0.00,0.00
0,52,0.43294,0.00,0.00,0.00,0.00,0.00,0.00
0,53,0.44122,0.00,0.00,0.00,0.00,0.00,0.00
0,54,0.44988,0.00,0.00,0.00,0.00,0.00,0.00
0,55,0.45798,0.00,0.00,0.00,0.00,0.00,0.00
0,56,0.46650,0.00,0.00,0.00,0.00,0.00,0.00
0,57,0.47467,0.00,0.00,0.00,0.00,0.00,0.00
0,58,0.48319,0.00,0.00,0.00,0.00,0.00,0.00
0,59,0.49120,0.00,0.00,0.00,0.00,0.00,0.00
0,60,0.49974,0.00,0.00,0.00,0.00,0.00,0.00
0,61,0.50800,0.00,0.00,0.00,0.00,0.00,0.00
0,62,0.51649,0.00,0.00,0.00,0.00,0.00,0.00
0,63,0.52484,0.00,0.00,0.00,0.00,0.00,0.00
0,64,0.53312,0.00,0.00,0.00,0.00,0.00,0.00
0,65,0.54153,0.00,0.00,0.00,0.00,0.00,0.00
0,66,0.54984,0.00,0.00,0.00,0.00,0.00,0.00
0,67,0.55811,0.00,0.00,0.00,0.00,0.00,0.00
0,68,0.56652,0.00,0.00,0.00,0.00,0.00,0.00
0,69,0.57504,0.00,0.00,0.00,0.00,0.00,0.00
0,70,0.58314,0.00,0.00,0.00,0.00,0.00,0.00
0,71,0.59171,0.00,0.00,0.00,0.00,0.00,0.00
0,72,0.59970,0.00,0.00,0.00,0.00,0.00,0.00
0,73,0.60810,0.00,0.00,0.00,0.00,0.00,0.00
0,74,0.61639,0.00,0.00,0.00,0.00,0.00,0.00
0,75,0.62491,0.00,0.00,0.00,0.00,0.00,0.00
0,76,0.63287,0.00,0.00,0.00,0.00,0.00,0.00
0,77,0.64141,0.00,0.00,0.00,0.00,0.00,0.00
0,78,0.64964,0.00,0.00,0.00,0.00,0.00,0.00
0,79,0.65804,0.00,0.00,0.00,0.00,0.00,0.00
0,80,0.66648,0.00,0.00,0.00,0.00,0.00,0.00
0,81,0.67474,0.00,0.00,0.00,0.00,0.00,0.00
0,82,0.68292,0.00,0.00,0.00,0.00,0.00,0.00
0,83,0.69133,0.00,0.00,0.00,0.00,0.00,0.00
0,84,0.69973,0.00,0.00,0.00,0.00,0.00,0.00
0,85,0.70792,0.00,0.00,0.00,0.00,0.00,0.00
0,86,0.71660,0.00,0.00,0.00,0.00,0.00,0.00
1,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
1,1,0.00858,0.00,0.00,0.00,0.00,0.00,0.00
1,2,0.01660,0.00,0.00,0.00,0.00,0.00,0.00
1,3,0.02522,0.00,0.00,0.00,0.00,0.00,0.00
1,4,0.03339,0.00,0.00,0.00,0.00,0.00,0.00
1,5,0.04179,0.00,0.00,0.00,0.00,0.00,0.00
1,6,0.04986,0.00,0.00,0.00,0.00,0.00,0.00
1,7,0.05827,0.00,0.00,0.00,0.00,0.00,0.00
1,8,0.06669,0.00,0.00,0.00,0.00,0.00,0.00
1,9,0.07536,0.00,0.00,0.00,0.00,0.00,0.00
1,10,0.08325,0.00,0.00,0.00,0.00,0.00,0.00
1,11,0.09157,0.00,0.00,0.00,0.00,0.00,0.00
1,12,0.09993,0.00,0.00,0.00,0.00,0.00,0.00
1,13,0.10851,0.00,0.00,0.00,0.00,0.00,0.00
1,14,0.11683,0.00,0.00,0.00,0.00,0.00,0.00
1,15,0.12534,0.00,0.00,0.00,0.00,0.00,0.00
1,16,0.13349,0.00,0.00,0.00,0.00,0.00,0.00
1,17,0.14165,0.00,0.00,0.00,0.00,0.00,0.00
1,18,0.14993,0.00,0.00,0.00,0.00,0.00,0.00
1,19,0.15858,0.00,0.00,0.00,0.00,0.00,0.00
1,20,0.16688,0.00,0.00,0.00,0.00,0.00,0.00
1,21,0.17525,0.00,0.00,0.00,0.00,0.00,0.00
1,22,0.18357,0.00,0.00,0.00,0.00,0.00,0.00
1,23,0.19158,0.00,0.00,0.00,0.00,0.00,0.00
1,24,0.19995,0.00,0.00,0.00,0.00,0.00,0.00
1,25,0.20850,0.00,0.00,0.00,0.00,0.00,0.00
1,26,0.21694,0.00,0.00,0.00,0.00,0.00,0.00
1,27,0.22506,0.00,0.00,0.00,0.00,0.00,0.00
1,28,0.23322,0.00,0.00,0.00,0.00,0.00,0.00
1,29,0.24197,0.00,0.00,0.00,0.00,0.00,0.00
1,30,0.25007,0.00,0.00,0.00,0.00,0.00,0.00
1,31,0.25880,0.00,0.00,0.00,0.00,0.00,0.00
1,32,0.26690,0.00,0.00,0.00,0.00,0.00,0.00
1,33,0.27558,0.00,0.00,0.00,0.00,0.00,0.00
1,34,0.28368,0.00,0.00,0.00,0.00,0.00,0.00
1,35,0.29211,0.00,0.00,0.00,0.00,0.00,0.00
1,36,0.30035,0.00,0.00,0.00,0.00,0.00,0.00
1,37,0.30887,0.00,0.00,0.00,0.00,0.00,0.00
1,38,0.31750,0.00,0.00,0.00,0.00,0.00,0.00
1,39,0.32579,0.00,0.00,0.00,0.00,0.00,0.00
1,40,0.33402,0.00,0.00,0.00,0.00,0.00,0.00
1,41,0.34232,0.00,0.00,0.00,0.00,0.00,0.00
1,42,0.35064,0.00,0.00,0.00,0.00,0.00,0.00
1,43,0.35928,0.00,0.00,0.00,0.00,0.00,0.00
1,44,0.36777,0.00,0.00,0.00,0.00,0.00,0.00
1,45,0.37585,0.00,0.00,0.00,0.00,0.00,0.00
1,46,0.38401,0.00,0.00,0.00,0.00,0.00,0.00
1,47,0.39208,0.00,0.00,0.00,0.00,0.00,0.00
1,48,0.40079,0.00,0.00,0.00,0.00,0.00,0.00
1,49,0.40881,0.00,0.00,0.00,0.00,0.00,0.00
1,50,0.41715,0.00,0.00,0.00,0.00,0.00,0.00
1,51,0.42555,0.00,0.00,0.00,0.00,0.00,0.00
1,52,0.43406,0.00,0.00,0.00,0.00,0.00,0.00
1,53,0.44229,0.00,0.00,0.00,0.00,0.00,0.00
1,54,0.45052,0.00,0.00,0.00,0.00,0.00,0.00
1,55,0.45953,0.00,0.00,0.00,0.00,0.00,0.00
1,56,0.46727,0.00,0.00,0.00,0.00,0.00,0.00
1,57,0.47572,0.00,0.00,0.00,0.00,0.00,0.00
1,58,0.48407,0.00,0.00,0.00,0.00,0.00,0.00
1,59,0.49245,0.00,0.00,0.00,0.00,0.00,0.00
1,60,0.50050,0.00,0.00,0.00,0.00,0.00,0.00
1,61,0.50909,0.00,0.00,0.00,0.00,0.00,0.00
1,62,0.51755,0.00,0.00,0.00,0.00,0.00,0.00
1,63,0.52572,0.00,0.00,0.00,0.00,0.00,0.00
1,64,0.53377,0.00,0.00,0.00,0.00,0.00,0.00
1,65,0.54236,0.00,0.00,0.00,0.00,0.00,0.00
1,66,0.55061,0.00,0.00,0.00,0.00,0.00,0.00
1,67,0.55915,0.00,0.00,0.00,0.00,0.00,0.00
1,68,0.56711,0.00,0.00,0.00,0.00,0.00,0.00
1,69,0.57554,0.00,0.00,0.00,0.00,0.00,0.00
