trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
0,1,0.00816,20.82,0.00,45.46,2550.65,0.00,5568.60
0,2,0.01643,41.64,0.00,90.92,2520.04,0.00,5501.75
0,3,0.02477,62.47,0.00,136.38,2496.98,0.00,5451.42
0,4,0.03298,83.29,0.00,181.84,2534.08,0.00,5532.40
0,5,0.04147,104.11,0.00,227.29,2452.11,0.00,5353.46
0,6,0.04954,124.93,0.00,272.75,2582.02,0.00,5637.09
0,7,0.05793,145.76,0.00,318.21,2481.09,0.00,5416.73
0,8,0.06623,166.58,0.00,363.67,2508.46,0.00,5476.47
0,9,0.07460,187.40,0.00,409.13,2487.88,0.00,5431.54
0,10,0.08302,208.22,0.00,454.59,2472.10,0.00,5397.10
0,11,0.09148,208.22,0.00,454.59,0.00,0.00,0.00
0,12,0.09996,208.22,0.00,454.59,0.00,0.00,0.00
0,13,0.10802,213.44,-1.50,465.98,646.74,-186.01,1411.92
0,14,0.11669,218.67,-3.00,477.41,604.23,-173.07,1319.01
0,15,0.12470,223.93,-4.50,488.89,656.38,-187.25,1432.76
0,16,0.13306,229.21,-6.00,500.41,631.96,-179.55,1379.36
0,17,0.14136,234.51,-7.50,511.98,638.60,-180.71,1393.75
0,18,0.14980,239.83,-9.00,523.59,629.81,-177.61,1375.25
0,19,0.15801,245.17,-10.50,535.25,650.56,-182.73,1420.45
0,20,0.16641,250.53,-12.00,546.96,638.33,-178.58,1393.64
0,21,0.17464,255.92,-13.50,558.71,653.94,-182.22,1427.62
0,22,0.18322,261.32,-15.00,570.51,630.25,-174.92,1375.44
0,23,0.19171,266.74,-16.50,582.35,638.63,-176.65,1394.43
0,24,0.19982,272.19,-18.00,594.24,671.31,-184.96,1465.66
0,25,0.20809,277.66,-19.50,606.17,660.89,-181.38,1442.80
0,26,0.21638,283.14,-21.00,618.15,662.25,-181.04,1445.67
0,27,0.22490,288.65,-22.50,630.17,646.37,-176.02,1410.92
0,28,0.23300,294.18,-24.00,642.24,682.49,-185.13,1489.64
0,29,0.24185,299.73,-25.50,654.35,626.90,-169.49,1368.97
1,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
1,1,0.00780,21.17,0.00,45.30,2712.81,0.00,5803.71
1,2,0.01662,42.35,0.00,90.59,2402.77,0.00,5140.43
1,3,0.02449,63.52,0.00,135.89,2689.15,0.00,5753.10
1,4,0.03325,84.69,0.00,181.19,2417.42,0.00,5171.78
1,5,0.04151,105.87,0.00,226.49,2562.51,0.00,5482.18
1,6,0.04959,127.04,0.00,271.78,2620.59,0.00,5606.42
1,7,0.05799,148.21,0.00,317.08,2520.62,0.00,5392.55
1,8,0.06638,169.38,0.00,362.38,2522.91,0.00,5397.45
1,9,0.07456,190.56,0.00,407.68,2588.81,0.00,5538.43
1,10,0.08298,211.73,0.00,452.97,2516.05,0.00,5382.77
1,11,0.09190,211.73,0.00,452.97,0.00,0.00,0.00
1,12,0.09974,212.23,-0.14,454.04,63.49,-18.03,135.93
1,13,0.10809,217.54,-1.64,465.39,635.25,-179.55,1358.54
1,14,0.11620,222.86,-3.14,476.78,657.01,-184.96,1405.08
1,15,0.12472,228.21,-4.64,488.22,627.96,-176.18,1343.73
1,16,0.13293,233.58,-6.14,499.71,653.90,-182.73,1399.26
1,17,0.14140,238.97,-7.64,511.24,635.82,-176.97,1360.58
1,18,0.14980,244.38,-9.14,522.82,644.73,-178.74,1379.64
1,19,0.15794,249.81,-10.64,534.45,667.29,-184.27,1427.93
1,20,0.16637,255.26,-12.14,546.11,646.29,-177.77,1382.64
1,21,0.17458,260.74,-13.64,557.82,667.53,-182.90,1428.09
1,22,0.18295,266.24,-15.14,569.58,656.70,-179.23,1404.92
1,23,0.19140,271.75,-16.64,581.39,652.71,-177.45,1396.39
1,24,0.19957,277.29,-18.14,593.24,677.87,-183.58,1450.23
1,25,0.20786,282.85,-19.64,605.13,671.09,-181.04,1435.73
1,26,0.21635,288.43,-21.14,617.07,657.32,-176.65,1405.93
1,27,0.22469,294.04,-22.64,629.06,671.30,-179.72,1435.83
1,28,0.23322,299.66,-24.14,641.09,659.39,-175.86,1410.38
1,29,0.24140,305.31,-25.64,653.16,690.30,-183.41,1476.49
2,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
2,1,0.00851,26.12,0.00,42.63,3070.85,0.00,5011.66
2,2,0.01644,52.25,0.00,85.27,3292.31,0.00,5373.08
2,3,0.02488,78.37,0.00,127.90,3095.84,0.00,5052.44
2,4,0.03291,104.49,0.00,170.53,3254.75,0.00,5311.79
2,5,0.04128,130.62,0.00,213.17,3118.40,0.00,5089.25
2,6,0.04964,156.74,0.00,255.80,3126.94,0.00,5103.20
2,7,0.05802,182.86,0.00,298.43,3115.56,0.00,5084.62
2,8,0.06635,209.03,0.00,341.14,3141.03,0.00,5126.37
2,9,0.07500,235.15,0.00,383.77,3022.07,0.00,4932.04
2,10,0.08321,261.28,0.00,426.41,3179.20,0.00,5188.49
2,11,0.09134,261.28,0.00,426.41,0.00,0.00,0.00
2,12,0.10007,261.34,-0.02,426.52,7.69,-1.76,12.58
2,13,0.10835,267.89,-1.52,437.20,790.41,-181.21,1290.32
2,14,0.11678,274.46,-3.02,447.92,779.37,-177.93,1272.04
2,15,0.12468,281.05,-4.52,458.69,835.17,-189.96,1363.48
2,16,0.13305,287.67,-6.02,469.50,791.25,-179.23,1291.52
2,17,0.14137,294.32,-7.52,480.35,799.63,-180.38,1304.95
2,18,0.14987,301.00,-9.02,491.24,784.57,-176.33,1280.72
2,19,0.15808,307.70,-10.52,502.18,816.36,-182.73,1332.34
2,20,0.16679,314.43,-12.02,513.16,772.66,-172.32,1261.00
2,21,0.17480,321.18,-13.52,524.18,842.25,-187.07,1374.31
2,22,0.18346,327.96,-15.02,535.24,783.42,-173.38,1278.66
2,23,0.19180,334.76,-16.52,546.35,816.10,-179.88,1331.75
2,24,0.19994,341.59,-18.02,557.50,838.20,-184.09,1368.16
2,25,0.20865,348.45,-19.52,568.69,787.73,-172.32,1285.54
2,26,0.21694,355.33,-21.02,579.92,830.17,-180.88,1354.55
2,27,0.22527,362.24,-22.52,591.20,830.06,-180.21,1354.72
2,28,0.23343,369.18,-24.02,602.51,849.72,-183.75,1386.54
2,29,0.24181,376.14,-25.52,613.88,830.97,-179.06,1356.28
3,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
3,1,0.00835,30.10,0.00,39.93,3603.29,0.00,4779.54
3,2,0.01672,60.20,0.00,79.86,3596.35,0.00,4770.46
3,3,0.02502,90.30,0.00,119.78,3626.10,0.00,4809.93
3,4,0.03333,120.40,0.00,159.71,3622.77,0.00,4805.51
3,5,0.04222,150.50,0.00,199.63,3386.44,0.00,4492.02
3,6,0.04988,180.60,0.00,239.56,3929.48,0.00,5212.35
3,7,0.05829,210.70,0.00,279.49,3580.04,0.00,4748.82
3,8,0.06660,240.80,0.00,319.41,3622.77,0.00,4805.51
3,9,0.07559,270.90,0.00,359.34,3346.23,0.00,4438.68
3,10,0.08323,301.00,0.00,399.26,3941.26,0.00,5227.97
3,11,0.09172,301.00,0.00,399.26,0.00,0.00,0.00
3,12,0.09995,301.03,-0.01,399.31,4.45,-0.86,5.57
3,13,0.10829,308.58,-1.51,409.31,903.47,-179.72,1198.17
3,14,0.11667,316.15,-3.01,419.35,903.83,-179.06,1198.54
3,15,0.12512,323.75,-4.51,429.43,898.92,-177.45,1192.42
3,16,0.13396,331.38,-6.01,439.55,863.56,-169.79,1145.77
3,17,0.14182,339.04,-7.51,449.72,974.76,-190.89,1293.20
3,18,0.15005,346.73,-9.01,459.92,933.33,-182.05,1238.15
3,19,0.15849,354.45,-10.51,470.16,915.01,-177.77,1213.74
3,20,0.16685,362.20,-12.01,480.44,927.85,-179.55,1230.68
3,21,0.17516,369.98,-13.51,490.76,935.78,-180.38,1241.10
3,22,0.18342,377.79,-15.01,501.12,946.03,-181.71,1255.08
3,23,0.19252,385.63,-16.51,511.52,861.36,-164.81,1142.67
3,24,0.20013,393.50,-18.01,521.96,1034.70,-197.20,1372.52
3,25,0.20853,401.40,-19.51,532.44,939.75,-178.41,1246.46
3,26,0.21684,409.33,-21.01,542.96,954.64,-180.54,1266.12
3,27,0.22588,417.29,-22.51,553.52,880.68,-165.92,1167.93
3,28,0.23360,425.29,-24.01,564.12,1036.20,-194.47,1374.48
3,29,0.24186,433.31,-25.51,574.77,971.01,-181.54,1287.90
4,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
4,1,0.00784,26.62,21.70,-42.96,3394.16,2766.94,-5477.43
4,2,0.01639,53.24,43.40,-85.92,3115.36,2539.66,-5027.50
4,3,0.02457,79.86,65.10,-128.88,3254.85,2653.38,-5252.61
4,4,0.03271,106.48,86.80,-171.84,3267.04,2663.31,-5272.28
4,5,0.04111,133.10,108.51,-214.80,3172.00,2585.83,-5118.91
4,6,0.04944,159.72,130.21,-257.76,3195.24,2604.78,-5156.41
4,7,0.05777,186.34,151.91,-300.72,3195.24,2604.78,-5156.41
