trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,680.37,-197.53,1485.23
0,1,0.00806,5.55,-1.84,12.10,688.26,-228.08,1502.27
0,2,0.01641,11.08,-3.90,24.19,662.28,-246.88,1446.21
0,3,0.02459,16.60,-6.19,36.24,675.37,-279.69,1474.25
0,4,0.03297,22.11,-8.70,48.28,657.32,-299.66,1435.49
0,5,0.04171,27.62,-11.44,60.29,629.87,-313.37,1375.02
0,6,0.04996,33.11,-14.40,72.28,665.43,-358.88,1452.50
0,7,0.05824,38.59,-17.59,84.25,662.73,-385.42,1446.86
0,8,0.06667,44.06,-21.00,96.19,649.05,-404.79,1416.83
0,9,0.07480,49.52,-24.64,108.11,671.29,-447.26,1465.67
0,10,0.08324,54.97,-28.50,120.01,645.93,-457.75,1410.13
0,11,0.09150,60.41,-32.59,131.89,658.54,-494.70,1437.49
0,12,0.10008,65.84,-36.90,143.74,632.53,-502.45,1380.98
0,13,0.10815,71.29,-41.46,155.63,674.86,-565.05,1472.97
0,14,0.11661,76.70,-46.23,167.44,639.71,-563.53,1396.75
0,15,0.12473,82.10,-51.21,179.22,664.41,-613.97,1450.52
0,16,0.13309,87.48,-56.43,190.99,644.75,-624.08,1407.85
0,17,0.14176,92.86,-61.87,202.73,619.88,-626.97,1353.39
0,18,0.15012,98.23,-67.53,214.44,641.97,-677.33,1401.09
0,19,0.15814,103.58,-73.42,226.14,667.94,-734.39,1458.42
0,20,0.16641,108.93,-79.53,237.81,646.49,-739.24,1411.07
0,21,0.17522,114.26,-85.87,249.45,605.89,-719.96,1323.05
0,22,0.18333,119.59,-92.43,261.08,656.02,-808.57,1432.33
0,23,0.19164,124.91,-99.22,272.68,640.44,-817.84,1397.79
0,24,0.19974,130.21,-106.24,284.27,654.61,-865.64,1429.38
0,25,0.20834,135.50,-113.48,295.82,615.25,-841.13,1342.91
0,26,0.21645,140.79,-120.94,307.36,651.36,-920.31,1422.39
0,27,0.22480,146.06,-128.63,318.87,631.81,-921.19,1379.16
0,28,0.23314,151.32,-136.54,330.36,631.29,-949.02,1377.86
0,29,0.24159,156.58,-144.68,341.82,621.30,-962.78,1356.32
0,30,0.24990,161.82,-153.04,353.27,631.04,-1006.66,1377.41
0,31,0.25817,167.05,-161.63,364.69,632.47,-1038.51,1381.18
0,32,0.26659,172.27,-170.45,376.09,619.93,-1046.41,1353.26
0,33,0.27471,177.48,-179.49,387.47,642.11,-1113.47,1401.50
0,34,0.28300,182.68,-188.75,398.82,627.05,-1117.04,1368.91
0,35,0.29148,187.88,-198.24,410.15,612.42,-1119.45,1336.81
0,36,0.30000,193.05,-207.95,421.46,608.24,-1140.86,1327.96
0,37,0.30830,198.26,-217.96,432.82,626.26,-1204.52,1367.49
0,38,0.31666,203.41,-228.13,444.08,617.35,-1216.80,1347.95
0,39,0.32484,208.56,-238.52,455.32,629.48,-1270.41,1374.25
0,40,0.33337,213.70,-249.13,466.53,601.97,-1243.41,1313.67
0,41,0.34175,218.83,-259.97,477.73,612.02,-1294.05,1336.25
0,42,0.35024,223.95,-271.04,488.90,602.70,-1303.11,1315.72
0,43,0.35849,229.05,-282.33,500.05,619.06,-1368.96,1351.71
0,44,0.36655,234.15,-293.84,511.18,631.98,-1427.95,1379.75
0,45,0.37500,239.24,-305.58,522.28,602.35,-1390.09,1314.54
0,46,0.38323,244.31,-317.55,533.36,616.50,-1453.50,1346.06
0,47,0.39175,249.38,-329.74,544.42,594.98,-1431.73,1298.57
0,48,0.39986,254.43,-342.15,555.45,623.14,-1530.86,1360.68
0,49,0.40830,259.48,-354.79,566.46,597.29,-1496.66,1303.70
0,50,0.41656,264.51,-367.66,577.45,609.42,-1557.05,1330.01
0,51,0.42504,269.53,-380.75,588.42,592.62,-1544.36,1293.97
0,52,0.43318,274.55,-394.07,599.36,615.93,-1635.68,1344.33
0,53,0.44156,279.55,-407.61,610.28,597.09,-1616.36,1303.83
0,54,0.45004,284.54,-421.37,621.18,588.49,-1622.53,1284.53
0,55,0.45822,289.52,-435.36,632.06,608.96,-1710.59,1329.85
0,56,0.46658,294.49,-449.58,642.91,594.53,-1700.04,1297.81
0,57,0.47499,299.46,-464.02,653.74,590.20,-1717.54,1288.20
0,58,0.48341,304.41,-478.68,664.55,587.68,-1741.14,1282.97
0,59,0.49178,306.08,-495.45,670.32,199.45,-2003.46,689.15
0,60,0.50002,306.15,-496.31,670.59,9.27,-104.34,33.36
1,0,0.00000,0.00,0.00,0.00,668.23,-190.75,1429.96
1,1,0.00806,5.64,-1.84,12.06,699.34,-227.86,1495.93
1,2,0.01655,11.27,-3.90,24.11,663.31,-243.11,1419.42
1,3,0.02476,16.89,-6.19,36.12,684.39,-278.65,1463.94
1,4,0.03316,22.50,-8.71,48.14,668.85,-299.74,1431.06
1,5,0.04140,28.10,-11.44,60.12,678.63,-331.98,1451.99
1,6,0.04987,33.69,-14.41,72.07,660.41,-350.19,1412.44
1,7,0.05816,39.26,-17.59,84.00,672.31,-384.41,1438.45
1,8,0.06654,44.83,-21.01,95.90,663.88,-407.05,1419.84
1,9,0.07482,50.38,-24.65,107.79,670.97,-439.48,1435.58
1,10,0.08327,55.93,-28.51,119.65,656.55,-457.39,1404.16
1,11,0.09157,61.46,-32.60,131.48,666.54,-492.49,1426.10
1,12,0.09980,66.99,-36.91,143.30,670.99,-523.92,1435.40
1,13,0.10834,72.50,-41.45,155.09,645.58,-531.55,1381.23
1,14,0.11634,78.00,-46.21,166.86,687.51,-595.14,1470.73
1,15,0.12473,83.49,-51.20,178.61,654.18,-594.35,1399.64
1,16,0.13306,88.97,-56.41,190.34,658.48,-626.29,1408.62
1,17,0.14156,94.44,-61.85,202.04,643.45,-639.83,1377.02
1,18,0.14994,99.90,-67.51,213.72,651.14,-675.40,1392.90
1,19,0.15813,105.35,-73.40,225.38,665.42,-719.25,1424.04
1,20,0.16638,110.78,-79.51,237.01,658.78,-740.53,1409.24
1,21,0.17472,116.21,-85.85,248.62,650.69,-760.05,1392.50
1,22,0.18317,121.63,-92.41,260.21,640.79,-776.38,1370.76
1,23,0.19144,127.04,-99.20,271.77,653.87,-820.78,1398.52
1,24,0.19976,132.43,-106.22,283.32,648.81,-843.31,1388.26
1,25,0.20820,137.82,-113.45,294.84,638.34,-857.78,1365.28
1,26,0.21643,143.19,-120.92,306.34,652.83,-906.58,1396.85
1,27,0.22488,148.56,-128.60,317.81,635.23,-910.29,1358.63
1,28,0.23338,153.91,-136.52,329.27,629.80,-931.04,1347.58
1,29,0.24192,159.25,-144.66,340.70,625.36,-952.39,1337.50
1,30,0.25008,164.58,-153.02,352.10,653.08,-1024.45,1397.38
1,31,0.25816,169.91,-161.61,363.49,659.36,-1063.95,1410.59
1,32,0.26660,175.22,-170.42,374.85,628.73,-1043.49,1345.26
1,33,0.27483,180.52,-179.46,386.19,644.53,-1098.92,1378.85
1,34,0.28313,185.81,-188.72,397.51,637.13,-1115.93,1363.24
1,35,0.29162,191.09,-198.21,408.80,621.74,-1117.36,1330.10
1,36,0.29990,196.35,-207.92,420.07,635.73,-1172.30,1360.22
1,37,0.30824,201.61,-217.86,431.32,630.56,-1191.77,1348.95
1,38,0.31654,206.86,-228.02,442.55,632.93,-1225.48,1353.82
1,39,0.32504,208.75,-239.76,445.75,221.90,-1381.22,376.30
1,40,0.33324,209.95,-252.00,447.31,146.60,-1492.01,190.14
1,41,0.34213,211.16,-264.45,448.90,136.54,-1399.75,179.07
1,42,0.35004,212.39,-277.12,450.52,155.06,-1601.21,205.21
1,43,0.35822,213.63,-290.00,452.19,151.26,-1576.64,203.55
1,44,0.36664,214.87,-303.10,453.87,148.19,-1555.32,200.00
1,45,0.37523,216.14,-316.42,455.60,147.07,-1549.93,201.07
1,46,0.38309,217.41,-329.95,457.35,161.94,-1721.96,222.52
1,47,0.39168,216.80,-342.14,458.69,-70.69,-1418.76,155.95
1,48,0.40007,215.77,-354.55,459.30,-123.27,-1479.11,73.45
1,49,0.40825,214.73,-367.19,459.92,-126.49,-1545.25,75.37
1,50,0.41665,213.70,-380.05,460.53,-122.80,-1531.33,72.66
1,51,0.42474,212.68,-393.14,461.14,-126.79,-1618.39,75.85
1,52,0.43323,211.65,-406.45,461.75,-121.11,-1567.82,71.88
1,53,0.44172,210.68,-421.12,462.73,-114.65,-1727.41,115.00
1,54,0.45009,211.57,-437.28,467.18,107.20,-1930.97,532.00
1,55,0.45813,212.93,-453.40,472.32,168.50,-2004.52,639.47
1,56,0.46688,214.32,-469.72,477.52,158.67,-1864.56,593.55
1,57,0.47494,218.06,-483.67,479.03,464.39,-1731.59,187.12
1,58,0.48347,221.68,-489.81,478.19,424.66,-719.12,-97.94
2,0,0.00000,0.00,0.00,0.00,836.26,-193.55,1365.20
2,1,0.00854,6.95,-1.84,11.35,814.66,-215.24,1329.76
2,2,0.01678,13.90,-3.90,22.68,842.59,-250.31,1375.19
2,3,0.02515,20.83,-6.19,33.99,827.32,-273.07,1350.09
2,4,0.03291,27.74,-8.70,45.28,892.13,-324.14,1456.30
2,5,0.04131,34.65,-11.44,56.55,821.05,-325.60,1340.11
2,6,0.05030,41.54,-14.40,67.79,766.72,-329.63,1251.27
2,7,0.05795,48.41,-17.59,79.02,898.50,-416.55,1466.80
2,8,0.06629,55.28,-21.00,90.22,823.06,-409.23,1343.46
2,9,0.07495,62.13,-24.64,101.40,791.19,-420.07,1291.28
2,10,0.08331,68.97,-28.50,112.56,818.63,-462.35,1335.89
2,11,0.09129,75.79,-32.59,123.70,855.07,-512.20,1395.79
2,12,0.09955,82.60,-36.90,134.82,824.38,-521.94,1345.52
2,13,0.10798,89.40,-41.44,145.92,806.52,-538.24,1316.20
2,14,0.11668,96.19,-46.20,156.99,780.35,-547.58,1273.33
2,15,0.12472,102.96,-51.19,168.05,842.13,-620.24,1374.57
2,16,0.13305,109.72,-56.40,179.08,811.36,-625.66,1324.18
2,17,0.14113,116.47,-61.84,190.09,835.13,-673.01,1362.80
2,18,0.15018,123.20,-67.50,201.08,744.01,-625.81,1214.50
