trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-478.26,0.00,-92.03
0,1,0.00803,-3.14,0.00,-0.63,-391.25,0.00,-79.09
0,2,0.01663,-5.46,0.00,-1.12,-269.15,0.00,-56.03
0,3,0.02472,-7.14,0.00,-1.47,-207.55,0.00,-44.15
0,4,0.03336,-8.35,0.00,-1.74,-140.28,0.00,-30.39
0,5,0.04166,-9.23,0.00,-1.93,-106.62,0.00,-23.16
0,6,0.04990,-9.35,0.00,-4.15,-14.07,0.00,-270.00
0,7,0.05817,-9.34,0.00,-6.35,1.11,0.00,-266.05
0,8,0.06644,-9.41,0.00,-7.86,-8.86,0.00,-182.66
0,9,0.07462,-9.42,0.00,-9.36,-0.75,0.00,-183.21
0,10,0.08307,-9.28,0.00,-11.07,15.88,0.00,-202.53
0,11,0.09134,-9.10,0.00,-12.77,22.51,0.00,-205.54
0,12,0.09985,-8.83,0.00,-14.66,31.90,0.00,-221.15
0,13,0.10806,-8.53,0.00,-16.54,36.06,0.00,-229.00
0,14,0.11639,-8.22,0.00,-18.41,37.00,0.00,-225.27
0,15,0.12476,-7.90,0.00,-20.29,38.32,0.00,-224.09
0,16,0.13324,-7.57,0.00,-22.16,38.49,0.00,-220.50
0,17,0.14136,-7.24,0.00,-24.03,40.98,0.00,-230.45
0,18,0.14975,-6.91,0.00,-25.90,40.00,0.00,-222.91
0,19,0.15808,-6.56,0.00,-27.77,41.03,0.00,-224.18
0,20,0.16672,-6.27,0.00,-29.44,34.28,0.00,-193.99
0,21,0.17517,-6.40,0.00,-29.47,-15.16,0.00,-3.61
0,22,0.18307,-6.51,0.00,-29.50,-14.29,0.00,-3.47
0,23,0.19180,-6.61,0.00,-29.53,-11.89,0.00,-2.80
0,24,0.19980,-6.71,0.00,-29.55,-11.83,0.00,-2.67
0,25,0.20789,-6.80,0.00,-29.57,-11.32,0.00,-2.64
0,26,0.21637,-6.89,0.00,-29.59,-10.43,0.00,-2.52
0,27,0.22516,-6.55,0.00,-31.26,38.89,0.00,-189.58
0,28,0.23322,-6.28,0.00,-32.69,33.33,0.00,-178.41
0,29,0.24152,-6.02,0.00,-34.13,31.62,0.00,-173.16
0,30,0.24994,-5.83,0.00,-35.26,21.74,0.00,-134.06
0,31,0.25815,-5.65,0.00,-36.39,22.30,0.00,-137.55
0,32,0.26648,-5.56,0.00,-37.13,10.26,0.00,-89.38
0,33,0.27496,-5.48,0.00,-37.88,10.07,0.00,-87.77
0,34,0.28305,-5.51,0.00,-38.16,-3.40,0.00,-34.72
0,35,0.29126,-5.53,0.00,-38.44,-2.97,0.00,-33.83
