trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,10.00,-1.23,30.69
0,1,0.00793,0.09,-0.01,0.27,11.15,-1.37,34.23
0,2,0.01605,0.33,-0.04,0.98,29.32,-3.47,86.84
0,3,0.02454,0.56,-0.07,1.68,28.06,-3.32,83.09
0,4,0.03293,0.92,-0.11,2.65,42.18,-4.58,114.91
0,5,0.04147,1.27,-0.14,3.61,41.43,-4.50,112.86
0,6,0.04950,1.72,-0.18,4.62,55.89,-4.98,125.86
0,7,0.05838,2.17,-0.22,5.64,50.86,-4.52,114.78
0,8,0.06613,2.62,-0.26,6.65,57.87,-5.13,130.31
0,9,0.07443,3.07,-0.30,7.66,54.04,-4.78,121.32
0,10,0.08292,3.54,-0.33,8.37,55.04,-3.22,84.53
0,11,0.09134,4.00,-0.36,9.09,55.43,-3.23,84.78
0,12,0.09964,4.43,-0.37,9.38,51.84,-1.19,35.29
0,13,0.10809,4.86,-0.38,9.67,50.90,-1.10,33.94
0,14,0.11630,5.32,-0.37,9.49,55.39,1.23,-21.56
0,15,0.12469,5.77,-0.36,9.31,54.18,1.24,-21.45
0,16,0.13275,6.26,-0.33,8.79,60.23,3.10,-65.15
0,17,0.14151,6.74,-0.31,8.26,55.40,2.87,-59.93
0,18,0.14978,7.14,-0.27,7.46,47.97,4.34,-96.68
0,19,0.15778,7.54,-0.23,6.65,49.62,4.58,-101.15
0,20,0.16641,7.89,-0.16,4.90,41.34,8.77,-202.83
0,21,0.17444,8.25,-0.08,3.15,44.49,9.44,-217.87
0,22,0.18271,8.57,-0.03,1.86,38.75,6.80,-155.72
0,23,0.19125,8.89,0.03,0.59,37.14,6.52,-149.29
0,24,0.19952,9.12,0.02,0.76,27.68,-0.69,20.30
0,25,0.20773,9.35,0.02,0.93,27.88,-0.71,20.82
0,26,0.21637,9.55,0.00,1.28,23.67,-1.61,40.99
0,27,0.22455,9.76,-0.01,1.64,25.00,-1.65,43.28
0,28,0.23282,9.96,-0.02,1.99,24.72,-1.66,42.80
0,29,0.24115,10.17,-0.04,2.34,24.54,-1.63,42.12
0,30,0.24957,10.37,-0.04,2.51,23.91,-0.67,19.93
0,31,0.25818,10.57,-0.05,2.67,23.40,-0.65,18.79
0,32,0.26611,10.79,-0.03,2.26,28.46,2.36,-52.31
0,33,0.27460,11.02,-0.01,1.83,26.62,2.26,-49.64
