trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-13.52,0.13,-10.32
0,1,0.00815,-0.12,0.00,-0.09,-14.23,0.15,-10.86
0,2,0.01657,-0.34,0.01,-0.38,-26.45,0.83,-35.14
0,3,0.02478,-0.56,0.02,-0.68,-27.14,0.86,-36.06
0,4,0.03345,-0.80,0.03,-1.21,-27.11,1.89,-61.62
0,5,0.04153,-1.03,0.05,-1.75,-29.06,2.02,-66.04
0,6,0.04977,-1.31,0.07,-2.48,-33.33,2.86,-88.89
0,7,0.05804,-1.58,0.09,-3.21,-33.21,2.83,-88.56
0,8,0.06635,-1.90,0.12,-4.13,-38.97,3.61,-110.66
0,9,0.07477,-2.23,0.21,-5.05,-38.41,10.13,-109.06
0,10,0.08319,-2.56,0.23,-6.14,-39.86,2.81,-129.71
0,11,0.09143,-2.90,0.25,-7.24,-40.74,2.53,-132.59
0,12,0.09979,-3.23,0.31,-8.33,-40.15,7.09,-130.66
0,13,0.10812,-3.57,0.38,-9.42,-40.29,7.60,-131.14
0,14,0.11633,-3.88,0.45,-10.60,-37.55,8.40,-143.49
0,15,0.12488,-4.19,0.52,-11.78,-36.07,8.05,-137.86
0,16,0.13321,-4.68,0.65,-14.03,-58.61,15.93,-270.70
0,17,0.14175,-5.16,0.78,-16.29,-57.14,15.54,-263.93
0,18,0.14972,-5.34,0.94,-18.96,-22.22,20.15,-335.63
0,19,0.15805,-5.52,1.11,-21.63,-21.25,20.38,-320.88
0,20,0.16644,-5.22,1.18,-23.28,36.00,8.63,-195.64
0,21,0.17484,-4.91,1.28,-24.92,36.00,11.02,-195.64
0,22,0.18314,-4.54,1.35,-26.30,44.49,9.47,-166.54
0,23,0.19147,-4.17,1.43,-27.68,44.32,9.41,-165.93
0,24,0.19968,-3.77,1.50,-28.82,49.44,7.94,-138.66
0,25,0.20816,-3.36,1.56,-29.96,47.84,7.66,-134.17
0,26,0.21643,-3.07,1.61,-30.69,35.79,5.09,-88.19
0,27,0.22498,-2.77,1.65,-31.42,34.64,4.90,-85.36
0,28,0.23331,-2.50,1.68,-31.99,32.23,3.97,-68.86
0,29,0.24139,-2.23,1.71,-32.57,33.21,4.09,-70.94
0,30,0.24973,-1.97,1.75,-33.14,32.23,3.97,-68.86
0,31,0.25800,-1.70,1.78,-33.71,32.47,4.01,-69.37
0,32,0.26630,-1.46,1.80,-34.15,27.94,3.04,-52.21
0,33,0.27475,-1.23,1.83,-34.58,27.44,2.97,-51.26
0,34,0.28333,-1.00,1.86,-35.01,27.05,2.95,-50.53
0,35,0.29144,-0.77,1.88,-35.45,28.57,3.09,-53.38
0,36,0.29974,-0.57,1.90,-35.78,23.90,2.37,-40.44
0,37,0.30820,-0.37,1.92,-36.12,23.47,2.31,-39.71
0,38,0.31650,-0.17,1.94,-36.45,23.90,2.37,-40.44
0,39,0.32504,0.02,1.96,-36.79,23.21,2.28,-39.29
0,40,0.33325,0.20,1.97,-37.06,21.19,1.93,-32.71
0,41,0.34152,0.38,1.99,-37.32,22.51,1.82,-31.37
0,42,0.34964,0.52,2.00,-37.48,16.92,1.24,-20.30
0,43,0.35825,0.67,2.01,-37.64,16.67,1.09,-18.09
0,44,0.36636,0.75,2.01,-37.70,10.53,0.49,-8.27
0,45,0.37479,0.84,2.02,-37.77,10.14,0.48,-7.97
0,46,0.38303,0.82,2.01,-37.68,-1.48,-0.60,11.11
0,47,0.39124,0.81,2.01,-37.59,-1.49,-0.67,11.52
0,48,0.39975,0.69,1.97,-37.02,-13.98,-3.75,66.67
0,49,0.40808,0.57,1.94,-36.45,-14.29,-3.84,68.13
0,50,0.41632,0.45,1.91,-35.88,-14.44,-3.90,68.89
0,51,0.42480,0.34,1.88,-35.31,-14.03,-3.79,66.91
0,52,0.43326,0.16,1.82,-34.33,-20.94,-6.55,116.25
0,53,0.44144,-0.02,1.77,-33.35,-21.64,-6.77,120.15
0,54,0.44965,-0.28,1.70,-32.15,-31.97,-8.26,146.47
0,55,0.45813,-0.54,1.63,-30.94,-30.94,-8.04,141.73
0,56,0.46634,-0.78,1.58,-30.07,-28.25,-6.05,106.69
0,57,0.47479,-1.01,1.53,-29.19,-27.44,-5.86,103.61
0,58,0.48331,-1.50,1.44,-27.61,-58.42,-10.61,186.02
0,59,0.49146,-2.00,1.35,-26.03,-61.05,-11.05,194.01
0,60,0.49973,-2.23,1.31,-25.33,-28.04,-4.84,84.50
0,61,0.50806,-2.47,1.27,-24.63,-27.84,-4.80,84.25
0,62,0.51633,-2.85,1.22,-23.71,-46.13,-6.40,111.44
0,63,0.52490,-3.23,1.17,-22.79,-44.48,-6.16,107.12
0,64,0.53329,-3.72,1.12,-21.99,-58.55,-5.58,95.27
0,65,0.54156,-4.21,1.07,-21.19,-59.41,-5.65,96.68
0,66,0.54971,-4.76,1.04,-20.66,-67.79,-3.93,65.17
0,67,0.55817,-5.32,1.01,-20.13,-65.34,-3.81,62.82
0,68,0.56635,-5.88,0.98,-19.74,-69.03,-2.95,47.01
0,69,0.57480,-6.45,0.96,-19.36,-66.79,-3.10,45.49
0,70,0.58319,-6.98,0.93,-19.13,-63.27,-2.93,26.91
0,71,0.59152,-7.51,0.91,-18.91,-63.74,-2.72,27.11
0,72,0.59988,-7.76,0.94,-19.21,-30.66,3.54,-36.50
0,73,0.60822,-8.02,0.96,-19.52,-30.77,1.93,-36.63
0,74,0.61639,-7.91,1.00,-20.03,13.81,5.08,-63.43
0,75,0.62524,-7.79,1.03,-20.56,13.79,3.17,-59.66
0,76,0.63330,-6.44,1.14,-22.29,167.05,14.52,-214.39
0,77,0.64163,-5.09,1.22,-24.01,161.90,9.84,-206.23
0,78,0.64975,-3.43,1.23,-24.04,204.89,1.20,-3.76
0,79,0.65839,-1.77,1.24,-24.06,191.87,1.05,-2.12
0,80,0.66663,-1.13,1.13,-22.00,77.78,-13.48,249.63
0,81,0.67505,-0.49,1.02,-19.93,76.09,-13.29,246.01
0,82,0.68317,0.12,0.78,-15.56,75.19,-29.69,538.35
0,83,0.69193,0.73,0.51,-11.18,69.69,-30.59,500.00
0,84,0.69995,1.53,0.26,-5.56,99.62,-31.97,700.00
0,85,0.70813,2.33,0.05,0.06,97.76,-25.44,687.31
0,86,0.71667,3.39,-0.17,6.10,123.57,-25.64,706.43
0,87,0.72491,4.44,-0.39,12.14,127.78,-26.65,733.70
0,88,0.73343,5.11,-0.75,19.37,79.21,-42.18,849.10
0,89,0.74158,5.78,-1.11,26.59,82.02,-43.59,886.14
