trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
0,1,0.00812,7.43,16.51,-37.10,915.79,2033.45,-4570.68
0,2,0.01605,14.71,32.93,-74.20,916.54,2069.98,-4675.38
0,3,0.02475,21.98,49.27,-111.30,836.14,1878.92,-4265.26
0,4,0.03333,28.99,65.53,-148.39,817.44,1896.04,-4324.91
0,5,0.04147,36.00,81.71,-185.47,860.30,1985.33,-4551.69
0,6,0.04996,42.79,97.80,-222.56,800.36,1897.05,-4370.86
0,7,0.05801,49.58,113.82,-259.64,842.80,1987.41,-4602.65
0,8,0.06619,56.37,129.75,-296.72,830.22,1947.66,-4533.96
0,9,0.07452,63.16,145.59,-333.80,815.02,1902.09,-4450.92
0,10,0.08273,69.95,161.36,-370.88,827.14,1920.32,-4517.10
0,11,0.09119,76.74,177.04,-407.97,803.25,1855.10,-4386.64
0,12,0.09955,83.53,192.64,-445.05,812.04,1865.55,-4434.67
0,13,0.10794,90.32,208.15,-482.13,809.09,1848.93,-4418.55
0,14,0.11618,97.33,223.59,-519.22,850.74,1873.16,-4501.11
0,15,0.12469,104.34,238.94,-556.30,823.30,1803.05,-4355.91
0,16,0.13303,111.61,254.21,-593.40,872.89,1832.77,-4452.75
0,17,0.14160,118.88,269.40,-630.50,848.04,1770.97,-4325.98
0,18,0.14957,126.32,284.50,-667.60,933.33,1896.32,-4658.24
0,19,0.15799,133.75,299.52,-704.71,882.61,1783.47,-4405.07
0,20,0.16599,141.19,314.46,-741.81,929.77,1868.45,-4640.46
0,21,0.17465,148.62,329.32,-778.91,857.75,1714.19,-4280.99
0,22,0.18262,156.05,344.09,-816.02,933.33,1854.89,-4658.24
0,23,0.19147,163.49,358.79,-853.12,840.00,1660.08,-4192.41
0,24,0.19955,170.92,373.39,-890.22,919.25,1806.49,-4587.92
0,25,0.20816,178.36,387.92,-927.33,863.83,1688.00,-4311.35
0,26,0.21600,185.79,402.37,-964.43,947.86,1841.68,-4730.74
0,27,0.22440,193.23,416.73,-1001.53,885.82,1711.31,-4421.09
0,28,0.23285,200.66,431.01,-1038.64,879.42,1689.19,-4389.17
0,29,0.24127,208.09,445.20,-1075.74,882.61,1685.52,-4405.07
0,30,0.24957,215.53,459.32,-1112.84,895.59,1700.36,-4469.85
0,31,0.25784,222.96,473.35,-1149.95,898.89,1696.66,-4486.35
0,32,0.26617,230.40,487.30,-1187.05,892.31,1674.33,-4453.48
0,33,0.27444,237.83,501.17,-1224.15,898.89,1676.71,-4486.35
0,34,0.28275,245.26,514.95,-1261.25,895.59,1660.61,-4469.85
0,35,0.29132,252.70,528.65,-1298.36,866.90,1597.80,-4326.69
0,36,0.29953,260.13,542.27,-1335.46,905.58,1659.03,-4519.70
0,37,0.30801,267.57,555.81,-1372.56,876.26,1595.59,-4373.38
0,38,0.31628,275.00,569.26,-1409.67,898.89,1626.83,-4486.35
0,39,0.32474,282.43,582.64,-1446.77,879.42,1581.84,-4389.17
0,40,0.33282,289.87,595.92,-1483.87,919.25,1643.27,-4587.92
0,41,0.34125,297.30,609.13,-1520.98,882.61,1567.98,-4405.07
0,42,0.34943,304.74,622.26,-1558.08,908.96,1604.69,-4536.57
0,43,0.35797,312.17,635.30,-1595.18,870.00,1526.27,-4342.14
0,44,0.36600,319.60,648.26,-1632.29,926.24,1614.64,-4622.81
1,0,0.00000,0.00,0.00,0.00,0.00,0.15,0.00
1,1,0.00763,19.09,29.46,-20.67,2502.40,3862.00,-2709.60
1,2,0.01596,38.04,58.85,-41.42,2274.73,3526.73,-2490.84
1,3,0.02420,56.99,88.15,-62.18,2300.00,3555.90,-2518.52
1,4,0.03265,75.71,117.36,-83.06,2214.44,3456.28,-2470.04
1,5,0.04108,94.44,146.50,-103.94,2222.83,3459.01,-2478.99
1,6,0.04971,113.01,175.62,-124.97,2150.53,3371.35,-2435.34
1,7,0.05792,131.54,204.58,-145.96,2257.25,3528.90,-2556.51
1,8,0.06604,150.07,233.47,-166.94,2282.71,3558.54,-2585.34
1,9,0.07443,168.60,262.28,-187.93,2208.00,3432.24,-2500.73
1,10,0.08249,187.13,291.00,-208.92,2300.00,3565.01,-2604.92
1,11,0.09109,205.66,319.64,-229.90,2153.19,3327.87,-2438.65
1,12,0.09952,224.19,348.19,-250.89,2200.00,3390.42,-2491.67
1,13,0.10770,242.72,376.67,-271.88,2265.67,3481.54,-2566.04
1,14,0.11584,261.44,405.06,-292.76,2297.75,3484.46,-2562.55
1,15,0.12427,280.17,433.37,-313.64,2222.83,3361.04,-2478.99
1,16,0.13263,299.12,461.60,-334.39,2266.42,3375.71,-2481.75
1,17,0.14133,318.07,489.74,-355.14,2178.95,3235.93,-2385.96
1,18,0.14975,337.16,517.80,-375.81,2266.67,3331.65,-2454.35
1,19,0.15759,356.25,545.78,-396.49,2434.24,3567.44,-2635.80
1,20,0.16592,375.34,573.68,-417.16,2291.58,3348.46,-2481.32
1,21,0.17450,394.44,601.50,-437.83,2226.33,3243.51,-2410.68
1,22,0.18271,413.53,629.23,-458.51,2325.65,3378.15,-2518.22
1,23,0.19135,432.62,656.88,-479.18,2210.60,3201.48,-2393.64
1,24,0.19958,451.71,684.44,-499.85,2317.04,3345.61,-2508.89
1,25,0.20767,470.80,711.93,-520.52,2360.75,3398.54,-2556.23
1,26,0.21606,489.90,739.33,-541.20,2274.91,3265.12,-2463.27
1,27,0.22443,508.99,766.65,-561.87,2283.21,3267.17,-2472.26
1,28,0.23264,528.08,793.89,-582.54,2325.65,3317.85,-2518.22
1,29,0.24106,547.17,821.04,-603.21,2266.67,3223.91,-2454.35
1,30,0.24936,566.26,848.11,-623.89,2300.00,3261.38,-2490.44
1,31,0.25772,585.35,875.10,-644.56,2283.21,3227.70,-2472.26
1,32,0.26614,604.45,902.01,-665.23,2266.67,3194.52,-2454.35
1,33,0.27420,623.54,928.83,-685.90,2369.70,3329.49,-2565.91
1,34,0.28259,642.63,955.58,-706.58,2274.91,3186.48,-2463.27
1,35,0.29102,661.72,982.24,-727.25,2266.67,3165.14,-2454.35
1,36,0.29935,680.81,1008.81,-747.92,2291.58,3190.02,-2481.32
1,37,0.30780,699.91,1035.31,-768.59,2258.48,3134.19,-2445.49
1,38,0.31573,719.00,1061.72,-789.27,2406.15,3328.73,-2605.38
1,39,0.32458,738.09,1088.05,-809.94,2157.24,2975.04,-2335.86
1,40,0.33273,757.18,1114.30,-830.61,2343.07,3221.20,-2537.08
1,41,0.34106,776.27,1140.46,-851.28,2291.58,3140.50,-2481.32
1,42,0.34930,795.36,1166.54,-871.96,2317.04,3165.38,-2508.89
1,43,0.35785,814.46,1192.54,-892.63,2234.29,3042.68,-2419.29
1,44,0.36594,833.55,1218.46,-913.30,2360.75,3204.71,-2556.23
2,0,0.00000,0.00,0.00,0.00,0.00,0.01,0.00
2,1,0.00836,20.73,29.87,14.19,2479.20,3572.44,1697.45
2,2,0.01657,41.52,59.66,28.24,2532.34,3628.79,1710.78
2,3,0.02463,62.31,89.37,42.28,2580.30,3687.28,1743.18
2,4,0.03314,83.19,118.99,56.08,2452.33,3479.34,1620.43
2,5,0.04160,104.07,148.54,69.88,2470.04,3494.71,1632.13
2,6,0.05008,125.02,177.99,83.47,2470.14,3472.41,1602.16
2,7,0.05829,145.98,207.37,97.06,2552.79,3578.54,1655.76
2,8,0.06635,166.94,236.67,110.65,2601.14,3636.07,1687.12
2,9,0.07495,187.89,265.88,124.25,2435.11,3394.40,1579.43
2,10,0.08350,208.85,295.01,137.84,2452.50,3408.99,1590.71
2,11,0.09152,229.81,324.05,151.43,2611.03,3619.06,1693.54
2,12,0.09979,250.76,353.02,165.02,2533.95,3502.25,1643.54
2,13,0.10825,271.72,381.90,178.62,2479.06,3416.63,1607.94
2,14,0.11655,292.60,410.70,192.41,2515.44,3469.50,1662.13
2,15,0.12466,313.48,439.42,206.21,2572.18,3537.59,1699.62
2,16,0.13297,334.27,468.05,220.25,2504.41,3449.62,1691.91
2,17,0.14145,355.06,496.60,234.30,2450.36,3365.44,1655.40
2,18,0.15015,375.79,525.07,248.49,2383.51,3273.29,1631.93
2,19,0.15808,396.52,553.46,262.69,2612.69,3577.64,1788.85
2,20,0.16638,417.25,581.77,276.88,2497.43,3409.86,1709.93
2,21,0.17465,437.98,609.99,291.07,2506.64,3412.47,1716.24
2,22,0.18295,458.71,638.13,305.27,2497.43,3389.98,1709.93
2,23,0.19119,479.44,666.18,319.46,2515.93,3405.08,1722.59
2,24,0.19962,500.17,694.16,333.65,2461.23,3321.26,1685.14
2,25,0.20801,520.90,722.05,347.85,2470.18,3323.51,1691.27
2,26,0.21649,541.63,749.86,362.04,2443.53,3277.92,1673.02
2,27,0.22461,562.36,777.59,376.24,2553.76,3415.63,1748.50
2,28,0.23297,583.09,805.23,390.43,2479.20,3306.03,1697.45
2,29,0.24115,603.82,832.79,404.62,2534.70,3369.96,1735.45
2,30,0.25015,624.55,860.27,418.82,2302.71,3052.36,1576.61
2,31,0.25790,645.29,887.67,433.01,2674.41,3534.42,1831.10
2,32,0.26620,666.02,914.98,447.20,2497.43,3290.59,1709.93
2,33,0.27481,686.75,942.22,461.40,2408.87,3164.32,1649.29
2,34,0.28299,707.48,969.37,475.59,2534.70,3319.53,1735.45
2,35,0.29129,728.21,996.43,489.79,2497.43,3260.78,1709.93
2,36,0.29971,748.94,1023.42,503.98,2461.23,3203.73,1685.14
2,37,0.30811,769.67,1050.32,518.17,2470.18,3205.55,1691.27
2,38,0.31635,790.40,1077.14,532.37,2515.93,3254.88,1722.59
2,39,0.32468,811.13,1103.88,546.56,2488.28,3209.21,1703.66
2,40,0.33307,831.86,1130.53,560.75,2470.18,3176.05,1691.27
2,41,0.34161,852.59,1157.10,574.95,2426.07,3109.68,1661.07
2,42,0.34967,873.32,1183.59,589.14,2573.11,3287.90,1761.74
