trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,26.84,120.47,60.29
0,1,0.00839,0.26,1.00,0.59,31.27,119.16,70.55
0,2,0.01654,0.57,2.00,1.28,37.45,122.73,83.90
0,3,0.02524,0.91,3.00,2.05,39.65,114.98,89.12
0,4,0.03333,1.32,4.00,2.97,50.57,123.66,113.58
0,5,0.04138,1.77,5.00,3.98,56.06,124.12,125.00
0,6,0.04999,2.27,6.00,5.08,57.45,116.20,127.66
0,7,0.05838,2.80,7.00,6.27,63.64,119.16,141.82
0,8,0.06665,3.31,8.00,7.41,61.62,120.92,138.01
0,9,0.07498,3.86,9.00,8.64,66.30,120.03,147.99
0,10,0.08368,4.35,10.00,9.73,56.14,114.98,125.26
0,11,0.09149,4.88,11.00,10.91,67.58,128.00,151.17
0,12,0.09988,5.36,12.00,11.99,57.45,119.16,128.36
0,13,0.10840,5.88,13.00,13.16,61.29,117.45,137.28
0,14,0.11649,6.30,14.00,14.10,52.08,123.66,116.60
0,15,0.12497,6.77,15.00,15.13,54.68,117.87,121.58
0,16,0.13324,7.16,16.00,16.00,46.86,120.92,104.80
0,17,0.14157,7.58,17.00,16.96,51.28,120.03,115.02
0,18,0.14981,8.01,18.00,17.91,51.85,121.37,116.30
0,19,0.15839,8.48,19.00,18.96,54.80,116.61,122.42
0,20,0.16650,8.94,20.00,19.99,56.39,123.19,126.32
0,21,0.17505,9.44,21.00,21.11,58.21,117.03,130.71
0,22,0.18344,9.92,22.00,22.18,57.09,119.16,127.64
0,23,0.19165,10.43,23.00,23.34,63.20,121.82,141.64
0,24,0.19986,10.99,24.00,24.59,68.03,121.82,152.79
0,25,0.20831,11.59,25.00,25.94,71.12,118.30,159.21
0,26,0.21664,11.94,26.00,26.72,41.39,120.03,93.04
0,27,0.22501,12.32,27.00,27.58,45.99,119.59,103.28
0,28,0.23328,12.57,28.00,28.14,30.26,120.92,67.90
0,29,0.24149,12.86,29.00,28.79,35.32,121.82,79.55
0,30,0.24982,13.14,30.00,29.42,33.33,120.03,74.73
0,31,0.25830,13.46,31.00,30.13,37.77,117.87,84.17
0,32,0.26639,13.82,32.00,30.94,44.91,123.66,99.62
0,33,0.27472,14.23,33.00,31.83,48.35,120.03,107.69
0,34,0.28302,14.90,34.00,33.34,81.25,120.47,181.99
0,35,0.29129,15.62,35.00,34.95,86.72,120.92,193.73
0,36,0.29980,16.48,36.00,36.87,101.08,117.45,225.81
0,37,0.30829,17.38,37.00,38.88,106.12,117.87,237.41
0,38,0.31680,18.68,38.00,41.79,153.05,117.45,341.58
0,39,0.32477,20.03,39.00,44.79,168.58,125.55,376.25
0,40,0.33347,21.08,40.02,47.14,121.40,117.08,270.88
0,41,0.34143,22.16,41.02,49.55,135.25,125.55,302.68
0,42,0.34976,23.33,42.02,52.18,141.03,120.03,315.02
0,43,0.35809,24.55,43.02,54.89,145.42,120.03,324.91
0,44,0.36658,25.60,44.02,57.25,124.82,117.87,279.14
0,45,0.37482,26.72,45.02,59.74,134.81,121.37,301.11
0,46,0.38324,28.37,46.02,63.44,196.74,118.73,439.49
1,0,0.00000,0.00,0.00,0.00,-47.99,120.03,45.42
1,1,0.00830,-0.47,1.00,0.45,-56.99,120.47,53.68
1,2,0.01671,-1.02,2.00,0.96,-64.97,118.94,61.34
1,3,0.02498,-1.64,3.00,1.55,-74.54,120.92,70.85
1,4,0.03336,-2.36,4.00,2.24,-86.70,119.38,82.33
1,5,0.04163,-3.16,5.00,2.99,-96.68,120.92,91.51
1,6,0.05009,-4.03,6.00,3.82,-103.06,118.09,97.66
1,7,0.05841,-4.99,7.01,4.72,-114.50,120.95,108.62
1,8,0.06671,-5.89,8.01,5.58,-109.19,120.47,103.68
1,9,0.07497,-6.87,9.01,6.51,-118.67,121.14,112.38
1,10,0.08334,-7.74,10.01,7.34,-103.83,119.38,98.36
1,11,0.09167,-8.68,11.01,8.23,-112.82,120.03,106.96
1,12,0.10028,-9.54,12.01,9.04,-99.65,116.20,94.33
1,13,0.10831,-10.48,13.02,9.93,-116.73,126.35,110.65
1,14,0.11676,-11.23,14.02,10.64,-89.17,118.30,84.12
1,15,0.12497,-12.05,15.02,11.41,-99.26,121.82,94.42
1,16,0.13348,-12.73,16.02,12.07,-81.00,117.45,77.06
1,17,0.14169,-13.49,17.02,12.79,-92.57,121.82,88.10
1,18,0.15010,-14.26,18.02,13.52,-90.74,118.94,86.03
1,19,0.15840,-15.09,19.02,14.30,-100.37,120.47,94.85
1,20,0.16678,-15.91,20.02,15.08,-97.63,119.38,92.17
1,21,0.17505,-16.80,21.02,15.92,-107.38,120.92,101.85
1,22,0.18343,-17.65,22.02,16.73,-102.00,119.38,96.54
1,23,0.19174,-18.58,23.02,17.61,-111.56,120.25,105.69
1,24,0.20020,-19.57,24.02,18.55,-117.69,118.30,111.91
1,25,0.20848,-20.63,25.02,19.56,-127.81,120.70,121.18
1,26,0.21690,-21.25,26.02,20.14,-72.83,118.73,69.20
