trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-1399.63,-527.07,1293.75
0,1,0.00879,-12.93,-5.13,11.96,-1471.18,-583.12,1360.42
0,2,0.01709,-26.05,-11.00,24.08,-1580.15,-707.77,1461.03
0,3,0.02502,-39.35,-17.63,36.38,-1676.15,-834.96,1549.62
0,4,0.03333,-52.83,-25.00,48.85,-1624.26,-888.48,1501.84
0,5,0.04187,-66.79,-33.13,61.76,-1634.29,-950.87,1510.71
0,6,0.04993,-80.94,-42.00,74.84,-1756.06,-1101.59,1623.48
0,7,0.05835,-95.27,-51.63,88.09,-1701.45,-1142.74,1573.19
0,8,0.06665,-109.79,-62.00,101.50,-1748.90,-1249.90,1616.54
0,9,0.07568,-124.84,-73.13,115.42,-1666.22,-1231.59,1540.20
0,10,0.08313,-140.08,-85.00,129.50,-2045.90,-1594.77,1891.39
0,11,0.09167,-155.49,-97.63,143.75,-1804.29,-1477.51,1667.86
0,12,0.09985,-171.09,-111.00,158.18,-1907.46,-1635.37,1763.43
0,13,0.10815,-185.71,-125.13,171.69,-1760.66,-1701.67,1627.57
0,14,0.11719,-200.51,-140.00,185.37,-1638.18,-1646.73,1514.53
0,15,0.12488,-215.49,-155.63,199.22,-1948.41,-2031.78,1801.19
0,16,0.13318,-230.66,-172.00,213.24,-1827.21,-1972.74,1688.97
0,17,0.14160,-246.33,-189.13,227.73,-1861.23,-2033.19,1720.65
0,18,0.15015,-262.19,-207.00,242.39,-1855.71,-2091.91,1715.71
0,19,0.15820,-278.04,-225.63,257.05,-1967.42,-2311.79,1818.94
0,20,0.16638,-294.08,-245.00,271.87,-1960.45,-2368.99,1812.69
0,21,0.17529,-310.09,-265.13,286.67,-1796.92,-2258.44,1660.96
0,22,0.18298,-326.28,-286.00,301.64,-2105.95,-2714.45,1946.83
0,23,0.19153,-342.54,-307.63,316.67,-1902.50,-2530.78,1758.57
0,24,0.19971,-358.98,-330.00,331.87,-2010.07,-2735.80,1858.21
0,25,0.20813,-375.60,-353.13,347.24,-1973.55,-2745.55,1824.64
0,26,0.21631,-392.41,-377.01,362.77,-2054.85,-2919.21,1899.63
0,27,0.22485,-409.34,-401.63,378.43,-1981.43,-2881.88,1831.79
0,28,0.23352,-426.46,-427.01,394.25,-1975.00,-2927.82,1825.70
0,29,0.24146,-443.76,-453.13,410.24,-2180.38,-3292.60,2015.38
0,30,0.24963,-461.24,-480.01,426.40,-2137.69,-3286.02,1976.12
0,31,0.25806,-478.83,-507.63,442.66,-2088.41,-3279.82,1930.43
0,32,0.26636,-496.61,-536.01,459.09,-2141.18,-3418.41,1979.41
0,33,0.27527,-514.40,-565.13,475.55,-1997.26,-3268.43,1846.58
