trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,-1808.46,-362.20,2309.19
0,1,0.00842,-15.01,-3.01,19.17,-1782.25,-357.18,2275.72
0,2,0.01697,-19.60,-3.96,24.86,-536.43,-111.85,665.71
0,3,0.02527,-24.18,-4.18,30.55,-552.21,-26.08,685.29
0,4,0.03381,-27.84,-4.38,35.09,-428.21,-23.11,532.14
0,5,0.04236,-31.50,-4.57,39.64,-428.21,-22.22,532.14
0,6,0.05054,-34.42,-4.71,43.33,-357.09,-16.78,451.12
0,7,0.05884,-37.34,-4.84,47.02,-351.84,-16.53,444.49
0,8,0.06726,-39.87,-4.84,50.66,-300.36,0.28,431.88
0,9,0.07556,-42.40,-4.84,54.29,-304.78,-0.52,438.24
0,10,0.08423,-44.72,-4.83,57.69,-268.31,1.92,391.90
0,11,0.09241,-47.05,-4.82,61.09,-284.33,1.22,415.30
0,12,0.10095,-49.19,-4.81,64.20,-250.36,1.45,364.29
0,13,0.10962,-51.33,-4.80,67.31,-246.83,1.04,359.15
0,14,0.11755,-53.50,-4.81,70.39,-273.85,-1.96,388.46
0,15,0.12598,-55.57,-4.83,73.32,-245.65,-1.65,347.46
0,16,0.13428,-57.66,-4.87,76.15,-251.84,-5.44,340.44
0,17,0.14282,-59.75,-4.92,78.96,-245.00,-6.10,329.64
0,18,0.15088,-61.85,-5.03,81.61,-259.85,-12.75,328.41
0,19,0.15930,-63.92,-5.12,84.23,-246.38,-11.34,311.23
0,20,0.16833,-65.68,-5.22,86.38,-194.59,-11.15,237.50
0,21,0.17627,-67.55,-5.33,88.66,-235.38,-13.72,288.08
0,22,0.18445,-69.17,-5.42,90.65,-197.76,-11.10,243.28
0,23,0.19263,-70.76,-5.51,92.62,-195.52,-10.94,240.67
0,24,0.20154,-72.24,-5.59,94.45,-165.75,-8.79,205.82
0,25,0.20972,-73.72,-5.66,96.29,-180.60,-9.16,224.25
0,26,0.21777,-75.20,-5.75,98.12,-183.33,-10.14,227.65
0,27,0.22620,-76.66,-5.82,99.94,-173.91,-9.32,215.58
0,28,0.23450,-78.00,-5.89,101.63,-161.76,-7.31,204.04
0,29,0.24280,-79.31,-5.95,103.29,-157.35,-7.70,199.26
0,30,0.25159,-80.37,-5.99,104.65,-120.83,-4.72,154.86
0,31,0.25940,-81.40,-6.03,105.97,-131.25,-5.29,169.14
0,32,0.26831,-82.19,-6.06,107.01,-89.04,-3.50,117.12
0,33,0.27612,-82.95,-6.09,108.01,-96.88,-2.79,128.12
0,34,0.28418,-83.45,-6.09,108.71,-62.12,-0.99,86.36
0,35,0.29260,-83.91,-6.10,109.36,-55.07,-0.33,77.17
0,36,0.30151,-84.10,-6.08,109.69,-21.23,2.13,37.33
0,37,0.30908,-84.26,-6.06,109.99,-20.97,2.33,39.11
0,38,0.31750,-84.21,-6.03,110.04,5.80,3.33,5.80
0,39,0.32581,-84.16,-6.00,110.07,6.62,4.08,4.41
0,40,0.33423,-84.02,-5.96,110.03,15.94,4.64,-5.43
0,41,0.34253,-83.87,-5.92,109.96,18.38,4.77,-8.46
0,42,0.35144,-83.58,-5.87,109.72,32.19,5.68,-26.37
0,43,0.35925,-83.28,-5.83,109.47,38.28,5.49,-32.81
0,44,0.36755,-82.89,-5.78,109.08,47.06,5.59,-46.69
0,45,0.37598,-82.48,-5.73,108.67,48.55,6.06,-48.55
0,46,0.38416,-81.97,-5.68,108.12,62.69,5.71,-67.54
0,47,0.39246,-81.45,-5.63,107.54,63.24,6.32,-69.12
0,48,0.40149,-80.80,-5.58,106.81,70.95,5.77,-80.74
0,49,0.40918,-80.13,-5.53,106.05,87.30,6.59,-99.60
0,50,0.41748,-79.26,-5.46,105.02,105.15,7.62,-123.53
0,51,0.42603,-78.25,-5.40,103.82,118.57,7.89,-140.36
0,52,0.43433,-76.26,-5.27,101.42,239.71,14.90,-289.34
0,53,0.44263,-74.22,-5.14,98.99,244.85,16.41,-292.65
0,54,0.45105,-71.92,-4.95,96.38,273.19,21.77,-310.51
0,55,0.45935,-69.64,-4.76,93.80,275.74,23.22,-310.29
0,56,0.46814,-67.44,-4.53,91.49,249.31,25.85,-262.50
0,57,0.47607,-65.26,-4.29,89.25,274.62,30.11,-283.08
0,58,0.48438,-63.20,-3.99,87.42,248.53,36.84,-220.22
0,59,0.49268,-61.13,-3.67,85.63,249.26,38.62,-216.18
0,60,0.50159,-59.03,-3.28,84.06,235.96,43.37,-176.03
0,61,0.50916,-57.01,-2.90,82.55,267.34,49.82,-199.60
0,62,0.51770,-55.51,-2.62,81.46,175.36,33.36,-127.50
0,63,0.52576,-54.10,-2.34,80.44,175.00,33.89,-126.52
0,64,0.53430,-53.30,-2.18,79.90,93.57,19.12,-63.21
0,65,0.54248,-52.44,-2.00,79.34,104.48,22.08,-67.91
0,66,0.55103,-51.21,-1.70,78.70,144.29,35.41,-75.71
