trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,0.00,0.00,0.00
0,1,0.00827,0.79,13.60,-3.92,95.57,1644.46,-474.17
0,2,0.01666,1.19,20.10,-5.88,47.27,774.52,-233.45
0,3,0.02487,1.58,26.40,-7.84,48.33,767.44,-238.66
0,4,0.03336,1.98,32.50,-9.80,46.76,719.01,-230.94
0,5,0.04141,2.38,38.40,-11.76,49.24,732.32,-243.18
0,6,0.05008,2.77,44.10,-13.72,45.77,657.67,-226.06
0,7,0.05826,3.17,49.60,-15.68,48.51,672.48,-239.55
0,8,0.06647,3.57,54.90,-17.64,48.33,645.62,-238.66
0,9,0.07477,3.96,60.00,-19.60,47.79,614.40,-236.03
0,10,0.08322,4.36,64.90,-21.55,46.93,579.65,-231.77
0,11,0.09143,4.76,69.60,-23.51,48.33,572.53,-238.66
0,12,0.09995,5.15,74.10,-25.47,46.59,528.52,-230.11
0,13,0.10806,5.55,78.40,-27.43,48.87,529.71,-241.35
0,14,0.11673,5.95,82.50,-29.39,45.77,473.06,-226.06
0,15,0.12497,6.34,86.40,-31.35,48.15,473.32,-237.78
0,16,0.13327,6.74,90.10,-33.31,47.79,445.74,-236.03
0,17,0.14157,7.14,93.60,-35.27,47.79,421.65,-236.03
0,18,0.14993,7.53,96.90,-37.23,47.45,394.65,-234.31
0,19,0.15857,7.93,100.00,-39.19,45.94,358.94,-226.86
0,20,0.16663,8.33,102.90,-41.15,49.24,359.95,-243.18
0,21,0.17511,8.72,105.60,-43.11,46.76,318.25,-230.94
0,22,0.18347,9.12,108.10,-45.07,47.45,298.97,-234.31
0,23,0.19144,9.52,110.40,-47.02,49.81,288.76,-245.98
0,24,0.20010,9.92,112.50,-48.98,45.77,242.30,-226.06
0,25,0.20828,10.31,114.40,-50.94,48.51,232.31,-239.55
0,26,0.21674,10.71,116.10,-52.91,46.93,201.39,-232.13
0,27,0.22501,11.11,117.60,-54.86,47.97,181.33,-236.90
0,28,0.23346,11.50,118.90,-56.82,46.93,153.75,-231.77
0,29,0.24149,11.90,120.00,-58.78,49.43,137.01,-244.11
0,30,0.25009,12.30,120.90,-60.74,46.10,104.54,-227.66
0,31,0.25821,12.69,121.60,-62.70,48.87,86.19,-241.35
0,32,0.26709,13.09,122.10,-64.66,44.67,56.26,-220.62
0,33,0.27484,13.49,122.40,-66.62,51.18,38.66,-252.76
0,34,0.28351,13.88,122.50,-68.58,45.77,11.50,-226.06
0,35,0.29172,14.28,122.40,-70.54,48.33,-12.23,-238.66
0,36,0.30005,14.68,122.10,-72.50,47.62,-36.05,-235.16
0,37,0.30814,15.07,121.60,-74.46,49.06,-61.87,-242.26
0,38,0.31683,15.47,120.90,-76.42,45.61,-80.53,-225.26
0,39,0.32541,15.87,120.00,-78.38,46.26,-104.99,-228.47
