trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,8.53,-0.82,25.60
0,1,0.00806,0.08,-0.01,0.23,9.47,-0.95,28.41
0,2,0.01636,0.21,-0.02,0.80,16.18,-1.92,68.38
0,3,0.02457,0.34,-0.04,1.36,16.36,-1.96,69.14
0,4,0.03308,0.48,-0.06,1.93,15.77,-1.91,66.67
0,5,0.04123,0.61,-0.07,2.50,16.48,-1.98,69.66
0,6,0.04993,0.57,-0.08,2.94,-4.56,-0.71,51.23
0,7,0.05807,0.53,-0.08,3.39,-4.87,-0.73,54.68
0,8,0.06671,0.27,-0.08,3.73,-30.39,0.64,38.87
0,9,0.07492,0.01,-0.07,4.06,-31.97,0.68,40.89
0,10,0.08282,-0.33,-0.06,4.27,-42.47,1.46,25.87
0,11,0.09106,-0.66,-0.05,4.47,-40.74,1.36,24.81
0,12,0.09952,-1.00,-0.04,4.68,-39.71,1.33,24.19
0,13,0.10794,-1.33,-0.03,4.88,-39.86,1.38,24.28
0,14,0.11624,-1.67,-0.01,4.95,-40.81,1.65,8.46
0,15,0.12473,-2.01,-0.00,5.02,-39.93,1.62,8.27
0,16,0.13290,-2.26,0.01,4.93,-30.22,1.57,-10.45
0,17,0.14163,-2.51,0.03,4.85,-28.32,1.42,-9.79
0,18,0.14960,-2.95,0.04,4.89,-55.56,2.41,4.60
0,19,0.15802,-3.39,0.06,4.92,-52.54,2.26,4.35
0,20,0.16644,-3.96,0.09,4.91,-67.39,3.03,-1.81
0,21,0.17484,-4.53,0.11,4.89,-67.64,3.07,-1.82
0,22,0.18292,-5.34,0.15,4.70,-101.13,4.93,-23.40
0,23,0.19110,-6.16,0.19,4.51,-100.00,4.85,-23.13
0,24,0.19955,-7.21,0.25,4.16,-123.83,6.28,-41.88
0,25,0.20813,-8.26,0.30,3.81,-122.06,6.19,-41.28
0,26,0.21637,-9.52,0.37,3.29,-153.33,7.97,-62.96
0,27,0.22455,-10.78,0.43,2.77,-154.48,8.03,-63.43
0,28,0.23297,-12.05,0.50,2.25,-150.00,7.77,-61.59
0,29,0.24130,-13.31,0.56,1.73,-151.65,7.86,-62.27
0,30,0.24957,-14.45,0.62,1.31,-138.01,7.08,-51.29
0,31,0.25784,-15.59,0.68,0.88,-138.01,7.06,-51.29
0,32,0.26627,-16.73,0.74,0.46,-135.51,6.97,-50.36
0,33,0.27469,-17.87,0.80,0.03,-135.51,6.93,-50.36
0,34,0.28320,-18.91,0.85,-0.34,-122.22,6.23,-44.44
0,35,0.29117,-19.96,0.90,-0.72,-130.65,6.66,-47.51
0,36,0.30121,-20.81,0.95,-0.98,-85.11,4.26,-25.53
0,37,0.30841,-21.66,0.99,-1.24,-118.64,5.96,-35.59
0,38,0.31653,-22.54,1.04,-1.73,-107.52,5.85,-60.53
0,39,0.32535,-23.41,1.08,-2.22,-98.96,5.43,-55.71
0,40,0.33325,-24.22,1.13,-2.92,-102.32,6.13,-89.19
0,41,0.34155,-25.03,1.18,-3.63,-97.43,5.88,-84.93
0,42,0.34958,-25.84,1.23,-4.33,-100.76,6.04,-87.83
0,43,0.35800,-26.64,1.28,-5.04,-96.01,5.78,-83.70
0,44,0.36633,-27.45,1.33,-5.74,-97.07,5.82,-84.62
0,45,0.37460,-28.26,1.38,-6.45,-97.79,5.90,-85.24
0,46,0.38297,-29.07,1.42,-7.15,-96.72,5.80,-84.31
0,47,0.39139,-29.88,1.47,-7.86,-96.01,5.80,-83.70
0,48,0.39966,-30.55,1.51,-8.48,-80.81,4.95,-75.28
0,49,0.40784,-31.22,1.55,-9.10,-81.72,5.00,-76.12
0,50,0.41620,-31.75,1.59,-9.63,-63.87,3.94,-63.14
0,51,0.42505,-32.28,1.62,-10.16,-60.34,3.77,-59.66
0,52,0.43304,-32.65,1.64,-10.57,-45.42,2.94,-51.53
0,53,0.44107,-33.01,1.67,-10.98,-45.25,2.93,-51.33
0,54,0.45004,-33.24,1.68,-11.33,-25.17,1.81,-38.10
0,55,0.45831,-33.46,1.70,-11.67,-27.31,1.97,-41.33
0,56,0.46643,-33.69,1.72,-12.01,-27.82,2.00,-42.11
0,57,0.47455,-33.91,1.73,-12.35,-27.82,1.98,-42.11
0,58,0.48315,-34.14,1.75,-12.69,-26.24,1.86,-39.72
0,59,0.49133,-34.37,1.77,-13.03,-27.61,2.01,-41.79
0,60,0.49945,-34.59,1.78,-13.38,-27.82,1.98,-42.11
0,61,0.50806,-34.82,1.80,-13.72,-26.24,1.91,-39.72
0,62,0.51654,-34.99,1.81,-14.10,-19.78,1.65,-44.96
0,63,0.52448,-35.15,1.83,-14.48,-21.15,1.83,-48.08
0,64,0.53308,-35.32,1.84,-14.86,-19.50,1.64,-44.33
0,65,0.54120,-35.49,1.85,-15.24,-20.68,1.77,-46.99
0,66,0.54974,-35.66,1.87,-15.62,-19.64,1.66,-44.64
0,67,0.55844,-35.82,1.88,-16.01,-19.30,1.63,-43.86
0,68,0.56619,-35.99,1.90,-16.39,-21.65,1.88,-49.21
0,69,0.57462,-36.16,1.91,-16.77,-19.93,1.68,-45.29
0,70,0.58298,-36.30,1.93,-17.25,-16.42,1.75,-56.93
