trial,frame,t_s,x_cm,y_cm,z_cm,vx,vy,vz
0,0,0.00000,0.00,0.00,0.00,13.41,-23.60,93.12
0,1,0.00827,0.00,0.03,0.00,0.00,3.04,0.00
0,2,0.01666,0.00,0.03,0.00,0.00,0.12,0.00
0,3,0.02493,0.00,0.03,0.00,0.00,-0.07,0.00
0,4,0.03339,0.00,0.02,0.00,0.00,-0.07,0.00
0,5,0.04163,0.00,0.03,0.00,0.00,0.12,0.00
0,6,0.04999,0.00,0.03,0.00,0.00,-0.07,0.00
0,7,0.05829,0.00,0.03,0.00,0.00,0.12,0.00
0,8,0.06674,0.00,0.03,0.00,0.00,-0.07,0.00
0,9,0.07495,0.00,0.03,0.00,0.00,-0.07,0.00
0,10,0.08337,0.00,0.03,0.00,0.00,0.12,0.00
0,11,0.09161,0.00,0.03,0.00,0.00,-0.07,0.00
0,12,0.10001,0.00,0.02,0.00,0.00,-0.07,0.00
0,13,0.10840,0.00,0.03,0.00,0.00,0.12,0.00
0,14,0.11670,0.00,0.03,0.00,0.00,-0.07,0.00
0,15,0.12494,0.00,0.03,0.00,0.00,0.12,0.00
0,16,0.13345,0.00,0.03,0.00,0.00,-0.07,0.00
0,17,0.14163,0.00,0.03,0.00,0.00,-0.07,0.00
0,18,0.15005,0.00,0.03,0.00,0.00,0.12,0.00
0,19,0.15826,0.00,0.03,0.00,0.00,-0.07,0.00
0,20,0.16669,0.00,0.02,0.00,0.00,-0.07,0.00
0,21,0.17499,0.00,0.03,0.00,0.00,0.12,0.00
0,22,0.18341,0.00,0.03,0.00,0.00,-0.07,0.00
0,23,0.19165,0.00,0.02,0.00,0.00,-0.07,0.00
0,24,0.20013,0.00,0.03,0.00,0.00,0.12,0.00
0,25,0.20834,0.00,0.03,0.00,0.00,-0.07,0.00
0,26,0.21680,0.00,0.03,0.00,0.00,0.12,0.00
0,27,0.22504,0.00,0.03,0.00,0.00,-0.07,0.00
0,28,0.23346,0.00,0.02,0.00,0.00,-0.07,0.00
0,29,0.24170,0.00,0.03,0.00,0.00,0.12,0.00
0,30,0.25015,0.00,0.03,0.00,0.00,-0.07,0.00
0,31,0.25836,-0.01,0.02,0.03,-1.49,-0.60,4.09
0,32,0.26682,-0.02,0.02,0.07,-1.44,-0.20,3.97
0,33,0.27509,-0.04,0.01,0.10,-1.48,-0.59,4.06
0,34,0.28351,-0.05,0.01,0.13,-1.45,-0.39,3.99
0,35,0.29175,-0.06,0.01,0.17,-1.48,-0.60,4.07
0,36,0.30011,-0.07,0.00,0.20,-1.46,-0.40,4.01
0,37,0.30841,-0.09,-0.00,0.23,-1.47,-0.59,4.04
0,38,0.31683,-0.10,-0.01,0.27,-1.45,-0.39,3.99
0,39,0.32523,-0.11,-0.01,0.30,-1.45,-0.59,4.00
0,40,0.33353,-0.12,-0.01,0.34,-1.47,-0.40,4.04
0,41,0.34177,-0.13,-0.02,0.37,-1.48,-0.35,4.07
0,42,0.35022,-0.15,-0.02,0.40,-1.44,-0.58,3.97
0,43,0.35840,-0.16,-0.03,0.44,-1.49,-0.41,4.10
0,44,0.36685,-0.17,-0.03,0.47,-1.44,-0.58,3.97
0,45,0.37518,-0.18,-0.03,0.50,-1.47,-0.34,4.03
0,46,0.38358,-0.20,-0.04,0.54,-1.45,-0.59,4.00
0,47,0.39188,-0.21,-0.04,0.57,-1.47,-0.40,4.04
0,48,0.40027,-0.22,-0.04,0.60,-1.45,-0.40,4.00
0,49,0.40848,-0.23,-0.05,0.64,-1.49,-0.60,4.09
0,50,0.41693,-0.24,-0.05,0.67,-1.44,-0.34,3.97
